number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_huber_beta,params_lr,params_num_layers,params_weight_decay,state
0,0.8622177304734566,2026-08-19 10:43:22.656197,2026-08-19 10:45:28.219891,0 days 00:02:05.563694,256,0.15042254104909727,192,0.818684687814905,0.003196775720435588,2,0.0009138225525107543,COMPLETE
1,0.669733020518046,2026-08-19 10:45:28.296950,2026-08-19 10:46:48.337522,0 days 00:01:20.040572,512,0.27135701940590023,192,1.9571069935534369,0.0007709259504154205,1,0.0018184357764480324,COMPLETE
2,0.720997569046466,2026-08-19 10:46:48.412138,2026-08-19 10:48:01.496554,0 days 00:01:13.084416,512,0.20835067359952456,64,1.184424017914098,0.0024077652434926424,1,0.0005253021795251668,COMPLETE
3,0.8433982080083887,2026-08-19 10:48:01.571423,2026-08-19 10:53:07.569821,0 days 00:05:05.998398,64,0.22678984395326085,64,0.7047880454529838,0.0029211385698547296,2,0.0010489001138189258,COMPLETE
4,0.7380564838849292,2026-08-19 10:53:07.635959,2026-08-19 10:56:35.468971,0 days 00:03:27.833012,64,0.08877191518835886,32,0.6339146407548709,0.0005630112584517583,1,0.00011039810365999588,COMPLETE
5,0.18465067446231842,2026-08-19 10:56:35.532924,2026-08-19 10:56:54.223096,0 days 00:00:18.690172,512,0.35023864367860136,64,0.21113968355738658,0.007647032869381659,3,2.082586143624322e-06,PRUNED
6,0.18166552484035492,2026-08-19 10:56:54.300049,2026-08-19 10:57:21.178109,0 days 00:00:26.878060,128,0.13842224230084224,128,1.2334388857598637,0.00034729505575489843,2,0.0016557967062027687,PRUNED
7,0.6588505666410055,2026-08-19 10:57:21.255109,2026-08-19 10:59:56.842589,0 days 00:02:35.587480,128,0.02138420487953492,192,1.6301643278992926,0.0002669383713037385,1,0.00020717597773654075,COMPLETE
8,0.14523357152938843,2026-08-19 10:59:56.914673,2026-08-19 11:00:47.340144,0 days 00:00:50.425471,64,0.06551761434159764,32,0.44791120549028707,0.005036464007442101,2,0.002186079399267086,PRUNED
9,0.7607834021415392,2026-08-19 11:00:47.423280,2026-08-19 11:01:30.242745,0 days 00:00:42.819465,256,0.24167841437007512,192,0.18736221129204883,0.0034752917698138075,1,8.89459821565327e-05,COMPLETE
10,0.8403925258605021,2026-08-19 11:01:30.311378,2026-08-19 11:03:37.234067,0 days 00:02:06.922689,256,0.3841279227307642,96,0.8911176671187404,0.00010226865097718404,3,0.00988231541412791,COMPLETE
11,0.13763177394866943,2026-08-19 11:03:37.307694,2026-08-19 11:04:26.352472,0 days 00:00:49.044778,64,0.14627919148876878,64,0.8318235978174205,0.0016506069333363526,2,1.4428925028523367e-05,PRUNED
12,0.1933959275484085,2026-08-19 11:04:26.429156,2026-08-19 11:04:47.548933,0 days 00:00:21.119777,256,0.30521888521807555,128,0.5661073739958924,0.0015072081602046643,2,0.000496069051015081,PRUNED
13,0.25064030289649963,2026-08-19 11:04:47.622453,2026-08-19 11:05:06.833896,0 days 00:00:19.211443,256,0.15988810567542294,96,1.0082693133167995,0.006505502742087958,2,0.008687874825041906,PRUNED
14,0.19936807453632355,2026-08-19 11:05:06.912406,2026-08-19 11:06:04.498375,0 days 00:00:57.585969,64,0.2101242430248861,64,1.2642830896027775,0.002930128280722988,3,3.216677740159355e-05,PRUNED
15,0.2021019607782364,2026-08-19 11:06:04.577495,2026-08-19 11:06:27.214866,0 days 00:00:22.637371,256,0.09760301965533641,192,1.4717745075501973,0.009321610266249437,2,0.0010254941843081658,PRUNED
16,0.2150973379611969,2026-08-19 11:06:27.293489,2026-08-19 11:07:12.349847,0 days 00:00:45.056358,64,0.2880694606953549,64,0.7258976808836937,0.0012294676243661202,2,0.004017197656086355,PRUNED
17,0.1622784435749054,2026-08-19 11:07:12.426110,2026-08-19 11:07:47.432381,0 days 00:00:35.006271,128,0.18556284006230667,192,0.42512614046816205,0.003454056703234996,3,0.00031126516021323474,PRUNED
18,0.17494463920593262,2026-08-19 11:07:47.510445,2026-08-19 11:08:09.633142,0 days 00:00:22.122697,256,0.23972083105667832,96,1.0770344970979329,0.0020779560737011443,3,1.0613458932249557e-06,PRUNED
19,0.18237125873565674,2026-08-19 11:08:09.710671,2026-08-19 11:08:55.722346,0 days 00:00:46.011675,64,0.12014114277555064,32,0.40925932185956015,0.004868113135669644,2,2.596835090990713e-05,PRUNED
