step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,23.93198750913143,0.0,-23.93198750913143,23.93198750913143,11.0,408.0,20.0,-100.0,-100.0,0.0,-0.0,0.0,-0.06801249086856842,True
2,1,4.0,23.83728678524494,0.0,-23.83728678524494,23.83728678524494,11.0,408.0,20.0,-100.0,-100.0,0.0,0.5621271085362155,-0.003091699096949185,-0.09470072388648987,True
3,1,6.0,23.71750534325838,0.0,-23.71750534325838,23.71750534325838,11.0,408.0,20.0,-100.0,-100.0,0.0,1.2912129472446976,-0.007101671209845837,-0.11978144198656082,True
4,1,8.0,23.58547591418028,0.0,-23.58547591418028,23.58547591418028,11.0,408.0,20.0,-100.0,-100.0,0.0,2.158045200738979,-0.011869248604064386,-0.1320294290781021,True
5,1,10.0,23.447812519967556,0.0,-23.447812519967556,23.447812519967556,11.0,408.0,20.0,-100.0,-100.0,0.0,3.0434210523995784,-0.01673881578819768,-0.13766339421272278,True
6,1,12.0,23.31053750962019,0.0,-23.31053750962019,23.31053750962019,11.0,408.0,20.0,-100.0,-100.0,0.0,3.8909063693363493,-0.02139998503134992,-0.13727501034736633,True
7,1,14.0,23.175960637629032,0.0,-23.175960637629032,23.175960637629032,11.0,408.0,20.0,-100.0,-100.0,0.0,4.654340454160876,-0.025598872497884815,-0.13457687199115753,True
8,1,16.0,23.043889068067074,0.0,-23.043889068067074,23.043889068067074,11.0,408.0,20.0,-100.0,-100.0,0.0,5.32265066119052,-0.029274578636547862,-0.1320715695619583,True
9,1,18.0,22.913215972483158,0.0,-22.913215972483158,22.913215972483158,11.0,408.0,20.0,-100.0,-100.0,0.0,5.90650461135618,-0.03248577536245899,-0.1306730955839157,True
10,1,20.0,22.782620333135128,0.0,-22.782620333135128,22.782620333135128,11.0,408.0,20.0,-100.0,-100.0,0.0,6.423106546591245,-0.03532708600625185,-0.1305956393480301,True
11,2,22.0,22.653095327317715,0.0,-22.653095327317715,22.653095327317715,7.0,364.0,11.0,-100.0,-100.0,0.0,5.9547469773392825,-0.03789384440124998,-0.12952500581741333,True
12,2,24.0,22.52176221460104,0.0,-22.52176221460104,22.52176221460104,7.0,364.0,11.0,-100.0,-100.0,0.0,6.311971645066551,-0.040167092286787144,-0.1313331127166748,True
13,2,26.0,22.38802332431078,0.0,-22.38802332431078,22.38802332431078,7.0,364.0,11.0,-100.0,-100.0,0.0,6.648036801019408,-0.04230568873375987,-0.13373889029026031,True
14,2,28.0,22.252359233796597,0.0,-22.252359233796597,22.252359233796597,7.0,364.0,11.0,-100.0,-100.0,0.0,6.969230224003059,-0.04434964688001947,-0.13566409051418304,True
15,2,30.0,22.114407293498516,0.0,-22.114407293498516,22.114407293498516,7.0,364.0,11.0,-100.0,-100.0,0.0,7.27353757935947,-0.046286148232287536,-0.13795194029808044,True
16,2,32.0,21.97355069965124,0.0,-21.97355069965124,21.97355069965124,7.0,364.0,11.0,-100.0,-100.0,0.0,7.5651601611841715,-0.04814192829844473,-0.14085659384727478,True
17,2,34.0,21.829382799565792,0.0,-21.829382799565792,21.829382799565792,7.0,364.0,11.0,-100.0,-100.0,0.0,7.8497140218316535,-0.04995272559347416,-0.14416790008544922,True
18,2,36.0,21.681729443371296,0.0,-21.681729443371296,21.681729443371296,7.0,364.0,11.0,-100.0,-100.0,0.0,8.130778314093817,-0.05174131654423339,-0.14765335619449615,True
19,2,38.0,21.53036118298769,0.0,-21.53036118298769,21.53036118298769,7.0,364.0,11.0,-100.0,-100.0,0.0,8.409929923295227,-0.05351773587551508,-0.15136826038360596,True
20,2,40.0,21.37554609030485,0.0,-21.37554609030485,21.37554609030485,7.0,364.0,11.0,-100.0,-100.0,0.0,8.68899033202991,-0.05529357484019033,-0.15481509268283844,True
21,3,42.0,21.2174339517951,0.0,-21.2174339517951,21.2174339517951,6.0,647.0,1.0,-100.0,-100.0,0.0,0.9509450472881535,-0.05705670283728921,-0.15811213850975037,True
22,3,44.0,21.057991571724415,0.0,-21.057991571724415,21.057991571724415,6.0,647.0,1.0,-100.0,-100.0,0.0,0.9800253899073917,-0.058801523394443514,-0.15944238007068634,True
23,3,46.0,20.897765092551708,0.0,-20.897765092551708,20.897765092551708,6.0,647.0,1.0,-100.0,-100.0,0.0,1.007339603814517,-0.06044037622887102,-0.1602264791727066,True
24,3,48.0,20.73763794451952,0.0,-20.73763794451952,20.73763794451952,6.0,647.0,1.0,-100.0,-100.0,0.0,1.0326423851489508,-0.06195854310893706,-0.16012714803218842,True
25,3,50.0,20.576774589717388,0.0,-20.576774589717388,20.576774589717388,6.0,647.0,1.0,-100.0,-100.0,0.0,1.0554562900505333,-0.063327377403032,-0.16086335480213165,True
26,3,52.0,20.414748840034008,0.0,-20.414748840034008,20.414748840034008,6.0,647.0,1.0,-100.0,-100.0,0.0,1.0766517600160876,-0.06459910560096525,-0.16202574968338013,True
27,3,54.0,20.251590259373188,0.0,-20.251590259373188,20.251590259373188,6.0,647.0,1.0,-100.0,-100.0,0.0,1.096706069768539,-0.06580236418611234,-0.16315858066082,True
28,3,56.0,20.08747661858797,0.0,-20.08747661858797,20.08747661858797,6.0,647.0,1.0,-100.0,-100.0,0.0,1.115705675525659,-0.06694234053153954,-0.16411364078521729,True
29,3,58.0,19.922615103423595,0.0,-19.922615103423595,19.922615103423595,6.0,647.0,1.0,-100.0,-100.0,0.0,1.1336165004248717,-0.0680169900254923,-0.1648615151643753,True
30,3,60.0,19.757199458777905,0.0,-19.757199458777905,19.757199458777905,6.0,647.0,1.0,-100.0,-100.0,0.0,1.1503854325679703,-0.06902312595407822,-0.16541564464569092,True
31,4,62.0,19.59138434380293,0.0,-19.59138434380293,19.59138434380293,6.0,726.0,1.0,-100.0,-100.0,0.0,1.1659746095673527,-0.06995847657404117,-0.16581511497497559,True
32,4,64.0,19.424974612891674,0.0,-19.424974612891674,19.424974612891674,6.0,726.0,1.0,-100.0,-100.0,0.0,1.1803793932525044,-0.07082276359515026,-0.16640973091125488,True
33,4,66.0,19.258285261690617,0.0,-19.258285261690617,19.258285261690617,6.0,726.0,1.0,-100.0,-100.0,0.0,1.1938606105416028,-0.07163163663249617,-0.16668935120105743,True
34,4,68.0,19.091675214469433,0.0,-19.091675214469433,19.091675214469433,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2062677097692966,-0.0723760625861578,-0.16661004722118378,True
35,4,70.0,18.925163365900517,0.0,-18.925163365900517,18.925163365900517,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2174312186689171,-0.07304587312013502,-0.16651184856891632,True
36,4,72.0,18.758703731000423,0.0,-18.758703731000423,18.758703731000423,6.0,726.0,1.0,-100.0,-100.0,0.0,1.227455447549829,-0.07364732685298975,-0.16645963490009308,True
37,4,74.0,18.592306680977345,0.0,-18.592306680977345,18.592306680977345,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2364839113988808,-0.07418903468393286,-0.16639705002307892,True
38,4,76.0,18.42601040750742,0.0,-18.42601040750742,18.42601040750742,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2446037382234996,-0.07467622429340998,-0.16629627346992493,True
39,4,78.0,18.259848810732365,0.0,-18.259848810732365,18.259848810732365,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2518726673051306,-0.07511236003830785,-0.16616159677505493,True
40,4,80.0,18.093768052756786,0.0,-18.093768052756786,18.093768052756786,6.0,726.0,1.0,-100.0,-100.0,0.0,1.258346181599055,-0.07550077089594331,-0.1660807579755783,True
41,5,82.0,17.927727602422237,0.0,-17.927727602422237,17.927727602422237,6.0,726.0,1.0,-100.0,-100.0,0.0,1.264140944556277,-0.07584845667337663,-0.16604045033454895,True
42,5,84.0,17.76164174824953,0.0,-17.76164174824953,17.76164174824953,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2693524095712279,-0.07616114457427367,-0.1660858541727066,True
43,5,86.0,17.595506630837917,0.0,-17.595506630837917,17.595506630837917,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2741011547611376,-0.07644606928566826,-0.16613511741161346,True
44,5,88.0,17.429319821298122,0.0,-17.429319821298122,17.429319821298122,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2784342427465154,-0.07670605456479093,-0.16618680953979492,True
45,5,90.0,17.263082765042782,0.0,-17.263082765042782,17.263082765042782,6.0,726.0,1.0,-100.0,-100.0,0.0,1.282393163068383,-0.07694358978410297,-0.16623705625534058,True
46,5,92.0,17.096801169216633,0.0,-17.096801169216633,17.096801169216633,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2860125123121675,-0.07716075073873006,-0.166281595826149,True
47,5,94.0,16.930484391748905,0.0,-16.930484391748905,16.930484391748905,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2893203580946104,-0.07735922148567663,-0.16631677746772766,True
48,5,96.0,16.76414442807436,0.0,-16.76414442807436,16.76414442807436,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2923393247313184,-0.0775403594838791,-0.1663399636745453,True
49,5,98.0,16.59779504686594,0.0,-16.59779504686594,16.59779504686594,6.0,726.0,1.0,-100.0,-100.0,0.0,1.2950878801614087,-0.07770527280968452,-0.1663493812084198,True
50,5,100.0,16.431451223790646,0.0,-16.431451223790646,16.431451223790646,6.0,726.0,1.0,-100.0,-100.0,0.0,1.297581387217326,-0.07785488323303957,-0.1663438230752945,True
51,6,102.0,16.265124313533306,0.0,-16.265124313533306,16.265124313533306,6.0,717.0,1.0,-100.0,-100.0,0.0,1.2998328288231376,-0.07798996972938825,-0.16632691025733948,True
52,6,104.0,16.098860941827297,0.0,-16.098860941827297,16.098860941827297,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3018566928335265,-0.07811140157001159,-0.1662633717060089,True
53,6,106.0,15.932686887681484,0.0,-15.932686887681484,15.932686887681484,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3036393627014797,-0.0782183617620888,-0.166174054145813,True
54,6,108.0,15.766598857939243,0.0,-15.766598857939243,15.766598857939243,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3051843148642988,-0.07831105889185792,-0.1660880297422409,True
55,6,110.0,15.600616909563541,0.0,-15.600616909563541,15.600616909563541,6.0,717.0,1.0,-100.0,-100.0,0.0,1.306516720094678,-0.07839100320568068,-0.1659819483757019,True
56,6,112.0,15.434772439301014,0.0,-15.434772439301014,15.434772439301014,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3076416573811958,-0.07845849944287175,-0.16584447026252747,True
57,6,114.0,15.269106216728687,0.0,-15.269106216728687,15.269106216728687,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3085551298673792,-0.07851330779204276,-0.16566622257232666,True
58,6,116.0,15.103709675371647,0.0,-15.103709675371647,15.103709675371647,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3092464208154413,-0.07855478524892648,-0.1653965413570404,True
59,6,118.0,14.938468746840954,0.0,-14.938468746840954,14.938468746840954,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3096674512140523,-0.07858004707284313,-0.16524092853069305,True
60,6,120.0,14.775004781782627,0.0,-14.775004781782627,14.775004781782627,6.0,717.0,1.0,-100.0,-100.0,0.0,1.3099304227456035,-0.07859582536473621,-0.16346396505832672,True
61,7,122.0,14.61129992455244,0.0,-14.61129992455244,14.61129992455244,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3088220283261378,-0.07852932169956826,-0.16370485723018646,True
62,7,124.0,14.447476707398891,0.0,-14.447476707398891,14.447476707398891,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3080018703066885,-0.07848011221840132,-0.1638232171535492,True
63,7,126.0,14.283592633903027,0.0,-14.283592633903027,14.283592633903027,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3073496198213512,-0.07844097718928107,-0.16388407349586487,True
64,7,128.0,14.11968893557787,0.0,-14.11968893557787,14.11968893557787,6.0,708.0,1.0,-100.0,-100.0,0.0,1.306805693800446,-0.07840834162802676,-0.16390369832515717,True
65,7,130.0,13.95583812147379,0.0,-13.95583812147379,13.95583812147379,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3063285209851356,-0.07837971125910814,-0.1638508141040802,True
66,7,132.0,13.792126394808292,0.0,-13.792126394808292,13.792126394808292,6.0,708.0,1.0,-100.0,-100.0,0.0,1.305856798771561,-0.07835140792629366,-0.16371172666549683,True
67,7,134.0,13.628652162849903,0.0,-13.628652162849903,13.628652162849903,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3053246970669696,-0.07831948182401818,-0.16347423195838928,True
68,7,136.0,13.465498380362988,0.0,-13.465498380362988,13.465498380362988,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3046634191217081,-0.0782798051473025,-0.1631537824869156,True
69,7,138.0,13.302695728838444,0.0,-13.302695728838444,13.302695728838444,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3038224379591243,-0.07822934627754746,-0.16280265152454376,True
70,7,140.0,13.14045586436987,0.0,-13.14045586436987,13.14045586436987,6.0,708.0,1.0,-100.0,-100.0,0.0,1.302795650158174,-0.07816773900949044,-0.16223986446857452,True
71,8,142.0,12.97837496548891,0.0,-12.97837496548891,12.97837496548891,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3014404226725225,-0.07808642536035136,-0.16208089888095856,True
72,8,144.0,12.816451258957386,0.0,-12.816451258957386,12.816451258957386,6.0,708.0,1.0,-100.0,-100.0,0.0,1.3000940325530495,-0.07800564195318296,-0.16192370653152466,True
73,8,146.0,12.654702417552471,0.0,-12.654702417552471,12.654702417552471,6.0,708.0,1.0,-100.0,-100.0,0.0,1.2987569802664685,-0.0779254188159881,-0.16174884140491486,True
74,8,148.0,12.4931505843997,0.0,-12.4931505843997,12.4931505843997,6.0,708.0,1.0,-100.0,-100.0,0.0,1.2974149856513604,-0.07784489913908163,-0.161551833152771,True
75,8,150.0,12.331822656095028,0.0,-12.331822656095028,12.331822656095028,6.0,708.0,1.0,-100.0,-100.0,0.0,1.2960517438530448,-0.07776310463118269,-0.16132792830467224,True
76,8,152.0,12.170749478042126,0.0,-12.170749478042126,12.170749478042126,6.0,708.0,1.0,-100.0,-100.0,0.0,1.2946489039562679,-0.07767893423737607,-0.16107317805290222,True
77,8,154.0,12.009987033903599,0.0,-12.009987033903599,12.009987033903599,6.0,708.0,1.0,-100.0,-100.0,0.0,1.293186873794715,-0.0775912124276829,-0.16076244413852692,True
78,8,156.0,11.849593184888363,0.0,-11.849593184888363,11.849593184888363,6.0,708.0,1.0,-100.0,-100.0,0.0,1.291628884584813,-0.07749773307508878,-0.1603938490152359,True
79,8,158.0,11.689577840268612,0.0,-11.689577840268612,11.689577840268612,6.0,708.0,1.0,-100.0,-100.0,0.0,1.2899402524137733,-0.07739641514482641,-0.16001534461975098,True
80,8,160.0,11.530298836529255,0.0,-11.530298836529255,11.530298836529255,6.0,708.0,1.0,-100.0,-100.0,0.0,1.2881259316868627,-0.07728755590121177,-0.159279003739357,True
81,9,162.0,11.371593497693539,0.0,-11.371593497693539,11.371593497693539,6.0,741.0,1.0,-100.0,-100.0,0.0,1.285926804040995,-0.0771556082424597,-0.15870533883571625,True
82,9,164.0,11.213073648512363,0.0,-11.213073648512363,11.213073648512363,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2835028242590858,-0.07701016945554516,-0.15851984918117523,True
83,9,166.0,11.054806225001812,0.0,-11.054806225001812,11.054806225001812,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2811695341769933,-0.0768701720506196,-0.15826742351055145,True
84,9,168.0,10.89688516408205,0.0,-10.89688516408205,10.89688516408205,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2788675701993515,-0.0767320542119611,-0.15792106091976166,True
85,9,170.0,10.739392034709454,0.0,-10.739392034709454,10.739392034709454,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2765227746948002,-0.07659136648168802,-0.15749312937259674,True
86,9,172.0,10.58237450569868,0.0,-10.58237450569868,10.58237450569868,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2740774342359207,-0.07644464605415524,-0.1570175290107727,True
87,9,174.0,10.425861202180386,0.0,-10.425861202180386,10.425861202180386,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2715050244231756,-0.07629030146539054,-0.1565133035182953,True
88,9,176.0,10.269864477217197,0.0,-10.269864477217197,10.269864477217197,6.0,741.0,1.0,-100.0,-100.0,0.0,1.2687959790772259,-0.07612775874463355,-0.15599672496318817,True
89,9,178.0,10.114395074546337,0.0,-10.114395074546337,10.114395074546337,6.0,741.0,1.0,-100.0,-100.0,0.0,1.265953972742428,-0.0759572383645457,-0.1554694026708603,True
90,9,180.0,9.95955004543066,0.0,-9.95955004543066,9.95955004543066,6.0,741.0,1.0,-100.0,-100.0,0.0,1.262983548723679,-0.07577901292342074,-0.15484502911567688,True
91,10,182.0,9.805388562381268,0.0,-9.805388562381268,9.805388562381268,6.0,762.0,1.0,-100.0,-100.0,0.0,1.25982342775274,-0.07558940566516441,-0.1541614830493927,True
92,10,184.0,9.651613108813763,0.0,-9.651613108813763,9.651613108813763,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2564468740482913,-0.07538681244289748,-0.15377545356750488,True
93,10,186.0,9.49830286949873,0.0,-9.49830286949873,9.49830286949873,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2530999405795256,-0.07518599643477154,-0.15331023931503296,True
94,10,188.0,9.345502905547619,0.0,-9.345502905547619,9.345502905547619,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2497198091113881,-0.07498318854668329,-0.15279996395111084,True
95,10,190.0,9.193253360688686,0.0,-9.193253360688686,9.193253360688686,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2462755067254043,-0.07477653040352426,-0.1522495448589325,True
96,10,192.0,9.041584648191929,0.0,-9.041584648191929,9.041584648191929,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2427427405530176,-0.07456456443318106,-0.1516687124967575,True
97,10,194.0,8.890514485538006,0.0,-8.890514485538006,8.890514485538006,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2391069070999496,-0.07434641442599697,-0.15107016265392303,True
98,10,196.0,8.740032397210598,0.0,-8.740032397210598,8.740032397210598,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2353644146058689,-0.07412186487635214,-0.15048208832740784,True
99,10,198.0,8.59009426087141,0.0,-8.59009426087141,8.59009426087141,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2315333737931853,-0.07389200242759111,-0.14993813633918762,True
100,10,200.0,8.440706558525562,0.0,-8.440706558525562,8.440706558525562,6.0,762.0,1.0,-100.0,-100.0,0.0,1.2276556596602637,-0.07365933957961582,-0.14938770234584808,True
101,11,202.0,8.28796710819006,0.0,-8.28796710819006,8.28796710819006,9.0,713.0,9.0,-86.7063168392466,-93.7856284280618,-0.26307329152331504,7.342384880338517,-0.07342384880338516,-0.15273945033550262,True
102,11,204.0,8.137330569326878,0.0,-8.137330569326878,8.137330569326878,9.0,713.0,9.0,-85.27359109325697,-92.08852342433399,-0.5213861202030737,7.336318451280096,-0.07336318451280097,-0.15063653886318207,True
103,11,206.0,7.988767676055431,0.0,-7.988767676055431,7.988767676055431,9.0,713.0,9.0,-83.86851681124618,-90.41478410363197,-0.7750040279271461,7.321271320312938,-0.07321271320312939,-0.14856289327144623,True
104,11,208.0,7.842016763985157,0.0,-7.842016763985157,7.842016763985157,9.0,713.0,9.0,-82.48984374538045,-88.76408528950479,-1.0239916444474972,7.298233188571834,-0.07298233188571834,-0.14675091207027435,True
105,11,210.0,7.696674667298794,0.0,-7.696674667298794,7.696674667298794,9.0,713.0,9.0,-81.1327692611233,-87.13351959983507,-1.2684054441665302,7.2691557828783075,-0.07269155782878307,-0.14534209668636322,True
106,11,212.0,7.5522473230957985,0.0,-7.5522473230957985,7.5522473230957985,9.0,713.0,9.0,-79.79044886005289,-85.51860741443103,-1.508289335932115,7.236447890310265,-0.07236447890310266,-0.1444273442029953,True
107,11,214.0,7.4084430411458015,0.0,-7.4084430411458015,7.4084430411458015,9.0,713.0,9.0,-78.45482925237252,-83.91385914550887,-1.7436718300289125,7.202701723165253,-0.07202701723165254,-0.14380428194999695,True
108,11,216.0,7.265115968883038,0.0,-7.265115968883038,7.265115968883038,9.0,713.0,9.0,-77.12126385412579,-82.3160337905089,-1.9745723455703128,7.1693422819534325,-0.07169342281953434,-0.14332707226276398,True
109,11,218.0,7.1221928820014,0.0,-7.1221928820014,7.1221928820014,9.0,713.0,9.0,-75.78752083027798,-80.72351076536708,-2.201005755851849,7.136995690940935,-0.07136995690940935,-0.14292308688163757,True
110,11,220.0,6.979625292122364,0.0,-6.979625292122364,6.979625292122364,9.0,713.0,9.0,-74.45256292213811,-79.13547646668222,-2.4229846519715736,7.105898196515679,-0.0710589819651568,-0.14256758987903595,True
111,12,222.0,6.836781106889248,0.0,-6.836781106889248,6.836781106889248,8.0,692.0,9.0,-81.9597849477159,-87.24531615152955,-2.675138744895066,7.960669948708725,-0.07076151065518867,-0.14284418523311615,True
112,12,224.0,6.695390664041042,0.0,-6.695390664041042,6.695390664041042,8.0,692.0,9.0,-80.45008492192636,-85.4597638361156,-2.922132281993669,7.931811196182917,-0.07050498841051482,-0.14139044284820557,True
113,12,226.0,6.555093578994274,0.0,-6.555093578994274,6.555093578994274,8.0,692.0,9.0,-78.95813026150465,-83.69238330051303,-3.1640177828622016,7.8982708218705895,-0.0702068517499608,-0.1402970850467682,True
114,12,228.0,6.415548928081989,0.0,-6.415548928081989,6.415548928081989,8.0,692.0,9.0,-77.47716607323306,-81.93866973742843,-3.4008347474212464,7.862338411616612,-0.06988745254770322,-0.13954465091228485,True
115,12,230.0,6.276477046310902,0.0,-6.276477046310902,6.276477046310902,8.0,692.0,9.0,-76.0009863344424,-80.19436160102487,-3.6326103589848966,7.8259856255673705,-0.06956431667170997,-0.13907188177108765,True
116,12,232.0,6.137739218771458,0.0,-6.137739218771458,6.137739218771458,8.0,692.0,9.0,-74.52464200519503,-78.45596307888627,-3.8593616973631777,7.790682771054408,-0.06925051352048363,-0.13873782753944397,True
117,12,234.0,5.999293603003025,0.0,-5.999293603003025,5.999293603003025,8.0,692.0,9.0,-73.04580198142145,-76.72174023464322,-4.081100830989314,7.7570390842110815,-0.06895145852632073,-0.13844561576843262,True
118,12,236.0,5.861150063574314,0.0,-5.861150063574314,5.861150063574314,8.0,692.0,9.0,-71.56389807384465,-74.99117003753781,-4.297838316646934,7.725110280340089,-0.06866764693635635,-0.13814353942871094,True
119,12,238.0,5.7233926728367805,0.0,-5.7233926728367805,5.7233926728367805,8.0,692.0,9.0,-70.07927853204278,-73.26437579467893,-4.509585067498605,7.694682330134752,-0.06839717626786446,-0.13775739073753357,True
