step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.811556711792946,0.0,-26.811556711792946,26.811556711792946,50.0,917.0,1.0,-54.11777535441657,-54.0,-0.11777535441657577,-0.0,0.0,-0.18844328820705414,True
2,1,4.0,26.63038432598114,0.0,-26.63038432598114,26.63038432598114,50.0,917.0,1.0,-53.84070969380023,-53.62311342358589,-0.23472870975700305,0.01713243954266448,-0.00856621977133224,-0.18117238581180573,True
3,1,6.0,26.447272703051567,0.0,-26.447272703051567,26.447272703051567,50.0,917.0,1.0,-53.579690848762915,-53.26076865196227,-0.3508917820622645,0.0319695852616305,-0.01598479263081525,-0.18311162292957306,True
4,1,8.0,26.22788478434086,0.0,-26.22788478434086,26.22788478434086,50.0,917.0,1.0,-53.315233788652705,-52.894545406103134,-0.46625611228277314,0.045567729733199974,-0.022783864866599987,-0.21938791871070862,True
5,1,10.0,26.007875680923462,0.0,-26.007875680923462,26.007875680923462,50.0,917.0,1.0,-52.97526619419819,-52.45576956868172,-0.5806634613965825,0.06116683588011402,-0.030583417940057006,-0.22000910341739655,True
6,1,12.0,25.781358167529106,0.0,-25.781358167529106,25.781358167529106,50.0,917.0,1.0,-52.63452805543167,-52.01575136184693,-0.6941111197648427,0.07533442618009711,-0.03766721309004856,-0.22651751339435577,True
7,1,14.0,25.56878662109375,0.0,-25.56878662109375,25.56878662109375,50.0,917.0,1.0,-52.28054473942092,-51.56271633505821,-0.8065706973767477,0.0887422930140487,-0.04437114650702435,-0.21257154643535614,True
8,1,16.0,25.353278279304504,0.0,-25.353278279304504,25.353278279304504,50.0,917.0,1.0,-51.95607298587556,-51.13757324218751,-0.9181030272397537,0.09960328355170803,-0.04980164177585401,-0.2155083417892456,True
9,1,18.0,25.13040243089199,0.0,-25.13040243089199,25.13040243089199,50.0,917.0,1.0,-51.62555660750747,-50.70655655860901,-1.0286952989052038,0.1096952500067356,-0.0548476250033678,-0.22287584841251373,True
10,1,20.0,24.899509832262993,0.0,-24.899509832262993,24.899509832262993,50.0,917.0,1.0,-51.27962586661721,-50.26080486178398,-1.1383153749396304,0.11949437010641295,-0.059747185053206475,-0.2308925986289978,True
11,1,22.0,24.66688598692417,0.0,-24.66688598692417,24.66688598692417,50.0,917.0,1.0,-50.91686034569069,-49.799019664525986,-1.2469282858764366,0.12908760471173666,-0.06454380235586833,-0.2326238453388214,True
12,1,24.0,24.43788616359234,0.0,-24.43788616359234,24.43788616359234,50.0,917.0,1.0,-50.550375311124874,-49.33377197384834,-1.3545264799306298,0.13792314265410366,-0.06896157132705183,-0.22899982333183289,True
13,1,26.0,24.213703215122223,0.0,-24.213703215122223,24.213703215122223,50.0,917.0,1.0,-50.19131170980702,-48.87577232718468,-1.4611257652680005,0.14558638264565624,-0.07279319132282812,-0.22418294847011566,True
14,1,28.0,23.991914555430412,0.0,-23.991914555430412,23.991914555430412,50.0,917.0,1.0,-49.842072882922075,-48.427406430244446,-1.5667471533383264,0.15208070066069523,-0.07604035033034762,-0.2217886596918106,True
15,1,30.0,23.770310178399086,0.0,-23.770310178399086,23.770310178399086,50.0,917.0,1.0,-49.49749234847434,-47.983829110860825,-1.6714010881493637,0.1577378505358525,-0.07886892526792624,-0.2216043770313263,True
16,2,32.0,23.555409118533134,0.0,-23.555409118533134,23.555409118533134,50.0,1000.0,1.0,-49.1442640722332,-47.54062035679817,-1.7664823288629623,0.16283861342793596,-0.08141930671396798,-0.21490105986595154,True
17,2,34.0,23.343673035502434,0.0,-23.343673035502434,23.343673035502434,50.0,1000.0,1.0,-48.80467882168328,-47.11081823706627,-1.860703965337098,0.1668433807200832,-0.0834216903600416,-0.21173608303070068,True
18,2,36.0,23.14065060019493,0.0,-23.14065060019493,23.14065060019493,50.0,1000.0,1.0,-48.47124633915111,-46.68734607100487,-1.9540786574791087,0.17017838933286739,-0.08508919466643369,-0.20302243530750275,True
19,2,38.0,22.946563124656677,0.0,-22.946563124656677,22.946563124656677,50.0,1000.0,1.0,-48.15553939393283,-46.28130120038986,-2.046641259879888,0.17240306633692104,-0.08620153316846052,-0.19408747553825378,True
20,2,40.0,22.76235504448414,0.0,-22.76235504448414,22.76235504448414,50.0,1000.0,1.0,-47.857950556683974,-45.893126249313354,-2.138427512378518,0.1736032050078938,-0.0868016025039469,-0.18420808017253876,True
21,2,42.0,22.58534261584282,0.0,-22.58534261584282,22.58534261584282,50.0,1000.0,1.0,-47.58039634991304,-45.52471008896828,-2.2294769325564547,0.1737906716116997,-0.08689533580584985,-0.17701242864131927,True
22,2,44.0,22.41568833589554,0.0,-22.41568833589554,22.41568833589554,50.0,1000.0,1.0,-47.317197476003834,-45.17068523168564,-2.3198183030198236,0.1733060587016267,-0.08665302935081334,-0.16965427994728088,True
23,2,46.0,22.254350781440735,0.0,-22.254350781440735,22.254350781440735,50.0,1000.0,1.0,-47.068659026066065,-44.83137667179108,-2.409481056363403,0.1721987020884142,-0.0860993510442071,-0.16133755445480347,True
24,2,48.0,22.09944288432598,0.0,-22.09944288432598,22.09944288432598,50.0,1000.0,1.0,-46.83675916698567,-44.50870156288147,-2.4984984594891686,0.1704408553849658,-0.0852204276924829,-0.15490789711475372,True
25,2,50.0,21.949227184057236,0.0,-21.949227184057236,21.949227184057236,50.0,1000.0,1.0,-46.61751586716718,-44.19888576865196,-2.586896231026472,0.1682661325112566,-0.0841330662556283,-0.15021570026874542,True
26,2,52.0,21.80023066699505,0.0,-21.80023066699505,21.80023066699505,50.0,1000.0,1.0,-46.40727524648347,-43.89845436811447,-2.6746931397626983,0.16587226139369365,-0.08293613069684683,-0.1489965170621872,True
27,2,54.0,21.65284314751625,0.0,-21.65284314751625,21.65284314751625,50.0,1000.0,1.0,-46.198759498733075,-43.6004613339901,-2.7618940624306774,0.16359589768769375,-0.08179794884384688,-0.1473875194787979,True
28,2,56.0,21.5055360943079,0.0,-21.5055360943079,21.5055360943079,50.0,1000.0,1.0,-45.99280133785369,-43.3056862950325,-2.8485054350207406,0.16139039219954854,-0.08069519609977427,-0.14730705320835114,True
29,2,58.0,21.359076470136642,0.0,-21.359076470136642,21.359076470136642,50.0,1000.0,1.0,-45.786211814834466,-43.0110721886158,-2.934527579397971,0.15938795317930685,-0.07969397658965342,-0.14645962417125702,True
