decision_idx,elapsed_s,temp,error,band,old_kp,old_ki,old_kd,kp,ki,kd,changed,rank_score,history_score,source,horizon_overshoot_max,horizon_mae,horizon_final_abs_error,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,far,50.0,1.0,1.0,50.0,917.0,1.0,True,25.07741437233706,25.283370971679688,run_history,0.0,23.81307292530934,21.20983301103115,0.00017289844373709722,0.09658144311658268,0.0,32,30,6216.849499993259
2,30.0,23.770310178399086,-23.770310178399086,far,50.0,917.0,1.0,50.0,1000.0,1.0,True,22.30661345443362,22.39484024047852,run_history,0.0,21.18670283953349,19.104229152202606,0.00016860287620456827,0.07674448217811256,0.0,32,30,6137.771300011082
3,60.0,21.211938425898552,-21.211938425898552,far,50.0,1000.0,1.0,50.0,1000.0,1.0,False,19.080056819282206,0.0,current_pid,0.0,19.079867326964933,17.168985210359097,0.00018949231727316679,0.06718161252552066,0.0,32,30,6042.732899994007
4,90.0,19.104229152202606,-19.104229152202606,far,50.0,1000.0,1.0,50.0,1000.0,20.0,True,18.04205379457997,21.37338256835937,run_history,0.0,16.973012768104674,14.665573086589575,0.000371898057325856,0.07326691527048061,0.0,32,30,6159.405500002322
5,120.0,17.12006226181984,-17.12006226181984,far,50.0,1000.0,20.0,45.0,1000.0,18.0,True,15.425101549645573,14.853639602661133,run_history,0.0,14.681878443496922,12.64359803777188,0.0005411260155942865,0.07681010649057812,0.0,32,30,6306.694400002016
6,150.0,14.655489506199956,-14.655489506199956,far,45.0,1000.0,18.0,50.0,1.0,1.0,True,12.55070531955486,0.0,anchor_pid,0.0,12.550182718162736,10.67212182469666,0.0005226013921233265,0.06398267324628501,0.0,32,30,6065.097400001832
7,180.0,12.621654884889722,-12.621654884889722,far,50.0,1.0,1.0,2.0,1.0,1.0,True,10.707099810516068,15.25235652923584,run_history,0.0,9.943200315410893,7.739683428779244,0.001281668643382143,0.08261290500903952,0.0,32,30,5952.604000005522
8,210.0,9.928706848993897,-9.928706848993897,mid,2.0,1.0,1.0,50.0,1.0,1.0,True,5.694678690568203,0.0,anchor_pid,0.0,5.456129984433452,1.3186667058616877,0.008755800459902664,0.14459397361196322,0.22979290567484828,32,30,5880.301700002747
9,240.0,5.586342433467507,-5.586342433467507,mid,50.0,1.0,1.0,14.0,498.0,16.0,True,3.7085644703264875,7.074131468684878,run_history,0.0,2.97865419673423,0.7521306816488504,0.0041210047181325605,0.08111452157127447,0.3720826954398811,32,30,6047.086699996726
10,270.0,3.0139618311077356,-3.0139618311077356,mid,14.0,498.0,16.0,26.0,1.0,1.0,True,1.9704334112087343,0.0,anchor_pid,0.3869036789983511,1.2583023252586523,0.3869036789983511,0.0024768462429701032,0.054997261998982264,0.709654239707112,32,30,6080.179199998383
11,300.0,1.25887637026608,-1.25887637026608,near,26.0,1.0,1.0,1.0,1.0,1.0,True,0.6846508143907986,0.0,anchor_pid,0.4261477719992399,0.32100843156998354,0.2530052559450269,0.0027982482494943095,0.041624533124910344,0.36084413457132064,32,30,6030.511999997543
12,330.0,-0.19467927981168032,0.19467927981168032,near,1.0,1.0,1.0,6.0,126.0,1.0,True,2.7126430474323926,1.8377520958592288,run_history,0.05130771268159151,2.0048501433183747,3.1292603788897395,0.0032398238622079333,0.05483738088916088,0.6126654754588485,32,30,6093.77749999112
13,360.0,2.280967484228313,-2.280967484228313,near,6.0,126.0,1.0,50.0,1.0,41.0,True,1.8356032101077906,0.0,anchor_pid,0.0,1.246881240916749,0.02977446001023054,0.0014338296653517964,0.04008640650788258,0.58728813952569,32,30,6050.203999999212
14,390.0,1.2809519423171878,-1.2809519423171878,near,50.0,1.0,41.0,1.0,1.0,1.0,True,0.6526583301734048,0.0,anchor_pid,0.19140929076820612,0.27128196246922015,0.0802932913065888,0.0018344214604943498,0.03631400654056302,0.37954194624369025,32,30,6124.608899990562
15,420.0,-0.18747638165950775,0.18747638165950775,near,1.0,1.0,1.0,1.0,405.0,4.0,True,1.0615377803825996,0.4465527534484863,run_history,0.16727258637547493,0.6630605348696311,0.537095470353961,0.0011152322836656607,0.029153169871404254,0.3750343755568784,32,30,6000.139199997648
16,450.0,1.0032626166939735,-1.0032626166939735,near,1.0,405.0,4.0,1.0,284.0,5.0,True,0.946091958518854,1.4165730476379397,run_history,0.022579402750125155,0.4921490819203124,0.11254293555975892,0.0005057733302770293,0.02078257632644542,0.38260845088636763,32,30,6111.779899991234
17,480.0,0.5132570629066322,-0.5132570629066322,near,1.0,284.0,5.0,1.0,253.0,5.0,True,0.3154022539532353,0.5347304344177246,run_history,0.02781349336146377,0.16564628582515675,0.012482055186410435,0.00043031890631963686,0.01828753520761705,0.12258912750087264,32,30,6182.211799998186
