decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,n_evaluated,n_history_candidates,horizon_steps,optimize_ms,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm
1,0.0,24.0,-24.0,6.0,997.0,16.0,11.0,408.0,20.0,True,13.365934547267114,13.756818398535252,768,0,40,464695.76249999227,0.0,0.0,21.203399036824703,18.243185095489025,0.0,0.36621921576604666
2,20.0,22.782620333135128,-22.782620333135128,11.0,408.0,20.0,7.0,364.0,11.0,True,12.170401100536267,12.330391242802143,768,0,40,478056.3683999935,0.0,0.0,19.640067064017057,16.47920186072588,0.0,0.2786757369916435
3,40.0,21.37554609030485,-21.37554609030485,7.0,364.0,11.0,6.0,647.0,1.0,True,10.999986850404385,11.060427580922841,768,0,40,464982.2580999462,0.0,0.0,18.012016678601505,14.788261242210865,0.0,0.3452893578652199
4,60.0,19.757199458777905,-19.757199458777905,6.0,647.0,1.0,6.0,726.0,1.0,True,9.841014146622898,9.851244960874318,768,0,40,462200.5621000426,0.0,0.0,16.353611074015497,13.139670737087727,0.0,0.045656327593574006
5,80.0,18.093768052756786,-18.093768052756786,6.0,726.0,1.0,6.0,726.0,1.0,False,8.706034071594477,8.706034071594477,768,0,40,467389.7965999786,0.0,0.0,14.705972205102444,11.529679261147976,0.0,0.0
6,100.0,16.431451223790646,-16.431451223790646,6.0,726.0,1.0,6.0,717.0,1.0,True,7.595589268497109,7.59571564592421,768,0,40,465514.8264999734,0.0,0.0,13.076999217271805,9.960274823009968,0.0,0.0052013537764831145
7,120.0,14.775004781782627,-14.775004781782627,6.0,717.0,1.0,6.0,708.0,1.0,True,6.516037733546376,6.516233647465706,768,0,40,459339.3400000059,0.0,0.0,11.47756805717945,8.440944217145443,0.0,0.0052013537764831145
8,140.0,13.14045586436987,-13.14045586436987,6.0,708.0,1.0,6.0,708.0,1.0,False,5.473929902091623,5.473929902091623,768,0,40,469198.1029000017,0.0,0.0,9.917074523493648,6.981029994785786,0.0,0.0
9,160.0,11.530298836529255,-11.530298836529255,6.0,708.0,1.0,6.0,741.0,1.0,True,4.483072982349754,4.484558691084385,768,0,40,464166.9215000002,0.0,0.0,8.40753265246749,5.602751471102238,0.0,0.01907163051377142
10,180.0,9.95955004543066,-9.95955004543066,6.0,741.0,1.0,6.0,762.0,1.0,True,3.5512768044249423,3.5522511437907816,768,0,40,469229.33590004686,0.0,0.0,6.963300141133368,4.316990822553635,0.0,0.012136492145127268
11,200.0,8.440706558525562,-8.440706558525562,6.0,762.0,1.0,9.0,713.0,9.0,True,2.6538498384451445,2.6800777296349407,768,0,40,467593.07899995474,0.0,0.0,5.569909421727061,3.074790343642235,0.0,0.24727822786148085
12,220.0,6.979625292122364,-6.979625292122364,9.0,713.0,9.0,8.0,692.0,9.0,True,1.8274128160354954,1.8556043583899737,768,0,40,474291.67810000945,0.0,0.0,4.264818822219968,1.9485597983002663,0.0,0.016915244136868554
13,240.0,5.586084641516209,-5.586084641516209,8.0,692.0,9.0,24.0,1000.0,3.0,True,1.681881385877225,1.7185331267570945,768,0,40,462461.31560002686,0.0,0.0,3.5929715445265176,1.9202348664402962,0.0,0.31696437517735304
14,260.0,4.519696228206158,-4.519696228206158,24.0,1000.0,3.0,5.0,753.0,9.0,True,1.5754934224101247,1.6084180634064766,768,0,40,458956.9300999865,0.0,0.0,2.223327902704477,0.2549651637673378,0.5000622257678525,0.32208084498552847
15,280.0,3.3512429669499397,-3.3512429669499397,5.0,753.0,9.0,25.0,604.0,1.0,True,1.4702148352356024,59.80559310086423,768,0,40,469715.27489996515,0.0,0.0,1.5712914908304811,0.01182817667722702,0.5732744939951143,0.34934607406640383
16,300.0,2.4333217293024063,-2.4333217293024063,25.0,604.0,1.0,50.0,234.0,14.0,True,1.3901726609423772,79.90991869330429,768,0,40,467337.7354000113,0.0,0.0,1.1012052030302584,0.002440076321363449,0.581669985093829,0.5371611987985958
17,320.0,1.7070362865924835,-1.7070362865924835,50.0,234.0,14.0,1.0,201.0,16.0,True,14.773861778887458,56.42512369833302,768,0,40,461849.5951999794,0.12117243558168411,0.04391631298375785,0.4740833618299803,0.43596910254564136,0.5102595375056647,0.5808532556166356
18,340.0,0.7862806543707848,-0.7862806543707848,1.0,201.0,16.0,2.0,196.0,20.0,True,10.970121776227522,13.952686001467159,768,0,40,468962.5915999641,0.09977936558425426,0.018848979621965342,0.16738426981610247,0.09977936558425426,0.1710638893352698,0.12215137172493903
19,360.0,0.1485237181186676,-0.1485237181186676,2.0,196.0,20.0,1.0,3.0,20.0,True,11.821049294003238,41.59760838578309,768,0,40,475398.45259999856,0.10086067765951157,0.030671310064085116,0.41065090958145445,0.010780026437714696,0.363100211736027,0.11216075223244813
20,380.0,-0.09445674577727914,0.09445674577727914,1.0,3.0,20.0,1.0,1000.0,20.0,True,18.557204987572156,41.737749690322765,768,0,40,460426.78010003874,0.16235746734309942,0.06934690555429127,0.07668369111488574,0.07820690481457859,0.09042447593763041,0.5761944127948517
21,400.0,0.11747817089781165,-0.11747817089781165,1.0,1000.0,20.0,1.0,1000.0,20.0,False,20.683762413817586,20.683762413817586,768,0,40,465537.183700013,0.17417235590983182,0.09978917048422964,0.0987106037850026,0.10110423096921295,0.1012787360329542,0.0
22,420.0,-0.09129046543966979,0.09129046543966979,1.0,1000.0,20.0,1.0,649.0,5.0,True,19.5522506499611,20.633176352738086,768,0,40,474637.39290001104,0.1638400861993432,0.09954143782977488,0.08473985223936324,0.11121592600102304,0.0522269593952187,0.4989042894708906
23,440.0,-0.03951066092122346,0.03951066092122346,1.0,649.0,5.0,1.0,1000.0,20.0,True,15.218909688454293,19.619490603459376,768,0,40,462038.40990003664,0.12401610089000314,0.09001530872345762,0.08481667865999043,0.06918491853866726,0.030147749927105814,0.4989042894708906
24,460.0,-0.11544350686017424,0.11544350686017424,1.0,1000.0,20.0,1.0,1000.0,1.0,True,14.748383676371377,15.384675411892125,768,0,40,453251.8611999694,0.11635060678236187,0.10081713619620342,0.10055789900616219,0.0969467534305295,0.007225226520346261,0.5773502691896257
25,480.0,-0.1015088155400008,0.1015088155400008,1.0,1000.0,1.0,1.0,1000.0,1.0,False,13.03511307779105,13.03511307779105,768,0,40,468013.8626000262,0.10057201096060453,0.09683876634747364,0.09681414822171064,0.0980385985239991,0.0021834312000236222,0.0
26,500.0,-0.09278762747271685,0.09278762747271685,1.0,1000.0,1.0,1.0,1000.0,1.0,False,13.110973541117566,13.110973541117566,768,0,40,473764.8108000285,0.10097247976955259,0.09797302822118203,0.09794556633135158,0.10061302347506285,0.0023195462615213393,0.0
27,520.0,-0.10029289137310116,0.10029289137310116,1.0,1000.0,1.0,1.0,1000.0,1.0,False,13.116483701201158,13.116483701201158,768,0,40,465274.3665999733,0.10097247976955259,0.09828292564176708,0.09826638502032381,0.09497709115433395,0.001803066205827405,0.0
28,540.0,-0.0969467534305295,0.0969467534305295,1.0,1000.0,1.0,1.0,1000.0,1.0,False,13.086674833917792,13.086674833917792,768,0,40,467208.9869999909,0.10097247976955259,0.09726841555824071,0.09724400400054237,0.09513489416033849,0.0021790711675174546,0.0
29,560.0,-0.0980385985239991,0.0980385985239991,1.0,1000.0,1.0,1.0,1000.0,2.0,True,12.960074290297936,13.069924633389402,768,0,40,478172.1882999991,0.09989488971768878,0.09666729015331542,0.09664201794334985,0.09302754931013624,0.0022102835615627715,0.030386856273138196
30,580.0,-0.09955244074171787,0.09955244074171787,1.0,1000.0,2.0,1.0,1000.0,1.0,True,12.80145802669536,12.82901197644402,768,0,40,471773.72460003244,0.09890264056684828,0.09473280339757185,0.09470928000755521,0.09148428797288943,0.0021109997663445465,0.030386856273138196
31,600.0,-0.09671931253342336,0.09671931253342336,1.0,1000.0,1.0,1.0,1000.0,1.0,False,12.494452757588588,12.494452757588588,768,0,40,471197.27300002705,0.09638439252103126,0.09296405053775371,0.09294881037749292,0.0902714412086425,0.001683253336515757,0.0
32,620.0,-0.09413111843696242,0.09413111843696242,1.0,1000.0,1.0,1.0,1000.0,1.0,False,12.216444762483748,12.216444762483748,768,0,40,471162.02719998546,0.09402386580859456,0.09160336191376103,0.09158998579368927,0.08901713197064964,0.0015653805336988693,0.0
33,640.0,-0.09322708331546892,0.09322708331546892,1.0,1000.0,1.0,1.0,1000.0,1.0,False,12.079824706027685,12.079824706027685,768,0,40,468854.8656000057,0.09308590075033862,0.09021021136005442,0.09019603946035204,0.08738229181562929,0.0015989681961531847,0.0
34,660.0,-0.09148428797288943,0.09148428797288943,1.0,1000.0,1.0,1.0,1000.0,1.0,False,11.860305355148618,11.860305355148618,768,0,40,467970.9458000143,0.09132055250029225,0.08880837604627324,0.08879416962536198,0.08612627641650761,0.0015884257989353125,0.0
35,680.0,-0.0902714412086425,0.0902714412086425,1.0,1000.0,1.0,1.0,1000.0,1.0,False,11.705063909429873,11.705063909429873,768,0,40,452883.84309998946,0.09018150745487219,0.08745918325249705,0.08744356956594856,0.0846877590602162,0.0016525364622217772,0.0
36,700.0,-0.08901713197064964,0.08901713197064964,1.0,1000.0,1.0,1.0,1000.0,1.0,False,11.526985092823649,11.526985092823649,768,0,40,475638.9301000163,0.0888419114280623,0.08602448925622465,0.08600961428783194,0.08331594675200904,0.0015996880485543024,0.0
37,720.0,-0.08738229181562929,0.08738229181562929,1.0,1000.0,1.0,1.0,1000.0,1.0,False,11.3255766374758,11.3255766374758,768,0,40,471313.12989996513,0.08724946880192874,0.08465142701314148,0.08463661714740738,0.08198567515592003,0.0015833929406198057,0.0
38,740.0,-0.08612627641650761,0.08612627641650761,1.0,1000.0,1.0,1.0,1000.0,1.0,False,11.15797299087146,11.15797299087146,768,0,40,470737.55199997686,0.08599201171546156,0.08328823334899542,0.08327329039693723,0.0806297959143194,0.0015776314094479854,0.0
39,760.0,-0.0846877590602162,0.0846877590602162,1.0,1000.0,1.0,1.0,1000.0,1.0,False,10.971037937010774,10.971037937010774,768,0,40,478816.9879000052,0.08454267984143371,0.08192179581028004,0.08190702672236512,0.07924731809998775,0.001555507082266714,0.0
40,780.0,-0.08331594675200904,0.08331594675200904,1.0,1000.0,1.0,1.0,1000.0,1.0,False,10.7934549050941,10.7934549050941,768,0,40,474108.69879997335,0.0831850534386831,0.08055839155322879,0.08054278858126054,0.07783670689332212,0.0015854517330059932,0.0
41,800.0,-0.08198567515592003,0.08198567515592003,1.0,1000.0,1.0,1.0,1000.0,1.0,False,10.617828767295483,10.617828767295483,768,0,40,474852.38639998715,0.08184936527050013,0.07918722008641221,0.07917115909167478,0.07650360407660628,0.0015948018982325921,0.0
42,820.0,-0.0806297959143194,0.0806297959143194,1.0,1000.0,1.0,1.0,1000.0,1.0,False,10.44052331918688,10.44052331918688,768,0,40,482263.2547999965,0.08049675683378155,0.07781810316727354,0.07780197767660865,0.07515179285201157,0.0015841244145951272,0.0
43,840.0,-0.07924731809998775,0.07924731809998775,1.0,1000.0,1.0,1.0,1000.0,1.0,False,10.259168185910754,10.259168185910754,768,0,40,470195.3215999529,0.07910274179539556,0.07645271285921522,0.0764368965954418,0.07383033156747842,0.0015550377459569297,0.0
44,860.0,-0.07783670689332212,0.07783670689332212,1.0,1000.0,1.0,1.0,1000.0,1.0,False,10.078015538068534,10.078015538068534,768,0,40,471947.5158000132,0.07770192810221488,0.0751155754295106,0.07509988268957386,0.07252958662229503,0.0015353475563338228,0.0
45,880.0,-0.07650360407660628,0.07650360407660628,1.0,1000.0,1.0,1.0,1000.0,1.0,False,9.904156890157113,9.904156890157113,768,0,40,483450.5310000386,0.07636928722149605,0.07379401937146374,0.07377843146332452,0.07123704476634884,0.00151668909387877,0.0
46,900.0,-0.07515179285201157,0.07515179285201157,1.0,1000.0,1.0,1.0,1000.0,1.0,False,9.728852054930185,9.728852054930185,768,0,40,471549.6766999713,0.07501746854632074,0.072487909881405,0.07247249094889412,0.06996666466238821,0.0014950366674942282,0.0
47,920.0,-0.07383033156747842,0.07383033156747842,1.0,1000.0,1.0,1.0,1000.0,1.0,False,9.557596407198368,9.557596407198368,768,0,40,471045.6070000073,0.0737001199822771,0.07120122143410663,0.07118588860266754,0.06871091749871994,0.001477564738782196,0.0
48,940.0,-0.07252958662229503,0.07252958662229503,1.0,1000.0,1.0,1.0,1000.0,1.0,False,9.388472329405392,9.388472329405392,768,0,40,481653.94749998813,0.07239957620276982,0.06992933670394326,0.06991413684681902,0.0674717851297828,0.001457944037927796,0.0
49,960.0,-0.07123704476634884,0.07123704476634884,1.0,1000.0,1.0,1.0,1000.0,1.0,False,9.220879354593226,9.220879354593226,768,0,40,471447.2504000296,0.0711090683553266,0.06867461581159434,0.06865954889763089,0.06625038138099626,0.0014384721213554956,0.0
50,980.0,-0.06996666466238821,0.06996666466238821,1.0,1000.0,1.0,1.0,1000.0,1.0,False,9.055999969569227,9.055999969569227,768,0,40,468483.0547000165,0.06984050246774132,0.06743680317727768,0.06742186443680112,0.0650450186958551,0.0014193726207384907,0.0
51,1000.0,-0.06871091749871994,0.06871091749871994,1.0,1000.0,1.0,1.0,1000.0,1.0,False,8.89305099154676,8.89305099154676,768,0,40,479360.7636000379,0.06858618581554765,0.06621547631112995,0.06620067917538108,0.06385685567602195,0.001399778492504017,0.0
52,1020.0,-0.0674717851297828,0.0674717851297828,1.0,1000.0,1.0,1.0,1000.0,1.0,False,8.732327305163468,8.732327305163468,768,0,40,471078.10340001015,0.06734889374001796,0.06501116854825072,0.06499651102185453,0.06268541920962889,0.001380431452483222,0.0
53,1040.0,-0.06625038138099626,0.06625038138099626,1.0,1000.0,1.0,1.0,1000.0,1.0,False,8.573868089051702,8.573868089051702,768,0,40,467106.97439999785,0.06612911421052559,0.06382358088726782,0.06380906679860346,0.061530634790869954,0.0013610553129763676,0.0
54,1060.0,-0.0650450186958551,0.0650450186958551,1.0,1000.0,1.0,1.0,1000.0,1.0,False,8.417534182985362,8.417534182985362,768,0,40,474558.5787000018,0.06492543908188964,0.06265276435438265,0.06263839718321833,0.06039264770606678,0.0013416704376212583,0.0
55,1080.0,-0.06385685567602195,0.06385685567602195,1.0,1000.0,1.0,1.0,1000.0,1.0,False,8.263435869418776,8.263435869418776,768,0,40,474628.54489998426,0.06373896734385198,0.06149872655918595,0.061484507579189086,0.05927134247122012,0.00132238275327653,0.0
56,1100.0,-0.06268541920962889,0.06268541920962889,1.0,1000.0,1.0,1.0,1000.0,1.0,False,8.111517974869063,8.111517974869063,768,0,40,469879.2291999562,0.06256917373048054,0.060361387178500966,0.06034732022108073,0.058166745163362066,0.001303074920041299,0.0
57,1120.0,-0.061530634790869954,0.061530634790869954,1.0,1000.0,1.0,1.0,1000.0,1.0,False,7.961783680103962,7.961783680103962,768,0,40,474037.6402999973,0.0614160954946783,0.05924072627230797,0.05922681285028375,0.057078531682236644,0.0012838570278589925,0.0
58,1140.0,-0.06039264770606678,0.06039264770606678,1.0,1000.0,1.0,1.0,1000.0,1.0,False,7.814234179051094,7.814234179051094,768,0,40,476176.6818999895,0.060279766164057946,0.058136668640641175,0.058122910309066356,0.056006929270552064,0.001264728364487399,0.0
59,1160.0,-0.05927134247122012,0.05927134247122012,1.0,1000.0,1.0,1.0,1000.0,1.0,False,7.668862884051619,7.668862884051619,768,0,40,471286.1762000248,0.0591601335845553,0.05704917459722314,0.05703557348188042,0.05495168833385833,0.0012456644080448844,0.0
60,1180.0,-0.058166745163362066,0.058166745163362066,1.0,1000.0,1.0,1.0,1000.0,1.0,False,7.5256649050424524,7.5256649050424524,768,0,40,476161.4183000056,0.05805718658029946,0.05597811888066801,0.05596467617451708,0.0539126561352532,0.0012267086449686525,0.0
