number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_grad_clip,params_hidden_dim,params_huber_beta,params_lr,params_num_layers,params_weight_decay,state
0,0.03679801523685455,2026-05-28 00:10:59.331493,2026-05-28 00:13:07.272924,0 days 00:02:07.941431,256,0.18168207427237362,3.4147595825025467,256,0.5907372514215126,7.879663166082461e-05,3,7.545253033931114e-05,COMPLETE
1,0.029947394505143166,2026-05-28 00:13:07.272924,2026-05-28 00:14:11.985119,0 days 00:01:04.712195,128,0.31187226048133115,0.7956548393148523,96,0.88312529066713,0.001833584695009663,2,2.146607804618851e-06,COMPLETE
2,0.02905259095132351,2026-05-28 00:14:11.985624,2026-05-28 00:15:01.091051,0 days 00:00:49.105427,256,0.09572252801575219,4.755160329222666,96,0.6383160712195206,0.0017210276262502808,2,0.003610147689763698,COMPLETE
3,0.029864992946386337,2026-05-28 00:15:01.092048,2026-05-28 00:17:37.865449,0 days 00:02:36.773401,64,0.2634048339756274,2.2504954721815444,192,0.2280875209186708,0.00017899188239282616,1,0.00027305647388207766,COMPLETE
4,0.03678939491510391,2026-05-28 00:17:37.865989,2026-05-28 00:19:34.936235,0 days 00:01:57.070246,64,0.10321597847719466,3.2229492331553664,128,0.5230418465235175,8.980291205548809e-05,3,0.003544030791516834,COMPLETE
5,0.03799143061041832,2026-05-28 00:19:34.936235,2026-05-28 00:19:43.561063,0 days 00:00:08.624828,128,0.37582821388819193,2.120840352908341,96,0.957777554914509,2.3820523268980662e-05,1,2.6119678415899786e-06,PRUNED
6,0.03770684823393822,2026-05-28 00:19:43.562063,2026-05-28 00:19:52.847890,0 days 00:00:09.285827,128,0.11586335582591573,0.6096254334688346,64,0.39424503286575585,0.00031880508997153523,2,9.384364589586625e-06,PRUNED
7,0.029635582119226456,2026-05-28 00:19:52.847890,2026-05-28 00:21:28.589721,0 days 00:01:35.741831,64,0.03231606077197267,4.0863666632084215,32,0.4584748891214918,0.0019879308364541453,1,0.0005297403798040423,COMPLETE
8,0.03766003996133804,2026-05-28 00:21:28.589721,2026-05-28 00:21:58.142645,0 days 00:00:29.552924,64,0.04007511356111535,3.159689094010691,192,0.6356779179150159,2.366666191997255e-05,2,1.7237167551229015e-06,PRUNED
9,0.037258315831422806,2026-05-28 00:21:58.142645,2026-05-28 00:22:13.431576,0 days 00:00:15.288931,64,0.14016998277636714,0.8176487419973136,64,0.3029649721516887,4.3726511114957955e-05,3,0.0028506151167299923,PRUNED
10,0.03813370689749718,2026-05-28 00:22:13.431576,2026-05-28 00:22:21.624564,0 days 00:00:08.192988,256,0.23962538335681316,4.998970095783011,96,0.7684865672449894,0.0005208429934377398,2,3.5063156195616465e-05,PRUNED
11,0.031175222247838974,2026-05-28 00:22:21.625564,2026-05-28 00:22:41.136515,0 days 00:00:19.510951,256,0.023437159913973965,4.879015887575952,32,0.4541638627993111,0.002142929554721579,1,0.0007776609745737246,PRUNED
12,0.033688779920339584,2026-05-28 00:22:41.136515,2026-05-28 00:22:52.482576,0 days 00:00:11.346061,256,4.5380406287445774e-05,4.168143728094065,32,0.13241977598320703,0.0008737373765666593,1,0.006145526134002655,PRUNED
13,0.030332135036587715,2026-05-28 00:22:52.482576,2026-05-28 00:24:04.112133,0 days 00:01:11.629557,64,0.07272226384911028,4.148387005922766,32,0.6984547669849449,0.0027080596835378046,1,0.0006278425073009484,PRUNED
14,0.03815460950136185,2026-05-28 00:24:04.112684,2026-05-28 00:24:12.376689,0 days 00:00:08.264005,256,0.06770479081597522,4.124807248641431,128,0.797194832069299,0.0008726040484490583,2,0.0016522428771464156,PRUNED
15,0.029604358598589897,2026-05-28 00:24:12.376689,2026-05-28 00:29:31.870588,0 days 00:05:19.493899,64,0.17960024498463023,4.433618794840151,256,0.39847517103294605,0.001154892206045773,2,0.0002651369653961489,COMPLETE
16,0.03742263838648796,2026-05-28 00:29:31.871589,2026-05-28 00:29:51.995225,0 days 00:00:20.123636,256,0.17437013682982358,4.637157759605317,256,0.34898460243012036,0.0008810897370381248,2,0.00014273947650778976,PRUNED
17,0.03679659962654114,2026-05-28 00:29:51.995225,2026-05-28 00:31:03.084886,0 days 00:01:11.089661,64,0.23118594448969365,3.705574059231528,256,0.5417790672555611,0.00035103044611515085,3,0.009611864449945634,PRUNED
18,0.03770052641630173,2026-05-28 00:31:03.084886,2026-05-28 00:31:18.473348,0 days 00:00:15.388462,256,0.14411886247804717,2.318382025096303,256,0.2304772948490004,1.152982780765914e-05,2,3.2932107087068436e-05,PRUNED
19,0.03764542564749718,2026-05-28 00:31:18.474340,2026-05-28 00:31:30.726610,0 days 00:00:12.252270,128,0.32134771336343804,4.491026639792993,96,0.64323008428709,0.0012215375449357805,2,0.0013132841639404277,PRUNED
20,0.03901015222072601,2026-05-28 00:31:30.726610,2026-05-28 00:31:39.879503,0 days 00:00:09.152893,256,0.22404131619178902,1.6854971275622828,96,0.7769661762535884,0.0004506464141794319,3,0.00021686706963418417,PRUNED
21,0.030871465802192688,2026-05-28 00:31:39.880030,2026-05-28 00:33:02.711709,0 days 00:01:22.831679,64,0.07759248886418213,3.8823652160059936,32,0.4290866920368779,0.0029902521433362336,1,0.0003743240387395705,PRUNED
22,0.037406329065561295,2026-05-28 00:33:02.711709,2026-05-28 00:33:20.700602,0 days 00:00:17.988893,64,0.14292862174741783,4.51830385321244,32,0.4835409190135807,0.0013812729484077488,2,6.658697786512411e-05,PRUNED
23,0.02930464781820774,2026-05-28 00:33:20.700602,2026-05-28 00:36:47.382456,0 days 00:03:26.681854,64,0.03888689009834372,2.808500348064473,256,0.2673471679856443,0.0013914831686420107,1,0.0018228398591642984,COMPLETE
24,0.029369864612817764,2026-05-28 00:36:47.382456,2026-05-28 00:40:12.719498,0 days 00:03:25.337042,64,0.10504528521010045,2.8306281110221114,256,0.12875095206958853,0.0002167316892166014,1,0.0015097038770302662,COMPLETE
25,0.03131610155105591,2026-05-28 00:40:12.719498,2026-05-28 00:41:41.050836,0 days 00:01:28.331338,64,0.10084987837808242,2.7029747694649893,256,0.12770486996094993,0.0001890325715088195,1,0.002841148575212439,PRUNED
26,0.028708189725875854,2026-05-28 00:41:41.050836,2026-05-28 00:45:09.411929,0 days 00:03:28.361093,64,0.061606950133736724,1.3129794959872054,256,0.20853983348823607,0.0006123539595056266,1,0.0012550022503525242,COMPLETE
