decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,24.0,1.0,6.0,True,16.404257932851408,18.944613222281138,0.0,0.0,24.887223082284134,22.83993500471115,0.0,0.6845814039002412,768,30,254582.80049997848
2,10.0,26.399573132395744,-26.399573132395744,24.0,1.0,6.0,5.0,907.0,8.0,True,14.932241261389152,15.914388767977556,0.0,0.0,23.460184700290363,20.468954883515835,0.0,0.5726879573159392,768,30,238634.85029997537
3,20.0,25.56269470602274,-25.56269470602274,5.0,907.0,8.0,4.0,1000.0,6.0,True,14.189424958702256,14.203085344880819,0.0,0.0,22.440172422428926,19.401141308248043,0.0,0.08198200924486417,768,30,239182.96730000293
4,30.0,24.611697427928448,-24.611697427928448,4.0,1000.0,6.0,4.0,874.0,6.0,True,13.453309234907948,13.460245338827372,0.0,0.0,21.410097932318845,18.341122917830944,0.0,0.0728189528707636,768,30,958010.8923999942
5,40.0,23.619558982551098,-23.619558982551098,4.0,874.0,6.0,2.0,557.0,3.0,True,12.695040072315082,12.7215688795348,0.0,0.0,20.359371273219587,17.24221197515726,0.0,0.205983009253474,768,30,271076.7945999978
6,50.0,22.594514973461628,-22.594514973461628,2.0,557.0,3.0,2.0,557.0,3.0,False,11.958487889617682,11.958487889617682,0.0,0.0,19.294486916065217,16.199181012809277,0.0,0.0,768,30,269989.1764000058
7,60.0,21.553298480808735,-21.553298480808735,2.0,557.0,3.0,2.0,380.0,3.0,True,11.229441106550341,11.246987799853086,0.0,0.0,18.231140293180943,15.164380230009556,0.0,0.10229329093750125,768,30,274239.167199994
8,70.0,20.50125703960657,-20.50125703960657,2.0,380.0,3.0,2.0,380.0,3.0,False,10.529404879858097,10.529404879858097,0.0,0.0,17.174091326693695,14.189173229038715,0.0,0.0,768,30,22165946.13270002
9,80.0,19.42502199858427,-19.42502199858427,2.0,380.0,3.0,2.0,380.0,3.0,False,9.835770560552676,9.835770560552676,0.0,0.0,16.132364245752495,13.218595422804356,0.0,0.0,768,30,89181.4985999954
10,90.0,18.33265420049429,-18.33265420049429,2.0,380.0,3.0,2.0,380.0,3.0,False,9.148247018406789,9.148247018406789,0.0,0.0,15.110307726760706,12.252370946109295,0.0,0.0,768,30,90643.49649997894
11,100.0,17.23987676948309,-17.23987676948309,2.0,380.0,3.0,2.0,380.0,3.0,False,8.465314543396234,8.465314543396234,0.0,0.0,14.109926310181617,11.286658562719822,0.0,0.0,768,30,91653.7546000327
12,110.0,16.176576904952526,-16.176576904952526,2.0,380.0,3.0,2.0,380.0,3.0,False,7.7847289509077875,7.7847289509077875,0.0,0.0,13.127750098208587,10.318357862532139,0.0,0.0,768,30,92090.55650001392
13,120.0,15.164380230009556,-15.164380230009556,2.0,380.0,3.0,2.0,380.0,3.0,False,7.105953916658958,7.105953916658958,0.0,0.0,12.156580629448095,9.349275581538677,0.0,0.0,768,30,93742.76629998349
14,130.0,14.189173229038715,-14.189173229038715,2.0,380.0,3.0,2.0,380.0,3.0,False,6.4286692926784355,6.4286692926784355,0.0,0.0,11.188229546944301,8.382046766579151,0.0,0.0,768,30,95342.09730004659
15,140.0,13.218595422804356,-13.218595422804356,2.0,380.0,3.0,2.0,299.0,3.0,True,5.742018849674189,5.754860473523538,0.0,0.0,10.21070552567641,7.398819245398045,0.0,0.046812183988348036,768,30,92345.10410000803
16,150.0,12.249957151710987,-12.249957151710987,2.0,299.0,3.0,4.0,1.0,6.0,True,5.062635050868273,5.068607457031806,0.0,0.0,9.24858066936334,6.421912215650082,0.0,0.19628091705644046,768,30,92351.12050001044
17,160.0,11.305781714618206,-11.305781714618206,4.0,1.0,6.0,4.0,1.0,6.0,False,4.383811166137457,4.383811166137457,0.0,0.0,8.27565462142229,5.4573604837059975,0.0,0.0,768,30,94241.77300004521
18,170.0,10.325418300926685,-10.325418300926685,4.0,1.0,6.0,3.0,204.0,4.0,True,3.7100476859645073,3.712169853101174,0.0,0.0,7.304080998897552,4.495809964835644,0.0,0.13265037671749244,768,30,93349.65019999072
19,180.0,9.347644664347172,-9.347644664347172,3.0,204.0,4.0,3.0,204.0,4.0,False,3.0389287976920603,3.0389287976920603,0.0,0.0,6.335350657999515,3.5437173321843147,0.0,0.0,768,30,93469.7504999931
20,190.0,8.372640393674374,-8.372640393674374,3.0,204.0,4.0,6.0,99.0,8.0,True,2.3631734368671076,2.3741112171113494,0.0,0.0,5.387073109050592,2.568710096180439,0.0,0.14037669667697092,768,30,93720.45409999555
21,200.0,7.438664250075817,-7.438664250075817,6.0,99.0,8.0,11.0,177.0,11.0,True,1.8164210684375055,1.9994698391114918,0.0,0.0,4.525860418379307,1.8201473876833916,0.0,0.11752909199483177,768,30,94058.86150000151
22,210.0,6.503444977104664,-6.503444977104664,11.0,177.0,11.0,12.0,291.0,1.0,True,1.737420434609451,1.7972343283757903,0.0,0.0,4.0519826700290045,1.8478247597813606,0.0,0.3111520712969892,768,30,93780.95029998804
23,220.0,5.655822686851025,-5.655822686851025,12.0,291.0,1.0,7.0,1000.0,17.0,True,1.6745152493685522,1.7213409369992134,0.0,0.0,3.722409414499998,1.8472957164049149,0.0,0.6385508266095066,768,30,93884.08460002393
24,230.0,5.02121064811945,-5.02121064811945,7.0,1000.0,17.0,5.0,1000.0,18.0,True,1.6095257445701254,1.669249187839588,0.0,0.0,3.4263625254233676,1.847737405449152,0.0,0.03845367608758463,768,30,93832.82469998812
25,240.0,4.527359806001186,-4.527359806001186,5.0,1000.0,18.0,3.0,1000.0,18.0,True,1.5742611473790364,1.6158824942682624,0.0,0.0,3.1801280247668426,1.87599977850914,0.0,0.02356531710978064,768,30,94131.1035999679
