step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.933150693774223,0.0,-26.933150693774223,26.933150693774223,24.0,1.0,6.0,-100.0,-100.0,-100.0,-0.0,0.0,-0.06684930622577667,True
2,1,4.0,26.803667217493057,0.0,-26.803667217493057,26.803667217493057,24.0,1.0,6.0,-100.0,-100.0,-100.0,0.07597058167201616,-0.003038823266880647,-0.12948347628116608,True
3,1,6.0,26.67844706773758,0.0,-26.67844706773758,26.67844706773758,24.0,1.0,6.0,-100.0,-100.0,-100.0,0.21587467591368373,-0.00863498703654735,-0.1252201497554779,True
4,1,8.0,26.535016253590584,0.0,-26.535016253590584,26.535016253590584,24.0,1.0,6.0,-100.0,-100.0,-100.0,0.33758834829052364,-0.013503533931620945,-0.14343081414699554,True
5,1,10.0,26.399573132395744,0.0,-26.399573132395744,26.399573132395744,24.0,1.0,6.0,-100.0,-100.0,-100.0,0.46838723636423196,-0.01873548945456928,-0.13544312119483948,True
6,2,12.0,26.295153997838497,0.0,-26.295153997838497,26.295153997838497,5.0,907.0,8.0,-100.0,-100.0,-100.0,3.6968429119690316,-0.023105268199806447,-0.10441913455724716,True
7,2,14.0,26.11711686104536,0.0,-26.11711686104536,26.11711686104536,5.0,907.0,8.0,-100.0,-100.0,-100.0,4.103669322190121,-0.025647933263688253,-0.1780371367931366,True
8,2,16.0,25.933758340775967,0.0,-25.933758340775967,25.933758340775967,5.0,907.0,8.0,-100.0,-100.0,-100.0,5.0071308981122655,-0.03129456811320166,-0.18335852026939392,True
9,2,18.0,25.748391322791576,0.0,-25.748391322791576,25.748391322791576,5.0,907.0,8.0,-100.0,-100.0,-100.0,5.863115461078631,-0.03664447163174144,-0.18536701798439026,True
10,2,20.0,25.56269470602274,0.0,-25.56269470602274,25.56269470602274,5.0,907.0,8.0,-100.0,-100.0,-100.0,6.652056373882999,-0.04157535233676874,-0.18569661676883698,True
11,3,22.0,25.379934810101986,0.0,-25.379934810101986,25.379934810101986,4.0,1000.0,6.0,-100.0,-100.0,-100.0,6.907629230918219,-0.04605086153945479,-0.18275989592075348,True
12,3,24.0,25.18650833517313,0.0,-25.18650833517313,25.18650833517313,4.0,1000.0,6.0,-100.0,-100.0,-100.0,7.494893574208848,-0.04996595716139232,-0.1934264749288559,True
13,3,26.0,24.99930163472891,0.0,-24.99930163472891,24.99930163472891,4.0,1000.0,6.0,-100.0,-100.0,-100.0,8.098870957052753,-0.05399247304701836,-0.1872067004442215,True
14,3,28.0,24.80556159466505,0.0,-24.80556159466505,24.80556159466505,4.0,1000.0,6.0,-100.0,-100.0,-100.0,8.602824625534659,-0.05735216417023106,-0.19374004006385803,True
15,3,30.0,24.611697427928448,0.0,-24.611697427928448,24.611697427928448,4.0,1000.0,6.0,-100.0,-100.0,-100.0,9.10325509529802,-0.06068836730198679,-0.19386416673660278,True
16,4,32.0,24.41307695955038,0.0,-24.41307695955038,24.41307695955038,4.0,874.0,6.0,-100.0,-100.0,-100.0,9.556796121957865,-0.06371197414638577,-0.19862046837806702,True
17,4,34.0,24.21873565763235,0.0,-24.21873565763235,24.21873565763235,4.0,874.0,6.0,-100.0,-100.0,-100.0,9.99950574855372,-0.0666633716570248,-0.19434130191802979,True
18,4,36.0,24.021146170794964,0.0,-24.021146170794964,24.021146170794964,4.0,874.0,6.0,-100.0,-100.0,-100.0,10.370807284129564,-0.06913871522753043,-0.19758948683738708,True
19,4,38.0,23.819883666932583,0.0,-23.819883666932583,23.819883666932583,4.0,874.0,6.0,-100.0,-100.0,-100.0,10.72883885199012,-0.0715255923466008,-0.20126250386238098,True
20,4,40.0,23.619558982551098,0.0,-23.619558982551098,23.619558982551098,4.0,874.0,6.0,-100.0,-100.0,-100.0,11.077763058749724,-0.07385175372499815,-0.20032468438148499,True
21,5,42.0,23.409386359155178,0.0,-23.409386359155178,23.409386359155178,2.0,557.0,3.0,-100.0,-100.0,-100.0,11.387008869606289,-0.07591339246404193,-0.2101726233959198,True
22,5,44.0,23.206904910504818,0.0,-23.206904910504818,23.206904910504818,2.0,557.0,3.0,-100.0,-100.0,-100.0,11.733905736728087,-0.07822603824485391,-0.2024814486503601,True
23,5,46.0,23.004015527665615,0.0,-23.004015527665615,23.004015527665615,2.0,557.0,3.0,-100.0,-100.0,-100.0,11.995268680709504,-0.0799684578713967,-0.20288938283920288,True
24,5,48.0,22.798502691090107,0.0,-22.798502691090107,22.798502691090107,2.0,557.0,3.0,-100.0,-100.0,-100.0,12.23448190840628,-0.08156321272270854,-0.20551283657550812,True
