decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,1000.0,20.0,True,17.046271851093113,19.612603156218928,0.0,0.0,25.4089757822454,23.918303437530994,0.0,0.532497587853832,768,30,39260.37300000007
2,30.0,25.448993369936943,-25.448993369936943,50.0,1000.0,20.0,50.0,1.0,20.0,True,15.738754160458159,15.986565171728532,0.0,0.0,23.65180744988223,22.005238335579634,0.0,0.5773502691896257,768,30,36023.271600000044
3,60.0,23.695177998393774,-23.695177998393774,50.0,1.0,20.0,4.0,753.0,19.0,True,14.435172659857495,14.597240672633053,0.0,0.0,21.88421329818666,20.102752178907394,0.0,0.6953910766463894,768,30,33286.47579999961
4,90.0,21.92997047677636,-21.92997047677636,4.0,753.0,19.0,50.0,1000.0,8.0,True,12.561215250912594,12.992909613251687,0.0,0.0,19.600115809341272,17.26933243125677,0.0,0.6525873415954724,768,30,32043.39439999967
5,120.0,19.669347532093525,-19.669347532093525,50.0,1000.0,8.0,50.0,328.0,1.0,True,10.83516064008992,10.866718076815207,0.0,0.0,17.14055219491323,14.805244348943233,0.0,0.4428026635657459,768,30,33639.27679999961
6,150.0,17.21106345206499,-17.21106345206499,50.0,328.0,1.0,50.0,328.0,1.0,False,9.410542728553215,9.410542728553215,0.0,0.0,14.82037567620476,12.892935186624527,0.0,0.0,768,30,36808.1274999995
7,180.0,14.805244348943233,-14.805244348943233,50.0,328.0,1.0,1.0,1.0,3.0,True,7.918541741057963,8.197750310003757,0.0,0.0,12.709115961194039,10.741226591169834,0.0,0.6105253234238046,768,30,31845.118999999613
8,210.0,12.788261458277702,-12.788261458277702,1.0,1.0,3.0,1.0,879.0,6.0,True,6.422205468151275,6.523491380314033,0.0,0.0,10.630008164048196,8.58209677785635,0.0,0.5155446413460341,768,30,30078.545100000156
9,240.0,10.734167918562889,-10.734167918562889,1.0,879.0,6.0,2.0,1000.0,11.0,True,4.9406802291462,4.959319386184216,0.0,0.0,8.51503751501441,6.471992067992687,0.0,0.16766921469749851,768,30,33772.504699999445
10,270.0,8.569971576333046,-8.569971576333046,2.0,1000.0,11.0,2.0,1000.0,11.0,False,3.4025170887013276,3.4025170887013276,0.0,0.0,6.370752030114333,4.256733365356922,0.0,0.0,768,30,34488.46030000004
11,300.0,6.471992067992687,-6.471992067992687,2.0,1000.0,11.0,3.0,1000.0,20.0,True,1.741361820759868,1.9054955233583977,0.0,0.0,4.133637128770351,1.8237940818071365,0.0,0.27373541022296355,768,30,32389.38710000002
12,330.0,4.330174274742603,-4.330174274742603,3.0,1000.0,20.0,24.0,1000.0,14.0,True,1.565022675419253,48.43439465477842,0.0,0.0,2.254443809141715,0.39998410269618034,0.45553416920893103,0.3073523824957849,768,30,32213.832599999478
13,360.0,2.2678265757858753,-2.2678265757858753,24.0,1000.0,14.0,15.0,872.0,3.0,True,88.23012688417845,147.8117427913121,0.7796826176345348,0.27072428745857346,0.8324377690752347,0.7796826176345348,0.79011186102992,0.35839122756015046,768,30,31978.01419999996
14,390.0,0.5553721897304058,-0.5553721897304058,15.0,872.0,3.0,1.0,1.0,4.0,True,22.428183913863894,256.27202251383085,0.19546704925596714,0.07478151218342087,0.191503357499217,0.4011480587068945,0.19692653286085704,0.5305856189548422,768,30,32155.52260000004
15,420.0,0.3596378325019032,-0.3596378325019032,1.0,1.0,4.0,1.0,1.0,1.0,True,15.313923860758356,17.10413520163044,0.13596616103313863,0.04103131808085123,0.24937023700525363,0.0007009634282439947,0.21761604010779453,0.09116056881941459,768,30,31239.847300000292
16,450.0,0.18422858254052699,-0.18422858254052699,1.0,1.0,1.0,1.0,1000.0,14.0,True,0.5580626981505586,13.791926835174523,0.0,0.0,0.614057204919906,0.1790799520967994,0.1693578507279701,0.6995579662237503,768,30,30337.469399999463
17,480.0,0.6953168495092541,-0.6953168495092541,1.0,1000.0,14.0,2.0,1000.0,4.0,True,0.47007328081172295,0.5939243218632381,0.0,0.0,0.5783607384704131,0.5698399415414315,0.03322009659232495,0.3040969162274701,768,30,31260.529500000303
18,510.0,0.5420162056980189,-0.5420162056980189,2.0,1000.0,4.0,1.0,1000.0,1.0,True,0.37614419021766116,0.419583153969213,0.0,0.0,0.2972585912279707,0.20258082811778877,0.10724143456067566,0.0919188791821373,768,30,31514.76829999956
19,540.0,0.2081822227628436,-0.2081822227628436,1.0,1000.0,1.0,1.0,971.0,14.0,True,0.18956079875543388,0.27863491223109743,0.0,0.0,0.1511902944902734,0.0999104717921,0.05270682943782245,0.3953845085684305,768,30,30264.66680000067
20,570.0,0.1401042487414088,-0.1401042487414088,1.0,971.0,14.0,1.0,684.0,16.0,True,0.13839674895663714,0.16410837061639322,0.0,0.0,0.1570617972232867,0.0638095491740387,0.036656563829392225,0.17664872661760178,768,30,31058.97339999956
21,600.0,0.22625168188824318,-0.22625168188824318,1.0,684.0,16.0,1.0,160.0,9.0,True,0.11867535120597868,0.1718011916266018,0.0,0.0,0.07398836614447646,0.00530529985553585,0.04876215358938699,0.3700720870541482,768,30,34930.66280000039
22,630.0,0.06884694643667899,-0.06884694643667899,1.0,160.0,9.0,1.0,191.0,2.0,True,0.04628289252408844,0.32256317414367974,0.0,0.0,0.01992149308886534,0.032344789724447764,0.011995793736008578,0.21346115720743314,768,30,32939.48229999933
23,660.0,0.005632057320326567,-0.005632057320326567,1.0,191.0,2.0,1.0,173.0,4.0,True,0.035947261148974875,0.69186278591515,0.0,0.0,0.014772391158233707,0.020893908134894446,0.010964626391557309,0.061657606676629714,768,30,32013.798699999825
24,690.0,0.028216154692927375,-0.028216154692927375,1.0,173.0,4.0,1.0,154.0,6.0,True,0.020260190131314033,0.02177063807646082,0.0,0.0,0.01128116865826693,0.0024640917836222798,0.008077166551972294,0.061757740390491686,768,30,31875.66550000065
25,720.0,0.020676045984146185,-0.020676045984146185,1.0,154.0,6.0,1.0,132.0,10.0,True,0.012440934730600508,0.01797067111438993,0.0,0.0,0.01079966558754677,0.000621936545940116,0.004373963623441928,0.12221060932372389,768,30,32285.663999999997
26,750.0,0.009020147583214566,-0.009020147583214566,1.0,132.0,10.0,2.0,74.0,13.0,True,0.011029876253368565,0.013268179515836594,0.0,0.0,0.00754256952641299,0.006883702022605576,0.002550555818672906,0.0978399699437367,768,30,32213.07209999941
27,780.0,0.004464693542104214,-0.004464693542104214,2.0,74.0,13.0,2.0,74.0,13.0,False,0.008536398520020616,0.008536398520020616,0.0,0.0,0.0051044592507726826,0.006528181358589791,0.002125707995285592,0.0,768,30,30300.740800000312
28,810.0,0.006883702022605576,-0.006883702022605576,2.0,74.0,13.0,2.0,74.0,13.0,False,0.005483212316024261,0.005483212316024261,0.0,0.0,0.004093863651905849,0.0028491653047240106,0.001619928466640543,0.0,768,30,30933.64179999935
29,840.0,0.006528181358589791,-0.006528181358589791,2.0,74.0,13.0,2.0,74.0,13.0,False,0.004562364621698473,0.004562364621698473,0.0,0.0,0.003893763219214937,0.0030686245281685842,0.001124649856885597,0.0,768,30,31946.606700000302
30,870.0,0.0028491653047240106,-0.0028491653047240106,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0029460524278156447,0.0029460524278156447,0.0,0.0,0.003285549875928003,0.0029591592646056597,0.0004046814101636071,0.0,768,30,31148.86110000043
31,900.0,0.0030686245281685842,-0.0030686245281685842,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0021345726359913975,0.0021345726359913975,0.0,0.0,0.002884672412362003,0.0027172897277978336,9.949664481003995e-05,0.0,768,30,29966.005600000244
32,930.0,0.0029591592646056597,-0.0029591592646056597,2.0,74.0,13.0,2.0,74.0,13.0,False,0.002227973295900199,0.002227973295900199,0.0,0.0,0.00260059496716849,0.0024913532658956683,0.00023108883475933352,0.0,768,30,34983.46709999987
33,960.0,0.0027172897277978336,-0.0027172897277978336,2.0,74.0,13.0,2.0,74.0,13.0,False,0.001818008594566923,0.001818008594566923,0.0,0.0,0.0022969303207749665,0.001850341233648578,0.0002167259567938203,0.0,768,30,33260.22499999999
34,990.0,0.0024913532658956683,-0.0024913532658956683,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0017904307036998818,0.0017904307036998818,0.0,0.0,0.0021026736025153998,0.0018756569741071871,0.00021603374807160414,0.0,768,30,33366.58150000039
35,1020.0,0.001850341233648578,-0.001850341233648578,2.0,74.0,13.0,2.0,74.0,13.0,False,0.00158597451134631,0.00158597451134631,0.0,0.0,0.0018319315824404233,0.0017117130597625874,0.00018186583248846585,0.0,768,30,32821.15300000078
36,1050.0,0.0018756569741071871,-0.0018756569741071871,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0012261741245545635,0.0012261741245545635,0.0,0.0,0.0016287319249348306,0.001459215262343605,8.541005419789741e-05,0.0,768,30,32312.150599999768
37,1080.0,0.0017117130597625874,-0.0017117130597625874,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0012150272484314434,0.0012150272484314434,0.0,0.0,0.0015232386792317716,0.0014462312855343384,9.363193490895993e-05,0.0,768,30,32057.708599999387
38,1110.0,0.001459215262343605,-0.001459215262343605,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0010481981483324385,0.0010481981483324385,0.0,0.0,0.0014005324837143007,0.0012644693059868928,6.792849929806602e-05,0.0,768,30,30312.093900000036
39,1140.0,0.0014462312855343384,-0.0014462312855343384,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0009934886606174564,0.0009934886606174564,0.0,0.0,0.0013025296831620163,0.0012233593879109605,6.065151501478645e-05,0.0,768,30,30726.678600000014
40,1170.0,0.0012644693059868928,-0.0012644693059868928,2.0,74.0,13.0,2.0,74.0,13.0,False,0.0009313135863799622,0.0009313135863799622,0.0,0.0,0.001192712247925698,0.0010980392797996785,7.187574844749163e-05,0.0,768,30,31476.89790000004
