step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.946542859077454,0.0,-26.946542859077454,26.946542859077454,50.0,1000.0,20.0,-54.108000000000004,-54.0,-0.108,-0.0,0.0,-0.05345714092254639,True
2,1,4.0,26.842866487801075,0.0,-26.842866487801075,26.842866487801075,50.0,1000.0,20.0,-54.01167010079915,-53.89308571815491,-0.2157861714363099,0.09720178879206558,-0.0024300447198016394,-0.10367637127637863,True
3,1,6.0,26.71581456810236,0.0,-26.71581456810236,26.71581456810236,50.0,1000.0,20.0,-53.73244481189877,-53.68573297560215,-0.32315763738751396,0.2764458010908922,-0.006911145027272305,-0.1270519196987152,True
4,1,8.0,26.61989764869213,0.0,-26.61989764869213,26.61989764869213,50.0,1000.0,20.0,-53.38055416628957,-53.43162913620472,-0.43002089565992313,0.48109586557506906,-0.012027396639376726,-0.09591691941022873,True
5,1,10.0,26.508620724081993,0.0,-26.508620724081993,26.508620724081993,50.0,1000.0,20.0,-53.166684485875926,-53.23979529738426,-0.5365004862546919,0.609611297763029,-0.015240282444075725,-0.11127692461013794,True
6,1,12.0,26.394154086709023,0.0,-26.394154086709023,26.394154086709023,50.0,1000.0,20.0,-52.90597942290686,-53.017241448163986,-0.6425349691510205,0.7537969944081552,-0.01884492486020388,-0.11446663737297058,True
7,1,14.0,26.290767073631287,0.0,-26.290767073631287,26.290767073631287,50.0,1000.0,20.0,-52.646390977554915,-52.788308173418045,-0.7481115854978565,0.8900287813609906,-0.022250719534024768,-0.1033870130777359,True
8,1,16.0,26.18614872545004,0.0,-26.18614872545004,26.18614872545004,50.0,1000.0,20.0,-52.441689537077885,-52.58153414726257,-0.8532746537923812,0.9931192639770754,-0.024827981599426886,-0.10461834818124771,True
9,1,18.0,26.07760640978813,0.0,-26.07760640978813,26.07760640978813,50.0,1000.0,20.0,-52.241701752587176,-52.37229745090007,-0.958019248694183,1.0886149470070825,-0.027215373675177065,-0.1085423156619072,True
10,1,20.0,25.971573024988174,0.0,-25.971573024988174,25.971573024988174,50.0,1000.0,20.0,-52.035406152002025,-52.15521281957627,-1.0623296743333352,1.1821363419075857,-0.02955340854768964,-0.10603338479995728,True
11,1,22.0,25.867590695619583,0.0,-25.867590695619583,25.867590695619583,50.0,1000.0,20.0,-51.8471872609512,-51.94314604997635,-1.166215966433288,1.2621747554584428,-0.03155436888646107,-0.10398232936859131,True
12,1,24.0,25.762161314487457,0.0,-25.762161314487457,25.762161314487457,50.0,1000.0,20.0,-51.6740188370504,-51.73518139123917,-1.269686329215767,1.3308488834045438,-0.03327122208511359,-0.10542938113212585,True
13,1,26.0,25.657188810408115,0.0,-25.657188810408115,25.657188810408115,50.0,1000.0,20.0,-51.50145419183703,-51.524322628974915,-1.3727349744737163,1.3956034116116096,-0.03489008529029024,-0.10497250407934189,True
14,1,28.0,25.553026162087917,0.0,-25.553026162087917,25.553026162087917,50.0,1000.0,20.0,-51.33639105932525,-51.31437762081623,-1.47536372971535,1.4533502912063363,-0.036333757280158405,-0.10416264832019806,True
15,1,30.0,25.448993369936943,0.0,-25.448993369936943,25.448993369936943,50.0,1000.0,20.0,-51.179512005717456,-51.106052324175835,-1.5775758343637025,1.504116152822073,-0.03760290382055183,-0.10403279215097427,True
16,2,32.0,25.306138813495636,0.0,-25.306138813495636,25.306138813495636,50.0,1.0,20.0,-100.0,-50.89798673987389,-100.0,1.5498033641811304,-0.03874508410452826,-0.14285455644130707,True
17,2,34.0,25.260263238102198,0.0,-25.260263238102198,25.260263238102198,50.0,1.0,20.0,-100.0,-50.61227762699127,-100.0,1.6617225945715302,-0.04154306486428825,-0.04587557539343834,True
18,2,36.0,25.127306688576937,0.0,-25.127306688576937,25.127306688576937,50.0,1.0,20.0,-100.0,-50.520526476204395,-100.0,1.586627807603827,-0.039665695190095676,-0.13295654952526093,True
19,2,38.0,25.00009137764573,0.0,-25.00009137764573,25.00009137764573,50.0,1.0,20.0,-100.0,-50.25461337715388,-100.0,1.6770367020921595,-0.04192591755230399,-0.12721531093120575,True
20,2,40.0,24.877688731998205,0.0,-24.877688731998205,24.877688731998205,50.0,1.0,20.0,-100.0,-50.00018275529147,-100.0,1.7483821695222976,-0.04370955423805744,-0.12240264564752579,True
21,2,42.0,24.756016489118338,0.0,-24.756016489118338,24.756016489118338,50.0,1.0,20.0,-100.0,-49.75537746399642,-100.0,1.804171097524575,-0.045104277438114376,-0.12167224287986755,True
22,2,44.0,24.629372011870146,0.0,-24.629372011870146,24.629372011870146,50.0,1.0,20.0,-100.0,-49.512032978236675,-100.0,1.8533102459793342,-0.04633275614948335,-0.12664447724819183,True
23,2,46.0,24.50961170718074,0.0,-24.50961170718074,24.50961170718074,50.0,1.0,20.0,-100.0,-49.25874402374029,-100.0,1.9068031106833156,-0.04767007776708289,-0.11976030468940735,True
24,2,48.0,24.38884634897113,0.0,-24.38884634897113,24.38884634897113,50.0,1.0,20.0,-100.0,-49.01922341436148,-100.0,1.9426757395391816,-0.048566893488479534,-0.12076535820960999,True
25,2,50.0,24.276260431855917,0.0,-24.276260431855917,24.276260431855917,50.0,1.0,20.0,-100.0,-48.77769269794226,-100.0,1.9769539969594359,-0.049423849923985894,-0.11258591711521149,True
26,2,52.0,24.155996475368738,0.0,-24.155996475368738,24.155996475368738,50.0,1.0,20.0,-100.0,-48.552520863711834,-100.0,1.993089687692914,-0.049827242192322846,-0.1202639564871788,True
27,2,54.0,24.043609898537397,0.0,-24.043609898537397,24.043609898537397,50.0,1.0,20.0,-100.0,-48.311992950737476,-100.0,2.0216472777802887,-0.05054118194450722,-0.11238657683134079,True
28,2,56.0,23.925669383257627,0.0,-23.925669383257627,23.925669383257627,50.0,1.0,20.0,-100.0,-48.087219797074795,-100.0,2.033157234986779,-0.05082893087466948,-0.1179405152797699,True
29,2,58.0,23.81286772713065,0.0,-23.81286772713065,23.81286772713065,50.0,1.0,20.0,-100.0,-47.851338766515255,-100.0,2.0536680587369496,-0.051341701468423734,-0.11280165612697601,True
30,2,60.0,23.695177998393774,0.0,-23.695177998393774,23.695177998393774,50.0,1.0,20.0,-100.0,-47.6257354542613,-100.0,2.062878312908113,-0.05157195782270283,-0.11768972873687744,True
31,3,62.0,23.585572842508554,0.0,-23.585572842508554,23.585572842508554,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.701164331852006,-0.0520024512249516,-0.10960515588521957,True
32,3,64.0,23.513527128845453,0.0,-23.513527128845453,23.513527128845453,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.711577206729846,-0.052024373066799676,-0.0720457136631012,True
33,3,66.0,23.409157495945692,0.0,-23.409157495945692,23.409157495945692,4.0,753.0,19.0,-100.0,-100.0,-100.0,23.9099960031267,-0.05033683369079305,-0.1043696328997612,True
34,3,68.0,23.295212764292955,0.0,-23.295212764292955,23.295212764292955,4.0,753.0,19.0,-100.0,-100.0,-100.0,23.882830217912467,-0.05027964256402625,-0.11394473165273666,True
35,3,70.0,23.15382869914174,0.0,-23.15382869914174,23.15382869914174,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.065005712333082,-0.050663169920701225,-0.1413840651512146,True
36,3,72.0,23.059433575719595,0.0,-23.059433575719595,23.059433575719595,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.82228631810025,-0.05225744488021106,-0.09439512342214584,True
37,3,74.0,22.908973705023527,0.0,-22.908973705023527,22.908973705023527,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.49272338888061,-0.05156362818711707,-0.1504598706960678,True
38,3,76.0,22.832041818648577,0.0,-22.832041818648577,22.832041818648577,4.0,753.0,19.0,-100.0,-100.0,-100.0,25.405173190104062,-0.05348457513706119,-0.07693188637495041,True
39,3,78.0,22.660247672349215,0.0,-22.660247672349215,22.660247672349215,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.642934693521994,-0.051879862512677885,-0.17179414629936218,True
40,3,80.0,22.596447948366404,0.0,-22.596447948366404,22.596447948366404,4.0,753.0,19.0,-100.0,-100.0,-100.0,26.00171542900112,-0.0547404535347392,-0.06379972398281097,True
41,3,82.0,22.414233569055796,0.0,-22.414233569055796,22.414233569055796,4.0,753.0,19.0,-100.0,-100.0,-100.0,24.899017347665115,-0.052418983889821295,-0.1822143793106079,True
42,3,84.0,22.35480724275112,0.0,-22.35480724275112,22.35480724275112,4.0,753.0,19.0,-100.0,-100.0,-100.0,26.458368958876942,-0.05570182938710936,-0.05942632630467415,True
43,3,86.0,22.172295287251472,0.0,-22.172295287251472,22.172295287251472,4.0,753.0,19.0,-100.0,-100.0,-100.0,25.21767849691281,-0.05308984946718487,-0.18251195549964905,True
44,3,88.0,22.11287458613515,0.0,-22.11287458613515,22.11287458613515,4.0,753.0,19.0,-100.0,-100.0,-100.0,26.75305857646243,-0.056322228582026165,-0.05942070111632347,True
45,3,90.0,21.92997047677636,0.0,-21.92997047677636,21.92997047677636,4.0,753.0,19.0,-100.0,-100.0,-100.0,25.484136351747484,-0.05365081337209997,-0.18290410935878754,True
46,4,92.0,21.876698784530163,0.0,-21.876698784530163,21.876698784530163,50.0,1000.0,8.0,-100.0,-43.85994095355272,-100.0,0.9095601418607219,-0.05684750886629511,-0.053271692246198654,True
47,4,94.0,21.6863014921546,0.0,-21.6863014921546,21.6863014921546,50.0,1000.0,8.0,-100.0,-43.753397569060326,-100.0,0.8615434708238602,-0.053846466926491254,-0.19039729237556458,True
48,4,96.0,21.565212212502956,0.0,-21.565212212502956,21.565212212502956,50.0,1000.0,8.0,-100.0,-43.3726029843092,-100.0,0.9178419653607164,-0.057365122835044774,-0.12108927965164185,True
49,4,98.0,21.409903027117252,0.0,-21.409903027117252,21.409903027117252,50.0,1000.0,8.0,-100.0,-43.13042442500591,-100.0,0.9183607225458034,-0.05739754515911271,-0.15530918538570404,True
50,4,100.0,21.244262106716633,0.0,-21.244262106716633,21.244262106716633,50.0,1000.0,8.0,-100.0,-42.819806054234505,-100.0,0.9437189889872601,-0.05898243681170375,-0.1656409204006195,True
51,4,102.0,21.090551771223545,0.0,-21.090551771223545,21.090551771223545,50.0,1000.0,8.0,-100.0,-42.488524213433266,-100.0,0.9741728718372554,-0.06088580448982846,-0.15371033549308777,True
52,4,104.0,20.924140743911266,0.0,-20.924140743911266,20.924140743911266,50.0,1000.0,8.0,-100.0,-42.18110354244709,-100.0,0.9930443606499966,-0.062065272540624786,-0.16641102731227875,True
53,4,106.0,20.7751337364316,0.0,-20.7751337364316,20.7751337364316,50.0,1000.0,8.0,-100.0,-41.84828148782253,-100.0,1.019353238003466,-0.06370957737521663,-0.14900700747966766,True
54,4,108.0,20.61407022923231,0.0,-20.61407022923231,20.61407022923231,50.0,1000.0,8.0,-100.0,-41.5502674728632,-100.0,1.0304941452956535,-0.06440588408097835,-0.16106350719928741,True
55,4,110.0,20.456655241549015,0.0,-20.456655241549015,20.456655241549015,50.0,1000.0,8.0,-100.0,-41.22814045846462,-100.0,1.0493413205622228,-0.06558383253513893,-0.1574149876832962,True
56,4,112.0,20.29704336076975,0.0,-20.29704336076975,20.29704336076975,50.0,1000.0,8.0,-100.0,-40.91331048309803,-100.0,1.0637370133411586,-0.06648356333382241,-0.15961188077926636,True
57,4,114.0,20.1367432102561,0.0,-20.1367432102561,20.1367432102561,50.0,1000.0,8.0,-100.0,-40.5940867215395,-100.0,1.07835736319118,-0.06739733519944875,-0.160300150513649,True
58,4,116.0,19.978787533938885,0.0,-19.978787533938885,19.978787533938885,50.0,1000.0,8.0,-100.0,-40.2734864205122,-100.0,1.0920836806817285,-0.06825523004260803,-0.15795567631721497,True
59,4,118.0,19.81884115189314,0.0,-19.81884115189314,19.81884115189314,50.0,1000.0,8.0,-100.0,-39.95757506787777,-100.0,1.1027954566226104,-0.06892471603891315,-0.15994638204574585,True
60,4,120.0,19.669347532093525,0.0,-19.669347532093525,19.669347532093525,50.0,1000.0,8.0,-100.0,-39.63768230378628,-100.0,1.1139333314635351,-0.06962083321647095,-0.14949361979961395,True
61,5,122.0,19.48745808750391,0.0,-19.48745808750391,19.48745808750391,50.0,328.0,1.0,-100.0,-39.33869506418705,-100.0,0.1395507767968874,-0.0697753883984437,-0.18188944458961487,True
62,5,124.0,19.358972184360027,0.0,-19.358972184360027,19.358972184360027,50.0,328.0,1.0,-100.0,-38.97491617500782,-100.0,0.14277568796736997,-0.07138784398368499,-0.12848590314388275,True
63,5,126.0,19.19266662746668,0.0,-19.19266662746668,19.19266662746668,50.0,328.0,1.0,-100.0,-38.717944368720055,-100.0,0.14083776000053624,-0.07041888000026812,-0.1663055568933487,True
64,5,128.0,19.05050966888666,0.0,-19.05050966888666,19.05050966888666,50.0,328.0,1.0,-100.0,-38.38533325493336,-100.0,0.1425230875534422,-0.0712615437767211,-0.1421569585800171,True
65,5,130.0,18.893941812217236,0.0,-18.893941812217236,18.893941812217236,50.0,328.0,1.0,-100.0,-38.10101933777332,-100.0,0.1418521675839958,-0.0709260837919979,-0.15656785666942596,True
66,5,132.0,18.738619305193424,0.0,-18.738619305193424,18.738619305193424,50.0,328.0,1.0,-100.0,-37.78788362443447,-100.0,0.14255542217151046,-0.07127771108575523,-0.15532250702381134,True
67,5,134.0,18.582040525972843,0.0,-18.582040525972843,18.582040525972843,50.0,328.0,1.0,-100.0,-37.47723861038685,-100.0,0.14307837189886038,-0.07153918594943019,-0.15657877922058105,True
68,5,136.0,18.42144864052534,0.0,-18.42144864052534,18.42144864052534,50.0,328.0,1.0,-100.0,-37.164081051945686,-100.0,0.14366565247627244,-0.07183282623813622,-0.16059188544750214,True
69,5,138.0,18.260527960956097,0.0,-18.260527960956097,18.260527960956097,50.0,328.0,1.0,-100.0,-36.84289728105068,-100.0,0.1445617667069212,-0.0722808833534606,-0.16092067956924438,True
70,5,140.0,18.093515612185,0.0,-18.093515612185,18.093515612185,50.0,328.0,1.0,-100.0,-36.52105592191219,-100.0,0.1454022935549447,-0.07270114677747234,-0.16701234877109528,True
71,5,142.0,17.922729901969433,0.0,-17.922729901969433,17.922729901969433,50.0,328.0,1.0,-100.0,-36.18703122437,-100.0,0.1467164708704541,-0.07335823543522706,-0.17078571021556854,True
