decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,35.0,1.0,7.0,True,16.776565824239743,19.612603156218928,0.0,0.0,25.182872973879178,23.465520322322845,0.0,0.7231068302484956,768,24,30,35778.89600000344
2,20.0,25.854942090809345,-25.854942090809345,35.0,1.0,7.0,50.0,377.0,15.0,True,15.557248653200318,16.006624279518924,0.0,0.0,23.618361660838126,21.659735046327114,0.0,0.3708797869135098,768,18,30,39887.20939999621
3,40.0,24.363095425069332,-24.363095425069332,50.0,377.0,15.0,50.0,1000.0,12.0,True,14.650368665733009,14.666994502445062,0.0,0.0,22.267925925801197,20.386138752102852,0.0,0.37141045213433643,768,23,30,33388.14959999581
4,60.0,22.982344813644886,-22.982344813644886,50.0,1000.0,12.0,50.0,1000.0,8.0,True,13.762845220757537,13.763440772593022,0.0,0.0,20.969769438852868,19.135351717472076,0.0,0.12154742509255279,768,24,30,35064.17050000164
5,80.0,21.65484108775854,-21.65484108775854,50.0,1000.0,8.0,50.0,1000.0,6.0,True,12.862547191700843,12.862857341716687,0.0,0.0,19.69346211353938,17.84649406373501,0.0,0.06077371254627639,768,18,30,36088.25620000425
6,100.0,20.383551359176636,-20.383551359176636,50.0,1000.0,6.0,1.0,1000.0,13.0,True,11.91376758196094,11.9959426861008,0.0,0.0,18.39874446814259,16.455731637775898,0.0,0.6152869444473748,768,14,30,36830.5337999991
7,120.0,19.12740745395422,-19.12740745395422,1.0,1000.0,13.0,50.0,1000.0,17.0,True,10.214340601505405,10.939038027226925,0.0,0.0,16.45706786289811,13.834053937345743,0.0,0.5900060252912364,768,24,30,37995.73779999628
8,140.0,17.467026997357607,-17.467026997357607,50.0,1000.0,17.0,50.0,468.0,3.0,True,8.973316768163123,9.004754946952065,0.0,0.0,14.624660951644183,12.086271364241838,0.0,0.5248895713367259,768,24,30,37120.10700000246
9,160.0,15.600953582674265,-15.600953582674265,50.0,468.0,3.0,50.0,1.0,1.0,True,7.817083731422051,7.836371405546863,0.0,0.0,12.844144181162118,10.49097678437829,0.0,0.27665030004828606,768,19,30,38253.43090000388
10,180.0,13.748730007559061,-13.748730007559061,50.0,1.0,1.0,50.0,1.0,1.0,False,6.840266345664859,6.840266345664859,0.0,0.0,11.236779841780663,9.185820754617453,0.0,0.0,768,24,30,38515.495600004215
11,200.0,12.03792792931199,-12.03792792931199,50.0,1.0,1.0,1.0,169.0,4.0,True,5.9322720724757865,6.02400176110367,0.0,0.0,9.902265410870314,7.891787741333246,0.0,0.5925119635100136,768,24,30,36387.83870000043
12,220.0,10.635788220912218,-10.635788220912218,1.0,169.0,4.0,2.0,342.0,7.0,True,4.965618397641485,4.974901260957122,0.0,0.0,8.517988639324903,6.521325062960386,0.0,0.1358138296310638,768,24,30,38273.61070000188
13,240.0,9.255176838487387,-9.255176838487387,2.0,342.0,7.0,1.0,1000.0,7.0,True,4.011496708373782,4.022106477494042,0.0,0.0,7.158668751517932,5.151916731148958,0.0,0.3804592495716578,768,24,30,33591.384400002426
