step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.919754572212696,0.0,-26.919754572212696,26.919754572212696,35.0,1.0,7.0,-100.0,-77.14285714285714,-100.0,-0.0,0.0,-0.08024542778730392,True
2,1,4.0,26.838074177503586,0.0,-26.838074177503586,26.838074177503586,35.0,1.0,7.0,-100.0,-76.91358449203626,-100.0,0.07295563313619619,-0.0036477816568098098,-0.08168039470911026,True
3,1,6.0,26.730982720851898,0.0,-26.730982720851898,26.730982720851898,35.0,1.0,7.0,-100.0,-76.68021193572453,-100.0,0.14025667262839348,-0.007012833631419674,-0.10709145665168762,True
4,1,8.0,26.61669336259365,0.0,-26.61669336259365,26.61669336259365,35.0,1.0,7.0,-100.0,-76.37423634529114,-100.0,0.2242405243649668,-0.01121202621824834,-0.11428935825824738,True
5,1,10.0,26.490587666630745,0.0,-26.490587666630745,26.490587666630745,35.0,1.0,7.0,-100.0,-76.04769532169614,-100.0,0.3067572141355594,-0.015337860706777971,-0.12610569596290588,True
6,1,12.0,26.370358534157276,0.0,-26.370358534157276,26.370358534157276,35.0,1.0,7.0,-100.0,-75.6873933332307,-100.0,0.39214557391277105,-0.019607278695638553,-0.12022913247346878,True
7,1,14.0,26.235307477414608,0.0,-26.235307477414608,26.235307477414608,35.0,1.0,7.0,-100.0,-75.34388152616364,-100.0,0.4640460645676872,-0.02320230322838436,-0.13505105674266815,True
8,1,16.0,26.109499655663967,0.0,-26.109499655663967,26.109499655663967,35.0,1.0,7.0,-100.0,-74.95802136404174,-100.0,0.5425634472090562,-0.027128172360452812,-0.12580782175064087,True
9,1,18.0,25.982843793928623,0.0,-25.982843793928623,25.982843793928623,35.0,1.0,7.0,-100.0,-74.59857044475419,-100.0,0.6051875494598904,-0.030259377472994526,-0.12665586173534393,True
10,1,20.0,25.854942090809345,0.0,-25.854942090809345,25.854942090809345,35.0,1.0,7.0,-100.0,-74.23669655408179,-100.0,0.6626089695359496,-0.033130448476797476,-0.12790170311927795,True
11,2,22.0,25.698224298655987,0.0,-25.698224298655987,25.698224298655987,50.0,377.0,15.0,-100.0,-51.70988418161869,-100.0,1.0735284786362191,-0.03578428262120731,-0.15671779215335846,True
12,2,24.0,25.5502492710948,0.0,-25.5502492710948,25.5502492710948,50.0,377.0,15.0,-100.0,-51.396448597311974,-100.0,1.1848465557040129,-0.03949488519013376,-0.14797502756118774,True
13,2,26.0,25.396541200578213,0.0,-25.396541200578213,25.396541200578213,50.0,377.0,15.0,-100.0,-51.1004985421896,-100.0,1.2736232461047852,-0.04245410820349284,-0.1537080705165863,True
14,2,28.0,25.24586544185877,0.0,-25.24586544185877,25.24586544185877,50.0,377.0,15.0,-100.0,-50.79308240115643,-100.0,1.3617499184966524,-0.04539166394988841,-0.15067575871944427,True
15,2,30.0,25.101699866354465,0.0,-25.101699866354465,25.101699866354465,50.0,377.0,15.0,-100.0,-50.49173088371754,-100.0,1.4373349620479,-0.047911165401596664,-0.14416557550430298,True
16,2,32.0,24.94630330055952,0.0,-24.94630330055952,24.94630330055952,50.0,377.0,15.0,-100.0,-50.20339973270893,-100.0,1.4968318238452294,-0.04989439412817431,-0.15539656579494476,True
17,2,34.0,24.80025238543749,0.0,-24.80025238543749,24.80025238543749,50.0,377.0,15.0,-100.0,-49.89260660111904,-100.0,1.5659693962903085,-0.052198979876343615,-0.14605091512203217,True
18,2,36.0,24.654673896729946,0.0,-24.654673896729946,24.654673896729946,50.0,377.0,15.0,-100.0,-49.60050477087498,-100.0,1.6157669836631101,-0.053858899455437,-0.14557848870754242,True
19,2,38.0,24.506595231592655,0.0,-24.506595231592655,24.506595231592655,50.0,377.0,15.0,-100.0,-49.30934779345989,-100.0,1.6601701389436327,-0.055339004631454414,-0.14807866513729095,True
