step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.843802094459534,0.0,-26.843802094459534,26.843802094459534,50.0,931.0,1.0,-54.116004296455436,-54.0,-0.11600429645542427,-0.0,0.0,-0.1561979055404663,True
2,1,4.0,26.697944715619087,0.0,-26.697944715619087,26.697944715619087,50.0,931.0,1.0,-53.904740854104574,-53.68760418891907,-0.23133749557232883,0.01420083038681916,-0.00710041519340958,-0.14585737884044647,True
3,1,6.0,26.55032703280449,0.0,-26.55032703280449,26.55032703280449,50.0,931.0,1.0,-53.71582652127732,-53.395889431238174,-0.346044024962744,0.026106934923599587,-0.013053467461799792,-0.14761768281459808,True
4,1,8.0,26.397383883595467,0.0,-26.397383883595467,26.397383883595467,50.0,931.0,1.0,-53.523733026163235,-53.10065406560898,-0.4601163215591111,0.037037361004855184,-0.018518680502427592,-0.15294314920902252,True
5,1,10.0,26.207110688090324,0.0,-26.207110688090324,26.207110688090324,50.0,931.0,1.0,-53.32088996481972,-52.79476776719093,-0.5735315047324543,0.04740930710365984,-0.02370465355182992,-0.1902731955051422,True
6,1,12.0,25.981053099036217,0.0,-25.981053099036217,25.981053099036217,50.0,931.0,1.0,-53.04016480100452,-52.41422137618065,-0.686129187602875,0.06018576277901029,-0.030092881389505145,-0.22605758905410767,True
7,1,14.0,25.734697684645653,0.0,-25.734697684645653,25.734697684645653,50.0,931.0,1.0,-52.68486498316114,-51.96210619807243,-0.7977556241186049,0.07499683902989397,-0.037498419514946986,-0.24635541439056396,True
8,1,16.0,25.530995041131973,0.0,-25.530995041131973,25.530995041131973,50.0,931.0,1.0,-52.28747849153847,-51.469395369291306,-0.9083236055778787,0.09024048333070467,-0.045120241665352334,-0.2037026435136795,True
9,1,18.0,25.349937841296196,0.0,-25.349937841296196,25.349937841296196,50.0,931.0,1.0,-51.979854229622305,-51.061990082263954,-1.0180163877094863,0.10015224035113998,-0.050076120175569984,-0.18105719983577728,True
10,1,20.0,25.1548570394516,0.0,-25.1548570394516,25.1548570394516,50.0,931.0,1.0,-51.71974725330699,-50.699875682592385,-1.1269312656527581,0.1070596949381533,-0.05352984746907665,-0.19508080184459686,True
11,2,22.0,24.96693955361843,0.0,-24.96693955361843,24.96693955361843,50.0,1000.0,1.0,-51.42268155740655,-50.3097140789032,-1.2275506938105656,0.11458321530721254,-0.05729160765360626,-0.18791748583316803,True
12,2,24.0,24.793860644102097,0.0,-24.793860644102097,24.793860644102097,50.0,1000.0,1.0,-51.14055974594083,-49.93387910723686,-1.3274184520250394,0.12073781332107457,-0.060368906660537285,-0.17307890951633453,True
13,2,26.0,24.627741739153862,0.0,-24.627741739153862,24.627741739153862,50.0,1000.0,1.0,-50.889358914076496,-49.58772128820419,-1.426593894601449,0.12495626872914956,-0.06247813436457478,-0.16611890494823456,True
14,2,28.0,24.463011518120766,0.0,-24.463011518120766,24.463011518120766,50.0,1000.0,1.0,-50.6524487853373,-49.255483478307724,-1.525104861558064,0.12813955452849224,-0.06406977726424612,-0.1647302210330963,True
15,2,30.0,24.30143417418003,0.0,-24.30143417418003,24.30143417418003,50.0,1000.0,1.0,-50.418087008715474,-48.92602303624153,-1.6229569076305457,0.13089293515660624,-0.06544646757830312,-0.16157734394073486,True
16,2,32.0,24.151933819055557,0.0,-24.151933819055557,24.151933819055557,50.0,1000.0,1.0,-50.189933966353394,-48.60286834836006,-1.7201626443272662,0.13309702633393128,-0.06654851316696564,-0.14950035512447357,True
17,2,34.0,23.98822021484375,0.0,-23.98822021484375,23.98822021484375,50.0,1000.0,1.0,-49.98664513440252,-48.303867638111115,-1.8167703796034866,0.13399288331208378,-0.06699644165604189,-0.16371360421180725,True
18,2,36.0,23.828242659568787,0.0,-23.828242659568787,23.828242659568787,50.0,1000.0,1.0,-49.7530681987865,-47.9764404296875,-1.9127232604628615,0.13609549136386578,-0.06804774568193289,-0.15997755527496338,True
19,2,38.0,23.663049906492233,0.0,-23.663049906492233,23.663049906492233,50.0,1000.0,1.0,-49.52686368282375,-47.65648531913757,-2.0080362311011397,0.13765786741496658,-0.06882893370748329,-0.16519275307655334,True
20,2,40.0,23.50824125111103,0.0,-23.50824125111103,23.50824125111103,50.0,1000.0,1.0,-49.28924289157298,-47.32609981298447,-2.1026884307271088,0.1395453521385931,-0.06977267606929655,-0.1548086553812027,True
21,3,42.0,23.33960869908333,0.0,-23.33960869908333,23.33960869908333,50.0,1000.0,1.0,-49.07289518409673,-47.01648250222206,-2.1967213957315543,0.14030871385688257,-0.07015435692844128,-0.16863255202770233,True
22,3,44.0,23.18206898868084,0.0,-23.18206898868084,23.18206898868084,50.0,1000.0,1.0,-48.82704116160749,-46.67921739816666,-2.290079830527887,0.14225606708705116,-0.07112803354352558,-0.1575397104024887,True
23,3,46.0,23.016473829746246,0.0,-23.016473829746246,23.016473829746246,50.0,1000.0,1.0,-48.603936933258666,-46.36413797736168,-2.3828081064826114,0.1430091505856277,-0.07150457529281384,-0.1655951589345932,True
24,3,48.0,22.86408318579197,0.0,-22.86408318579197,22.86408318579197,50.0,1000.0,1.0,-48.36339889733585,-46.03294765949249,-2.474874001801599,0.14442276395824372,-0.07221138197912186,-0.15239064395427704,True
25,3,50.0,22.696901097893715,0.0,-22.696901097893715,22.696901097893715,50.0,1000.0,1.0,-48.14999566944609,-45.72816637158394,-2.5663303345447694,0.14450103668261707,-0.07225051834130854,-0.1671820878982544,True
26,3,52.0,22.548246800899506,0.0,-22.548246800899506,22.548246800899506,50.0,1000.0,1.0,-47.90500351832642,-45.39380219578743,-2.657117938936343,0.14591661639735626,-0.07295830819867813,-0.1486542969942093,True
27,3,54.0,22.38488505780697,0.0,-22.38488505780697,22.38488505780697,50.0,1000.0,1.0,-47.69829182900735,-45.09649360179901,-2.747310926139942,0.14551269893160304,-0.07275634946580152,-0.16336174309253693,True
28,3,56.0,22.241184934973717,0.0,-22.241184934973717,22.241184934973717,50.0,1000.0,1.0,-47.460136134354975,-44.76977011561394,-2.8368504663711698,0.1464844476301349,-0.07324222381506745,-0.14370012283325195,True
29,3,58.0,22.07577157020569,0.0,-22.07577157020569,22.07577157020569,50.0,1000.0,1.0,-47.26260912288864,-44.48236986994743,-2.925815206111068,0.1455759531698614,-0.0727879765849307,-0.16541336476802826,True
30,3,60.0,21.939548179507256,0.0,-21.939548179507256,21.939548179507256,50.0,1000.0,1.0,-47.01893324025701,-44.15154314041138,-3.0141182923918883,0.1467281925462524,-0.0733640962731262,-0.13622339069843292,True
