decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,508.0,1.0,True,50.215702210436184,53.512192881989876,0.0,25.107379875332118,4.712298859753953e-05,0.08484416964807008,0.0,768,24,20,9803.061000013258
2,10.0,26.143534645438194,-26.143534645438194,50.0,508.0,1.0,50.0,327.0,1.0,True,48.52146785404111,48.55796905885607,0.0,24.260268758237363,4.6516878319281184e-05,0.07795165890925809,0.0,768,9,20,10781.88300000329
3,20.0,25.04732248187065,-25.04732248187065,50.0,327.0,1.0,50.0,674.0,1.0,True,47.05776997622019,47.077650478115466,0.0,23.528428020328285,4.5696778181007315e-05,0.0707881803575315,0.0,768,15,20,11170.15760000504
4,30.0,24.312908872961998,-24.312908872961998,50.0,674.0,1.0,50.0,1000.0,1.0,True,45.58242126388779,45.66497682565826,0.0,22.790652629733085,5.5800221080880526e-05,0.07307305951651774,0.0,768,7,20,10747.482100006891
5,40.0,23.605216033756733,-23.605216033756733,50.0,1000.0,1.0,50.0,1000.0,1.0,False,44.16175732295508,44.16175732295508,0.0,22.080311166495086,5.6749498245569255e-05,0.06820642359946903,0.0,768,3,20,10768.5335999995
6,50.0,22.821811996400356,-22.821811996400356,50.0,1000.0,1.0,50.0,1000.0,1.0,False,42.8192038025325,42.8192038025325,0.0,21.408956844359636,6.450569066135963e-05,0.06600295967961613,0.0,768,3,20,10788.365699991118
7,60.0,22.132635056972504,-22.132635056972504,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.54892443755066,41.54892443755066,0.0,20.77377052716911,6.91691606220258e-05,0.061842864673388634,0.0,768,3,20,10775.130599999102
8,70.0,21.44214180111885,-21.44214180111885,50.0,1000.0,1.0,50.0,993.0,4.0,True,40.33609574679955,40.338418983328694,0.0,20.167285097759304,7.627756404719663e-05,0.05716235053190949,0.0,768,3,20,10725.407999998424
9,80.0,20.833055272698402,-20.833055272698402,50.0,993.0,4.0,50.0,1000.0,19.0,True,39.18961810909462,39.21610258286454,0.0,19.59398275478743,8.262997598774394e-05,0.052239220270788984,0.0,768,8,20,10694.0079999913
10,90.0,20.181474536657333,-20.181474536657333,50.0,1000.0,19.0,50.0,1000.0,1.0,True,37.99083750032292,38.132693597205055,0.0,18.994357021246106,0.00010617289153530835,0.05782308485849123,0.0,768,24,20,10664.611200001673
11,100.0,19.60580537840724,-19.60580537840724,50.0,1000.0,1.0,50.0,453.0,20.0,True,36.71925000077075,36.964313509935785,0.0,18.358545047562803,0.00010799528225726286,0.05160467851429099,0.0,768,4,20,10684.995999996318
12,110.0,19.002440936863422,-19.002440936863422,50.0,453.0,20.0,50.0,752.0,20.0,True,35.61909088272625,35.661683859875005,0.0,17.807914628344587,0.00016308130185382173,0.05774780141961712,0.0,768,24,20,10919.514999986859
13,120.0,18.3294995771721,-18.3294995771721,50.0,752.0,20.0,50.0,1.0,20.0,True,34.4629712225395,34.573065533016766,0.0,17.230439515691252,0.00010460955784991821,0.051440947689116,0.0,768,24,20,11032.715099994675
14,130.0,17.85477092023939,-17.85477092023939,50.0,1.0,20.0,16.0,1000.0,19.0,True,32.28209395316549,33.32957082753279,0.0,16.13838572409004,0.0002661252492708724,0.07909883676390898,0.0,768,24,20,11099.343099995167
15,140.0,16.895530587993562,-16.895530587993562,16.0,1000.0,19.0,16.0,994.0,15.0,True,30.73926767756183,30.78793577772114,0.0,15.367063021101057,0.0002570817679858768,0.0695802092944321,0.0,768,24,20,10786.260799999582
16,150.0,16.099426268599927,-16.099426268599927,16.0,994.0,15.0,50.0,925.0,2.0,True,28.987994481837408,29.324761022716228,0.0,14.491096965782344,0.00029002751363606927,0.07189995344532163,0.0,768,24,20,10831.40049999929
17,160.0,15.195428415201604,-15.195428415201604,50.0,925.0,2.0,14.0,1000.0,7.0,True,26.99767283561655,27.62114373973386,0.0,13.494720711000264,0.000411570680801169,0.07664945113815759,0.0,768,8,20,11010.704500004067
18,170.0,14.237226604484022,-14.237226604484022,14.0,1000.0,7.0,50.0,350.0,1.0,True,24.512507895467987,25.523435542249622,0.0,12.249748595617712,0.0006505352116281309,0.08566043957283623,0.0,768,19,20,11380.720299988752
19,180.0,12.992913140915334,-12.992913140915334,50.0,350.0,1.0,11.0,440.0,17.0,True,22.17108661757765,22.93601267489738,0.0,11.076489396207034,0.000905391258179092,0.08920650105727346,0.0,768,21,20,11233.884800007218
20,190.0,12.016435115598142,-12.016435115598142,11.0,440.0,17.0,50.0,159.0,2.0,True,18.36737432807692,20.42151412181119,0.0,9.156463154964149,0.002722400907431067,0.131794521291005,0.0,768,24,20,10684.747999999672
21,200.0,10.495277925394475,-10.495277925394475,50.0,159.0,2.0,50.0,303.0,1.0,True,15.78152225380846,15.873861035499989,0.0,7.863570022396743,0.0027191104507486353,0.11603035542525743,0.0,768,24,20,10662.726399998064
22,210.0,9.168905450962484,-9.168905450962484,50.0,303.0,1.0,50.0,601.0,1.0,True,13.48050047148902,13.533321591102364,0.0,6.711866962723434,0.002838327302107595,0.10587278165315327,0.0,768,24,20,10668.3297999989
23,220.0,7.834875031374395,-7.834875031374395,50.0,601.0,1.0,50.0,794.0,1.0,True,11.429667034054567,11.429676644980844,0.0,5.685349474661052,0.002948404236623142,0.09626587323452297,0.0,768,17,20,11425.915300002089
24,230.0,6.654376997612417,-6.654376997612417,50.0,794.0,1.0,3.0,987.0,1.0,True,9.437428379615667,9.575424068244928,0.0,4.687002131529153,0.0031712058278681424,0.09044151851221134,0.0,768,13,20,11519.592500000726
25,240.0,5.651202066801488,-5.651202066801488,3.0,987.0,1.0,47.0,966.0,1.0,True,6.217023037047287,7.703510403036817,0.0,2.6904536804184316,0.01172580499310047,0.14248321362231908,0.601599576348415,768,14,20,11460.912499998813
26,250.0,4.259088485501707,-4.259088485501707,47.0,966.0,1.0,44.0,1000.0,5.0,True,4.405213760868722,99.76502502517721,0.0,1.8385852804407476,0.0071941084739408955,0.10386797040700912,0.5841610305084086,768,14,20,11029.538099988713
27,260.0,2.931167929433286,-2.931167929433286,44.0,1000.0,5.0,45.0,1000.0,18.0,True,3.1215678353137064,55.273477597880245,0.0,1.2377692529931665,0.003870244439898987,0.07119461403865564,0.5686244405293938,768,20,20,11264.527799998177
28,270.0,2.0118345161899924,-2.0118345161899924,45.0,1000.0,18.0,43.0,454.0,20.0,True,16.371112625867333,41.378041725391995,0.17579019907861948,0.8205287642776966,0.0024581343194367013,0.05388649298172248,0.6176764846336481,768,24,20,10860.243300005095
29,280.0,1.3587504094466567,-1.3587504094466567,43.0,454.0,20.0,1.0,1.0,12.0,True,32.93596082366787,54.73153455397871,0.3938367357477546,0.42744063385762276,0.003133047172893223,0.051417149333773476,0.5114797526743955,768,24,20,10825.233099996694
30,290.0,0.6092296158894897,-0.6092296158894897,1.0,1.0,12.0,2.0,1.0,20.0,True,29.177114665872104,32.375134857032315,0.353789784014225,0.26061736862175167,0.002780579005527702,0.04766147649895988,0.2970856273800468,768,24,20,10821.380900000804
31,300.0,0.010825513862073421,-0.010825513862073421,2.0,1.0,20.0,1.0,1.0,8.0,True,28.13947373492627,29.49852649085677,0.33840141724795103,0.3368671094067395,0.0014573613705073463,0.03194140512986403,0.36447890886656154,768,24,20,10775.248899997678
32,310.0,-0.3360185828059912,0.3360185828059912,1.0,1.0,8.0,1.0,1.0,1.0,True,22.116136246491664,26.754735575104444,0.2632720973342657,0.39133890960365536,0.0011421483671957735,0.02727482320838853,0.24884767319918083,768,24,20,11016.05569999083
33,320.0,0.14484970085322857,-0.14484970085322857,1.0,1.0,1.0,45.0,1.0,5.0,True,0.8730098315196284,0.9790479865011967,0.0,0.3617803553584963,0.0006823695009744645,0.022447637110752493,0.13580173078314645,768,24,20,10734.679800007143
34,330.0,0.3953974172472954,-0.3953974172472954,45.0,1.0,5.0,30.0,15.0,16.0,True,0.7324064155452915,22.614113886993387,0.0,0.27671360015519897,0.0005040951981806736,0.019690629686106388,0.16889731127128005,768,24,20,12387.633799997275
35,340.0,0.4217022471129894,-0.4217022471129894,30.0,15.0,16.0,41.0,560.0,7.0,True,0.3277299080942463,8.851011757085676,0.0,0.10182789872633294,0.0004678745991234355,0.013872268657187783,0.11471661865911167,768,24,20,11586.574300003122
36,350.0,0.19494889862835407,-0.19494889862835407,41.0,560.0,7.0,38.0,829.0,5.0,True,0.10651020949244872,3.5594303193701893,0.0,0.040151347488608734,0.0001785175201754179,0.00934099854001895,0.022637164111722896,768,24,20,11204.69050000247
37,360.0,0.0036876414669677615,-0.0036876414669677615,38.0,829.0,5.0,33.0,957.0,2.0,True,0.07940010867065785,0.09516753410220055,0.0,0.029237138689495623,0.00010513604503199413,0.009467782256634612,0.01882311039102672,768,24,20,10816.79989999975
38,370.0,0.06581335130613297,-0.06581335130613297,33.0,957.0,2.0,33.0,957.0,2.0,False,0.06879256818945223,0.06879256818945223,0.0,0.02546028180513531,7.920440121494589e-05,0.007925743482222683,0.0162879165548827,768,22,20,10830.94010000059
