decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,1000.0,4.0,True,44.16840355585218,55.90420021200449,0.0,22.083441795765733,7.599821603573655e-05,0.07407764532461257,0.0,768,24,60,30465.945000003558
2,20.0,25.168437227606773,-25.168437227606773,50.0,1000.0,4.0,50.0,943.0,1.0,True,41.20694144604166,41.30940837583846,0.0,20.602667767430344,8.029555904851968e-05,0.06940033406776897,0.0,768,7,60,33970.62960000767
3,40.0,23.49992862343788,-23.49992862343788,50.0,943.0,1.0,50.0,940.0,1.0,True,38.43263888021571,38.44160791785062,0.0,19.215207822124164,0.00011116179836934253,0.06863304486466666,0.0,768,3,60,32602.37480000069
4,60.0,21.924218833446503,-21.924218833446503,50.0,940.0,1.0,50.0,1000.0,1.0,True,35.69926752638495,35.724131443778084,0.0,17.848245533183217,0.00013882300092580248,0.06661592600709301,0.0,768,3,60,31999.389599994174
5,80.0,20.48777763545513,-20.48777763545513,50.0,1000.0,1.0,50.0,1000.0,1.0,False,33.139391677836905,33.139391677836905,0.0,16.568200647396345,0.00014951915221052747,0.061915965813954,0.0,768,4,60,32091.50640000007
6,100.0,19.162499278783798,-19.162499278783798,50.0,1000.0,1.0,36.0,966.0,16.0,True,30.25865457033775,30.75327524929182,0.0,15.126369425380835,0.00029578597880398547,0.06691582808004676,0.0,768,4,60,34044.07889999857
7,120.0,18.408907503762748,-18.408907503762748,36.0,966.0,16.0,40.0,734.0,19.0,True,27.29228372789622,27.57566129224445,0.0,13.64260826483757,0.0003533599110540326,0.06986227090139005,0.0,768,24,60,32523.195600006147
8,140.0,16.96748029900482,-16.96748029900482,40.0,734.0,19.0,38.0,709.0,15.0,True,24.560551188196325,24.580672009942298,0.0,12.276147728013651,0.0004127866084510711,0.06629349303952718,0.0,768,24,60,32252.313899996807
9,160.0,15.0886477054446,-15.0886477054446,38.0,709.0,15.0,12.0,627.0,1.0,True,20.856228005351646,22.085300711904033,0.0,10.420227634289768,0.0007886368386055159,0.07290972535640507,0.0,768,24,60,34531.27589999349
10,180.0,13.224060897657182,-13.224060897657182,12.0,627.0,1.0,13.0,1.0,1.0,True,17.14158704061679,18.046582330360213,0.0,8.558744054912435,0.0012049465395961242,0.07545497571512805,0.0,768,13,60,33814.43810000201
11,200.0,11.800454121956136,-11.800454121956136,13.0,1.0,1.0,49.0,160.0,1.0,True,11.726406625066438,14.117314466676536,0.0,5.595986351498868,0.0029929723305948275,0.09360099217649233,0.47457447545680503,768,24,60,32415.34120000142
12,220.0,9.410188955196645,-9.410188955196645,49.0,160.0,1.0,50.0,678.0,1.0,True,8.93867534394714,125.14601273646653,0.0,4.191209161533819,0.0023608022849479523,0.07522072744066433,0.5090409751805405,768,24,60,32651.273199997377
13,240.0,7.234018740186002,-7.234018740186002,50.0,678.0,1.0,48.0,999.0,1.0,True,7.1315711955326275,101.49747219986949,0.0,3.250889960928665,0.0018253520693276126,0.05939204220549535,0.5932842322887457,768,14,60,33845.02649999922
14,260.0,5.527504366764333,-5.527504366764333,48.0,999.0,1.0,44.0,488.0,5.0,True,36.921013198207504,94.02408217932842,0.39007967250654474,2.4966340491043715,0.0015091183708776151,0.048965495963722974,0.691188932057628,768,14,60,32643.75819999259
15,280.0,4.440445628890302,-4.440445628890302,44.0,488.0,5.0,1.0,1.0,17.0,True,28.32536621423145,124.28896762761131,0.3131389385671355,1.3192165582207962,0.0023039699485037945,0.048945028879442964,0.5897386134489443,768,14,60,32192.772199996398
16,300.0,2.985209946462419,-2.985209946462419,1.0,1.0,17.0,1.0,1.0,20.0,True,24.7625918984306,27.180129266229574,0.28321673261234537,0.7607070557889528,0.0019924692711655416,0.04122180086057396,0.5439897924417582,768,24,60,32613.702500006184
17,320.0,1.6322204144089483,-1.6322204144089483,1.0,1.0,20.0,1.0,1.0,20.0,False,23.93211548015848,23.93211548015848,0.28321673261234537,0.4121530906510695,0.0015367197659714909,0.033250422422651804,0.4197362945492829,768,24,60,33723.70230000524
18,340.0,0.3608081684797071,-0.3608081684797071,1.0,1.0,20.0,1.0,1.0,20.0,False,23.668463856649623,23.668463856649623,0.28321673261234537,0.3377501155482605,0.001034039465833345,0.026116728309593242,0.31494422724880383,768,24,60,33943.81350000913
19,360.0,-0.15401751740137115,0.15401751740137115,1.0,1.0,20.0,1.0,191.0,2.0,True,5.3182724687586775,15.530395446600526,0.03887628955999389,0.8220355750488427,0.001173781906648613,0.02869913482424898,0.5406225157285081,768,24,60,32317.809100000886
20,380.0,1.3038769121631049,-1.3038769121631049,1.0,191.0,2.0,1.0,143.0,1.0,True,2.0019187968640986,2.0739480692050725,0.0,0.6982849072044094,0.00047421495539706456,0.02109433677598984,0.5958646833473384,768,24,60,33191.20549999934
21,400.0,1.6015053958981298,-1.6015053958981298,1.0,143.0,1.0,2.0,129.0,1.0,True,1.2838556664536962,13.110462517126741,0.0,0.4425049670923424,0.00033043190936180434,0.014148044308166068,0.39223709408177543,768,24,60,34080.308399992646
22,420.0,0.8743217158480547,-0.8743217158480547,2.0,129.0,1.0,1.0,244.0,1.0,True,0.5571806834240711,0.704567169829257,0.0,0.2033507890494851,0.00023381004562797355,0.012695100278321306,0.1458029044125414,768,23,60,32628.77889999072
23,440.0,0.25266726867994294,-0.25266726867994294,1.0,244.0,1.0,1.0,254.0,2.0,True,0.36109700996127586,0.8629553927562537,0.0,0.13810209616009766,0.0002954706953392443,0.013998517632667937,0.07898340373429562,768,21,60,32654.501700002584
24,460.0,0.2783489561115857,-0.2783489561115857,1.0,254.0,2.0,1.0,254.0,2.0,False,0.3089499361106339,0.3089499361106339,0.0,0.11324832186607334,0.0003129444823484069,0.014505879095187253,0.07619440273151909,768,17,60,34488.090400001965
25,480.0,0.2306009482999798,-0.2306009482999798,1.0,254.0,2.0,1.0,352.0,8.0,True,0.2541977344660519,0.8870640834814136,0.0,0.09977661996187331,0.00034471178230913494,0.016257698545074563,0.04775025889612253,768,17,60,32461.465799991856
26,500.0,0.12109515149495564,-0.12109515149495564,1.0,352.0,8.0,1.0,300.0,4.0,True,0.18474307150796115,0.2153034381786082,0.0,0.07023248303594301,0.0003829683959633063,0.016394677123062754,0.036618737516809,768,22,60,32486.99010000564
27,520.0,0.09166358667425811,-0.09166358667425811,1.0,300.0,4.0,1.0,363.0,1.0,True,0.16397604187480613,2.1732335950649366,0.0,0.06410405997206302,0.0004532235082826037,0.018278446660911805,0.026703451765028016,768,22,60,32541.782100001
28,540.0,0.10308389240526594,-0.10308389240526594,1.0,363.0,1.0,1.0,420.0,2.0,True,0.1502127304417662,0.28757280612740627,0.0,0.06072065486942127,0.0002725272381560132,0.01378697347791242,0.02332087593980338,768,14,60,33060.17549999524
29,560.0,0.07385622957372107,-0.07385622957372107,1.0,420.0,2.0,1.0,433.0,1.0,True,0.14490480572020842,0.14822939345999558,0.0,0.05705139944135832,0.00033085452702128637,0.015365761356483513,0.024184916297066057,768,13,60,32984.088699988206
30,580.0,0.08213402205728926,-0.08213402205728926,1.0,433.0,1.0,1.0,488.0,1.0,True,0.1293087732504511,1.2004942419066715,0.0,0.05197821634355933,0.0002314007932860473,0.01337724659686624,0.02072432469761149,768,11,60,32791.39759999816
31,600.0,0.08828417732729577,-0.08828417732729577,1.0,488.0,1.0,1.0,488.0,1.0,False,0.12021656964029774,0.12021656964029774,0.0,0.04641214538520823,0.0002988626639663418,0.0150402914017431,0.021415025590554446,768,8,60,34028.04869999818
32,620.0,0.04514357596053742,-0.04514357596053742,1.0,488.0,1.0,1.0,569.0,1.0,True,0.12205885144901651,1.6248508600078873,0.0,0.04636932286193769,0.000301540408186147,0.014697073003035412,0.02328939756141819,768,7,60,33130.091999992146
33,640.0,0.04662241929327138,-0.04662241929327138,1.0,569.0,1.0,1.0,569.0,1.0,False,0.11436414790540776,0.11436414790540776,0.0,0.04321345332267204,0.0002856502840723627,0.01399492915894463,0.02222423557861643,768,10,60,32593.081700004404
34,660.0,0.0854773636237951,-0.0854773636237951,1.0,569.0,1.0,1.0,606.0,1.0,True,0.11236513834707304,2.911383957821506,0.0,0.042081465127709335,0.000281626065025304,0.014202817589340172,0.02256968679114829,768,9,60,34245.27459999081
35,680.0,0.02926144306002243,-0.02926144306002243,1.0,606.0,1.0,1.0,1000.0,1.0,True,0.09332438235788867,2.631783090316326,0.0,0.03967971150256441,5.954858606082751e-05,0.005420415661735776,0.0127739876315433,768,9,60,34460.36810000078
36,700.0,0.03908211469570233,-0.03908211469570233,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.0818457869505879,0.0818457869505879,0.0,0.03603850324713373,2.478500745966232e-05,0.003898939156758804,0.009273080307127207,768,12,60,32372.425300010946
37,720.0,0.04397792746931373,-0.04397792746931373,1.0,1000.0,1.0,1.0,622.0,1.0,True,0.06314521541348526,0.074230557147532,0.0,0.025700026016299185,2.8596648204223147e-06,0.0013796581571746097,0.011687970084478456,768,13,60,32160.02650000155
38,740.0,0.031178897124846117,-0.031178897124846117,1.0,622.0,1.0,7.0,253.0,15.0,True,0.04634860664500316,0.13338085426700355,7.643755634489935e-05,0.01387056957907286,2.5957651619023064e-07,0.00039046801279162815,0.012487271448941687,768,8,60,32880.957699991995
39,760.0,0.029002192610278144,-0.029002192610278144,7.0,253.0,15.0,8.0,342.0,18.0,True,0.04407449758012265,0.23387087207037735,0.0,0.016447489996244256,3.825875476982257e-07,0.0004409549470530414,0.011171865836680176,768,24,60,33371.58159998944
40,780.0,0.03250805334209872,-0.03250805334209872,8.0,342.0,18.0,8.0,362.0,18.0,True,0.03944466249607807,0.20794979212823525,0.0,0.014526008842706991,1.3434863209558242e-07,0.00031206857214537023,0.01038995783802218,768,24,60,33587.61319999758
41,800.0,0.029702314627684245,-0.029702314627684245,8.0,362.0,18.0,8.0,385.0,18.0,True,0.03407702176757098,0.21796464559570763,0.0,0.012967645009545474,7.135081344662549e-08,0.00024242188839584201,0.008140304732211097,768,24,60,32986.46720001125
42,820.0,0.022665611258162244,-0.022665611258162244,8.0,385.0,18.0,8.0,460.0,20.0,True,0.032929448822730245,0.1917881501629843,0.0,0.012867228497088944,1.2848174757665773e-07,0.00030704047510541493,0.007192422193600821,768,24,60,33274.517999991076
43,840.0,0.017015565274959954,-0.017015565274959954,8.0,460.0,20.0,1.0,794.0,18.0,True,0.02583358003388218,0.2814041166816891,0.0,0.00978690630163328,1.0388991199114684e-06,0.0007309636722789422,0.00623898944821739,768,24,60,33435.78020000132
44,860.0,0.01974871903166786,-0.01974871903166786,1.0,794.0,18.0,1.0,914.0,18.0,True,0.024308839331412386,0.1692702856835008,0.0,0.00960514292131241,4.893935951792121e-06,0.0017351128109590194,0.005000674769751721,768,21,60,33971.12400000333
45,880.0,0.01344300705659407,-0.01344300705659407,1.0,914.0,18.0,1.0,884.0,20.0,True,0.01852719211423267,0.018843201794195,0.0,0.007345803772538299,5.70942517146308e-06,0.0020515069993700184,0.0037213960657268117,768,17,60,32901.92489999754
46,900.0,0.010240685757707979,-0.010240685757707979,1.0,884.0,20.0,1.0,966.0,19.0,True,0.0173167141449453,0.4785717119310852,0.0,0.006706122693443225,6.009877686612837e-06,0.0021239323608115536,0.0037842712043265926,768,24,60,32768.08939999319
47,920.0,0.008792879448265012,-0.008792879448265012,1.0,966.0,19.0,1.0,935.0,19.0,True,0.0172683537602095,0.15546984505124434,0.0,0.006565051383283086,1.0268782182240204e-05,0.0028195255415038585,0.003932875349998522,768,21,60,32334.716500001377
48,940.0,0.008486341956995602,-0.008486341956995602,1.0,935.0,19.0,2.0,798.0,20.0,True,0.021178667638753257,0.14463986721974284,0.0,0.00818490645451675,8.447622765718256e-06,0.002513245035207562,0.004639902274405392,768,23,60,32252.73959999322
49,960.0,0.01807893641944247,-0.01807893641944247,2.0,798.0,20.0,2.0,654.0,16.0,True,0.016631171815111322,0.19456530490250873,0.0,0.006127590670863962,1.0189305573792718e-05,0.0028779820649553153,0.0041722043619075435,768,24,60,32669.50389998965
50,980.0,0.005338922298506077,-0.005338922298506077,2.0,654.0,16.0,2.0,654.0,16.0,False,0.016962288335586644,0.016962288335586644,3.5623864278022666e-05,0.005051330394508113,1.0420136818072114e-05,0.0029146604524072956,0.0038013156679671607,768,24,60,32447.366600012174
51,1000.0,0.0022652688594462234,-0.0022652688594462234,2.0,654.0,16.0,2.0,664.0,16.0,True,0.014320451897920963,0.047067453198509794,0.0,0.005131607929858243,1.0168583404439277e-05,0.0028734636163512653,0.0038538643701156922,768,24,60,32616.519300005166
52,1020.0,0.012056055983521219,-0.012056055983521219,2.0,664.0,16.0,2.0,650.0,15.0,True,0.013942537293150328,0.058967545957609696,0.0,0.004906595785784399,1.1174836745951143e-05,0.003030577998103227,0.0039058489866625064,768,24,60,32806.121499990695
