decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,1000.0,3.0,True,40.418648454638614,57.40638448107835,0.0,20.208321204819043,0.0001003022500264372,0.06553322366331547,0.0,768,24,90,47251.62139999156
2,30.0,24.302511230111122,-24.302511230111122,50.0,1000.0,3.0,50.0,1000.0,1.0,True,36.626510324947894,36.695319777555454,0.0,18.31204704861674,0.00012081138572080582,0.05933147279566593,0.0,768,6,90,48735.64040000201
3,60.0,21.91703137755394,-21.91703137755394,50.0,1000.0,1.0,50.0,1.0,1.0,True,32.508211500812976,33.23395409272315,0.0,16.251869054904414,0.00022366955020752647,0.06348030323560318,0.0,768,3,90,51205.54420001281
4,90.0,20.38023827970028,-20.38023827970028,50.0,1.0,1.0,16.0,1.0,16.0,True,26.875563758521544,28.56171713192192,0.0,13.432063923279445,0.0005717955981327037,0.0771977561578322,0.0,768,24,90,50703.676000004634
5,120.0,18.21494819968939,-18.21494819968939,16.0,1.0,16.0,12.0,314.0,12.0,True,21.95387840862136,22.304230961984185,0.0,10.967771843241321,0.0009167361069359774,0.07839358187793347,0.0,768,24,90,50185.3659000044
6,150.0,15.857529737055302,-15.857529737055302,12.0,314.0,12.0,10.0,260.0,8.0,True,17.228353105881062,17.34507946771743,0.0,8.601400950468248,0.001277560247228388,0.0761161699807376,0.0,768,24,90,47862.1959000011
7,180.0,13.412334032356739,-13.412334032356739,10.0,260.0,8.0,7.0,304.0,5.0,True,13.172465200362808,13.287913809306175,0.0,6.269611581580507,0.0018902335784262206,0.07465249597189132,0.5954373656332699,768,24,90,49263.77649999631
8,210.0,10.965002536773682,-10.965002536773682,7.0,304.0,5.0,45.0,399.0,3.0,True,10.221621337557089,161.9054735016224,0.0,4.806128162807888,0.0014033637002623363,0.06026296870092328,0.5812977379360647,768,24,90,50634.88589999906
9,240.0,8.103942885994911,-8.103942885994911,45.0,399.0,3.0,1.0,1.0,4.0,True,29.392823335441552,149.67455253997448,0.29654889926314354,2.545741319345931,0.0020460175921688524,0.054429510906547976,0.5365084038548319,768,24,90,49643.16059999692
10,270.0,5.709057874977589,-5.709057874977589,1.0,1.0,4.0,1.0,1.0,20.0,True,25.803129405071743,27.14977801358289,0.277245900593698,1.5318698913984312,0.001825345409719257,0.04468524640146774,0.5232106665846544,768,24,90,50204.62619999307
11,300.0,3.7445354238152504,-3.7445354238152504,1.0,1.0,20.0,1.0,1.0,19.0,True,24.250930567185012,24.32177692891142,0.2762118196114898,0.8223691421114684,0.0016128677803850058,0.03689340747264345,0.4769893584351929,768,24,90,48039.88070000196
12,330.0,1.7523347213864326,-1.7523347213864326,1.0,1.0,19.0,1.0,1.0,8.0,True,22.805214385120784,23.34797213582662,0.27054548263549805,0.3592637861457964,0.0013265851380734974,0.03207787199552809,0.41651649922787704,768,24,90,48442.04389999504
13,360.0,0.10223165899515152,-0.10223165899515152,1.0,1.0,8.0,1.0,1.0,20.0,True,22.372777763507226,22.445542442299566,0.2672966197133064,0.33452743993742234,0.0009079945574158125,0.024783946997047862,0.30183341541955144,768,24,90,48482.5550000096
14,390.0,0.5386414052918553,-0.5386414052918553,1.0,1.0,20.0,1.0,1.0,20.0,False,17.014141787340517,17.014141787340517,0.20052609615959227,0.3344151445709738,0.0007720145395324353,0.022451373475591986,0.2877835146405373,768,24,90,48643.66100000916
15,420.0,0.5186823745025322,-0.5186823745025322,1.0,1.0,20.0,1.0,1.0,20.0,False,16.835276492500665,16.835276492500665,0.20052609615959227,0.2687310758315208,0.0008554843247272966,0.023517902913533433,0.23861696157569243,768,24,90,48657.78960000898
16,450.0,-0.09545469959266484,0.09545469959266484,1.0,1.0,20.0,2.0,205.0,20.0,True,2.6876570479776087,14.286358048870222,0.009808308677747846,0.6586488634927162,0.0009555490073882428,0.025974584596032187,0.5665836466245838,768,24,90,48344.15859999717
17,480.0,1.5881360888015479,-1.5881360888015479,2.0,205.0,20.0,2.0,236.0,15.0,True,1.6514253631503473,6.445929611648467,0.0,0.5335851620077544,0.0007474102899936797,0.023208668027181058,0.5693068333349648,768,24,90,53337.73889999429
18,510.0,1.287217516102828,-1.287217516102828,2.0,236.0,15.0,1.0,372.0,6.0,True,0.6241163933573808,0.8126102184246565,0.0,0.20429889038463847,0.0004682598552207918,0.019078150888632857,0.206153415483688,768,24,90,47796.90780000237
19,540.0,0.13328718079719692,-0.13328718079719692,1.0,372.0,6.0,1.0,418.0,2.0,True,0.3441554019171862,0.3513857486229154,0.0,0.1254562070961078,0.000244270909737107,0.01246459683224703,0.08835756953022846,768,17,90,49622.64010000217
20,570.0,0.3459359031403437,-0.3459359031403437,1.0,418.0,2.0,1.0,400.0,9.0,True,0.24593214893231785,2.1019714443457858,0.0,0.09315625750447604,0.00023348847485981066,0.01191432282704748,0.05494986442616956,768,12,90,51082.12900000217
21,600.0,0.1430789804435335,-0.1430789804435335,1.0,400.0,9.0,1.0,474.0,1.0,True,0.20602642937755686,1.4417830290255622,0.0,0.08326726010709536,0.00018323494071178034,0.011028186793032291,0.035827210349130535,768,15,90,49638.028100001975
22,630.0,0.07662202705978416,-0.07662202705978416,1.0,474.0,1.0,1.0,431.0,1.0,True,0.16359285021235445,0.17044687314259865,0.0,0.06615699039680799,0.00022751049417086462,0.012683841094636345,0.026728659535321185,768,7,90,50575.22959999915
