step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.843181133270264,0.0,-26.843181133270264,26.843181133270264,50.0,917.0,1.0,-54.11777535441657,-54.0,-0.11777535441657577,-0.0,0.0,-0.15681886672973633,True
2,1,4.0,26.69725300371647,0.0,-26.69725300371647,26.69725300371647,50.0,917.0,1.0,-53.90697163814825,-53.686362266540534,-0.23486665706988125,0.014257285462161623,-0.007128642731080811,-0.14592812955379486,True
3,1,6.0,26.54931978881359,0.0,-26.54931978881359,26.54931978881359,50.0,917.0,1.0,-53.71966298421291,-53.39450600743294,-0.35132141390179633,0.02616443712182428,-0.01308221856091214,-0.1479332149028778,True
4,1,8.0,26.395698353648186,0.0,-26.395698353648186,26.395698353648186,50.0,917.0,1.0,-53.52865239136324,-53.09863957762718,-0.467130878629445,0.03711806489338703,-0.018559032446693515,-0.15362143516540527,True
5,1,10.0,26.20489175617695,0.0,-26.20489175617695,26.20489175617695,50.0,917.0,1.0,-53.326122966767606,-52.791396707296364,-0.5822702389507025,0.04754397947946357,-0.023771989739731787,-0.19080659747123718,True
6,1,12.0,25.978665962815285,0.0,-25.978665962815285,25.978665962815285,50.0,917.0,1.0,-53.04600472028085,-52.409783512353904,-0.6965772913222481,0.060356083395307375,-0.030178041697653687,-0.22622579336166382,True
7,1,14.0,25.73227308690548,0.0,-25.73227308690548,25.73227308690548,50.0,917.0,1.0,-52.692063255821076,-51.95733192563057,-0.8098975354348555,0.07516620524434711,-0.037583102622173556,-0.2463928759098053,True
8,1,16.0,25.528541684150696,0.0,-25.528541684150696,25.528541684150696,50.0,917.0,1.0,-52.296292075652964,-51.46454617381095,-0.9221430014627978,0.09039709962078202,-0.04519854981039101,-0.20373140275478363,True
9,1,18.0,25.347570836544037,0.0,-25.347570836544037,25.347570836544037,50.0,917.0,1.0,-51.990286617440475,-51.05708336830139,-1.0334997808920272,0.10029653175293843,-0.050148265876469214,-0.18097084760665894,True
10,1,20.0,25.152938440442085,0.0,-25.152938440442085,25.152938440442085,50.0,917.0,1.0,-51.732026457808466,-50.695141673088074,-1.144067156405851,0.10718237168545328,-0.05359118584272664,-0.1946323961019516,True
11,2,22.0,24.96695253252983,0.0,-24.96695253252983,24.96695253252983,50.0,1000.0,1.0,-51.43590236816215,-50.30587688088417,-1.24467891016762,0.11465342288964052,-0.05732671144482025,-0.18598590791225433,True
12,2,24.0,24.7945946007967,0.0,-24.7945946007967,24.7945946007967,50.0,1000.0,1.0,-51.157826072137624,-49.93390506505966,-1.344546720297739,0.12062571321978036,-0.06031285660989018,-0.1723579317331314,True
13,2,26.0,24.62847164273262,0.0,-24.62847164273262,24.62847164273262,50.0,1000.0,1.0,-50.90812498663825,-49.5891892015934,-1.4437250987009247,0.1247893136560729,-0.06239465682803645,-0.16612295806407928,True
14,2,28.0,24.46552923321724,0.0,-24.46552923321724,24.46552923321724,50.0,1000.0,1.0,-50.67119337702588,-49.25694328546524,-1.5422389852718539,0.12798889371121697,-0.06399444685560848,-0.16294240951538086,True
15,2,30.0,24.30521722137928,0.0,-24.30521722137928,24.30521722137928,50.0,1000.0,1.0,-50.44056546284046,-48.93105846643448,-1.6401011022047243,0.1305941057987463,-0.06529705289937315,-0.1603120118379593,True
16,2,32.0,24.15630169212818,0.0,-24.15630169212818,24.15630169212818,50.0,1000.0,1.0,-50.21504475014422,-48.61043444275856,-1.7373219710902383,0.1327116637045755,-0.06635583185228774,-0.14891552925109863,True
