decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,917.0,1.0,True,47.03403237735812,54.66559382848893,0.0,23.51642948631197,5.867023670891387e-05,0.0805554717588119,0.0,768,24,40,21987.059899998712
2,20.0,25.152938440442085,-25.152938440442085,50.0,917.0,1.0,50.0,1000.0,1.0,True,43.918254418121876,43.93538829709221,0.0,21.958379152417184,7.480566437537425e-05,0.07270775998058991,0.0,768,2,40,22472.97959998832
3,40.0,23.513570427894592,-23.513570427894592,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.09429558022486,41.09429558022486,0.0,20.546162573548646,9.852165637825988e-05,0.06697274599924313,0.0,768,3,40,21577.308699997957
4,60.0,21.948414906859398,-21.948414906859398,50.0,1000.0,1.0,50.0,1000.0,1.0,False,38.53801770427015,38.53801770427015,0.0,19.267836856218945,0.00011719959161294994,0.05966662216493345,0.0,768,3,40,21646.924899992882
5,80.0,20.557778626680374,-20.557778626680374,50.0,1000.0,1.0,50.0,1000.0,17.0,True,36.12926173295548,36.23043477175569,0.0,18.063049973415037,0.00015808930627020135,0.057027981866551086,0.0,768,4,40,21708.211799996207
6,100.0,19.302623545750976,-19.302623545750976,50.0,1000.0,17.0,30.0,880.0,15.0,True,33.643697559523204,33.9687738996984,0.0,16.820113566704094,0.00017352130575083117,0.06128144899430948,0.0,768,24,40,22420.489199997974
7,120.0,18.240592705085874,-18.240592705085874,30.0,880.0,15.0,33.0,941.0,1.0,True,30.122628532800373,31.076588376336556,0.0,15.0584545600228,0.00028597063773864203,0.0700954674050594,0.0,768,24,40,22871.463499992387
8,140.0,16.45319182612002,-16.45319182612002,33.0,941.0,1.0,50.0,1.0,1.0,True,26.890957416646057,27.525366549089796,0.0,13.441081209480762,0.00043974988422656623,0.07577314877357239,0.0,768,10,40,21760.7915999979
9,160.0,15.125662224367261,-15.125662224367261,50.0,1.0,1.0,12.0,618.0,13.0,True,22.708226315381303,23.80570045725753,0.0,11.344935555756091,0.0009177601934560453,0.08922361257748726,0.0,768,24,40,21685.80830001156
10,180.0,13.105806993320584,-13.105806993320584,12.0,618.0,13.0,50.0,462.0,1.0,True,17.398621334117177,19.320451010957303,0.0,8.685102013498545,0.001420865356004373,0.09274460604557624,0.0,768,24,40,21685.232299991185
11,200.0,10.396341996267438,-10.396341996267438,50.0,462.0,1.0,7.0,683.0,8.0,True,13.321060807004203,14.063157774188614,0.0,6.638970513641834,0.0021559889860267366,0.08721118802443528,0.0,768,16,40,21704.260700003942
12,220.0,8.425140904262662,-8.425140904262662,7.0,683.0,8.0,34.0,1000.0,5.0,True,8.85652074756965,9.991800490045584,0.0,4.402129989676178,0.00261303841086473,0.08050676884177403,0.0,768,24,40,22990.580099998624
13,240.0,5.6231064815074205,-5.6231064815074205,34.0,1000.0,5.0,39.0,387.0,6.0,True,7.591785482343693,7.791134614665706,0.0,2.679210991971195,0.0022934215430965095,0.06379807721345852,0.4374990135078745,768,18,40,22214.150200001313
14,260.0,3.962244050577283,-3.962244050577283,39.0,387.0,6.0,41.0,1.0,15.0,True,12.666311923608713,43.26988284631164,0.07485958002507687,1.7794634993188083,0.0017240906669579704,0.049921016375987955,0.6168273419251576,768,13,40,21980.27390000061
15,280.0,2.814857902005315,-2.814857902005315,41.0,1.0,15.0,1.0,1.0,17.0,True,28.359305031554523,102.63072781563986,0.2942532757297158,0.7932528296485544,0.002710623188653126,0.050969032606539816,0.6356649700214168,768,24,40,22603.981699998258
16,300.0,1.3134730327874422,-1.3134730327874422,1.0,1.0,17.0,1.0,1.0,17.0,False,26.501984928366486,26.501984928366486,0.2942532757297158,0.476232540467754,0.0016268981974670515,0.0342763510102836,0.3953439650208743,768,24,40,21728.275899993605
17,320.0,0.10204379446804523,-0.10204379446804523,1.0,1.0,17.0,1.0,1.0,20.0,True,25.655459119264282,26.1028327699146,0.2890464896336198,0.3741556184919318,0.0011408494065673423,0.027278374270118106,0.3521223446918979,768,24,40,23085.652499998105
18,340.0,-0.009967637248337269,0.009967637248337269,1.0,1.0,20.0,1.0,966.0,20.0,True,3.6406640994407633,19.305258732482773,0.0,0.9426917195494753,0.0011040487538637514,0.02845785494457978,0.3466399370529076,768,24,40,23194.38520001131
19,360.0,1.1004753587767482,-1.1004753587767482,1.0,966.0,20.0,3.0,195.0,15.0,True,3.5604559972076237,31.27182097709207,0.0,1.3115507858681668,0.00018814942648505054,0.012072351640642572,0.1867182873883179,768,17,40,21780.156900000293
20,380.0,1.4956364883109927,-1.4956364883109927,3.0,195.0,15.0,1.0,252.0,17.0,True,2.5189848088674003,3.64759251106642,0.0,0.5506740802629793,0.0008093343359786889,0.0236886433944724,0.28028999232437357,768,24,40,21742.313499999
21,400.0,0.7291447259485722,-0.7291447259485722,1.0,252.0,17.0,1.0,249.0,15.0,True,1.4248169085796354,1.481189079718774,0.0,0.32678049735077364,0.0008557849785132776,0.022873994117663898,0.1508280428615645,768,24,40,21727.51260000223
22,420.0,0.473104452714324,-0.473104452714324,1.0,249.0,15.0,1.0,133.0,2.0,True,0.8113385982599073,18.351134813971225,0.0,0.14924716528039425,0.00031761828073903524,0.014171560293433662,0.1012983804168676,768,24,40,22166.05640000489
23,440.0,0.15422407537698746,-0.15422407537698746,1.0,133.0,2.0,1.0,99.0,1.0,True,0.3639871997045919,1.0357694861277689,0.0,0.07083242507069372,0.00031695454996652874,0.015187139409439018,0.04319665171277478,768,20,40,23208.341299992753
24,460.0,0.16280775051563978,-0.16280775051563978,1.0,99.0,1.0,1.0,158.0,1.0,True,0.23649302851130607,1.8604721029374658,0.0,0.06016785356332548,0.00010182827265774786,0.008043096748550829,0.022824151186300032,768,18,40,21849.157799995737
25,480.0,0.0978967696428299,-0.0978967696428299,1.0,158.0,1.0,1.0,275.0,1.0,True,0.2352486632968769,1.4023754205854244,0.0,0.060719796077319185,0.00018116332440333902,0.011014565454948192,0.022037160930834354,768,17,40,21742.525800000294
26,500.0,0.07349614799022675,-0.07349614799022675,1.0,275.0,1.0,1.0,394.0,1.0,True,0.18689019780248833,0.20837618454772283,0.0,0.0604238823056221,4.241978848255093e-05,0.005545200171092382,0.013038807484318623,768,16,40,21732.280099997297
27,520.0,0.07752751186490059,-0.07752751186490059,1.0,394.0,1.0,1.0,429.0,1.0,True,0.17100497300117232,0.17620922819283313,0.0,0.05463016522626276,2.526048131130511e-05,0.004474920149406012,0.01224788658448414,768,15,40,21727.56030000164
28,540.0,0.05548232328146696,-0.05548232328146696,1.0,429.0,1.0,1.0,455.0,1.0,True,0.14225241056839832,0.15053121819044019,0.0,0.04729396877155523,2.3638352389461845e-05,0.004178614482859699,0.009438341195499722,768,15,40,22860.91909999959
29,560.0,0.04927569339633919,-0.04927569339633919,1.0,455.0,1.0,1.0,445.0,1.0,True,0.13906875950627456,0.14427866937245387,0.0,0.04356036090539419,4.093466249549026e-05,0.005226378845131526,0.010225868889115274,768,12,40,22494.82039999566
30,580.0,0.05564131194842048,-0.05564131194842048,1.0,445.0,1.0,1.0,456.0,1.0,True,0.13234483319296586,0.13362416374289346,0.0,0.0380334646594747,6.647732040943078e-05,0.006375335739973637,0.010989671493165567,768,11,40,21827.86180000403
31,600.0,0.030777496896917,-0.030777496896917,1.0,456.0,1.0,1.0,1000.0,1.0,True,0.14152738867207854,0.4675629837098171,0.0,0.04661077529308386,4.122695736644642e-05,0.005531665475036089,0.009496259787716378,768,8,40,22483.21130000113
32,620.0,0.047917561285430565,-0.047917561285430565,1.0,1000.0,1.0,1.0,1000.0,11.0,True,0.10906619572307368,0.14347322766147336,0.0,0.03618353191850474,3.935600679948807e-05,0.004310232341641751,0.007182402350014886,768,14,40,21832.80969999032
33,640.0,0.038751391373807564,-0.038751391373807564,1.0,1000.0,11.0,1.0,1000.0,7.0,True,0.0933609818123578,0.8123192584305798,0.0,0.03325527499007421,9.64639843534095e-06,0.00208371845559295,0.0053315007727005115,768,11,40,22589.829199991073
34,660.0,0.03818681753182318,-0.03818681753182318,1.0,1000.0,7.0,1.0,996.0,13.0,True,0.07489720144933515,0.09994843470102233,0.0,0.025836796921430503,2.5403224224750346e-06,0.0012627803147412264,0.004634560231604928,768,14,40,23385.567799996352
35,680.0,0.029535432273405604,-0.029535432273405604,1.0,996.0,13.0,1.0,1000.0,18.0,True,0.06177080710923133,0.06582934599827295,0.0,0.01968217504072527,3.649125844396529e-07,0.00048138657327329455,0.004479831755218399,768,10,40,21780.671300002723
36,700.0,0.02361388703866396,-0.02361388703866396,1.0,1000.0,18.0,1.0,1000.0,20.0,True,0.05237792002102739,0.05374152612344542,0.0,0.015647867077404953,7.097826308933358e-08,0.00023534970552692615,0.00421615326019114,768,7,40,21738.177299994277
37,720.0,0.019885084868292324,-0.019885084868292324,1.0,1000.0,20.0,1.0,1000.0,20.0,False,0.042804119433707696,0.042804119433707696,0.0,0.012298378886430327,6.781059483695304e-08,0.00022432747772864575,0.00364120108979006,768,6,40,21738.57020000287
38,740.0,0.015529498998148483,-0.015529498998148483,1.0,1000.0,20.0,1.0,1000.0,20.0,False,0.033444043515179094,0.033444043515179094,0.0,0.009451348621746547,6.704476222866038e-08,0.00021884722988173823,0.002908001075288286,768,5,40,21809.722199992393
39,760.0,0.011774873224567273,-0.011774873224567273,1.0,1000.0,20.0,1.0,1000.0,20.0,False,0.02611239624019659,0.02611239624019659,0.0,0.007206717619988012,7.384326513521486e-08,0.0002234082495679337,0.0023394968269835727,768,6,40,23411.666400003014
40,780.0,0.00961721970270446,-0.00961721970270446,1.0,1000.0,20.0,1.0,1000.0,20.0,False,0.020046474313736417,0.020046474313736417,0.0,0.00539163514761185,8.117229005842419e-08,0.00023716273868465066,0.0018523161145423098,768,6,40,22236.624599987408
