step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.843092009425163,0.0,-26.843092009425163,26.843092009425163,50.0,915.0,1.0,-54.11803278688525,-54.0,-0.1180327868852459,-0.0,0.0,-0.15690799057483673,True
2,1,4.0,26.697153478860855,0.0,-26.697153478860855,26.697153478860855,50.0,915.0,1.0,-53.90729826783765,-53.68618401885033,-0.23537963719967295,0.014265388212344557,-0.007132694106172278,-0.14593853056430817,True
3,1,6.0,26.54917486011982,0.0,-26.54917486011982,26.54917486011982,50.0,915.0,1.0,-53.720222750019595,-53.39430695772172,-0.35208850486682386,0.026172712568942307,-0.013086356284471154,-0.14797861874103546,True
4,1,8.0,26.39545713365078,0.0,-26.39545713365078,26.39545713365078,50.0,915.0,1.0,-53.529370512840124,-53.09834972023963,-0.4681504714684409,0.03712967886795507,-0.018564839433977534,-0.15371772646903992,True
5,1,10.0,26.204575300216675,0.0,-26.204575300216675,26.204575300216675,50.0,915.0,1.0,-53.32689147532381,-52.79091426730156,-0.5835404480089912,0.047563239986738996,-0.023781619993369498,-0.19088183343410492,True
6,1,12.0,25.978326439857483,0.0,-25.978326439857483,25.978326439857483,50.0,915.0,1.0,-53.04686622210373,-52.40915060043335,-0.6980959684470975,0.06038034677671787,-0.030190173388358936,-0.2262488603591919,True
7,1,14.0,25.73192821443081,0.0,-25.73192821443081,25.73192821443081,50.0,915.0,1.0,-52.693125051239974,-51.95665287971497,-0.8116624228289885,0.07519025130398181,-0.037595125651990906,-0.2463982254266739,True
8,1,16.0,25.52819013595581,0.0,-25.52819013595581,25.52819013595581,50.0,915.0,1.0,-52.29758881706724,-51.46385642886162,-0.9241517264986303,0.09041933829301267,-0.045209669146506336,-0.20373807847499847,True
9,1,18.0,25.347229078412056,0.0,-25.347229078412056,25.347229078412056,50.0,915.0,1.0,-51.99181338779714,-51.056380271911614,-1.0357503719017165,0.10031725601618914,-0.05015862800809456,-0.18096105754375458,True
10,1,20.0,25.1526600420475,0.0,-25.1526600420475,25.1526600420475,50.0,915.0,1.0,-51.73381585853707,-50.69445815682412,-1.146557930714446,0.10720022900148675,-0.05360011450074337,-0.19456903636455536,True
11,2,22.0,24.96695026755333,0.0,-24.96695026755333,24.96695026755333,50.0,1000.0,1.0,-51.437824838562975,-50.30532008409501,-1.2471685708826363,0.11466381641467539,-0.05733190820733769,-0.18570977449417114,True
12,2,24.0,24.794694423675537,0.0,-24.794694423675537,24.794694423675537,50.0,1000.0,1.0,-51.16032689659067,-49.93390053510666,-1.34703637195285,0.12061001046884562,-0.06030500523442281,-0.17225584387779236,True
13,2,26.0,24.628568843007088,0.0,-24.628568843007088,24.628568843007088,50.0,1000.0,1.0,-50.91083816959691,-49.589388847351074,-1.4462151496475522,0.12476582740171685,-0.06238291370085843,-0.1661255806684494,True
