step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.84681411087513,0.0,-26.84681411087513,26.84681411087513,50.0,1000.0,1.0,-54.108000000000004,-54.0,-0.108,-0.0,0.0,-0.1531858891248703,True
2,1,4.0,26.701244056224823,0.0,-26.701244056224823,26.701244056224823,50.0,1000.0,1.0,-53.89508848716535,-53.69362822175026,-0.21538725644350054,0.01392699102839631,-0.006963495514198155,-0.1455700546503067,True
3,1,6.0,26.555118769407272,0.0,-26.555118769407272,26.555118769407272,50.0,1000.0,1.0,-53.69884725040664,-53.40248811244964,-0.32219223266839947,0.025833094711401626,-0.012916547355700813,-0.14612528681755066,True
4,1,8.0,26.40561370551586,0.0,-26.40561370551586,26.40561370551586,50.0,1000.0,1.0,-53.50199628639813,-53.110237538814545,-0.4284127077460284,0.036653960162432664,-0.018326980081216332,-0.14950506389141083,True
5,1,10.0,26.217907771468163,0.0,-26.217907771468163,26.217907771468163,50.0,1000.0,1.0,-53.2985126705958,-52.81122741103172,-0.5340351625680918,0.046749903004022174,-0.023374951502011087,-0.18770593404769897,True
6,1,12.0,25.992866814136505,0.0,-25.992866814136505,25.992866814136505,50.0,1000.0,1.0,-53.015366481853455,-52.435815542936325,-0.638906793653964,0.05935585473682661,-0.029677927368413307,-0.2250409573316574,True
7,1,14.0,25.74670323729515,0.0,-25.74670323729515,25.74670323729515,50.0,1000.0,1.0,-52.65445822137587,-51.98573362827301,-0.7428782609105096,0.07415366780765152,-0.03707683390382576,-0.24616357684135437,True
8,1,16.0,25.54261042177677,0.0,-25.54261042177677,25.54261042177677,50.0,1000.0,1.0,-52.249811247674494,-51.493406474590294,-0.8458650738596897,0.08946030077549107,-0.04473015038774553,-0.2040928155183792,True
9,1,18.0,25.360861524939537,0.0,-25.360861524939537,25.360861524939537,50.0,1000.0,1.0,-51.933774407333054,-51.08522084355355,-0.9480355155467954,0.09948195176728299,-0.04974097588364149,-0.1817488968372345,True
10,1,20.0,25.163455724716187,0.0,-25.163455724716187,25.163455724716187,50.0,1000.0,1.0,-51.66468578059924,-50.721723049879074,-1.049478961646553,0.10651623092638712,-0.05325811546319356,-0.19740580022335052,True
11,2,22.0,24.966171637177467,0.0,-24.966171637177467,24.966171637177467,50.0,1000.0,1.0,-51.36274126322786,-50.32691144943237,-1.1501327845454192,0.1143029707499381,-0.05715148537496905,-0.19728408753871918,True
12,2,24.0,24.789212003350258,0.0,-24.789212003350258,24.789212003350258,50.0,1000.0,1.0,-51.0610048738325,-49.932343274354935,-1.2499974710941275,0.1213358716165593,-0.06066793580827966,-0.17695963382720947,True
13,2,26.0,24.62264509499073,0.0,-24.62264509499073,24.62264509499073,50.0,1000.0,1.0,-50.801728228796314,-49.578424006700516,-1.3491543191075297,0.12585009701173097,-0.06292504850586549,-0.1665669083595276,True
14,2,28.0,24.452822789549828,0.0,-24.452822789549828,24.452822789549828,50.0,1000.0,1.0,-50.56394623799781,-49.24529018998146,-1.4476448994874922,0.12898885147114003,-0.06449442573557002,-0.1698223054409027,True
15,2,30.0,24.284192100167274,0.0,-24.284192100167274,24.284192100167274,50.0,1000.0,1.0,-50.31897760163117,-48.905645579099655,-1.54545619064569,0.13212416811417704,-0.06606208405708852,-0.1686306893825531,True
16,2,32.0,24.13154873251915,0.0,-24.13154873251915,24.13154873251915,50.0,1000.0,1.0,-50.07612508749255,-48.56838420033455,-1.642592959046358,0.13485207188836268,-0.06742603594418134,-0.1526433676481247,True
17,2,34.0,23.970117270946503,0.0,-23.970117270946503,23.970117270946503,50.0,1000.0,1.0,-49.86635035414915,-48.2630974650383,-1.7391191539764366,0.1358662648655927,-0.06793313243279635,-0.1614314615726471,True
18,2,36.0,23.80336132645607,0.0,-23.80336132645607,23.80336132645607,50.0,1000.0,1.0,-49.63765147542953,-47.940234541893005,-1.834999623060222,0.13758268952370137,-0.06879134476185068,-0.16675594449043274,True
19,2,38.0,23.639006823301315,0.0,-23.639006823301315,23.639006823301315,50.0,1000.0,1.0,-49.39731625732172,-47.60672265291214,-1.9302130683660454,0.13961946395646765,-0.06980973197823383,-0.16435450315475464,True
20,2,40.0,23.482719585299492,0.0,-23.482719585299492,23.482719585299492,50.0,1000.0,1.0,-49.161539119350294,-47.27801364660263,-2.0247690956592503,0.14124362291158796,-0.07062181145579398,-0.15628723800182343,True
21,3,42.0,23.317227751016617,0.0,-23.317227751016617,23.317227751016617,50.0,1000.0,1.0,-48.94215973093817,-46.965439170598984,-2.1186999740004477,0.1419794136612582,-0.0709897068306291,-0.16549183428287506,True
22,3,44.0,23.153361961245537,0.0,-23.153361961245537,23.153361961245537,50.0,1000.0,1.0,-48.702942527718626,-46.634455502033234,-2.2119688850045125,0.1434818593191248,-0.0717409296595624,-0.16386578977108002,True
23,3,46.0,22.990949600934982,0.0,-22.990949600934982,22.990949600934982,50.0,1000.0,1.0,-48.466613100788244,-46.306723922491074,-2.304582332849494,0.144693154552323,-0.0723465772761615,-0.1624123603105545,True
24,3,48.0,22.834996670484543,0.0,-22.834996670484543,22.834996670484543,50.0,1000.0,1.0,-48.2327885676577,-45.981899201869965,-2.3965461312532335,0.1456567654655003,-0.07282838273275015,-0.15595293045043945,True
25,3,50.0,22.67093351483345,0.0,-22.67093351483345,22.67093351483345,50.0,1000.0,1.0,-48.01193826401814,-45.669993340969086,-2.4878861179351737,0.1459411948861097,-0.07297059744305485,-0.16406315565109253,True
26,3,52.0,22.51425340771675,0.0,-22.51425340771675,22.51425340771675,50.0,1000.0,1.0,-47.77350104273811,-45.3418670296669,-2.578569851994509,0.14693583892329326,-0.07346791946164663,-0.15668010711669922,True
27,3,54.0,22.355380848050117,0.0,-22.355380848050117,22.355380848050117,50.0,1000.0,1.0,-47.549969311195866,-45.0285068154335,-2.6686268656253738,0.147164369863011,-0.0735821849315055,-0.1588725596666336,True
28,3,56.0,22.204708844423294,0.0,-22.204708844423294,22.204708844423294,50.0,1000.0,1.0,-47.32123965557526,-44.710761696100235,-2.7580483890175778,0.14757042954254626,-0.07378521477127313,-0.15067200362682343,True
29,3,58.0,22.0437341183424,0.0,-22.0437341183424,22.0437341183424,50.0,1000.0,1.0,-47.109092716544794,-44.40941768884659,-2.8468672243952726,0.14719219669706562,-0.07359609834853281,-0.16097472608089447,True
30,3,60.0,21.89668206870556,0.0,-21.89668206870556,21.89668206870556,50.0,1000.0,1.0,-46.87472367578934,-44.0874682366848,-2.9350421608686403,0.14778672176410634,-0.07389336088205317,-0.14705204963684082,True
31,4,62.0,21.740335449576378,0.0,-21.740335449576378,21.740335449576378,50.0,1000.0,1.0,-46.668934280030754,-43.79336413741112,-3.022628889143463,0.14705874652382744,-0.07352937326191372,-0.1563466191291809,True
32,4,64.0,21.598148301243782,0.0,-21.598148301243782,21.598148301243782,50.0,1000.0,1.0,-46.44301589599717,-43.480670899152756,-3.1095902309417713,0.1472452340973583,-0.07362261704867915,-0.14218714833259583,True
33,4,66.0,21.439029932022095,0.0,-21.439029932022095,21.439029932022095,50.0,1000.0,1.0,-46.24615281107704,-43.196296602487564,-3.195982824146747,0.1461266155572742,-0.0730633077786371,-0.15911836922168732,True
34,4,68.0,21.303948372602463,0.0,-21.303948372602463,21.303948372602463,50.0,1000.0,1.0,-46.01314479386779,-42.87805986404419,-3.281738943874842,0.14665401405124,-0.07332700702562,-0.13508155941963196,True
