run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
,near,1170.0,0.0012644693059868,0.0,-0.0012644693059868,0.0012644693059868,-6.058732651583336e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0009313135863799,0.0009313135863799,,,,,,,,
,near,1140.0,0.0014462312855343,0.0,-0.0014462312855343,0.0014462312855343,-4.327992269766648e-07,2.0,74.0,13.0,2.0,74.0,13.0,0.0009934886606174,0.0009934886606174,,,,,,,,
,near,1110.0,0.0014592152623436,0.0,-0.0014592152623436,0.0014592152623436,-8.416593247296665e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0010481981483324,0.0010481981483324,,,,,,,,
,near,1080.0,0.0017117130597625,0.0,-0.0017117130597625,0.0017117130597625,-5.4647971448199994e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0012150272484314,0.0012150272484314,,,,,,,,
,near,1050.0,0.0018756569741071,0.0,-0.0018756569741071,0.0018756569741071,8.438580152866654e-07,2.0,74.0,13.0,2.0,74.0,13.0,0.0012261741245545,0.0012261741245545,,,,,,,,
,near,1020.0,0.0018503412336485,0.0,-0.0018503412336485,0.0018503412336485,-2.1367067741570007e-05,2.0,74.0,13.0,2.0,74.0,13.0,0.0015859745113463,0.0015859745113463,,,,,,,,
,near,990.0,0.0024913532658956,0.0,-0.0024913532658956,0.0024913532658956,-7.531215396739986e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0017904307036998,0.0017904307036998,,,,,,,,
,near,960.0,0.0027172897277978,0.0,-0.0027172897277978,0.0027172897277978,-8.062317893593336e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0018180085945669,0.0018180085945669,,,,,,,,
,near,900.0,0.0030686245281685,0.0,-0.0030686245281685,0.0030686245281685,7.3153074481500095e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0021345726359913,0.0021345726359913,,,,,,,,
,near,930.0,0.0029591592646056,0.0,-0.0029591592646056,0.0029591592646056,-3.6488421187633412e-06,2.0,74.0,13.0,2.0,74.0,13.0,0.0022279732959001,0.0022279732959001,,,,,,,,
,near,870.0,0.002849165304724,0.0,-0.002849165304724,0.002849165304724,-0.00012263386846219,2.0,74.0,13.0,2.0,74.0,13.0,0.0029460524278156,0.0029460524278156,,,,,,,,
,near,840.0,0.0065281813585897,0.0,-0.0065281813585897,0.0065281813585897,-1.1850688800526682e-05,2.0,74.0,13.0,2.0,74.0,13.0,0.0045623646216984,0.0045623646216984,,,,,,,,
,near,680.0,0.0072107369705918,0.0,-0.0072107369705918,0.0072107369705918,-6.68164619128199e-05,36.0,1.0,20.0,36.0,1.0,20.0,0.0046705499954961,0.0046705499954961,,,,,,,,
,near,670.0,0.00787890158972,0.0,-0.00787890158972,0.00787890158972,-0.00012825730300392008,36.0,1.0,20.0,36.0,1.0,20.0,0.0052643359908948,0.0052643359908948,,,,,,,,
,near,810.0,0.0068837020226055,0.0,-0.0068837020226055,0.0068837020226055,8.063361601671001e-05,2.0,74.0,13.0,2.0,74.0,13.0,0.0054832123160242,0.0054832123160242,,,,,,,,
,near,660.0,0.0091614746197592,0.0,-0.0091614746197592,0.0091614746197592,-0.00014151933719404008,36.0,1.0,20.0,36.0,1.0,20.0,0.0058428062176679,0.0058428062176679,,,,,,,,
,near,650.0,0.0105766679916996,0.0,-0.0105766679916996,0.0105766679916996,8.264218486147002e-05,36.0,1.0,20.0,36.0,1.0,20.0,0.0071248697926669,0.0071248697926669,,,,,,,,
,near,630.0,0.0093038858685758,0.0,-0.0093038858685758,0.0093038858685758,-0.0054845932929311,36.0,1.0,20.0,36.0,1.0,20.0,0.0075387012149876,0.0075387012149876,,,,,,,,
,near,640.0,0.0097502461430849,0.0,-0.0097502461430849,0.0097502461430849,4.46360274509101e-05,36.0,1.0,20.0,36.0,1.0,20.0,0.0078361898756129,0.0078361898756129,,,,,,,,
,near,780.0,0.0044646935421042,0.0,-0.0044646935421042,0.0044646935421042,-0.00015184846803701003,2.0,74.0,13.0,2.0,74.0,13.0,0.0085363985200206,0.0085363985200206,,,,,,,,
,near,1190.0,0.0145941545624737,0.0,-0.0145941545624737,0.0145941545624737,-0.00019497501780278999,13.0,1000.0,20.0,13.0,1000.0,20.0,0.0100436402237797,0.0100436402237797,,,,,,,,
,near,750.0,0.0090201475832145,0.0,-0.0090201475832145,0.0090201475832145,-0.0003885299466977199,1.0,132.0,10.0,2.0,74.0,13.0,0.0110298762533685,0.0110298762533685,,,,,,,,
,near,1180.0,0.0165439047405016,0.0,-0.0165439047405016,0.0165439047405016,-9.980800605262005e-05,13.0,1000.0,20.0,13.0,1000.0,20.0,0.0116811611921865,0.0116811611921865,,,,,,,,
,near,1110.0,0.0178847165216211,0.0,-0.0178847165216211,0.0178847165216211,-0.00027091766824015003,11.0,821.0,20.0,11.0,821.0,20.0,0.0119889534482914,0.0119889534482914,,,,,,,,
,near,1140.0,0.0136472839722046,0.0,-0.0136472839722046,0.0136472839722046,-0.00038278549909590996,13.0,976.0,20.0,13.0,1000.0,20.0,0.0124192021025123,0.0124192021025123,,,,,,,,
,near,720.0,0.0206760459841461,0.0,-0.0206760459841461,0.0206760459841461,-0.00025133695695937335,1.0,154.0,6.0,1.0,132.0,10.0,0.0124409347306005,0.0124409347306005,,,,,,,,
,near,1130.0,0.0174751389631637,0.0,-0.0174751389631637,0.0174751389631637,0.00025037524828802995,11.0,846.0,20.0,13.0,976.0,20.0,0.0125261413110096,0.0125261413110096,,,,,,,,
,near,1170.0,0.0175419848010278,0.0,-0.0175419848010278,0.0175419848010278,3.762689520953981e-05,13.0,1000.0,20.0,13.0,1000.0,20.0,0.0127821610136456,0.0127821610136456,,,,,,,,
,near,1150.0,0.016307882367073,0.0,-0.016307882367073,0.016307882367073,0.00026605983948684004,13.0,1000.0,20.0,13.0,1000.0,20.0,0.0127986554709466,0.0127986554709466,,,,,,,,
