run_id,checkpoint,trajectory_csv,decisions_csv,scenario_start_temp,scenario_target_temp,scenario_duration_s,scenario_dt_s,scenario_precondition_ref,mpc_optimizer,mpc_horizon_s,mpc_hold_s,mpc_population,mpc_iterations,mpc_elite_frac,mpc_apply_margin,mpc_candidate_table,mpc_candidate_table_rows,mpc_history_candidates,mpc_history_neighbor_pool,bounds_kp_min,bounds_kp_max,bounds_ki_min,bounds_ki_max,bounds_kd_min,bounds_kd_max,cost_overshoot_max,cost_abs_error,cost_motion,cost_motion_error_scale,cost_near_std,metric_valid,metric_invalid_reason,metric_mae_full,metric_tail_mae,metric_tail_bias,metric_tail_std,metric_overshoot_max,metric_overshoot_rmse,metric_final_error,metric_final_abs_error,metric_end_temp,metric_min_temp,metric_max_temp,metric_time_to_near_s,metric_time_to_settle_s,metric_pid_changes,scenario_name,summary_json,selection_score,valid_sort
mpc_20260603_154752_f9a26f31,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_154752_f9a26f31\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_154752_f9a26f31\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,180.0,30.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,1.0,True,,4.044527520690449,0.0013069722685694516,-0.0013069722685694516,0.0010302275299183445,0.2672966197133064,0.02720144898788563,-0.0002480465098813056,0.0002480465098813056,0.0002480465098813056,-0.2672966197133064,26.84540468454361,328.0,354.0,22,h180_hold30,mpc_pid_runs_batch\mpc_20260603_154752_f9a26f31\mpc_summary.json,27.84073775283214,0
mpc_20260603_174921_51f80286,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_174921_51f80286\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_174921_51f80286\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,5.0,True,,3.707700501750293,0.0008254126074967909,-0.0008254126074967909,0.0004720167885587542,0.2890464896336198,0.024864552497988062,-0.000561576419386256,0.000561576419386256,0.000561576419386256,-0.2890464896336198,26.843181133270264,290.0,314.0,32,motion20_scale5_std5,mpc_pid_runs_batch\mpc_20260603_174921_51f80286\mpc_summary.json,30.515335824170442,0
mpc_20260603_151442_9809bbea,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_151442_9809bbea\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_151442_9809bbea\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,120.0,20.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,1.0,True,,3.9098994090674175,0.009283382776491347,-0.009283382776491347,0.004742779389330507,0.28321673261234537,0.023263301752057132,-0.008364409840396547,0.008364409840396547,0.008364409840396547,-0.28321673261234537,26.844707056879997,314.0,338.0,48,h120_hold20,mpc_pid_runs_batch\mpc_20260603_151442_9809bbea\mpc_summary.json,30.861219832299618,0
mpc_20260603_205454_7622ee0c,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_205454_7622ee0c\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_205454_7622ee0c\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,512,5,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,1.0,True,,3.566135759458441,0.0013385511290624926,-0.0013385511290624926,0.0010682953169243044,0.30946793872863054,0.026362286286070017,-0.000408695847738727,0.000408695847738727,0.000408695847738727,-0.30946793872863054,26.84681411087513,276.0,298.0,31,cem512_iter5,mpc_pid_runs_batch\mpc_20260603_205454_7622ee0c\mpc_summary.json,32.5097101776196,0
mpc_20260603_194016_7e923c7d,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_194016_7e923c7d\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_194016_7e923c7d\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,128,2,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,1.0,True,,3.694900575089862,0.0009045028778333055,-0.0009045028778333055,0.0007876193782740901,0.31857187673449516,0.03109934113027406,-0.00014279419630902623,0.00014279419630902623,0.00014279419630902623,-0.31857187673449516,26.843092009425163,282.0,306.0,32,cem128_iter2,mpc_pid_runs_batch\mpc_20260603_194016_7e923c7d\mpc_summary.json,33.46471336855832,0
mpc_20260603_200955_7b5dd9cd,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_200955_7b5dd9cd\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_200955_7b5dd9cd\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,512,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,1.0,True,,3.7104727232187504,0.0007774506006612397,-0.0007774506006612397,0.000444556109533194,0.3173311511054635,0.035006660459005676,-0.0006386905178032976,0.0006386905178032976,0.0006386905178032976,-0.3173311511054635,26.84540468454361,290.0,314.0,38,cem512_iter3,mpc_pid_runs_batch\mpc_20260603_200955_7b5dd9cd\mpc_summary.json,33.64427838094676,0
mpc_20260603_141926_466d8351,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_141926_466d8351\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_141926_466d8351\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,60.0,10.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,20.0,5.0,1.0,True,,3.614746211347271,0.007761830883192181,-0.007444492286522772,0.009204572121531014,0.3108354080468416,0.027639712470158943,0.0014128756847640034,0.0014128756847640034,-0.0014128756847640034,-0.3108354080468416,26.843181133270264,276.0,298.0,100,h60_hold10,mpc_pid_runs_batch\mpc_20260603_141926_466d8351\mpc_summary.json,36.154887860190826,0
mpc_20260603_170508_821f28e5,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_170508_821f28e5\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_170508_821f28e5\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,50.0,5.0,1.0,True,,3.6268200965436774,0.0028350894598594663,-0.0028268601878117137,0.0031377541087919494,0.3411144856363535,0.02876822951445056,-0.00027886130555998534,0.00027886130555998534,0.00027886130555998534,-0.3411144856363535,26.843181133270264,278.0,302.0,51,motion50_scale5_std1,mpc_pid_runs_batch\mpc_20260603_170508_821f28e5\mpc_summary.json,36.684688132207825,0
mpc_20260603_162052_acd5dfb1,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_162052_acd5dfb1\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_162052_acd5dfb1\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,2.0,5.0,3.0,1.0,True,,3.6424645113736793,0.0007020253896391309,-0.0007020253896391309,0.0005435612697523821,0.3693874813616276,0.03698295734939105,-0.00011792009843425433,0.00011792009843425433,0.00011792009843425433,-0.3693874813616276,26.843181133270264,278.0,300.0,31,motion5_scale3_std1,mpc_pid_runs_batch\mpc_20260603_162052_acd5dfb1\mpc_summary.json,38.49452458663479,0
mpc_20260603_191757_f28a1f90,validation_t1\gru_t1.pt,mpc_pid_runs_batch\mpc_20260603_191757_f28a1f90\mpc_trajectory.csv,mpc_pid_runs_batch\mpc_20260603_191757_f28a1f90\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,200.0,2.0,20.0,5.0,1.0,True,,3.6565197428758234,0.0014099275585589272,-0.0014099275585589272,0.000652632327901981,0.3693874813616276,0.04003243638440115,-0.0003253743895754724,0.0003253743895754724,0.0003253743895754724,-0.3693874813616276,26.843181133270264,278.0,300.0,34,overshoot200,mpc_pid_runs_batch\mpc_20260603_191757_f28a1f90\mpc_summary.json,38.65035678250712,0
