step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.8239843249321,0.0,-26.8239843249321,26.8239843249321,50.0,508.0,1.0,-54.21259842519686,-54.0,-0.21259842519685038,-0.0,0.0,-0.1760156750679016,True
2,1,4.0,26.67390137910843,0.0,-26.67390137910843,26.67390137910843,50.0,508.0,1.0,-54.05577697474805,-53.6479686498642,-0.423810900196316,0.0160025753124659,-0.00800128765623295,-0.15008294582366943,True
3,1,6.0,26.51655685901642,0.0,-26.51655685901642,26.51655685901642,50.0,508.0,1.0,-53.95352339559943,-53.34780275821686,-0.6338416197168546,0.028120982334274597,-0.014060491167137298,-0.1573445200920105,True
4,1,8.0,26.346972793340683,0.0,-26.346972793340683,26.346972793340683,50.0,508.0,1.0,-53.83600351313923,-53.033113718032844,-0.8426334060083226,0.03974361090193715,-0.019871805450968574,-0.16958406567573547,True
5,1,10.0,26.143534645438194,0.0,-26.143534645438194,26.143534645438194,50.0,508.0,1.0,-53.692665142914194,-52.693945586681366,-1.0500898846960456,0.051370328463220684,-0.025685164231610342,-0.2034381479024887,True
6,2,12.0,25.91000159084797,0.0,-25.91000159084797,25.91000159084797,50.0,327.0,1.0,-53.59199192040346,-52.28706929087639,-1.369888473631071,0.06496584410400898,-0.03248292205200449,-0.23353305459022522,True
7,2,14.0,25.664322689175606,0.0,-25.664322689175606,25.664322689175606,50.0,327.0,1.0,-53.426832983488296,-51.82000318169594,-1.6868303891154501,0.08000058732309331,-0.04000029366154666,-0.24567890167236328,True
8,2,16.0,25.438475340604782,0.0,-25.438475340604782,25.438475340604782,50.0,327.0,1.0,-53.234707015547386,-51.32864537835121,-2.00076705809619,0.09470542090000976,-0.04735271045000488,-0.22584734857082367,True
9,2,18.0,25.24289843440056,0.0,-25.24289843440056,25.24289843440056,50.0,327.0,1.0,-53.082687180191925,-50.876950681209564,-2.311941068378816,0.10620456939646533,-0.053102284698232666,-0.19557690620422363,True
10,2,20.0,25.04732248187065,0.0,-25.04732248187065,25.04732248187065,50.0,327.0,1.0,-52.99266480598628,-50.48579686880112,-2.620722700603902,0.11385476341874634,-0.05692738170937317,-0.19557595252990723,True
11,3,22.0,24.898217514157295,0.0,-24.898217514157295,24.898217514157295,50.0,674.0,1.0,-52.74324134005367,-50.09464496374131,-2.769371498715896,0.12077512240353842,-0.060387561201769205,-0.14910496771335602,True
12,3,24.0,24.731566980481148,0.0,-24.731566980481148,24.731566980481148,50.0,674.0,1.0,-52.590760016206005,-49.79643502831459,-2.9171354008770707,0.12281041298565648,-0.06140520649282824,-0.16665053367614746,True
13,3,26.0,24.56466268002987,0.0,-24.56466268002987,24.56466268002987,50.0,674.0,1.0,-52.40079751576935,-49.463133960962296,-3.0639102790995123,0.12624672429245284,-0.06312336214622642,-0.1669043004512787,True
14,3,28.0,24.438891172409058,0.0,-24.438891172409058,24.438891172409058,50.0,674.0,1.0,-52.20964166852936,-49.12932536005974,-3.209694627348948,0.12937831887932622,-0.06468915943966311,-0.12577150762081146,True
15,3,30.0,24.312908872961998,0.0,-24.312908872961998,24.312908872961998,50.0,674.0,1.0,-52.104043323426886,-48.877782344818115,-3.3547325571555278,0.1284715785467635,-0.06423578927338175,-0.12598229944705963,True
16,4,32.0,24.218918062746525,0.0,-24.218918062746525,24.218918062746525,50.0,1000.0,1.0,-51.950131442561464,-48.625817745923996,-3.451984192647374,0.1276704960099119,-0.06383524800495595,-0.09399081021547318,True
17,4,34.0,24.04755526036024,0.0,-24.04755526036024,24.04755526036024,50.0,1000.0,1.0,-51.86265868831512,-48.43783612549305,-3.548859864898361,0.12403730207628635,-0.06201865103814318,-0.17136280238628387,True
18,4,36.0,23.911935441195965,0.0,-23.911935441195965,23.911935441195965,50.0,1000.0,1.0,-51.61237560677792,-48.09511052072048,-3.6450500859398063,0.12778499988237918,-0.06389249994118959,-0.13561981916427612,True
19,4,38.0,23.767665944993496,0.0,-23.767665944993496,23.767665944993496,50.0,1000.0,1.0,-51.43664309920224,-47.82387088239193,-3.7406978277045853,0.12792561089428017,-0.06396280544714009,-0.14426949620246887,True
20,4,40.0,23.605216033756733,0.0,-23.605216033756733,23.605216033756733,50.0,1000.0,1.0,-51.24226118157827,-47.53533188998699,-3.835768491484563,0.12883919989328182,-0.06441959994664091,-0.162449911236763,True
21,5,42.0,23.42510411888361,0.0,-23.42510411888361,23.42510411888361,50.0,1000.0,1.0,-51.00930289723996,-47.210432067513466,-3.9301893556195884,0.1313185258931021,-0.06565926294655106,-0.18011191487312317,True
22,5,44.0,23.286913640797138,0.0,-23.286913640797138,23.286913640797138,50.0,1000.0,1.0,-50.73893090756598,-46.85020823776722,-4.023889772095125,0.13516710229636592,-0.06758355114818296,-0.13819047808647156,True
23,5,46.0,23.144742630422115,0.0,-23.144742630422115,23.144742630422115,50.0,1000.0,1.0,-50.5560274570826,-46.573827281594276,-4.1170374266583085,0.13483725116998385,-0.06741862558499193,-0.1421710103750229,True
24,5,48.0,22.987551115453243,0.0,-22.987551115453243,22.987551115453243,50.0,1000.0,1.0,-50.364200901054645,-46.28948526084423,-4.209616397179995,0.13490075696958503,-0.06745037848479252,-0.15719151496887207,True
25,5,50.0,22.821811996400356,0.0,-22.821811996400356,22.821811996400356,50.0,1000.0,1.0,-50.140345028986474,-45.97510223090649,-4.301566601641811,0.1363238035618252,-0.0681619017809126,-0.16573911905288696,True
26,6,52.0,22.6946856752038,0.0,-22.6946856752038,22.6946856752038,50.0,1000.0,1.0,-49.89808962522759,-45.64362399280071,-4.392853849627411,0.13838821720053576,-0.06919410860026788,-0.1271263211965561,True
27,6,54.0,22.549237065017223,0.0,-22.549237065017223,22.549237065017223,50.0,1000.0,1.0,-49.73625874201693,-45.3893713504076,-4.483632592328228,0.13674520071890486,-0.06837260035945243,-0.14544861018657684,True
28,6,56.0,22.400214068591595,0.0,-22.400214068591595,22.400214068591595,50.0,1000.0,1.0,-49.535378977456205,-45.09847413003445,-4.573829540588297,0.13692469316653777,-0.06846234658326888,-0.14902299642562866,True
29,6,58.0,22.247320525348186,0.0,-22.247320525348186,22.247320525348186,50.0,1000.0,1.0,-49.326446502567,-44.80042813718319,-4.663430396862663,0.13741203147885153,-0.06870601573942577,-0.1528935432434082,True
30,6,60.0,22.132635056972504,0.0,-22.132635056972504,22.132635056972504,50.0,1000.0,1.0,-49.10885595364931,-44.49464105069637,-4.752419678964058,0.13820477601112321,-0.06910238800556161,-0.11468546837568283,True
31,7,62.0,21.98400241136551,0.0,-21.98400241136551,21.98400241136551,50.0,1000.0,1.0,-48.970772143164666,-44.26527011394501,-4.840950219191951,0.13544818997229585,-0.06772409498614793,-0.14863264560699463,True
32,7,64.0,21.84734934568405,0.0,-21.84734934568405,21.84734934568405,50.0,1000.0,1.0,-48.76085016934235,-43.96800482273102,-4.928886228837413,0.13604088222608385,-0.06802044111304192,-0.13665306568145752,True
