decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,917.0,1.0,True,48.60108736036483,54.07683995766185,0.0,24.29999404748281,5.4963269960478995e-05,0.08427798414024813,0.0,768,24,30,15662.977200001478
2,10.0,26.20489175617695,-26.20489175617695,50.0,917.0,1.0,50.0,805.0,1.0,True,46.925404944459025,46.92647016811844,0.0,23.462113416194917,5.8905603459687425e-05,0.08110842339951417,0.0,768,1,30,16724.671000003582
3,20.0,25.13110461831093,-25.13110461831093,50.0,805.0,1.0,50.0,1000.0,1.0,True,45.36613978588155,45.374099405825994,0.0,22.682426163802543,6.437291382311391e-05,0.07509666128919043,0.0,768,4,30,16580.589000004693
4,30.0,24.3038477152586,-24.3038477152586,50.0,1000.0,1.0,50.0,1000.0,1.0,False,43.8754469897041,43.8754469897041,0.0,21.936921342710654,8.021521413951393e-05,0.074329965137716,0.0,768,3,30,17647.796499994
5,40.0,23.518709003925323,-23.518709003925323,50.0,1000.0,1.0,50.0,1000.0,1.0,False,42.44100713120939,42.44100713120939,0.0,21.219613732614864,8.89832989830854e-05,0.06921611849925127,0.0,768,3,30,17257.280700010597
6,50.0,22.702750623226166,-22.702750623226166,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.06476892076046,41.06476892076046,0.0,20.531303428734343,0.00010810316458867097,0.0680933130166397,0.0,768,3,30,16348.962300005951
7,60.0,21.97048706561327,-21.97048706561327,50.0,1000.0,1.0,50.0,1000.0,1.0,False,39.75879012157681,39.75879012157681,0.0,19.87824074855695,0.00011543122314539845,0.062628917363954,0.0,768,3,30,16287.896199995885
8,70.0,21.21092426776886,-21.21092426776886,50.0,1000.0,1.0,50.0,1000.0,3.0,True,38.51578593895812,38.52304440857078,0.0,19.256544376219,0.0001348593260059206,0.061980364152736125,0.0,768,4,30,16584.485200000927
9,80.0,20.60107211023569,-20.60107211023569,50.0,1000.0,3.0,50.0,1000.0,20.0,True,37.26395023785089,37.348192195706034,0.0,18.630450945909736,0.00015241730157107016,0.05884102113411465,0.0,768,6,30,16654.8424000066
10,90.0,19.83474620617926,-19.83474620617926,50.0,1000.0,20.0,50.0,1000.0,20.0,False,36.128022805403475,36.128022805403475,0.0,18.062244415969083,0.0001766986732655285,0.060770681718763785,0.0,768,24,30,16303.941399994073
11,100.0,19.316662279888988,-19.316662279888988,50.0,1000.0,20.0,50.0,987.0,20.0,True,35.028504355842905,35.02858874115473,0.0,17.512492533857586,0.0001759644063867423,0.05561274871007331,0.0,768,24,30,16296.172500005923
12,110.0,18.582519467920065,-18.582519467920065,50.0,987.0,20.0,38.0,1000.0,20.0,True,33.93625407501908,33.976537586782136,0.0,16.966154059519372,0.00019729779901675657,0.059045810332714485,0.0,768,24,30,16230.377100000624
13,120.0,18.289677859283984,-18.289677859283984,38.0,1000.0,20.0,22.0,609.0,20.0,True,31.764893986413185,32.840448625441425,0.0,15.879887609897802,0.0002559383308791467,0.0719064387235919,0.0,768,24,30,16255.274700000882
14,130.0,17.28236315958202,-17.28236315958202,22.0,609.0,20.0,15.0,1000.0,4.0,True,29.495796673682868,30.344905732641664,0.0,14.744336672499776,0.00035616643416579163,0.0804400905196009,0.0,768,24,30,16219.116499996744
15,140.0,16.348709350451827,-16.348709350451827,15.0,1000.0,4.0,11.0,1000.0,1.0,True,27.56877700608191,27.934302373863083,0.0,13.779611493026216,0.00047770100147386365,0.0812952080420379,0.0,768,13,30,16574.978300006478
16,150.0,15.444045206531882,-15.444045206531882,11.0,1000.0,1.0,9.0,614.0,1.0,True,25.71423928189485,25.93052144108775,0.0,12.851145485167702,0.0005974155779723193,0.08261426602458131,0.0,768,8,30,17062.57409999671
17,160.0,14.597375428304076,-14.597375428304076,9.0,614.0,1.0,10.0,1000.0,1.0,True,23.680205396903702,24.048297356579926,0.0,11.832079275076588,0.0008023423375263358,0.08981597898849125,0.0,768,14,30,16280.944300000556
18,170.0,13.677382787689567,-13.677382787689567,10.0,1000.0,1.0,9.0,994.0,1.0,True,21.913671464781753,21.93616713614143,0.0,10.947987830514709,0.0008847901876168174,0.08571463450789452,0.0,768,8,30,16208.003399995505
19,180.0,12.76571155898273,-12.76571155898273,9.0,994.0,1.0,8.0,681.0,1.0,True,20.099738237658272,20.21219584802775,0.0,10.039862234766284,0.001000688406285204,0.08354617231364908,0.0,768,8,30,16598.56500000751
20,190.0,11.833557223901153,-11.833557223901153,8.0,681.0,1.0,34.0,1.0,1.0,True,17.953966612084393,18.450201224944475,0.0,8.966666196410854,0.001031710963134268,0.07815810639796586,0.0,768,14,30,16385.216099995887
21,200.0,10.535385778173804,-10.535385778173804,34.0,1.0,1.0,50.0,142.0,1.0,True,12.903415262973121,16.465483647564234,0.0,6.419196264569958,0.0032511366916602442,0.11162931728979637,0.0,768,24,30,16266.241899997112
