step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.843181133270264,0.0,-26.843181133270264,26.843181133270264,50.0,917.0,1.0,-54.11777535441657,-54.0,-0.11777535441657577,-0.0,0.0,-0.15681886672973633,True
2,1,4.0,26.69725300371647,0.0,-26.69725300371647,26.69725300371647,50.0,917.0,1.0,-53.90697163814825,-53.686362266540534,-0.23486665706988125,0.014257285462161623,-0.007128642731080811,-0.14592812955379486,True
3,1,6.0,26.54931978881359,0.0,-26.54931978881359,26.54931978881359,50.0,917.0,1.0,-53.71966298421291,-53.39450600743294,-0.35132141390179633,0.02616443712182428,-0.01308221856091214,-0.1479332149028778,True
4,1,8.0,26.395698353648186,0.0,-26.395698353648186,26.395698353648186,50.0,917.0,1.0,-53.52865239136324,-53.09863957762718,-0.467130878629445,0.03711806489338703,-0.018559032446693515,-0.15362143516540527,True
5,1,10.0,26.20489175617695,0.0,-26.20489175617695,26.20489175617695,50.0,917.0,1.0,-53.326122966767606,-52.791396707296364,-0.5822702389507025,0.04754397947946357,-0.023771989739731787,-0.19080659747123718,True
6,2,12.0,25.975000098347664,0.0,-25.975000098347664,25.975000098347664,50.0,805.0,1.0,-53.06190831017602,-52.409783512353904,-0.7124808812174201,0.060356083395307375,-0.030178041697653687,-0.22989165782928467,True
7,2,14.0,25.72471748292446,0.0,-25.72471748292446,25.72471748292446,50.0,805.0,1.0,-52.716049911774974,-51.950000196695335,-0.8415492046874699,0.07549948960783212,-0.03774974480391606,-0.2502826154232025,True
8,2,16.0,25.512762784957886,0.0,-25.512762784957886,25.512762784957886,50.0,805.0,1.0,-52.32775662342901,-51.44943496584893,-0.9693738878324362,0.09105223025235523,-0.045526115126177616,-0.21195469796657562,True
9,2,18.0,25.32807333767414,0.0,-25.32807333767414,25.32807333767414,50.0,805.0,1.0,-52.02003415402591,-51.02552556991577,-1.0961453799316043,0.10163679582147281,-0.050818397910736404,-0.1846894472837448,True
10,2,20.0,25.13110461831093,0.0,-25.13110461831093,25.13110461831093,50.0,805.0,1.0,-51.769412968413484,-50.65614667534828,-1.2219991604914766,0.10873286742625904,-0.05436643371312952,-0.19696871936321259,True
11,3,22.0,24.955040842294693,0.0,-24.955040842294693,24.955040842294693,50.0,1000.0,1.0,-51.46846438970798,-50.26220923662186,-1.32252357896472,0.11626842587860017,-0.05813421293930009,-0.17606377601623535,True
12,3,24.0,24.782401874661446,0.0,-24.782401874661446,24.782401874661446,50.0,1000.0,1.0,-51.211240841908165,-49.910081684589386,-1.4223437423338998,0.12118458501511675,-0.06059229250755838,-0.17263896763324738,True
13,3,26.0,24.61114403605461,0.0,-24.61114403605461,24.61114403605461,50.0,1000.0,1.0,-50.96095667366135,-49.56480374932289,-1.5214733498325448,0.12532042549409608,-0.06266021274704804,-0.1712578386068344,True
14,3,28.0,24.458019092679024,0.0,-24.458019092679024,24.458019092679024,50.0,1000.0,1.0,-50.7132698141601,-49.22228807210922,-1.6199179259767635,0.12893618392588307,-0.06446809196294154,-0.15312494337558746,True
15,3,30.0,24.3038477152586,0.0,-24.3038477152586,24.3038477152586,50.0,1000.0,1.0,-50.50322971433211,-48.91603818535805,-1.7177500023474779,0.13055847337340806,-0.06527923668670403,-0.15417137742042542,True
16,4,32.0,24.158019229769707,0.0,-24.158019229769707,24.158019229769707,50.0,1000.0,1.0,-50.29053967310963,-48.607695430517204,-1.8149653932085137,0.13212115061609792,-0.06606057530804896,-0.1458284854888916,True
