step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.844707056879997,0.0,-26.844707056879997,26.844707056879997,50.0,1000.0,4.0,-54.108000000000004,-54.0,-0.108,-0.0,0.0,-0.15529294312000275,True
2,1,4.0,26.697985604405403,0.0,-26.697985604405403,26.697985604405403,50.0,1000.0,4.0,-53.84831872134066,-53.689414113759995,-0.21537882822752005,0.056474220646852126,-0.007059277580856515,-0.14672145247459412,True
3,1,6.0,26.550744608044624,0.0,-26.550744608044624,26.550744608044624,50.0,1000.0,4.0,-53.61369771670317,-53.39597120881081,-0.3221707706451416,0.10444426275278804,-0.013055532844098505,-0.1472409963607788,True
4,1,8.0,26.401928141713142,0.0,-26.401928141713142,26.401928141713142,50.0,1000.0,4.0,-53.38183556095461,-53.10148921608925,-0.4283737490773203,0.148027404211949,-0.018503425526493623,-0.14881646633148193,True
5,1,10.0,26.214121267199516,0.0,-26.214121267199516,26.214121267199516,50.0,1000.0,4.0,-53.14981163497574,-52.803856283426285,-0.5339814616441736,0.1880261100947172,-0.02350326376183965,-0.1878068745136261,True
6,1,12.0,25.989230006933212,0.0,-25.989230006933212,25.989230006933212,50.0,1000.0,4.0,-52.828691772982125,-52.42824253439904,-0.6388379467129717,0.2383887081298735,-0.029798588516234188,-0.22489126026630402,True
7,1,14.0,25.743021830916405,0.0,-25.743021830916405,25.743021830916405,50.0,1000.0,4.0,-52.4238214378752,-51.978460013866425,-0.7427948667407049,0.29743344273192923,-0.037179180341491154,-0.24620817601680756,True
8,1,16.0,25.542418256402016,0.0,-25.542418256402016,25.542418256402016,50.0,1000.0,4.0,-51.97321252446633,-51.48604366183282,-0.8457669540643704,0.35859809143086124,-0.044824761428857655,-0.20060357451438904,True
9,1,18.0,25.364510968327522,0.0,-25.364510968327522,25.364510968327522,50.0,1000.0,4.0,-51.635429549832935,-51.08483651280403,-0.9479366270899771,0.39734359006107056,-0.04966794875763382,-0.1779072880744934,True
10,1,20.0,25.168437227606773,0.0,-25.168437227606773,25.168437227606773,50.0,1000.0,4.0,-51.35427722180551,-50.72902193665505,-1.049394670963287,0.42413938581282296,-0.05301742322660287,-0.1960737407207489,True
