decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,917.0,1.0,True,47.032872404707625,54.66545475178136,0.0,23.51642948631197,2.686416736843995e-06,0.0805554717588119,0.0,768,24,40,19628.44829999085
2,20.0,25.152938440442085,-25.152938440442085,50.0,917.0,1.0,50.0,1000.0,1.0,True,43.916779752617124,43.93408149998724,0.0,21.958379152417184,4.289556550986251e-06,0.07270775998058991,0.0,768,2,40,22588.824399994337
3,40.0,23.513570427894592,-23.513570427894592,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.09235905185254,41.09235905185254,0.0,20.546162573548646,6.7809510496502915e-06,0.06697274599924313,0.0,768,3,40,22833.891100002802
4,60.0,21.948414906859398,-21.948414906859398,50.0,1000.0,1.0,50.0,1000.0,1.0,False,38.53572024745166,38.53572024745166,0.0,19.267836856218945,9.307002752665618e-06,0.05966662216493345,0.0,768,3,40,21821.609200007515
5,80.0,20.557778626680374,-20.557778626680374,50.0,1000.0,1.0,50.0,1000.0,17.0,True,36.1261729452653,36.22774569346039,0.0,18.063049973415037,1.459968704617913e-05,0.057027981866551086,0.0,768,4,40,21602.726400000392
6,100.0,19.302623545750976,-19.302623545750976,50.0,1000.0,17.0,30.0,880.0,15.0,True,33.64032473854952,33.965326011171655,0.0,16.820113566704094,1.9521028266905525e-05,0.06128144899430948,0.0,768,24,40,21625.082700003986
7,120.0,18.240592705085874,-18.240592705085874,30.0,880.0,15.0,33.0,941.0,1.0,True,30.11710495130069,31.072335671135544,0.0,15.0584545600228,3.9166251017861246e-05,0.0700954674050594,0.0,768,24,40,21635.060300002806
8,140.0,16.45319182612002,-16.45319182612002,33.0,941.0,1.0,50.0,1.0,1.0,True,26.882574019242277,27.520048902747142,0.0,13.441081209480762,8.232005615029616e-05,0.07577314877357239,0.0,768,10,40,23139.487399996142
9,160.0,15.125662224367261,-15.125662224367261,50.0,1.0,1.0,12.0,618.0,13.0,True,22.690979129731307,23.794486272987015,0.0,11.344935555756091,0.00022160364382465265,0.08922361257748726,0.0,768,24,40,21820.8861000021
10,180.0,13.105806993320584,-13.105806993320584,12.0,618.0,13.0,50.0,462.0,1.0,True,17.372421375016206,19.29925451125603,0.0,8.685102013498545,0.0004434696038229095,0.09274460604557624,0.0,768,24,40,21889.99199999671
11,200.0,10.396341996267438,-10.396341996267438,50.0,462.0,1.0,7.0,683.0,8.0,True,13.28269305717844,14.037722468515666,0.0,6.638970513641834,0.0009504059789540883,0.08721118802443528,0.0,768,16,40,22449.429500004044
12,220.0,8.425140904262662,-8.425140904262662,7.0,683.0,8.0,38.0,634.0,5.0,True,6.9849087090150155,9.94726248606926,0.0,3.197455292753875,0.003163194418059682,0.10442273624432392,0.5741821514169662,768,24,40,21564.925800004858
13,240.0,4.99347491748631,-4.99347491748631,38.0,634.0,5.0,38.0,1.0,7.0,True,4.847670383198617,86.1456282362249,0.0,2.128718570806086,0.0017353551460946002,0.06103056038801487,0.5815564658559719,768,21,40,23085.951299988665
14,260.0,3.317358063533902,-3.317358063533902,38.0,1.0,7.0,1.0,1.0,8.0,True,32.24417005143826,85.3810531461101,0.3693874813616276,1.0051993621047586,0.002598759182785216,0.057039039818426736,0.6697790223846113,768,24,40,22954.67920000374
15,280.0,1.8166966754943132,-1.8166966754943132,1.0,1.0,8.0,1.0,1.0,8.0,False,31.18434743480898,31.18434743480898,0.3693874813616276,0.5526220876490697,0.001901730195418081,0.04029853269457817,0.5185960996035446,768,24,40,21823.131099998136
16,300.0,0.4810033682733774,-0.4810033682733774,1.0,1.0,8.0,1.0,1.0,8.0,False,30.65613703507894,30.65613703507894,0.3693874813616276,0.3765499934321269,0.0013007841103926194,0.030937155183309164,0.34553461873251734,768,24,40,21638.670900007128
17,320.0,-0.3431913061067462,0.3431913061067462,1.0,1.0,8.0,1.0,1.0,2.0,True,18.891076999881783,22.319465796129855,0.22585226129740477,0.27277486409147966,0.0010584861594536634,0.027530406746126782,0.2720539371091741,768,24,40,21741.13879998913
18,340.0,0.5300241867080331,-0.5300241867080331,1.0,1.0,2.0,1.0,1.0,20.0,True,16.19418165037557,18.321883270054048,0.19122605212032795,0.3212939545046538,0.0005682783482034033,0.020267548958938092,0.2506681799990071,768,24,40,22212.43390000018
19,360.0,0.4182880995795131,-0.4182880995795131,1.0,1.0,20.0,1.0,1.0,14.0,True,14.200912598385715,16.003243910603782,0.17042297217994928,0.18761960992123933,0.0006569462050101749,0.02237871500591819,0.1885508731222418,768,24,40,23214.57680000458
20,380.0,-0.11823419202119112,0.11823419202119112,1.0,1.0,14.0,1.0,1.0,9.0,True,14.019973837530506,14.203332234588386,0.16909868083894253,0.16030376420821996,0.0006407662512444164,0.020862616526965912,0.1682680107424411,768,24,40,21879.034700003103
21,400.0,0.24100921489298344,-0.24100921489298344,1.0,1.0,9.0,1.0,1.0,14.0,True,12.125899366416979,14.048021214664901,0.1441387601371389,0.21240153151265986,0.00044643854372259127,0.017866960812870484,0.16776329970193601,768,24,40,21725.434000007226
22,420.0,0.21768073910789099,-0.21768073910789099,1.0,1.0,14.0,1.0,1.0,14.0,False,13.283214111647851,13.283214111647851,0.1598093195061665,0.15909267069691851,0.0006232674877980362,0.021232999277111586,0.17716687232170336,768,24,40,21700.804699998116
23,440.0,-0.1441387601371389,0.1441387601371389,1.0,1.0,14.0,1.0,1000.0,19.0,True,11.263922787334195,13.31791734413895,0.12725012304144911,0.4160623583258712,0.0008324633969184619,0.024929976343022037,0.24762591038193063,768,24,40,21747.826999999234
24,460.0,0.5692922452290077,-0.5692922452290077,1.0,1000.0,19.0,1.0,1000.0,20.0,True,1.0511356198739463,1.0674091301028394,0.0,0.43150089628761634,0.0004558118637016194,0.018759299010689106,0.18585476798020562,768,11,40,23123.09219999588
25,480.0,0.6398502296942752,-0.6398502296942752,1.0,1000.0,20.0,1.0,284.0,5.0,True,0.5924563233360978,0.766397196612333,0.0,0.21342058581649326,0.0006893552806872458,0.023948500195565898,0.16216837529967507,768,13,40,22387.79940000677
26,500.0,0.0013925449165981263,-0.0013925449165981263,1.0,284.0,5.0,1.0,253.0,5.0,True,0.48458811000380875,0.5000950926494984,0.0,0.17803645224194042,0.00047528798675777317,0.018669002056599427,0.12613876558613904,768,19,40,21812.273500006995
27,520.0,0.42376053307089023,-0.42376053307089023,1.0,253.0,5.0,1.0,394.0,4.0,True,0.40567445483065295,4.312255481281985,0.0,0.14390088336440385,0.00025338050911537376,0.013846649169117415,0.11660578555626838,768,19,40,22606.168800004525
28,540.0,0.07612964577856474,-0.07612964577856474,1.0,394.0,4.0,1.0,300.0,12.0,True,0.2706545355708327,0.2904318771083784,0.0,0.10660015239263884,0.0009006431604316326,0.02707783218759757,0.05295101498339686,768,18,40,21883.473000008962
29,560.0,0.14172285489621572,-0.14172285489621572,1.0,300.0,12.0,1.0,286.0,13.0,True,0.21643207748879784,0.22304584570884128,0.0,0.07814816493191756,0.0006973725394370927,0.02114154459633984,0.05664888492777726,768,24,40,22736.97360001097
30,580.0,0.13063619818422012,-0.13063619818422012,1.0,286.0,13.0,1.0,286.0,13.0,False,0.14737452851159727,0.14737452851159727,0.0,0.05462826485163532,0.0005076992080267372,0.01654079776460257,0.035579502768192925,768,24,40,23244.755699997768
31,600.0,0.06274261654471047,-0.06274261654471047,1.0,286.0,13.0,1.0,507.0,18.0,True,0.16347718406077819,0.18486108375601706,0.0,0.0673425203480292,0.000368865614045848,0.01631900615608081,0.02694781529449054,768,24,40,21789.044800010743
32,620.0,0.08556649417732842,-0.08556649417732842,1.0,507.0,18.0,1.0,764.0,19.0,True,0.12444784719196775,0.13868791303058192,0.0,0.05191260220617551,0.00015275904766576332,0.00876094048880287,0.019858847541287916,768,24,40,21737.679800004116
33,640.0,0.07770918545429595,-0.07770918545429595,1.0,764.0,19.0,1.0,766.0,19.0,True,0.11607086249747217,3.8337028147290164,0.0,0.047143344275536944,0.00020680630421555102,0.01153722469853864,0.020750142425320525,768,8,40,21680.43019999459
34,660.0,0.005041401236667298,-0.005041401236667298,1.0,766.0,19.0,1.0,629.0,20.0,True,0.10741088302229068,0.11093059642504399,0.0,0.04387306514545344,0.00024007867878406613,0.01237350311585499,0.01846435933746348,768,8,40,21947.406999999657
35,680.0,0.06440428771020379,-0.06440428771020379,1.0,629.0,20.0,1.0,629.0,20.0,False,0.10321403732771672,0.10321403732771672,0.0,0.04161228405200745,0.00026168754472174935,0.012958696048745203,0.018681031500093058,768,19,40,23331.07060000475
36,700.0,0.03837308600486722,-0.03837308600486722,1.0,629.0,20.0,5.0,89.0,20.0,True,0.08294265316493106,14.09499515827599,0.0,0.033327100241513107,2.8631648369700605e-05,0.0038349101059094,0.01614529444005634,768,20,40,22083.106100006262
37,720.0,0.04692593436629977,-0.04692593436629977,5.0,89.0,20.0,4.0,92.0,20.0,True,0.06001050307823073,0.06931419802037442,0.0,0.02231724761613805,4.285047267963348e-06,0.0015134468832025633,0.015354582609614814,768,24,40,21769.43559999927
