decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,917.0,1.0,True,47.035792484459385,54.665803889382744,0.0,23.51642948631197,5.867023670891387e-05,0.0805554717588119,0.0,768,24,40,19777.574099993217
2,20.0,25.152938440442085,-25.152938440442085,50.0,917.0,1.0,50.0,1000.0,1.0,True,43.920498588053135,43.93737632396642,0.0,21.958379152417184,7.480566437537425e-05,0.07270775998058991,0.0,768,2,40,22999.761899991427
3,40.0,23.513570427894592,-23.513570427894592,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.0972512299162,41.0972512299162,0.0,20.546162573548646,9.852165637825988e-05,0.06697274599924313,0.0,768,3,40,21607.99699999916
4,60.0,21.948414906859398,-21.948414906859398,50.0,1000.0,1.0,50.0,1000.0,1.0,False,38.54153369201854,38.54153369201854,0.0,19.267836856218945,0.00011719959161294994,0.05966662216493345,0.0,768,3,40,21967.71099999023
5,80.0,20.557778626680374,-20.557778626680374,50.0,1000.0,1.0,50.0,1000.0,17.0,True,36.13400441214358,36.23456195939901,0.0,18.063049973415037,0.00015808930627020135,0.057027981866551086,0.0,768,4,40,22104.158000001917
6,100.0,19.302623545750976,-19.302623545750976,50.0,1000.0,17.0,30.0,880.0,15.0,True,33.64890319869573,33.97408424733615,0.0,16.820113566704094,0.00017352130575083117,0.06128144899430948,0.0,768,24,40,21436.48669999675
7,120.0,18.240592705085874,-18.240592705085874,30.0,880.0,15.0,33.0,941.0,1.0,True,30.131207651932534,31.08318213192935,0.0,15.0584545600228,0.00028597063773864203,0.0700954674050594,0.0,768,24,40,23211.619900001097
8,140.0,16.45319182612002,-16.45319182612002,33.0,941.0,1.0,50.0,1.0,1.0,True,26.90414991317285,27.533670047782977,0.0,13.441081209480762,0.00043974988422656623,0.07577314877357239,0.0,768,10,40,22675.27120000159
9,160.0,15.125662224367261,-15.125662224367261,50.0,1.0,1.0,12.0,618.0,13.0,True,22.735759121184984,23.823517477357143,0.0,11.344935555756091,0.0009177601934560453,0.08922361257748726,0.0,768,24,40,21389.4161000062
10,180.0,13.105806993320584,-13.105806993320584,12.0,618.0,13.0,50.0,447.0,1.0,True,17.404757491786757,19.354826533906014,0.0,8.666320617496968,0.0014423251358563983,0.09328214824199677,0.0,768,24,40,21389.036100008525
11,200.0,10.393899293616414,-10.393899293616414,50.0,447.0,1.0,7.0,524.0,6.0,True,13.384329328031695,14.045924205458798,0.0,6.63891620747745,0.002129938261535895,0.08735853739273854,0.0,768,17,40,21452.75959999708
12,220.0,8.411921607330441,-8.411921607330441,7.0,524.0,6.0,39.0,998.0,3.0,True,7.345796641003701,10.069910259766957,0.0,3.2676173519343137,0.005042704950694369,0.10325549839016719,0.5584266896003551,768,24,40,22106.781599999522
13,240.0,5.011332498863339,-5.011332498863339,39.0,998.0,3.0,38.0,453.0,6.0,True,5.010786300642341,88.152011857172,0.0,2.164291215874255,0.0023701609693989965,0.061518743252142884,0.5636958204238807,768,16,40,22901.055800000904
14,260.0,3.378794001415372,-3.378794001415372,38.0,453.0,6.0,1.0,1.0,14.0,True,30.320452710562467,76.5932281737092,0.34312120638787746,1.0209771512076258,0.003039025506918433,0.057438142132014036,0.6768506217710958,768,17,40,21738.630699997884
15,280.0,1.8652315605431795,-1.8652315605431795,1.0,1.0,14.0,1.0,1.0,16.0,True,29.043969112351306,29.205006326655393,0.3411144856363535,0.5651109947502846,0.002061891161429005,0.0400736483585579,0.5214937138710048,768,24,40,21547.126999998
16,300.0,0.5187016297131777,-0.5187016297131777,1.0,1.0,16.0,1.0,1.0,16.0,False,28.48689655736839,28.48689655736839,0.3411144856363535,0.39383022172842175,0.0013038418636548864,0.029945751831968292,0.3448851698205216,768,24,40,21462.97130000312
17,320.0,-0.29550325963646173,0.29550325963646173,1.0,1.0,16.0,1.0,34.0,1.0,True,16.170515891495096,19.116281241786794,0.17774042580276728,0.7001028794562444,0.0016896698671188405,0.03605284995566576,0.4665925750052857,768,24,40,21466.660799997044
18,340.0,0.9919648943468928,-0.9919648943468928,1.0,34.0,1.0,23.0,34.0,2.0,True,1.8942785437105765,59.51265514588178,0.0,0.805480064425501,0.0002983248815760945,0.015953496061205767,0.26840217078076983,768,24,40,22680.34270001226
19,360.0,1.0278398031368852,-1.0278398031368852,23.0,34.0,2.0,2.0,315.0,7.0,True,0.7793802909350448,13.593928182931252,0.0,0.26130772191245344,0.0003196771611556084,0.01540116186086566,0.24078098905235745,768,24,40,22012.860699993325
20,380.0,0.3954529743641615,-0.3954529743641615,2.0,315.0,7.0,3.0,265.0,7.0,True,0.3520030473218756,4.199598392096258,0.0,0.12937016610230784,0.0001408027366186058,0.00923457029962148,0.08622257828632963,768,24,40,21544.855799991637
21,400.0,0.05923964158864692,-0.05923964158864692,3.0,265.0,7.0,1.0,566.0,3.0,True,0.1689017341418484,0.29818779957457725,0.0,0.06347749764026958,2.9022482398314356e-05,0.00442108829119183,0.0404956147413935,768,24,40,22300.63299999165
22,420.0,0.13445394358132035,-0.13445394358132035,1.0,566.0,3.0,2.0,366.0,6.0,True,0.16416247726558367,3.2122412536834477,0.0,0.06002346514069359,2.954746164919078e-05,0.004293908759465035,0.04263817390173695,768,22,40,21762.04570000118
23,440.0,0.03331927733961493,-0.03331927733961493,2.0,366.0,6.0,7.0,75.0,8.0,True,0.10160246956763411,0.10901719973265554,0.0,0.03666911113286915,1.292524764769466e-05,0.0026371340479668924,0.027617984919511077,768,24,40,22328.006099996855
24,460.0,0.07057753729168326,-0.07057753729168326,7.0,75.0,8.0,2.0,301.0,4.0,True,0.08334228821762152,0.1457056752390125,0.0,0.03387252304785306,1.3276353964694122e-06,0.0009721553611854735,0.015530860352091913,768,24,40,23336.851899992325
25,480.0,0.04463298065820709,-0.04463298065820709,2.0,301.0,4.0,1.0,293.0,1.0,True,0.03178243018752476,0.060434633243108035,0.0,0.01147221384344448,2.7026214369999012e-06,0.0013256701314299463,0.00870287142878581,768,21,40,21600.582900005975
26,500.0,0.015655215829610825,-0.015655215829610825,1.0,293.0,1.0,1.0,268.0,1.0,True,0.014927544676609061,0.017489085218605174,0.0,0.005308527848683298,1.032994265033367e-06,0.0008106460300974178,0.004258839265990798,768,16,40,21454.140399990138
27,520.0,0.011880306294187903,-0.011880306294187903,1.0,268.0,1.0,1.0,436.0,3.0,True,0.024807110335550244,0.5070014341962121,0.0,0.009446323110023514,8.969819086646355e-06,0.002681286849577028,0.005465973161170898,768,15,40,21424.560100000235
28,540.0,0.012123059015721083,-0.012123059015721083,1.0,436.0,3.0,1.0,537.0,2.0,True,0.03217313550520298,0.593774572546973,0.0,0.012118456022290048,2.0590864531012694e-05,0.0034877226591141573,0.006906680234072251,768,17,40,21450.409500001115
29,560.0,0.016521011828444898,-0.016521011828444898,1.0,537.0,2.0,4.0,547.0,8.0,True,0.02909887214258311,1.5247076029440136,0.0,0.01269409213491599,4.4920634440500365e-06,0.0016629446022890103,0.0034860847005486273,768,11,40,23281.988599992474
30,580.0,0.01301662193145603,-0.01301662193145603,4.0,547.0,8.0,4.0,547.0,8.0,False,0.025793119582132255,0.025793119582132255,0.0,0.0105314543696295,1.616408370177128e-06,0.0009760096917699019,0.004649390424364403,768,16,40,22165.596699996968
31,600.0,0.011953641776926816,-0.011953641776926816,4.0,547.0,8.0,1.0,702.0,8.0,True,0.016900683713940278,0.022145743697347575,0.0,0.00661893656506436,3.941632809212144e-06,0.0018504407045652326,0.003465728943350951,768,15,40,21602.269299997715
32,620.0,0.010739980876678601,-0.010739980876678601,1.0,702.0,8.0,1.0,711.0,8.0,True,0.014908723515260704,0.04549243906963137,0.0,0.005439668573671952,5.4266744680461135e-06,0.0022558188901688806,0.003758052644514496,768,17,40,21486.459699997795
33,640.0,0.010500670090550557,-0.010500670090550557,1.0,711.0,8.0,2.0,784.0,8.0,True,0.012953686814902613,0.268605497309262,0.0,0.004414824218292779,6.274532410778798e-07,0.0006365702154490021,0.0040926657162631596,768,16,40,21408.599200003664
34,660.0,0.00807735169382795,-0.00807735169382795,2.0,784.0,8.0,1.0,926.0,6.0,True,0.0102186393587362,0.29717502915949634,0.0,0.003858158940238354,3.2034798862369943e-06,0.0014411142386588603,0.0023421474839476417,768,14,40,22175.215399998706
35,680.0,0.0029735191174040665,-0.0029735191174040665,1.0,926.0,6.0,1.0,992.0,4.0,True,0.017110515728517923,0.08792799231358403,4.104254003323149e-06,0.005341255689882018,1.657951131835725e-05,0.003085058144419096,0.005270688462570171,768,13,40,22731.338600002346
36,700.0,0.0070574743704128196,-0.0070574743704128196,1.0,992.0,4.0,1.0,832.0,2.0,True,0.010133115053372582,0.11071608338923075,0.0,0.0036491691230366996,3.487253180618966e-06,0.0014720253574033938,0.0026604141482682348,768,13,40,21457.640199994785
37,720.0,0.0035738712294914876,-0.0035738712294914876,1.0,832.0,2.0,1.0,776.0,3.0,True,0.006407545051414296,0.014074697953695026,0.0,0.002190462893668155,2.4941027840664403e-06,0.0011784770673936389,0.0019019141248746646,768,9,40,22168.892500005313
38,740.0,0.0006919615962033276,-0.0006919615962033276,1.0,776.0,3.0,1.0,776.0,3.0,False,0.014336096673284386,0.014336096673284386,0.0,0.004080449028515431,1.3373325794059317e-05,0.0023979388278325456,0.005506532326550558,768,9,40,21981.68949999672
39,760.0,0.0037568373345493455,-0.0037568373345493455,1.0,776.0,3.0,1.0,759.0,3.0,True,0.04019889674958834,0.4056817712717581,0.00040149423057300737,0.002463776948115992,5.593535958744145e-06,0.0018770717645869202,0.0028721276095785555,768,9,40,21554.589400009718
40,780.0,-0.00040149423057300737,0.00040149423057300737,1.0,759.0,3.0,1.0,773.0,3.0,True,0.02675314540922379,0.18808845845094302,0.0001875480147646158,0.0033080916539802276,1.2411529582467372e-05,0.0025466350896003395,0.004512544440970705,768,8,40,23664.780599996448
41,800.0,0.0018931965832962305,-0.0018931965832962305,1.0,773.0,3.0,1.0,776.0,1.0,True,0.04881461830042576,0.5800534753871963,5.94051298321574e-05,0.012061449291013559,0.00012229902490487802,0.008593356491660532,0.01382435808658215,768,9,40,22128.887300001225
42,820.0,0.015340322840529552,-0.015340322840529552,1.0,776.0,1.0,1.0,909.0,2.0,True,0.10105597301224732,0.315701351089992,0.0005795471579403966,0.014826243694551522,0.00018061968499452955,0.011567294966274252,0.016008728738186064,768,7,40,21672.314800001914
43,840.0,-0.0005795471579403966,0.0005795471579403966,1.0,909.0,2.0,2.0,787.0,2.0,True,0.038797292248194434,0.10400572243609961,0.0,0.014021219949972874,4.363269661579251e-05,0.005404468963836105,0.008573217517459061,768,9,40,21663.601299995207
44,860.0,0.007149018326344958,-0.007149018326344958,2.0,787.0,2.0,2.0,884.0,2.0,True,0.025570772041376123,0.031665874054387595,0.0,0.009451932490810578,9.92033285760233e-06,0.002449389906243409,0.006170890416874851,768,7,40,21690.465799998492
45,880.0,0.015102785059752932,-0.015102785059752932,2.0,884.0,2.0,2.0,813.0,1.0,True,0.019576207339418887,0.15700737150190708,0.0,0.007598376477653801,2.781323250569139e-06,0.0013173040654062508,0.004240388221582831,768,9,40,22786.00199999346
46,900.0,0.0063941532653188915,-0.0063941532653188915,2.0,813.0,1.0,2.0,825.0,1.0,True,0.017450598902026666,0.018045147902349484,0.0,0.006434317652929167,1.224958209350688e-06,0.0008203780132298095,0.004520715685700798,768,7,40,22639.718100006576
