decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,917.0,1.0,True,47.04515707322729,54.66753425412386,0.0,23.51642948631197,0.0006149050301674058,0.0805554717588119,0.0,768,24,40,20143.748300004518
2,20.0,25.152938440442085,-25.152938440442085,50.0,917.0,1.0,50.0,1000.0,1.0,True,43.929912712921094,43.94592242538046,0.0,21.958379152417184,0.0006577204043364838,0.07270775998058991,0.0,768,2,40,23053.499100002227
3,40.0,23.513570427894592,-23.513570427894592,50.0,1000.0,1.0,50.0,1000.0,1.0,False,41.10734039990456,41.10734039990456,0.0,20.546162573548646,0.0007507626403634391,0.06697274599924313,0.0,768,3,40,21794.503200013423
4,60.0,21.948414906859398,-21.948414906859398,50.0,1000.0,1.0,50.0,1000.0,1.0,False,38.55162439695523,38.55162439695523,0.0,19.267836856218945,0.0007975342258671061,0.05966662216493345,0.0,768,3,40,21723.601599995163
5,80.0,20.557778626680374,-20.557778626680374,50.0,1000.0,1.0,50.0,1000.0,17.0,True,36.14527006304997,36.24460399074275,0.0,18.063049973415037,0.0009585058109947794,0.057027981866551086,0.0,768,4,40,21664.944100004504
6,100.0,19.302623545750976,-19.302623545750976,50.0,1000.0,17.0,30.0,880.0,15.0,True,33.658460670373394,33.984807265473385,0.0,16.820113566704094,0.0009116768482601818,0.06128144899430948,0.0,768,24,40,21649.843299994245
7,120.0,18.240592705085874,-18.240592705085874,30.0,880.0,15.0,33.0,941.0,1.0,True,30.143051544951245,31.092958250018434,0.0,15.0584545600228,0.001307121245282234,0.0700954674050594,0.0,768,24,40,22953.514399996493
8,140.0,16.45319182612002,-16.45319182612002,33.0,941.0,1.0,50.0,1.0,1.0,True,26.91398467560882,27.54242004110343,0.0,13.441081209480762,0.001591112832364756,0.07577314877357239,0.0,768,10,40,22152.618199994322
9,160.0,15.125662224367261,-15.125662224367261,50.0,1.0,1.0,12.0,618.0,13.0,True,22.745591507877407,23.831566385282006,0.0,11.344935555756091,0.0027860198182611505,0.08922361257748726,0.0,768,24,40,21969.51350000745
10,180.0,13.105806993320584,-13.105806993320584,12.0,618.0,13.0,50.0,462.0,1.0,True,17.442069963400737,19.356242308793973,0.0,8.685102013498545,0.0035932968201823844,0.09274460604557624,0.0,768,24,40,22411.553099998855
11,200.0,10.396341996267438,-10.396341996267438,50.0,462.0,1.0,7.0,683.0,8.0,True,13.361109438007745,14.091931632059012,0.0,6.638970513641834,0.004158420536203785,0.08721118802443528,0.0,768,16,40,21720.575899991672
12,220.0,8.425140904262662,-8.425140904262662,7.0,683.0,8.0,38.0,634.0,5.0,True,7.1293432557863765,10.023932896577506,0.0,3.197455292753875,0.008012525943082981,0.10442273624432392,0.5741821514169662,768,24,40,22678.538299995125
13,240.0,4.99347491748631,-4.99347491748631,38.0,634.0,5.0,38.0,1.0,7.0,True,4.8994320366261706,86.22263273142852,0.0,2.128718570806086,0.0030219214579013526,0.06103056038801487,0.5815564658559719,768,21,40,23443.428099999437
14,260.0,3.317358063533902,-3.317358063533902,38.0,1.0,7.0,1.0,1.0,8.0,True,32.29974940930458,85.42286039087222,0.3693874813616276,1.0051993621047586,0.0034286576890124607,0.057039039818426736,0.6697790223846113,768,24,40,21787.83359999943
15,280.0,1.8166966754943132,-1.8166966754943132,1.0,1.0,8.0,1.0,1.0,8.0,False,31.21821389858966,31.21821389858966,0.3693874813616276,0.5526220876490697,0.0021687557378883802,0.04029853269457817,0.5185960996035446,768,24,40,21715.850799999316
16,300.0,0.4810033682733774,-0.4810033682733774,1.0,1.0,8.0,1.0,1.0,8.0,False,30.67698066484992,30.67698066484992,0.3693874813616276,0.3765499934321269,0.001367377516147088,0.030937155183309164,0.34553461873251734,768,24,40,21709.398899998632
17,320.0,-0.3431913061067462,0.3431913061067462,1.0,1.0,8.0,1.0,1.0,2.0,True,18.907858153165648,22.336163081400258,0.22585226129740477,0.27277486409147966,0.0011036792040567246,0.027530406746126782,0.2720539371091741,768,24,40,21941.06230000034
18,340.0,0.5300241867080331,-0.5300241867080331,1.0,1.0,2.0,1.0,1.0,20.0,True,16.203226779898323,18.331614348932863,0.19122605212032795,0.3212939545046538,0.0005943260631886455,0.020267548958938092,0.2506681799990071,768,24,40,23148.97480000218
19,360.0,0.4182880995795131,-0.4182880995795131,1.0,1.0,20.0,1.0,1.0,14.0,True,14.21117754087964,16.016593584972185,0.17042297217994928,0.18761960992123933,0.0006774836759488055,0.02237871500591819,0.1885508731222418,768,24,40,21971.825000000536
20,380.0,-0.11823419202119112,0.11823419202119112,1.0,1.0,14.0,1.0,1.0,9.0,True,14.02988964381856,14.214044186164173,0.16909868083894253,0.16030376420821996,0.0006559818772137918,0.020862616526965912,0.1682680107424411,768,24,40,21747.071699996013
21,400.0,0.24100921489298344,-0.24100921489298344,1.0,1.0,9.0,1.0,1.0,14.0,True,12.13289576651235,14.0554919994229,0.1441387601371389,0.21240153151265986,0.00046142964069922866,0.017866960812870484,0.16776329970193601,768,24,40,21706.07440000458
22,420.0,0.21768073910789099,-0.21768073910789099,1.0,1.0,14.0,1.0,1.0,14.0,False,13.292877368629757,13.292877368629757,0.1598093195061665,0.15909267069691851,0.0006389797210448099,0.021232999277111586,0.17716687232170336,768,24,40,21704.38280000235
23,440.0,-0.1441387601371389,0.1441387601371389,1.0,1.0,14.0,1.0,1000.0,19.0,True,11.277849525434357,13.329051504550224,0.12725012304144911,0.4160623583258712,0.0009044527542377494,0.024929976343022037,0.24762591038193063,768,24,40,22626.273000001675
24,460.0,0.5692922452290077,-0.5692922452290077,1.0,1000.0,19.0,1.0,1000.0,20.0,True,1.0590049580889187,1.076076905056042,0.0,0.43150089628761634,0.0005074198766740164,0.018759299010689106,0.18585476798020562,768,11,40,22477.686500002164
25,480.0,0.6398502296942752,-0.6398502296942752,1.0,1000.0,20.0,1.0,284.0,5.0,True,0.603711114441415,0.7738443390704035,0.0,0.21342058581649326,0.000735078375437674,0.023948500195565898,0.16216837529967507,768,13,40,21717.97610000067
26,500.0,0.0013925449165981263,-0.0013925449165981263,1.0,284.0,5.0,1.0,253.0,5.0,True,0.49218450410067316,0.5078734927954188,0.0,0.17803645224194042,0.0004986417015326645,0.018669002056599427,0.12613876558613904,768,19,40,22570.790800004033
27,520.0,0.42376053307089023,-0.42376053307089023,1.0,253.0,5.0,1.0,405.0,4.0,True,0.4071729731847492,4.318630097045513,0.0,0.14312497873033864,0.000194378418662807,0.011960245393894207,0.1170354473508158,768,19,40,22064.457400003448
28,540.0,0.07709009639802389,-0.07709009639802389,1.0,405.0,4.0,1.0,405.0,4.0,False,0.2851074128435463,0.2851074128435463,0.0,0.10912702845380409,0.00010010721801180863,0.008357357315477341,0.06485121157570194,768,18,40,22278.35619999678
29,560.0,0.2115476137259975,-0.2115476137259975,1.0,405.0,4.0,1.0,417.0,13.0,True,0.2568604958483546,3.7642809890126494,0.0,0.09877228969780845,0.0005472221127988171,0.018456323429022748,0.048371474196761355,768,14,40,23787.711700002546
30,580.0,0.104026719374815,-0.104026719374815,1.0,417.0,13.0,1.0,277.0,9.0,True,0.16620595647773875,0.20998117414710094,0.0,0.06171354150574189,0.0005609706778656929,0.019627165489603218,0.03155945990894112,768,24,40,21752.54390000191
31,600.0,0.1088945925293956,-0.1088945925293956,1.0,277.0,9.0,1.0,277.0,9.0,False,0.16186567608504,0.16186567608504,0.0,0.06299044809275074,0.00038675220681082636,0.016032547963848814,0.028149735763321974,768,15,40,21724.239299990586
