decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_mae,horizon_weighted_motion,horizon_mean_abs_velocity,horizon_near_std,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,50.0,1000.0,3.0,True,47.02857226473085,54.66559382848893,0.0,23.513687788136302,5.983442291226481e-05,0.08107430554735355,0.0,1536,24,40,41750.394000002416
2,20.0,25.166639536619186,-25.166639536619186,50.0,1000.0,3.0,50.0,1000.0,1.0,True,43.8427351402691,43.89617105545358,0.0,21.92066380325705,7.037668774984188e-05,0.07413041314635521,0.0,1536,6,40,43717.344999997295
3,40.0,23.498675525188446,-23.498675525188446,50.0,1000.0,1.0,50.0,1000.0,1.0,False,40.98060441439286,40.98060441439286,0.0,20.48943725519348,8.649520029485937e-05,0.06809231059816785,0.0,1536,3,40,45046.98199999984
4,60.0,21.90821523964405,-21.90821523964405,50.0,1000.0,1.0,50.0,1000.0,1.0,False,38.376290567013,38.376290567013,0.0,19.187082445435227,0.00010628380712735426,0.06092546448016014,0.0,1536,3,40,45212.206099997275
5,80.0,20.4784397482872,-20.4784397482872,50.0,1000.0,1.0,50.0,1000.0,19.0,True,36.02153670110217,36.048663737478805,0.0,18.009261045209133,0.00015073053419523784,0.057085847231344536,0.0,1536,4,40,45877.301200001966
6,100.0,19.234826263040304,-19.234826263040304,50.0,1000.0,19.0,31.0,786.0,16.0,True,33.61611342008119,33.868432471215876,0.0,16.80636572439689,0.0001690985643704281,0.059831025831114784,0.0,1536,24,40,46277.00879999611
7,120.0,18.193720030598342,-18.193720030598342,31.0,786.0,16.0,33.0,915.0,1.0,True,29.858813134618863,31.098893502814942,0.0,14.926393297221512,0.00030132700879201757,0.07121720298742637,0.0,1536,24,40,44993.34159999853
8,140.0,16.37487647216767,-16.37487647216767,33.0,915.0,1.0,13.0,1000.0,9.0,True,26.89819465267118,27.221099987159715,0.0,13.444612799398602,0.00044845269369875486,0.07349600084125996,0.0,1536,11,40,45450.17910000752
9,160.0,14.969155288301408,-14.969155288301408,13.0,1000.0,9.0,10.0,1000.0,1.0,True,23.452530832714707,23.951144046664783,0.0,11.719498050026596,0.0006767366330756812,0.07817252715810752,0.0,1536,24,40,43738.31369999971
10,180.0,13.309656604193151,-13.309656604193151,10.0,1000.0,1.0,11.0,1.0,6.0,True,19.636771664757728,20.408691073313776,0.0,9.808247601985931,0.0010138230392932113,0.08146013978582162,0.0,1536,8,40,43469.88980000606
11,200.0,11.622108831070364,-11.622108831070364,11.0,1.0,6.0,50.0,77.0,1.0,True,11.941419374744108,16.382129817325435,0.0,5.672323480434716,0.0069736103750401195,0.14046139613940165,0.4573002063738745,1536,24,40,46387.09109999763
12,220.0,8.602518721483648,-8.602518721483648,50.0,77.0,1.0,47.0,1000.0,1.0,True,8.029657214379412,192.18456221049829,0.0,3.7023093005642296,0.004825455486437674,0.10347818525937888,0.5285295035221997,1536,24,40,45018.4392999945
13,240.0,5.6371802082285285,-5.6371802082285285,47.0,1000.0,1.0,50.0,1000.0,18.0,True,5.529006393818257,121.1647751356643,0.0,2.4527642887085674,0.002809763030702528,0.06885524629018246,0.5672825557870719,1536,16,40,44333.56929999718
14,260.0,3.825887634418905,-3.825887634418905,50.0,1000.0,18.0,42.0,90.0,12.0,True,16.852714964646026,95.13303316913922,0.1595501909032464,1.7036337750963866,0.0017197316596943095,0.049200512850895904,0.6470375089996517,1536,24,40,45464.80890001112
15,280.0,2.7050581788644195,-2.7050581788644195,42.0,90.0,12.0,1.0,1.0,11.0,True,28.03790915908955,87.93328664161378,0.322428778745234,0.7826784729957581,0.0026791929979785925,0.05010442045302345,0.6246660535197394,1536,24,40,44497.06949999381
16,300.0,1.2775274133309722,-1.2775274133309722,1.0,1.0,11.0,1.0,1.0,12.0,True,27.03034074125455,27.151084358742306,0.3208736451342702,0.46800146584864705,0.001695111991590789,0.03469525213138415,0.39054395898382627,1536,24,40,45275.73480000137
17,320.0,0.05789051856845617,-0.05789051856845617,1.0,1.0,12.0,1.0,1.0,2.0,True,26.068586375992286,26.79659552492707,0.3173311511054635,0.21269190011080355,0.000984296881751253,0.026576249800526943,0.23702454969857434,1536,24,40,44272.595899994485
18,340.0,0.14052439108490944,-0.14052439108490944,1.0,1.0,2.0,1.0,705.0,20.0,True,22.635142398126412,26.0467537348671,0.2704889458254911,0.3457428155874368,0.0012661586302256888,0.027717629114004712,0.27921792830773734,1536,24,40,43630.36130000546
19,360.0,0.5295274434611201,-0.5295274434611201,1.0,705.0,20.0,1.0,1.0,20.0,True,22.047149378741356,22.4886568556143,0.2648164081037976,0.28954827494599156,0.0010906237030486425,0.026509632309450984,0.2609277064845945,1536,24,40,44609.51019999629
20,380.0,-0.12892750842729583,0.12892750842729583,1.0,1.0,20.0,1.0,1.0,15.0,True,21.681710716972717,21.98583018413668,0.2612874257029034,0.2493625207192963,0.0008554829364280348,0.02401449003567298,0.2628819605732875,1536,24,40,44177.983899993706
21,400.0,0.17586981126805767,-0.17586981126805767,1.0,1.0,15.0,1.0,1.0,1.0,True,7.220491305787295,10.475929854350051,0.08188576070824638,0.216183210464078,0.0006103290156688159,0.020736983702637445,0.22505744788605272,1536,24,40,44438.374999997905
22,420.0,0.4965947772725485,-0.4965947772725485,1.0,1.0,1.0,1.0,1.0,4.0,True,8.256184512579887,22.66601652541661,0.09860710732755251,0.10774668345256941,0.0006305123746254017,0.02022925846969697,0.13951231197803876,1536,21,40,45569.87360000494
23,440.0,-0.03657844854751602,0.03657844854751602,1.0,1.0,4.0,1.0,1.0,6.0,True,9.986535562673877,12.658439030128374,0.12132204804220237,0.08603610951249721,0.0006457050004803474,0.020344544690511286,0.09578540026308709,1536,24,40,43718.00730000541
24,460.0,0.11783870015642606,-0.11783870015642606,1.0,1.0,6.0,1.0,130.0,20.0,True,0.9198467199019111,10.00232283400309,0.0,0.3571382319882105,0.000987439161936821,0.026396189992225025,0.1858214726867537,1536,24,40,44451.04879999417
25,480.0,0.5791044530633371,-0.5791044530633371,1.0,130.0,20.0,1.0,257.0,17.0,True,0.8764053357613559,9.658807546108834,0.0,0.33627448696061035,0.0008695540627812703,0.02538890569494703,0.18646528058450984,1536,24,40,44503.779000006034
26,500.0,0.535053637548117,-0.535053637548117,1.0,257.0,17.0,1.0,280.0,6.0,True,0.5289298427260875,0.6233020407526204,0.0,0.19260955591162202,0.0004356976907710637,0.017826306047843386,0.13499677708742217,1536,24,40,43632.79390000389
27,520.0,0.07157372191431932,-0.07157372191431932,1.0,280.0,6.0,1.0,264.0,6.0,True,0.4608285373314379,0.46681595759970873,0.0,0.16614877709071152,0.00029612508792668677,0.01455028703621326,0.1226084813914811,1536,20,40,44761.0435999959
28,540.0,0.3809524128155317,-0.3809524128155317,1.0,264.0,6.0,1.0,350.0,16.0,True,0.3187714857564419,3.6792268510322486,0.0,0.11950424435781315,0.0006709584815580334,0.022002464132711817,0.06634382740965492,1536,19,40,44579.483299996355
29,560.0,0.055890526244184,-0.055890526244184,1.0,350.0,16.0,1.0,176.0,20.0,True,0.20498221723650795,0.2506513785442724,0.0,0.0736981360882055,0.00048924075626108,0.01775891522470957,0.047801129934875335,1536,24,40,48118.823700002395
30,580.0,0.16784498895867728,-0.16784498895867728,1.0,176.0,20.0,1.0,368.0,17.0,True,0.15773050960405854,3.877176210310772,0.0,0.055453623456290305,0.0003696171318738151,0.013393069430713776,0.039430920054001624,1536,24,40,44639.600900001824
31,600.0,0.08673739767982624,-0.08673739767982624,1.0,368.0,17.0,1.0,368.0,17.0,False,0.11757214928054996,0.11757214928054996,0.0,0.04456125252965819,0.00015305347288141277,0.007869615224583763,0.02538857476360533,1536,24,40,44787.478999991436
32,620.0,0.10614171571432962,-0.10614171571432962,1.0,368.0,17.0,1.0,693.0,13.0,True,0.11466778019007463,6.320853027539741,0.0,0.044300798298354496,8.127039915537012e-05,0.006322184398110646,0.024440775610258248,1536,24,40,44824.781700008316
33,640.0,0.012477424195822095,-0.012477424195822095,1.0,693.0,13.0,1.0,984.0,13.0,True,0.07752477382969258,10.11642783191918,0.0,0.03471993085622671,6.4836305276506115e-06,0.002217261517683092,0.007955239506686154,1536,11,40,44447.988699990674
34,660.0,0.04233984471284202,-0.04233984471284202,1.0,984.0,13.0,1.0,984.0,13.0,False,0.07756464177172097,0.07756464177172097,0.0,0.03555413485373719,1.022069863749763e-05,0.002672459273479688,0.006251958091496634,1536,10,40,44237.609499992686
35,680.0,0.037962950500514125,-0.037962950500514125,1.0,984.0,13.0,1.0,986.0,13.0,True,0.07683061356583962,0.07812453813524915,0.0,0.03427755145021365,3.411046227291038e-05,0.0044533737169471215,0.007593301419954117,1536,10,40,45403.59709999757
36,700.0,0.03259946175603545,-0.03259946175603545,1.0,986.0,13.0,2.0,396.0,19.0,True,0.05991087558389422,14.24392329878159,0.0,0.024816731202736263,2.929522642420785e-06,0.0013618153374036178,0.010218822725573276,1536,10,40,44298.44879999291
37,720.0,0.032646748437400674,-0.032646748437400674,2.0,396.0,19.0,2.0,317.0,20.0,True,0.046509144893154074,0.056843925445476,0.0,0.017676819810549204,1.5582794246277224e-06,0.0010362622031094267,0.011124339683563113,1536,24,40,46295.297300006496
38,740.0,0.026537854868365685,-0.026537854868365685,2.0,317.0,20.0,2.0,345.0,20.0,True,0.029364236945588616,0.2403265921353482,0.0,0.01095277199165139,1.102533558155741e-06,0.000883606902882606,0.007436642291122722,1536,24,40,45406.938900006935
39,760.0,0.003975084346166113,-0.003975084346166113,2.0,345.0,20.0,4.0,294.0,20.0,True,0.027551717187193472,0.03190216460648263,0.0,0.010270136500162152,8.041778261008668e-07,0.0006935103417676239,0.00699536063034715,1536,24,40,44273.79629999632
40,780.0,0.02236842719503329,-0.02236842719503329,4.0,294.0,20.0,3.0,285.0,20.0,True,0.018900334830893834,0.0226480006441756,0.0,0.006946611583362028,3.6826665793597315e-07,0.0005046234265510299,0.004999746331011058,1536,24,40,44851.16600000765
41,800.0,0.0036892568205075804,-0.0036892568205075804,3.0,285.0,20.0,4.0,266.0,20.0,True,0.0054190859003102505,0.012930735236511337,0.0,0.0021904053586013104,5.978665431111297e-08,0.00016946120753439175,0.001037079450021407,1536,24,40,45417.42850000446
42,820.0,0.0018295371519343462,-0.0018295371519343462,4.0,266.0,20.0,4.0,266.0,20.0,False,0.00561366814354038,0.00561366814354038,0.0,0.002379306327745212,2.235816342298869e-08,9.887843669768397e-05,0.0008546083247814955,1536,24,40,44784.80619999755
43,840.0,0.0035671141877173795,-0.0035671141877173795,4.0,266.0,20.0,4.0,266.0,20.0,False,0.004750824565994208,0.004750824565994208,0.0,0.0020739252521536854,7.764869774335992e-09,6.247562495495446e-05,0.0006028187642913502,1536,24,40,45646.462400007294
44,860.0,0.001705986315755581,-0.001705986315755581,4.0,266.0,20.0,4.0,266.0,20.0,False,0.003973470741264808,0.003973470741264808,0.0,0.0018258063615490983,1.8906589649030172e-09,3.301613870558658e-05,0.0003218202049873131,1536,24,40,46988.98249999911
45,880.0,0.0015842933471503784,-0.0015842933471503784,4.0,266.0,20.0,4.0,266.0,20.0,False,0.004165544862129265,0.004165544862129265,0.0,0.001985993255766516,8.890314968354675e-10,2.2540045160340946e-05,0.00019354056996629616,1536,24,40,45272.0960000006
46,900.0,0.002322937546466619,-0.002322937546466619,4.0,266.0,20.0,4.0,266.0,20.0,False,0.00403537511856699,0.00403537511856699,0.0,0.00193346979741591,5.011588939991454e-10,1.8473998259138076e-05,0.0001684255005572907,1536,24,40,45999.58940000215
47,920.0,0.0017610456379202333,-0.0017610456379202333,4.0,266.0,20.0,4.0,252.0,20.0,True,0.001142552734090619,0.0038353671940676384,0.0,0.00042018644050187957,4.6402908202587275e-09,4.1960017254128754e-05,0.0003020870472704547,1536,24,40,44349.85670000606
48,940.0,0.0002503595496250455,-0.0002503595496250455,4.0,252.0,20.0,4.0,252.0,20.0,False,0.0009161807706193033,0.0009161807706193033,0.0,0.00038758025001186527,9.035123722834901e-10,2.2187259020985297e-05,0.00014100220034812724,1536,24,40,44854.00209999352
49,960.0,0.00032223267947983913,-0.00032223267947983913,4.0,252.0,20.0,4.0,252.0,20.0,False,0.0012220172760856025,0.0012220172760856025,0.0,0.0005244518567991463,3.2952713804147524e-10,1.4115927918294638e-05,0.00017310697194454911,1536,24,40,45355.09209999873
50,980.0,0.00035561236097692017,-0.00035561236097692017,4.0,252.0,20.0,4.0,252.0,20.0,False,0.0014900990380535023,0.0014900990380535023,0.0,0.0006466244916130571,1.5016821193817803e-10,9.7276713087187e-06,0.00019684705146314957,1536,24,40,45836.67330000026
51,1000.0,0.0004339823807413268,-0.0004339823807413268,4.0,252.0,20.0,4.0,251.0,20.0,True,0.0015275094335865957,0.0017410168856663972,0.0,0.0006939925511396438,7.048665323723936e-11,6.773945896608707e-06,0.0001395229215742434,1536,24,40,45326.57160000235
52,1020.0,0.0005740134090217452,-0.0005740134090217452,4.0,251.0,20.0,4.0,251.0,20.0,False,0.0016985465076276214,0.0016985465076276214,0.0,0.0007951453281350495,3.175191936201763e-11,4.5189771115544245e-06,0.00010825521631913487,1536,24,40,45897.818299999926
53,1040.0,0.0006956601225454051,-0.0006956601225454051,4.0,251.0,20.0,4.0,251.0,20.0,False,0.0017913731256788683,0.0017913731256788683,0.0,0.0008625191289340251,1.8369482144244988e-11,3.0203159538517025e-06,6.633450042117533e-05,1536,24,40,44796.745700004976
54,1060.0,0.0008107987565324493,-0.0008107987565324493,4.0,251.0,20.0,4.0,251.0,20.0,False,0.0018136656905871932,0.0018136656905871932,0.0,0.0008959100874733394,6.190401149585975e-12,1.8295802139169982e-06,2.1845391832491317e-05,1536,24,40,44726.41509999812
55,1080.0,0.0009039172005884666,-0.0009039172005884666,4.0,251.0,20.0,4.0,251.0,20.0,False,0.0018075169636800417,0.0018075169636800417,0.0,0.0008862653755514315,4.8949814808877386e-12,1.7902934599643954e-06,3.498611467754892e-05,1536,24,40,44998.72350000078
56,1100.0,0.0009116519923679789,-0.0009116519923679789,4.0,251.0,20.0,4.0,251.0,20.0,False,0.0017575099058723292,0.0017575099058723292,0.0,0.0008475995347481558,8.145154305052586e-12,2.4903514737563737e-06,6.231067347293136e-05,1536,24,40,45060.590199995204
57,1120.0,0.000908784607531743,-0.000908784607531743,4.0,251.0,20.0,4.0,251.0,20.0,False,0.001661278854009074,0.001661278854009074,0.0,0.0007892709599957471,1.260831265825088e-11,3.4384935404957036e-06,8.273668185132673e-05,1536,24,40,45299.311700000544
58,1140.0,0.0008698526879697965,-0.0008698526879697965,4.0,251.0,20.0,4.0,251.0,20.0,False,0.0015204834133923483,0.0015204834133923483,0.0,0.0007138311957305632,1.6212828670455728e-11,4.010659920776305e-06,9.282069767464846e-05,1536,24,40,45040.00029999588
59,1160.0,0.0007977209814953312,-0.0007977209814953312,4.0,251.0,20.0,4.0,251.0,20.0,False,0.001361899155152852,0.001361899155152852,0.0,0.0006325722486280938,1.6840026449072444e-11,4.09424015183154e-06,9.675432109613532e-05,1536,24,40,45133.364399996935
60,1180.0,0.0007229182418768687,-0.0007229182418768687,4.0,251.0,20.0,4.0,251.0,20.0,False,0.001197049301561185,0.001197049301561185,0.0,0.0005506731103878338,1.684990225706242e-11,4.095959516584676e-06,9.570274378747238e-05,1536,24,40,44818.51330000791
