step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.84540468454361,0.0,-26.84540468454361,26.84540468454361,50.0,1000.0,3.0,-54.108000000000004,-54.0,-0.108,-0.0,0.0,-0.15459531545639038,True
2,1,4.0,26.699060305953026,0.0,-26.699060305953026,26.699060305953026,50.0,1000.0,3.0,-53.864025598107844,-53.69080936908722,-0.21538161873817455,0.04216538971755119,-0.007027564952925198,-0.1463443785905838,True
3,1,6.0,26.55218067765236,0.0,-26.55218067765236,26.55218067765236,50.0,1000.0,3.0,-53.642240245981775,-53.39812061190605,-0.32217785996198645,0.07805822588627054,-0.013009704314378423,-0.1468796283006668,True
4,1,8.0,26.403121098876,0.0,-26.403121098876,26.403121098876,50.0,1000.0,3.0,-53.42207468863841,-53.10436135530472,-0.428386582672596,0.11067324933890359,-0.018445541556483928,-0.14905957877635956,True
5,1,10.0,26.215321242809296,0.0,-26.215321242809296,26.215321242809296,50.0,1000.0,3.0,-53.199469548764064,-52.806242197752,-0.5339990670681003,0.14077171605603267,-0.023461952676005444,-0.1877998560667038,True
6,1,12.0,25.990347385406494,0.0,-25.990347385406494,25.990347385406494,50.0,1000.0,3.0,-52.8909374434672,-52.43064248561859,-0.6388603520393374,0.17856539419073236,-0.029760899031788725,-0.2249738574028015,True
7,1,14.0,25.74414536356926,0.0,-25.74414536356926,25.74414536356926,50.0,1000.0,3.0,-52.50062346804961,-51.98069477081299,-0.7428217415809634,0.2228930443443445,-0.03714884072405742,-0.2462020218372345,True
8,1,16.0,25.542348831892014,0.0,-25.542348831892014,25.542348831892014,50.0,1000.0,3.0,-52.06530683334927,-51.48829072713852,-0.8457983230352409,0.26878221682448944,-0.044797036137414904,-0.2017965316772461,True
9,1,18.0,25.36315666139126,0.0,-25.36315666139126,25.36315666139126,50.0,1000.0,3.0,-51.73448279779396,-51.08469766378403,-0.9479677183628095,0.2981825843528795,-0.04969709739214658,-0.1791921705007553,True
10,1,20.0,25.166639536619186,0.0,-25.166639536619186,25.166639536619186,50.0,1000.0,3.0,-51.45712047179871,-50.72631332278251,-1.0494203450083732,0.31861319599218274,-0.05310219933203046,-0.19651712477207184,True
11,2,22.0,24.973970890045166,0.0,-24.973970890045166,24.973970890045166,50.0,1000.0,1.0,-51.36942588686097,-50.333279073238366,-1.1500869031548493,0.11394008953224558,-0.05697004476612279,-0.19266864657402039,True
12,2,24.0,24.80148959159851,0.0,-24.80148959159851,24.80148959159851,50.0,1000.0,1.0,-51.07733657704673,-49.94794178009033,-1.2499827867150284,0.12058798975863783,-0.06029399487931891,-0.17248129844665527,True
13,2,26.0,24.637171521782875,0.0,-24.637171521782875,24.637171521782875,50.0,1000.0,1.0,-50.82740152369867,-49.60297918319702,-1.349188745081423,0.12476640457977824,-0.06238320228988911,-0.16431806981563568,True
14,2,28.0,24.466048404574394,0.0,-24.466048404574394,24.466048404574394,50.0,1000.0,1.0,-50.59427639735884,-49.27434304356575,-1.447737431168555,0.12780407737545452,-0.06390203868772726,-0.17112311720848083,True
15,2,30.0,24.300711363554,0.0,-24.300711363554,24.300711363554,50.0,1000.0,1.0,-50.34652776076882,-48.93209680914879,-1.5456016247868531,0.13117067316682549,-0.06558533658341274,-0.16533704102039337,True
16,2,32.0,24.149773865938187,0.0,-24.149773865938187,24.149773865938187,50.0,1000.0,1.0,-50.11053711108616,-48.601422727108,-1.6428044702410705,0.13369008626290874,-0.06684504313145437,-0.1509374976158142,True
17,2,34.0,23.987123638391495,0.0,-23.987123638391495,23.987123638391495,50.0,1000.0,1.0,-49.90429126733245,-48.29954773187637,-1.7394035657048212,0.1346600302487465,-0.06733001512437325,-0.1626502275466919,True
18,2,36.0,23.818618819117546,0.0,-23.818618819117546,23.818618819117546,50.0,1000.0,1.0,-49.672997015122064,-47.97424727678299,-1.8353520602583846,0.13660232191930294,-0.06830116095965147,-0.16850481927394867,True
19,2,38.0,23.655912190675735,0.0,-23.655912190675735,23.655912190675735,50.0,1000.0,1.0,-49.42897256057693,-47.63723763823509,-1.9306265355348549,0.13889161319302284,-0.06944580659651142,-0.1627066284418106,True
20,2,40.0,23.498675525188446,0.0,-23.498675525188446,23.498675525188446,50.0,1000.0,1.0,-49.196639181727484,-47.31182438135147,-2.02525018429756,0.14043538392154228,-0.07021769196077114,-0.15723666548728943,True
21,3,42.0,23.331802740693092,0.0,-23.331802740693092,23.331802740693092,50.0,1000.0,1.0,-48.97526134678058,-46.99735105037689,-2.1192448863983127,0.14133458999462942,-0.07066729499731471,-0.1668727844953537,True
22,3,44.0,23.16689570248127,0.0,-23.16689570248127,23.16689570248127,50.0,1000.0,1.0,-48.73315348372165,-46.663605481386185,-2.212572097361085,0.14302409502562416,-0.07151204751281208,-0.1649070382118225,True
23,3,46.0,23.005484715104103,0.0,-23.005484715104103,23.005484715104103,50.0,1000.0,1.0,-48.494657363204645,-46.33379140496254,-2.3052396801710078,0.14437372192890324,-0.07218686096445162,-0.16141098737716675,True
24,3,48.0,22.84832340478897,0.0,-22.84832340478897,22.84832340478897,50.0,1000.0,1.0,-48.26295428632028,-46.010969430208206,-2.3972616190314255,0.1452767629193563,-0.07263838145967814,-0.15716131031513214,True
25,3,50.0,22.683585822582245,0.0,-22.683585822582245,22.683585822582245,50.0,1000.0,1.0,-48.039594421016155,-45.69664680957794,-2.4886549126505844,0.1457073012123724,-0.0728536506061862,-0.16473758220672607,True
26,3,52.0,22.526516124606133,0.0,-22.526516124606133,22.526516124606133,50.0,1000.0,1.0,-47.79977532893804,-45.36717164516449,-2.5793892559409133,0.1467855721673637,-0.07339278608368185,-0.15706969797611237,True
27,3,54.0,22.368474915623665,0.0,-22.368474915623665,22.368474915623665,50.0,1000.0,1.0,-47.57546371277392,-45.053032249212265,-2.6694953204393403,0.14706385687768941,-0.07353192843884471,-0.15804120898246765,True
28,3,56.0,22.216504126787186,0.0,-22.216504126787186,22.216504126787186,50.0,1000.0,1.0,-47.34851512967456,-44.73694983124733,-2.758969220101837,0.14740392167461264,-0.07370196083730632,-0.1519707888364792,True
29,3,58.0,22.055429562926292,0.0,-22.055429562926292,22.055429562926292,50.0,1000.0,1.0,-47.13368383837809,-44.43300825357437,-2.847835236608987,0.1471596518052656,-0.0735798259026328,-0.16107456386089325,True
30,3,60.0,21.90821523964405,0.0,-21.90821523964405,21.90821523964405,50.0,1000.0,1.0,-46.89914972258509,-44.110859125852585,-2.9360569548606943,0.14776635812818742,-0.07388317906409371,-0.14721432328224182,True
31,4,62.0,21.75269728899002,0.0,-21.75269728899002,21.75269728899002,50.0,1000.0,1.0,-46.69306521653194,-43.8164304792881,-3.023689815819274,0.14705507857543929,-0.07352753928771964,-0.15551795065402985,True
32,4,64.0,21.60898432135582,0.0,-21.60898432135582,21.60898432135582,50.0,1000.0,1.0,-46.46892860583577,-43.50539457798004,-3.1107006049752353,0.1471665771195092,-0.0735832885597546,-0.14371296763420105,True
33,4,66.0,21.45014962553978,0.0,-21.45014962553978,21.45014962553978,50.0,1000.0,1.0,-46.26891100252433,-43.21796864271164,-3.1971365422606604,0.1461941824479749,-0.07309709122398746,-0.15883469581604004,True
34,4,68.0,21.314951300621033,0.0,-21.314951300621033,21.314951300621033,50.0,1000.0,1.0,-46.03654704641899,-42.90029925107956,-3.282937140762822,0.1466893454233886,-0.0733446727116943,-0.13519832491874695,True
35,4,70.0,21.159067675471306,0.0,-21.159067675471306,21.159067675471306,50.0,1000.0,1.0,-45.85311118762721,-42.629902601242065,-3.3681969459653,0.14498835958015568,-0.07249417979007784,-0.15588362514972687,True
36,4,72.0,21.028514713048935,0.0,-21.028514713048935,21.028514713048935,50.0,1000.0,1.0,-45.625638320627466,-42.31813535094261,-3.452833216667191,0.14533024698233948,-0.07266512349116974,-0.1305529624223709,True
37,4,74.0,20.868319377303123,0.0,-20.868319377303123,20.868319377303123,50.0,1000.0,1.0,-45.45064013277069,-42.05702942609787,-3.536947275519388,0.14333656884656762,-0.07166828442328381,-0.16019533574581146,True
38,4,76.0,20.749361626803875,0.0,-20.749361626803875,20.749361626803875,50.0,1000.0,1.0,-45.21283128599267,-41.73663875460625,-3.6204205530285987,0.14422802164217136,-0.07211401082108568,-0.1189577504992485,True
39,4,78.0,20.58897065371275,0.0,-20.58897065371275,20.58897065371275,50.0,1000.0,1.0,-45.060855954843774,-41.49872325360775,-3.70341799953582,0.14128529829979897,-0.07064264914989948,-0.1603909730911255,True
