rank,candidate_id,step,elapsed_s,temp,temp_ref,error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta
1,394,1,2.0,26.893027521669865,0.0,-26.893027521669865,6.0,936.0,17.0,-100.0,-100.0,0.0,-0.0,0.0,-0.10697247833013535
1,394,2,4.0,26.856112401932478,0.0,-26.856112401932478,6.0,936.0,17.0,-100.0,-100.0,0.0,1.3777748952869584,-0.004862734924542207,-0.036915119737386703
1,394,3,6.0,26.83544730581343,0.0,-26.83544730581343,6.0,936.0,17.0,-100.0,-100.0,0.0,1.7218057833669613,-0.006076961588353982,-0.02066509611904621
1,394,4,8.0,26.93419094569981,0.0,-26.93419094569981,6.0,936.0,17.0,-100.0,-100.0,0.0,1.8237240783463733,-0.006436673217693083,0.09874363988637924
1,394,5,10.0,26.95316063053906,0.0,-26.95316063053906,6.0,936.0,17.0,-100.0,-100.0,0.0,0.377970102400807,-0.0013340121261204952,0.018969684839248657
1,394,6,12.0,27.02827281691134,0.0,-27.02827281691134,6.0,936.0,17.0,-100.0,-100.0,0.0,0.09759160604436362,-0.0003444409625095187,0.07511218637228012
1,394,7,14.0,27.044477300718427,0.0,-27.044477300718427,6.0,936.0,17.0,-100.0,-100.0,0.0,-0.8791410666735309,0.0031028508235536384,0.016204483807086945
1,394,8,16.0,27.10371414013207,0.0,-27.10371414013207,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.0039893347374649,0.003543491769661641,0.05923683941364288
1,394,9,18.0,27.114924678578973,0.0,-27.114924678578973,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.67117280676881,0.005898256965066388,0.011210538446903229
1,394,10,20.0,27.164395527914166,0.0,-27.164395527914166,6.0,936.0,17.0,-100.0,-100.0,0.0,-1.656148961036459,0.005845231627187503,0.049470849335193634
1,394,11,22.0,27.169958965852857,0.0,-27.169958965852857,6.0,936.0,17.0,-100.0,-100.0,0.0,-2.135340083267211,0.007536494411531335,0.0055634379386901855
