run_id,checkpoint,trajectory_csv,decisions_csv,scenario_start_temp,scenario_target_temp,scenario_duration_s,scenario_dt_s,scenario_precondition_ref,mpc_optimizer,mpc_horizon_s,mpc_hold_s,mpc_population,mpc_iterations,mpc_elite_frac,mpc_apply_margin,mpc_candidate_table,mpc_candidate_table_rows,mpc_history_candidates,mpc_history_neighbor_pool,bounds_kp_min,bounds_kp_max,bounds_ki_min,bounds_ki_max,bounds_kd_min,bounds_kd_max,cost_overshoot_max,cost_overshoot_rmse,cost_abs_error,cost_final_abs_error,cost_near_std,cost_control_change,metric_valid,metric_invalid_reason,metric_mae_full,metric_tail_mae,metric_tail_bias,metric_tail_std,metric_overshoot_max,metric_overshoot_rmse,metric_final_error,metric_final_abs_error,metric_end_temp,metric_min_temp,metric_max_temp,metric_time_to_near_s,metric_time_to_settle_s,metric_pid_changes,scenario_name,summary_json,selection_score,valid_sort
mpc_20260604_110537_c2f6eea9,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_110537_c2f6eea9\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_110537_c2f6eea9\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,5.0,0.05,True,,4.491260304103993,0.08329773999985084,-0.08329773999985084,0.023048440274679557,0.25026087142759934,0.0353747593492047,-0.05185203955988982,0.05185203955988982,0.05185203955988982,-0.25026087142759934,26.444029450416565,360.0,382.0,26,abs2_final0.5_std5_change0.05,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_110537_c2f6eea9\mpc_summary.json,27.307193118907445,0
mpc_20260604_080525_15aafdfe,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_080525_15aafdfe\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_080525_15aafdfe\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,180.0,30.0,256,3,0.12,0.0,,0,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.471367324762821,9.933802640760417e-05,9.901991831833017e-05,5.6157932420070256e-05,0.2804398243642936,0.05149335969710174,6.606169478118318e-05,6.606169478118318e-05,-6.606169478118318e-05,-0.2804398243642936,26.449110209941864,384.0,416.0,21,h180_hold30,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_080525_15aafdfe\mpc_summary.json,29.09525205937405,0
mpc_20260604_055456_4ee17710,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_055456_4ee17710\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_055456_4ee17710\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,60.0,10.0,256,3,0.12,0.0,,0,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.24389935586101,0.0005649666479900075,-0.0005649666479900075,0.0004982975478417081,0.33334738947451115,0.028032715920662865,-9.526590344677288e-05,9.526590344677288e-05,9.526590344677288e-05,-0.33334738947451115,26.438072502613068,344.0,374.0,74,h60_hold10,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_055456_4ee17710\mpc_summary.json,37.03951303482122,0
mpc_20260604_143321_4dac4dee,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_143321_4dac4dee\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_143321_4dac4dee\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,512,3,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.324585031243593,0.0011160214568002064,-0.0011160214568002064,0.0009610495812208186,0.35115289664827287,0.02904738309371311,-0.00013915146701037884,0.00013915146701037884,0.00013915146701037884,-0.35115289664827287,26.442439019680023,358.0,386.0,53,cem512_iter3,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_143321_4dac4dee\mpc_summary.json,37.774183385943836,0
mpc_20260604_071638_1adf1dfa,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_071638_1adf1dfa\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_071638_1adf1dfa\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,120.0,20.0,256,3,0.12,0.0,,0,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.488709335696514,0.07271034039083875,-0.07271034039083875,0.10699094150813293,0.35969069769907946,0.06074039809931879,-0.002417080847408215,0.002417080847408215,0.002417080847408215,-0.35969069769907946,26.44542157649994,362.0,390.0,40,h120_hold20,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_071638_1adf1dfa\mpc_summary.json,38.57077416335249,0
mpc_20260604_153833_de8c9262,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_153833_de8c9262\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_153833_de8c9262\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,512,5,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.46865922905637,0.017548940392384343,-0.017548940392384343,0.01638362561081227,0.3721640601288527,0.0334069081744537,-0.0027337983128177257,0.0027337983128177257,0.0027337983128177257,-0.3721640601288527,26.442568600177765,356.0,384.0,47,cem512_iter5,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_153833_de8c9262\mpc_summary.json,39.714255949196996,0
mpc_20260604_100002_397cc511,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_100002_397cc511\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_100002_397cc511\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,5.0,1.0,1.0,0.01,True,,4.537410865271922,0.01670416823258436,-0.01670416823258436,0.010341913257376857,0.39505314829875715,0.047840710330981896,-0.008764985788729973,0.008764985788729973,0.008764985788729973,-0.39505314829875715,26.44286173582077,358.0,384.0,39,abs5_final1.0_std1_change0.01,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_100002_397cc511\mpc_summary.json,41.647169355440695,0
mpc_20260604_131646_14ddfa8b,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_131646_14ddfa8b\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_131646_14ddfa8b\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,200.0,30.0,2.0,0.5,1.0,0.01,True,,4.391779281823251,0.0012140643169144798,-0.0012140643169144798,0.0007552674989034348,0.40844595385715365,0.03614988843376427,-0.0002897555135064067,0.0002897555135064067,0.0002897555135064067,-0.40844595385715365,26.44075256586075,354.0,388.0,44,overshoot200,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_131646_14ddfa8b\mpc_summary.json,43.05507379743281,0
mpc_20260604_092713_f3f6d94a,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_092713_f3f6d94a\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_092713_f3f6d94a\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.402069985194752,0.014140128728906456,-0.014139584508863863,0.01031763046143862,0.40844595385715365,0.03637106952165376,-0.013214151575084543,0.013214151575084543,0.013214151575084543,-0.40844595385715365,26.44075256586075,354.0,388.0,42,abs2_final0.5_std1_change0.01,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_092713_f3f6d94a\mpc_summary.json,43.16807280603363,0
mpc_20260604_121105_1836535f,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\validation_t1\lstm_t1.pt,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_121105_1836535f\mpc_trajectory.csv,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_121105_1836535f\mpc_decisions.csv,27.0,0.0,1200.0,2.0,27.0,cem,80.0,20.0,256,3,0.12,0.0,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs\mpc_candidate_table.csv,4762,24,250,1.0,50.0,1.0,1000.0,1.0,20.0,80.0,30.0,2.0,0.5,1.0,0.01,True,,4.402069985194752,0.014140128728906456,-0.014139584508863863,0.01031763046143862,0.40844595385715365,0.03637106952165376,-0.013214151575084543,0.013214151575084543,0.013214151575084543,-0.40844595385715365,26.44075256586075,354.0,388.0,42,overshoot80,G:\Other computers\My Laptop (1)\deepvac\scripts\lstm\mpc_pid_runs_batch\mpc_20260604_121105_1836535f\mpc_summary.json,43.16807280603363,0
