decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,25.0,994.0,1.0,True,62.19942677926463,63.542534437961876,0.0,0.0,24.924112433474512,24.692247501574457,0.0,0.5078161528370485,768,0,20,16152.222700002312
2,10.0,25.33886307477951,-25.33886307477951,25.0,994.0,1.0,23.0,1000.0,20.0,True,61.61139787262723,61.77435881234705,0.0,0.0,24.64799808311509,24.619246584828943,0.0,0.5778413982572259,768,0,20,15847.521900002903
3,20.0,24.539182528853416,-24.539182528853416,23.0,1000.0,20.0,50.0,1000.0,20.0,True,60.44568160084341,61.52715616771302,0.0,0.0,24.251418668963016,23.879325890215114,0.0,0.31813178098203865,768,0,20,15870.278100002906
4,30.0,24.576817739056423,-24.576817739056423,50.0,1000.0,20.0,14.0,952.0,8.0,True,57.765142133470675,59.951888127741405,0.0,0.0,23.33896707990207,22.163214901695028,0.0,0.560052281902081,768,0,20,15844.871799999964
5,40.0,24.041280942270532,-24.041280942270532,14.0,952.0,8.0,10.0,735.0,1.0,True,55.8267096488389,56.230433502816595,0.0,0.0,22.579135597357528,21.331849234411493,0.0,0.2513836918096628,768,0,20,15931.362199997238
6,50.0,23.31914279074408,-23.31914279074408,10.0,735.0,1.0,11.0,701.0,1.0,True,54.17683174594761,54.18301425504033,0.0,0.0,21.922101787338033,20.66479811281897,0.0,0.022911486205927204,768,0,20,15783.594300002733
7,60.0,22.630973549792543,-22.630973549792543,11.0,701.0,1.0,12.0,699.0,1.0,True,52.517939988005786,52.56294126587454,0.0,0.0,21.261272698501124,19.990552397677675,0.0,0.01183921647012462,768,0,20,16543.93340000388
8,70.0,21.991043167421594,-21.991043167421594,12.0,699.0,1.0,13.0,794.0,1.0,True,50.87713141776975,50.89461006599013,0.0,0.0,20.603569678077474,19.338861057767645,0.0,0.05615327309845369,768,0,20,16477.935800001433
9,80.0,21.33303497196175,-21.33303497196175,13.0,794.0,1.0,4.0,708.0,1.0,True,49.09121689917216,49.22883250417654,0.0,0.0,19.895024940976874,18.59999176324345,0.0,0.11711355966832027,768,0,20,15999.637799999618
10,90.0,20.604015844175592,-20.604015844175592,4.0,708.0,1.0,15.0,644.0,1.0,True,47.169575272618204,47.32200379970018,0.0,0.0,19.151508652279155,17.73042026371695,0.0,0.13478362014215567,768,0,20,16106.698999996297
