step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.415689885616302,0.0,-26.415689885616302,26.415689885616302,25.0,994.0,1.0,-100.0,-100.0,-0.2173038229376258,-0.0,0.0,-0.5843101143836975,True
2,1,4.0,26.024910002946854,0.0,-26.024910002946854,26.024910002946854,25.0,994.0,1.0,-100.0,-100.0,-0.42990494877759594,0.10624583983958867,-0.026561459959897168,-0.39077988266944885,True
3,1,6.0,25.77371796965599,0.0,-25.77371796965599,25.77371796965599,25.0,994.0,1.0,-100.0,-100.0,-0.6393609648978923,0.1671670956503537,-0.041791773912588426,-0.25119203329086304,True
4,1,8.0,25.55821767449379,0.0,-25.55821767449379,25.55821767449379,25.0,994.0,1.0,-100.0,-100.0,-0.8467953147542786,0.1968956686675865,-0.04922391716689663,-0.21550029516220093,True
5,1,10.0,25.33886307477951,0.0,-25.33886307477951,25.33886307477951,25.0,994.0,1.0,-100.0,-100.0,-1.0524952557964813,0.217298573941297,-0.05432464348532426,-0.21935459971427917,True
6,2,12.0,25.110570922493935,0.0,-25.110570922493935,25.110570922493935,23.0,1000.0,20.0,-100.0,-100.0,-1.272833195577173,5.140349758770858,-0.05911402222586487,-0.22829215228557587,True
7,2,14.0,24.87776504456997,0.0,-24.87776504456997,24.87776504456997,23.0,1000.0,20.0,-100.0,-100.0,-1.4911859862075552,5.552419654150715,-0.06385282602273323,-0.23280587792396545,True
8,2,16.0,24.69866882264614,0.0,-24.69866882264614,24.69866882264614,23.0,1000.0,20.0,-100.0,-100.0,-1.7075143778994661,5.943024495452686,-0.0683447816977059,-0.17909622192382812,True
9,2,18.0,24.585853330790997,0.0,-24.585853330790997,24.585853330790997,23.0,1000.0,20.0,-100.0,-100.0,-1.9222854111398653,6.084063336975372,-0.06996672837521678,-0.1128154918551445,True
10,2,20.0,24.539182528853416,0.0,-24.539182528853416,24.539182528853416,23.0,1000.0,20.0,-100.0,-100.0,-2.136075440103265,5.949650547819951,-0.06842098129992943,-0.04667080193758011,True
11,3,22.0,24.495403043925762,0.0,-24.495403043925762,24.495403043925762,50.0,1000.0,20.0,-48.75196165411267,-49.07836505770683,-2.234232170218679,2.5606355738128492,-0.06401588934532124,-0.043779484927654266,True
12,3,24.0,24.601155065000057,0.0,-24.601155065000057,24.601155065000057,50.0,1000.0,20.0,-48.92703730830912,-48.990806087851524,-2.3322137823943825,2.395982561936783,-0.059899564048419576,0.10575202107429504,True
13,3,26.0,24.624707113951445,0.0,-24.624707113951445,24.624707113951445,50.0,1000.0,20.0,-49.65778782084067,-49.202310130000114,-2.430618402654382,1.9751407118138355,-0.04937851779534588,0.023552048951387405,True
14,3,28.0,24.573998730629683,0.0,-24.573998730629683,24.573998730629683,50.0,1000.0,20.0,-50.03462345664372,-49.24941422790289,-2.529117231110188,1.7439080023693585,-0.04359770005923396,-0.050708383321762085,True
15,3,30.0,24.576817739056423,0.0,-24.576817739056423,24.576817739056423,50.0,1000.0,20.0,-50.10564954329057,-49.147997461259365,-2.6274132260327057,1.6697611440015085,-0.04174402860003771,0.0028190084267407656,True
16,4,32.0,24.585381435463205,0.0,-24.585381435463205,24.585381435463205,14.0,952.0,8.0,-100.0,-100.0,-2.6274132260327057,2.1505108458483546,-0.03763393980234621,0.008563696406781673,True
17,4,34.0,24.442882584640756,0.0,-24.442882584640756,24.442882584640756,14.0,952.0,8.0,-100.0,-100.0,-2.6274132260327057,1.9231296827828905,-0.033654769448700585,-0.14249885082244873,True
18,4,36.0,24.36939168930985,0.0,-24.36939168930985,24.36939168930985,14.0,952.0,8.0,-100.0,-100.0,-2.6274132260327057,2.1098367588113014,-0.036922143279197774,-0.07349089533090591,True
19,4,38.0,24.158258432755247,0.0,-24.158258432755247,24.158258432755247,14.0,952.0,8.0,-100.0,-100.0,-2.6274132260327057,2.099479608430475,-0.036740893147533316,-0.21113325655460358,True
20,4,40.0,24.041280942270532,0.0,-24.041280942270532,24.041280942270532,14.0,952.0,8.0,-100.0,-100.0,-2.6274132260327057,2.447648748980283,-0.04283385310715496,-0.11697749048471451,True
21,5,42.0,23.87581262202002,0.0,-23.87581262202002,23.87581262202002,10.0,735.0,1.0,-100.0,-100.0,-2.6274132260327057,0.44065493328195315,-0.044065493328195315,-0.16546832025051117,True
22,5,44.0,23.749686824390665,0.0,-23.749686824390665,23.749686824390665,10.0,735.0,1.0,-100.0,-100.0,-2.6274132260327057,0.473839350556215,-0.047383935055621496,-0.12612579762935638,True
23,5,46.0,23.568204241106287,0.0,-23.568204241106287,23.568204241106287,10.0,735.0,1.0,-100.0,-100.0,-2.6274132260327057,0.4859740718105807,-0.04859740718105807,-0.18148258328437805,True
24,5,48.0,23.456682982156053,0.0,-23.456682982156053,23.456682982156053,10.0,735.0,1.0,-100.0,-100.0,-2.6274132260327057,0.5221152519821637,-0.05221152519821636,-0.11152125895023346,True
25,5,50.0,23.31914279074408,0.0,-23.31914279074408,23.31914279074408,10.0,735.0,1.0,-100.0,-100.0,-2.6274132260327057,0.523006054291374,-0.05230060542913739,-0.13754019141197205,True
26,6,52.0,23.188695119926706,0.0,-23.188695119926706,23.188695119926706,11.0,701.0,1.0,-100.0,-100.0,-2.6274132260327057,0.48694501916343613,-0.05356395210797797,-0.13044767081737518,True
27,6,54.0,23.030019032070413,0.0,-23.030019032070413,23.030019032070413,11.0,701.0,1.0,-100.0,-100.0,-2.6274132260327057,0.49440343889480215,-0.054384378278428236,-0.15867608785629272,True
28,6,56.0,22.905422600219026,0.0,-22.905422600219026,22.905422600219026,11.0,701.0,1.0,-100.0,-100.0,-2.6274132260327057,0.5128158772343988,-0.05640974649578387,-0.12459643185138702,True
29,6,58.0,22.76471114368178,0.0,-22.76471114368178,22.76471114368178,11.0,701.0,1.0,-100.0,-100.0,-2.6274132260327057,0.515388447083154,-0.05669272917914693,-0.1407114565372467,True
30,6,60.0,22.630973549792543,0.0,-22.630973549792543,22.630973549792543,11.0,701.0,1.0,-100.0,-100.0,-2.6274132260327057,0.5243752005471702,-0.05768127206018873,-0.13373759388923645,True
31,7,62.0,22.516639368841425,0.0,-22.516639368841425,22.516639368841425,12.0,699.0,1.0,-100.0,-100.0,-2.6274132260327057,0.4854875147157269,-0.05825850176588723,-0.11433418095111847,True
32,7,64.0,22.369216250488535,0.0,-22.369216250488535,22.369216250488535,12.0,699.0,1.0,-100.0,-100.0,-2.6274132260327057,0.48248860907291563,-0.05789863308874988,-0.14742311835289001,True
33,7,66.0,22.251429373631254,0.0,-22.251429373631254,22.251429373631254,12.0,699.0,1.0,-100.0,-100.0,-2.6274132260327057,0.49231035702737924,-0.05907724284328551,-0.11778687685728073,True
34,7,68.0,22.11589396954514,0.0,-22.11589396954514,22.11589396954514,12.0,699.0,1.0,-100.0,-100.0,-2.6274132260327057,0.4899685571093089,-0.05879622685311708,-0.13553540408611298,True
35,7,70.0,21.991043167421594,0.0,-21.991043167421594,21.991043167421594,12.0,699.0,1.0,-100.0,-100.0,-2.6274132260327057,0.4945735506373667,-0.05934882607648401,-0.1248508021235466,True
36,8,72.0,21.859878095099702,0.0,-21.859878095099702,21.859878095099702,13.0,794.0,1.0,-100.0,-100.0,-2.6274132260327057,0.4566385729730319,-0.05936301448649414,-0.13116507232189178,True
37,8,74.0,21.708465146133676,0.0,-21.708465146133676,21.708465146133676,13.0,794.0,1.0,-100.0,-100.0,-2.6274132260327057,0.45894524911765544,-0.0596628823852952,-0.1514129489660263,True
38,8,76.0,21.58499706746079,0.0,-21.58499706746079,21.58499706746079,13.0,794.0,1.0,-100.0,-100.0,-2.6274132260327057,0.46811207862297577,-0.06085457022098685,-0.1234680786728859,True
39,8,78.0,21.4433249628637,0.0,-21.4433249628637,21.4433249628637,13.0,794.0,1.0,-100.0,-100.0,-2.6274132260327057,0.46663285258510223,-0.06066227083606329,-0.14167210459709167,True
40,8,80.0,21.33303497196175,0.0,-21.33303497196175,21.33303497196175,13.0,794.0,1.0,-100.0,-100.0,-2.6274132260327057,0.47166023080662445,-0.06131583000486118,-0.11028999090194702,True
41,9,82.0,21.10931454063393,0.0,-21.10931454063393,21.10931454063393,4.0,708.0,1.0,-100.0,-100.0,-2.6274132260327057,1.512012105501339,-0.06048048422005355,-0.22372043132781982,True
42,9,84.0,21.05353326559998,0.0,-21.05353326559998,21.05353326559998,4.0,708.0,1.0,-100.0,-100.0,-2.6274132260327057,1.6220280356706414,-0.06488112142682566,-0.055781275033950806,True
