step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.438072502613068,0.0,-26.438072502613068,26.438072502613068,14.0,769.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5619274973869324,True
2,1,4.0,26.10104528069496,0.0,-26.10104528069496,26.10104528069496,14.0,769.0,3.0,-100.0,-100.0,0.0,0.5473713244336401,-0.02554399514023654,-0.3370272219181061,True
3,1,6.0,25.910204723477364,0.0,-25.910204723477364,25.910204723477364,14.0,769.0,3.0,-100.0,-100.0,0.0,0.8234547036101236,-0.038427886168472446,-0.19084055721759796,True
4,1,8.0,25.73292315006256,0.0,-25.73292315006256,25.73292315006256,14.0,769.0,3.0,-100.0,-100.0,0.0,0.930802777301017,-0.04343746294071413,-0.17728157341480255,True
5,1,10.0,25.567852422595024,0.0,-25.567852422595024,25.567852422595024,14.0,769.0,3.0,-100.0,-100.0,0.0,1.0147032179865825,-0.047352816839373854,-0.16507072746753693,True
6,2,12.0,25.40902018547058,0.0,-25.40902018547058,25.40902018547058,15.0,743.0,1.0,-100.0,-100.0,0.0,0.3355973910498446,-0.05033960865747669,-0.15883223712444305,True
7,2,14.0,25.26961386203766,0.0,-25.26961386203766,25.26961386203766,15.0,743.0,1.0,-100.0,-100.0,0.0,0.35171935807079147,-0.05275790371061872,-0.13940632343292236,True
8,2,16.0,25.20538955926895,0.0,-25.20538955926895,25.20538955926895,15.0,743.0,1.0,-100.0,-100.0,0.0,0.36041639471071246,-0.05406245920660687,-0.06422430276870728,True
9,2,18.0,25.197028781287372,0.0,-25.197028781287372,25.197028781287372,15.0,743.0,1.0,-100.0,-100.0,0.0,0.3454997569207512,-0.05182496353811268,-0.008360777981579304,True
10,2,20.0,25.268148611299694,0.0,-25.268148611299694,25.268148611299694,15.0,743.0,1.0,-100.0,-100.0,0.0,0.31507645226072895,-0.04726146783910934,0.07111983001232147,True
11,3,22.0,25.285592115484178,0.0,-25.285592115484178,25.285592115484178,15.0,66.0,1.0,-100.0,-100.0,0.0,0.2634684478766714,-0.03952026718150071,0.017443504184484482,True
12,3,24.0,25.160945153795183,0.0,-25.160945153795183,25.160945153795183,15.0,66.0,1.0,-100.0,-100.0,0.0,0.2330500288198354,-0.03495750432297531,-0.12464696168899536,True
13,3,26.0,25.01607923861593,0.0,-25.01607923861593,25.01607923861593,15.0,66.0,1.0,-100.0,-100.0,0.0,0.24859402040098738,-0.03728910306014811,-0.14486591517925262,True
14,3,28.0,24.91886757221073,0.0,-24.91886757221073,24.91886757221073,15.0,66.0,1.0,-100.0,-100.0,0.0,0.2687826741467024,-0.04031740112200536,-0.09721166640520096,True
15,3,30.0,24.77346238400787,0.0,-24.77346238400787,24.77346238400787,15.0,66.0,1.0,-100.0,-100.0,0.0,0.2726038223530648,-0.04089057335295972,-0.14540518820285797,True
16,4,32.0,24.65325844939798,0.0,-24.65325844939798,24.65325844939798,15.0,240.0,1.0,-100.0,-100.0,0.0,0.2906656204372408,-0.04359984306558612,-0.12020393460988998,True
17,4,34.0,24.565279609523714,0.0,-24.565279609523714,24.565279609523714,15.0,240.0,1.0,-100.0,-100.0,0.0,0.2993672197755316,-0.04490508296632974,-0.08797883987426758,True
18,4,36.0,24.457438348792493,0.0,-24.457438348792493,24.457438348792493,15.0,240.0,1.0,-100.0,-100.0,0.0,0.2974728955124397,-0.04462093432686595,-0.10784126073122025,True
19,4,38.0,24.359009153209627,0.0,-24.359009153209627,24.359009153209627,15.0,240.0,1.0,-100.0,-100.0,0.0,0.30177861802843686,-0.045266792704265535,-0.09842919558286667,True
20,4,40.0,24.270290314219892,0.0,-24.270290314219892,24.270290314219892,15.0,240.0,1.0,-100.0,-100.0,0.0,0.30282127375354634,-0.04542319106303195,-0.08871883898973465,True
21,5,42.0,24.120743273757398,0.0,-24.120743273757398,24.120743273757398,12.0,299.0,1.0,-100.0,-100.0,0.0,0.3760271590210627,-0.045123259082527525,-0.1495470404624939,True
22,5,44.0,24.059906500391662,0.0,-24.059906500391662,24.059906500391662,12.0,299.0,1.0,-100.0,-100.0,0.0,0.39680878735068204,-0.047617054482081846,-0.06083677336573601,True
