decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,687.0,3.0,True,59.65090517661415,60.576007761619984,0.0,0.0,24.281110749812797,22.168536765500903,0.0,0.4415294238105832,768,0,40,32234.938699999475
2,20.0,25.332035358063877,-25.332035358063877,13.0,687.0,3.0,14.0,294.0,1.0,True,56.40797024207492,56.86433465909213,0.0,0.0,23.064987274445592,20.551283163949847,0.0,0.2354111208810414,768,0,40,31698.993800004246
3,40.0,24.302385373041034,-24.302385373041034,14.0,294.0,1.0,15.0,394.0,1.0,True,53.1342339759622,53.197194133885205,0.0,0.0,21.794498210772872,19.08929547481239,0.0,0.05898170102642981,768,0,40,33657.33409999666
4,60.0,23.190118810161948,-23.190118810161948,15.0,394.0,1.0,12.0,562.0,1.0,True,49.54597300241305,49.70534683521837,0.0,0.0,20.38760240506381,17.53946985863149,0.0,0.10332629696872557,768,0,40,32696.213099996385
5,80.0,21.884371547028422,-21.884371547028422,12.0,562.0,1.0,12.0,600.0,1.0,True,45.86604531254357,45.91881169434637,0.0,0.0,18.92909468114376,16.015272675082088,0.0,0.021961271500706488,768,0,40,31759.837400000833
6,100.0,20.493246478959918,-20.493246478959918,12.0,600.0,1.0,12.0,587.0,1.0,True,42.128287283645925,42.13770733755082,0.0,0.0,17.4450354706496,14.476282423362136,0.0,0.007513066566031166,768,0,40,31962.359500001185
7,120.0,19.028016416355968,-19.028016416355968,12.0,587.0,1.0,12.0,634.0,1.0,True,38.352457817148505,38.390791793726386,0.0,0.0,15.928195534273982,12.991590244695544,0.0,0.0271626252771896,768,0,40,33803.7947000048
8,140.0,17.5223821233958,-17.5223821233958,12.0,634.0,1.0,12.0,634.0,1.0,False,34.65493428763002,34.65493428763002,0.0,0.0,14.435833033919334,11.566536439582705,0.0,0.0,768,0,40,32523.030900003505
9,160.0,15.997299058362842,-15.997299058362842,12.0,634.0,1.0,19.0,320.0,20.0,True,30.977472627942497,31.01227557491511,0.0,0.0,12.946349774114788,10.157330313697457,0.0,0.6107922864193641,768,0,40,32583.981600000698
10,180.0,14.44491064734757,-14.44491064734757,19.0,320.0,20.0,13.0,648.0,4.0,True,27.224930432508476,27.45487888995558,0.0,0.0,11.44132553935051,8.674026632681489,0.0,0.5266037466711201,768,0,40,32390.53170000261
11,200.0,12.891200320795178,-12.891200320795178,13.0,648.0,4.0,5.0,1000.0,1.0,True,23.59400986281086,23.735672235675157,0.0,0.0,9.9516287304461,7.376664163544774,0.0,0.24203201462749435,768,0,40,32562.266500004625
12,220.0,11.379738653078675,-11.379738653078675,5.0,1000.0,1.0,11.0,576.0,6.0,True,20.107607455888896,20.290799078159033,0.0,0.0,8.56484817750752,5.9498849529773,0.0,0.2968624385207245,768,0,40,31862.443500001973
13,240.0,9.991243885830045,-9.991243885830045,11.0,576.0,6.0,8.0,1000.0,1.0,True,16.596595822893917,16.85139004159719,0.0,0.0,7.138653960265219,4.632766196504235,0.0,0.2904804111359326,768,0,40,31654.684300003282
14,260.0,8.53041941858828,-8.53041941858828,8.0,1000.0,1.0,7.0,1000.0,1.0,True,13.41264224642225,13.413113895989955,0.0,0.0,5.847996034659445,3.433064701035619,0.0,0.01178265855489032,768,0,40,32971.124199997575
15,280.0,7.2071321699768305,-7.2071321699768305,7.0,1000.0,1.0,5.0,1000.0,1.0,True,10.334980289140498,10.355161776579916,0.0,0.0,4.603523923549801,2.2553935777395964,0.0,0.02356531710978064,768,0,40,32887.0373000027
16,300.0,5.916303904727101,-5.916303904727101,5.0,1000.0,1.0,4.0,1000.0,1.0,True,7.586288134564078,7.605084116984396,0.0,0.0,3.3871914094313977,1.11943275667727,0.25207111077709843,0.01178265855489032,768,0,40,31910.93379999802
17,320.0,4.6676146406680346,-4.6676146406680346,4.0,1000.0,1.0,1.0,886.0,8.0,True,4.913750391067634,4.993942615902196,0.0,0.0,2.1502992219291626,0.0034052859991788864,0.6091946457639452,0.22546584457738472,768,0,40,32094.5253999962
18,340.0,3.3365187365561724,-3.3365187365561724,1.0,886.0,8.0,2.0,1000.0,17.0,True,28.610733494567913,33.8161054882898,0.2798555518966168,0.10623861398246831,1.1602365746104624,0.033255090238526464,0.695214705062024,0.28155239623076167,768,0,40,33970.7527999999
19,360.0,2.170048939064145,-2.170048939064145,2.0,1000.0,17.0,2.0,1000.0,18.0,True,27.638288894803164,27.734909214900053,0.28139987401664257,0.11322619207027246,0.5053618541511241,0.18655155090164044,0.6252098590477853,0.030386856273138196,768,0,40,32758.15689999581
20,380.0,0.8603657279163599,-0.8603657279163599,2.0,1000.0,18.0,1.0,1000.0,16.0,True,28.50146076149784,54.61556067869984,0.2971020257100463,0.12699973622088348,0.25374959414475595,0.2875045060645789,0.27143612301800885,0.06190537278200142,768,0,40,32481.621899998572
21,400.0,-0.1644516047090292,0.1644516047090292,1.0,1000.0,16.0,1.0,1.0,6.0,True,22.810767658796756,33.047089912041294,0.2333348263055086,0.06402902190622865,0.7918699628440663,0.11426279507577419,0.575715239212737,0.6524334730451598,768,0,40,32504.992399997718
22,420.0,1.1178675685077906,-1.1178675685077906,1.0,1.0,6.0,50.0,50.0,9.0,True,2.3799531776818084,53.31944567749339,0.0,0.0,0.9269694343442098,0.0061537763103842735,0.5170855363635591,0.5851884474637362,768,0,40,32643.99229999981
23,440.0,1.4498310154303908,-1.4498310154303908,50.0,50.0,9.0,50.0,1000.0,13.0,True,27.786246910100008,48.526657904508184,0.29572579357773066,0.07250808950808478,0.6473687241319567,0.29572579357773066,0.5047171411443517,0.5623252441883336,768,0,40,32041.618800001743
24,460.0,1.0615545576438308,-1.0615545576438308,50.0,1000.0,13.0,46.0,999.0,8.0,True,95.27279648424206,96.22169359881434,1.0270008305087686,0.3670522415138716,0.5034075922798366,1.0270008305087686,0.5792564231365429,0.15907751738397344,768,0,40,31707.523799996125
25,480.0,0.6243165349587798,-0.6243165349587798,46.0,999.0,8.0,1.0,870.0,1.0,True,147.61768849153873,170.76439431895542,1.4678747924044728,0.9205027275349008,0.8389211487607099,0.8487557207699865,0.4646417294337087,0.5761385793757069,768,0,40,32813.95490000432
26,500.0,-0.7672973806038499,0.7672973806038499,1.0,870.0,1.0,1.0,3.0,19.0,True,76.00093130810596,152.034057620488,0.8083669412881136,0.2785844682738101,1.015879320818931,0.18109012953937054,0.8443204754737349,0.7417774961278876,768,0,40,32984.61580000003
27,520.0,0.25412355456501245,-0.25412355456501245,1.0,3.0,19.0,2.0,1.0,17.0,True,3.174096403163997,45.87668466493511,0.0,0.0,1.296607226866763,0.016057140426710248,0.5722342175917476,0.06191616253680377,768,0,40,31828.31140000053
28,540.0,2.086013396270573,-2.086013396270573,2.0,1.0,17.0,49.0,689.0,20.0,True,25.34022348759326,51.23844905099316,0.2605722062289715,0.05909262727878463,0.9623245649272576,0.2605722062289715,0.6598548176152288,0.6878120327774666,768,0,40,32022.77690000483
29,560.0,1.5878094024956226,-1.5878094024956226,49.0,689.0,20.0,6.0,1.0,20.0,True,82.40205412071865,93.37907203699534,0.8541567027568817,0.34058067891925065,0.9105628142599016,2.4863418228924274,0.7813605270530289,0.6440465571543603,768,0,40,33439.80800000281
30,580.0,0.516153123229742,-0.516153123229742,6.0,1.0,20.0,1.0,1.0,11.0,True,39.70296824395621,82.8416358711192,0.40705395862460136,0.13200328449223805,0.9089724660574575,1.1608071771042887,0.7774069456976915,0.2797552856209177,768,0,40,32899.69250000286
31,600.0,-0.2789152227342129,0.2789152227342129,1.0,1.0,11.0,1.0,1000.0,17.0,True,32.90909632011657,38.91259972168428,0.3432171428576112,0.09706024600333071,0.8180509410332888,0.4493335699662566,0.673094306138142,0.6054538219907859,768,0,40,32379.63349999336
32,620.0,0.8314244700595737,-0.8314244700595737,1.0,1000.0,17.0,1.0,1000.0,1.0,True,2.029912271268631,7.414191092891622,0.0,0.0,0.6383822041243548,0.39357109525008127,0.5515004183911789,0.48618970037021114,768,0,40,32508.380600003875
33,640.0,1.348326114937663,-1.348326114937663,1.0,1000.0,1.0,1.0,1000.0,1.0,False,1.0207843436665294,1.0207843436665294,0.0,0.0,0.3389278708375059,0.21726842754287645,0.23429438822007934,0.0,768,0,40,32484.33169999771
