step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.443893671035767,0.0,-26.443893671035767,26.443893671035767,13.0,687.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5561063289642334,True
2,1,4.0,26.111849069595337,0.0,-26.111849069595337,26.111849069595337,13.0,687.0,3.0,-100.0,-100.0,0.0,0.5833702512502011,-0.025279377554175385,-0.3320446014404297,True
3,1,6.0,25.922681510448456,0.0,-25.922681510448456,25.922681510448456,13.0,687.0,3.0,-100.0,-100.0,0.0,0.8760464145354951,-0.03796201129653812,-0.1891675591468811,True
4,1,8.0,25.749138489365578,0.0,-25.749138489365578,25.749138489365578,13.0,687.0,3.0,-100.0,-100.0,0.0,0.9909225418958157,-0.042939976815485344,-0.1735430210828781,True
5,1,10.0,25.58672359585762,0.0,-25.58672359585762,25.58672359585762,13.0,687.0,3.0,-100.0,-100.0,0.0,1.0784501368525279,-0.04673283926360954,-0.16241489350795746,True
6,1,12.0,25.428915321826935,0.0,-25.428915321826935,25.428915321826935,13.0,687.0,3.0,-100.0,-100.0,0.0,1.1459548163354147,-0.049658042041201306,-0.15780827403068542,True
7,1,14.0,25.297689124941826,0.0,-25.297689124941826,25.297689124941826,13.0,687.0,3.0,-100.0,-100.0,0.0,1.2021877911603398,-0.05209480428361473,-0.13122619688510895,True
8,1,16.0,25.248083293437958,0.0,-25.248083293437958,25.248083293437958,13.0,687.0,3.0,-100.0,-100.0,0.0,1.2251714273515582,-0.053090761851900856,-0.0496058315038681,True
9,1,18.0,25.258265751414,0.0,-25.258265751414,25.258265751414,13.0,687.0,3.0,-100.0,-100.0,0.0,1.1603407429184047,-0.050281432193130866,0.010182457976043224,True
10,1,20.0,25.332035358063877,0.0,-25.332035358063877,25.332035358063877,13.0,687.0,3.0,-100.0,-100.0,0.0,1.038974728932985,-0.04502223825376268,0.07376960664987564,True
