step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.44542157649994,0.0,-26.44542157649994,26.44542157649994,12.0,743.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.554578423500061,True
2,1,4.0,26.124419182538986,0.0,-26.124419182538986,26.124419182538986,12.0,743.0,3.0,-100.0,-100.0,0.0,0.6302480578295614,-0.025209922313182455,-0.32100239396095276,True
3,1,6.0,25.941484555602074,0.0,-25.941484555602074,25.941484555602074,12.0,743.0,3.0,-100.0,-100.0,0.0,0.9349306688510732,-0.03739722675404293,-0.18293462693691254,True
4,1,8.0,25.769781976938248,0.0,-25.769781976938248,25.769781976938248,12.0,743.0,3.0,-100.0,-100.0,0.0,1.053643283297787,-0.042145731331911476,-0.171702578663826,True
5,1,10.0,25.607661440968513,0.0,-25.607661440968513,25.607661440968513,12.0,743.0,3.0,-100.0,-100.0,0.0,1.1482673496947415,-0.04593069398778967,-0.1621205359697342,True
6,1,12.0,25.45058985054493,0.0,-25.45058985054493,25.45058985054493,12.0,743.0,3.0,-100.0,-100.0,0.0,1.222975804201022,-0.04891903216804088,-0.15707159042358398,True
7,1,14.0,25.323480263352394,0.0,-25.323480263352394,25.323480263352394,12.0,743.0,3.0,-100.0,-100.0,0.0,1.2848200045404332,-0.05139280018161733,-0.1271095871925354,True
8,1,16.0,25.282198954373598,0.0,-25.282198954373598,25.282198954373598,12.0,743.0,3.0,-100.0,-100.0,0.0,1.3067147377528374,-0.052268589510113504,-0.041281308978796005,True
9,1,18.0,25.30642858147621,0.0,-25.30642858147621,25.30642858147621,12.0,743.0,3.0,-100.0,-100.0,0.0,1.2289817971810093,-0.04915927188724038,0.02422962710261345,True
10,1,20.0,25.377619922161102,0.0,-25.377619922161102,25.377619922161102,12.0,743.0,3.0,-100.0,-100.0,0.0,1.0842141673014873,-0.04336856669205949,0.07119134068489075,True
11,2,22.0,25.361325580626726,0.0,-25.361325580626726,25.361325580626726,13.0,359.0,1.0,-100.0,-100.0,0.0,0.27688813297245796,-0.035995457286419535,-0.016294341534376144,True
12,2,24.0,25.229464028030634,0.0,-25.229464028030634,25.229464028030634,13.0,359.0,1.0,-100.0,-100.0,0.0,0.25617363873299676,-0.03330257303528958,-0.13186155259609222,True
13,2,26.0,25.109643686562777,0.0,-25.109643686562777,25.109643686562777,13.0,359.0,1.0,-100.0,-100.0,0.0,0.27784611075438775,-0.036119994398070406,-0.11982034146785736,True
14,2,28.0,24.99430799111724,0.0,-24.99430799111724,24.99430799111724,13.0,359.0,1.0,-100.0,-100.0,0.0,0.29324073973444575,-0.03812129616547794,-0.11533569544553757,True
15,2,30.0,24.88320918753743,0.0,-24.88320918753743,24.88320918753743,13.0,359.0,1.0,-100.0,-100.0,0.0,0.3055987116758329,-0.039727832517858275,-0.11109880357980728,True
16,2,32.0,24.738339859992266,0.0,-24.738339859992266,24.738339859992266,13.0,359.0,1.0,-100.0,-100.0,0.0,0.31529632538996016,-0.040988522300694816,-0.14486932754516602,True
17,2,34.0,24.65819802507758,0.0,-24.65819802507758,24.65819802507758,13.0,359.0,1.0,-100.0,-100.0,0.0,0.33587761274327177,-0.04366408965662533,-0.0801418349146843,True
18,2,36.0,24.52846833691001,0.0,-24.52846833691001,24.52846833691001,13.0,359.0,1.0,-100.0,-100.0,0.0,0.3318620435877211,-0.04314206566640374,-0.12972968816757202,True
19,2,38.0,24.43858228251338,0.0,-24.43858228251338,24.43858228251338,13.0,359.0,1.0,-100.0,-100.0,0.0,0.34556917429276496,-0.04492399265805944,-0.08988605439662933,True
20,2,40.0,24.315118949860334,0.0,-24.315118949860334,24.315118949860334,13.0,359.0,1.0,-100.0,-100.0,0.0,0.34403644641109776,-0.04472473803344271,-0.12346333265304565,True
