decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,12.0,639.0,3.0,True,49.552824332699515,50.44515690681421,0.0,0.0,21.078932741905252,14.78088768478483,0.0,0.45150064965981657,768,0,90,73323.66019999608
2,30.0,24.958176917396486,-24.958176917396486,12.0,639.0,3.0,12.0,380.0,1.0,True,43.89531889560367,44.50115116461077,0.0,0.0,18.881747138313948,12.260418227873743,0.0,0.16155050389030268,768,0,90,72773.18229999946
3,60.0,23.302392951212823,-23.302392951212823,12.0,380.0,1.0,9.0,543.0,1.0,True,38.34204300618957,38.42235476994473,0.0,0.0,16.672553073263003,9.991861402057111,0.0,0.10061586350103963,768,0,90,71550.97439999372
4,90.0,21.314755394123495,-21.314755394123495,9.0,543.0,1.0,9.0,529.0,1.0,True,32.83300208394031,32.879208580725305,0.0,0.0,14.43848484992567,7.911902948282659,0.0,0.008090994763418178,768,0,90,74206.09699999477
5,120.0,19.089620559476316,-19.089620559476316,9.0,529.0,1.0,11.0,363.0,1.0,True,27.331496882243187,27.44732034470265,0.0,0.0,12.20299645519505,5.849032185040414,0.0,0.09878793328778487,768,0,90,72988.53580000286
6,150.0,16.863254970870912,-16.863254970870912,11.0,363.0,1.0,9.0,374.0,1.0,True,22.095584122458156,22.15513374092471,0.0,0.0,10.026792121243973,4.08351160492748,0.0,0.024407750646998495,768,0,90,72926.85709999932
7,180.0,14.425842880271375,-14.425842880271375,9.0,374.0,1.0,6.0,1000.0,1.0,True,17.133160777630394,17.183321393684793,0.0,0.0,7.960727070044312,2.4161431593820453,0.0,0.3635057850746607,768,0,90,72838.02659999492
8,210.0,11.987160622142255,-11.987160622142255,6.0,1000.0,1.0,7.0,822.0,3.0,True,12.801693395508583,12.857705508212112,0.0,0.0,6.024151848567029,0.8598212180659175,0.32227847437807583,0.1200614963490659,768,0,90,71837.81399999862
9,240.0,9.934319413267076,-9.934319413267076,7.0,822.0,3.0,9.0,1000.0,13.0,True,9.48808098485593,59.75406294765615,0.0,0.0,4.444741535911129,0.002094789408147335,0.5943337821683139,0.3216736161285512,768,0,90,74850.01320000447
10,270.0,7.889693676494062,-7.889693676494062,9.0,1000.0,13.0,2.0,909.0,19.0,True,6.633342660052578,98.9874679349687,0.0,0.0,3.007589305916594,0.06542922602966428,0.5833803875828147,0.20690476217430914,768,0,90,73518.2094999982
11,300.0,6.015632181428373,-6.015632181428373,2.0,909.0,19.0,46.0,1000.0,20.0,True,5.597268770891295,30.778068766982674,0.0,0.0,2.50195182779183,0.05579544510692358,0.5602475640037197,0.5219828750454629,768,0,90,73313.51339999674
12,330.0,4.311684581451118,-4.311684581451118,46.0,1000.0,20.0,50.0,929.0,20.0,True,4.5503965331754985,74.50589391593412,0.0,0.0,1.983364678029385,0.006652048788964748,0.5797162530719289,0.062489965031737905,768,0,90,72926.82100000093
13,360.0,3.3418687796220183,-3.3418687796220183,50.0,929.0,20.0,3.0,448.0,20.0,True,50.19935245637354,69.38725298533161,0.48064827284542844,0.31152409879324156,0.7581781353510451,0.4506814011547249,0.65387430294845,0.6196390714116918,768,0,90,71869.29940000118
14,390.0,1.6050111530348659,-1.6050111530348659,3.0,448.0,20.0,1.0,758.0,20.0,True,29.2073826886852,50.72930367484019,0.30881364620290697,0.11035302426464315,0.34233342647655973,0.18230372620746493,0.41407453931432736,0.1807009142167748,768,0,90,74361.30210000556
15,420.0,0.30396612267941236,-0.30396612267941236,1.0,758.0,20.0,1.0,434.0,20.0,True,30.83767344885653,32.130091872335676,0.32025408538538613,0.14443240471089377,0.24772572089964848,0.20986624301804113,0.28211742603097506,0.18724873595339214,768,0,90,73706.703200005
16,450.0,0.317556269466877,-0.317556269466877,1.0,434.0,20.0,1.0,434.0,20.0,False,30.354160138561795,30.354160138561795,0.32025408538538613,0.13139874118323924,0.25041344114712655,0.03627008798139286,0.2729091459487786,0.0,768,0,90,73391.01999999548
17,480.0,0.17197939051766298,-0.17197939051766298,1.0,434.0,20.0,1.0,94.0,20.0,True,29.401873473024384,31.008124476603825,0.305297714923654,0.14085621969858247,0.23494443289891934,0.039854261860455154,0.26058873557541096,0.19649558711158435,768,0,90,73163.42609999992
18,510.0,0.27325146502334974,-0.27325146502334974,1.0,94.0,20.0,1.0,255.0,20.0,True,27.185440417718993,28.94146731835472,0.28521379977246397,0.11842333769456927,0.23487955647845712,0.20160614641281427,0.24414365452368153,0.09304643977930906,768,0,90,72518.9068000036
19,540.0,-0.11149174094680347,0.11149174094680347,1.0,255.0,20.0,1.0,188.0,20.0,True,27.511647058554754,27.6467561976975,0.2834239916737715,0.13145665987408284,0.22852378202579632,0.3821882123265823,0.2454990463234146,0.038721189224929856,768,0,90,74041.14619999746
20,570.0,0.3999351793572714,-0.3999351793572714,1.0,188.0,20.0,1.0,399.0,20.0,True,26.818084264085112,27.486222588793346,0.2780660144962894,0.12901149839055667,0.2179204590564243,0.0592622078347631,0.23576670213853956,0.1219428496486597,768,0,90,72517.73739999771
21,600.0,-0.22790006528157392,0.22790006528157392,1.0,399.0,20.0,15.0,1.0,20.0,True,23.763825208402427,26.378020747475194,0.27663388828295865,0.050745739772625,0.02807536278212663,0.00788240292968112,0.04781951360826946,0.2830511949616379,768,0,90,73890.68559999578
22,630.0,-0.038003571364242816,0.038003571364242816,15.0,1.0,20.0,4.0,1.0,7.0,True,3.7919633314368504,7.390266768341824,0.04147086225930252,0.014458360069777463,0.010602211013105666,0.0010646684622770408,0.014649310280306539,0.41574820616682556,768,0,90,72679.14369999926
23,660.0,-0.02581752583864727,0.02581752583864727,4.0,1.0,7.0,2.0,1.0,1.0,True,1.992007135424471,3.7103664950713253,0.023194155484816292,0.004203294168280323,0.002155198580349962,0.00030370391186806955,0.004075244890481174,0.1838377583642746,768,0,90,72944.26260000182
24,690.0,-0.0005632306069855986,0.0005632306069855986,2.0,1.0,1.0,2.0,1.0,1.0,False,0.65459448790821,0.65459448790821,0.00741791958853355,0.0018977873664528142,0.0011046914530399793,0.0003926897334167734,0.0018215720591531282,0.0,768,0,90,73904.30580000248
25,720.0,-0.0016416428929915128,0.0016416428929915128,2.0,1.0,1.0,2.0,1.0,1.0,False,0.22136915771662669,0.22136915771662669,0.0024991009354380367,0.0006603571248055393,0.00044813737120724304,0.00029870048820157535,0.0005847441509022775,0.0,768,0,90,74192.71659999504
26,750.0,0.0003656742214843689,-0.0003656742214843689,2.0,1.0,1.0,2.0,1.0,1.0,False,0.11265302563905902,0.11265302563905902,0.001251842227702582,0.00038374295255809876,0.0002830901499085788,0.00018641258884599665,0.000333972251869326,0.0,768,0,90,73673.28899999848
27,780.0,0.00017445902130930335,-0.00017445902130930335,2.0,1.0,1.0,2.0,1.0,1.0,False,0.08417553777749961,0.08417553777749961,0.0009325108344455657,0.0002950515139574561,0.00021523188974646878,9.321308425569441e-05,0.00024605528150989055,0.0,768,0,90,72824.02220000222
28,810.0,9.599718623576337e-05,-9.599718623576337e-05,2.0,1.0,1.0,2.0,1.0,1.0,False,0.05928093530458794,0.05928093530458794,0.0006517257884297578,0.0002204102012296005,0.0001653788413326159,4.671010083256988e-05,0.0001764534602377831,0.0,768,0,90,73529.40449999733
29,840.0,-0.00030370391186806955,0.00030370391186806955,2.0,1.0,1.0,2.0,1.0,1.0,False,0.039120905254257266,0.039120905254257266,0.0004225948982821137,0.0001637927598396427,0.00013054476430119798,4.704892080553691e-05,0.00011491660749372124,0.0,768,0,90,73057.64289999934
30,870.0,-0.0003926897334167734,0.0003926897334167734,2.0,1.0,1.0,2.0,1.0,1.0,False,0.03108499350737087,0.03108499350737087,0.00033142806933028623,0.00014057178755779037,0.00011693254977053079,7.34163436959534e-05,8.302106282521839e-05,0.0,768,0,90,74639.5515999975
31,900.0,-0.00029870048820157535,0.00029870048820157535,2.0,1.0,1.0,2.0,1.0,1.0,False,0.028487181784584426,0.028487181784584426,0.0003038272202502412,0.00012815776654793228,0.00011059519044351874,9.879656329303543e-05,6.568250559360389e-05,0.0,768,0,90,73232.25279999315
32,930.0,-0.00018641258884599665,0.00018641258884599665,2.0,1.0,1.0,2.0,1.0,1.0,False,0.023015089491580893,0.023015089491580893,0.00023986152564248187,0.00011702627527188154,0.00010515963586120355,0.00010742415196318689,5.134783432189976e-05,0.0,768,0,90,72869.72970000352
33,960.0,-9.321308425569441e-05,9.321308425569441e-05,2.0,1.0,1.0,2.0,1.0,1.0,False,0.019424784048668393,0.019424784048668393,0.00019933909015890094,0.0001063721825374574,9.908089592600947e-05,9.92506795682857e-05,3.8704228196431465e-05,0.0,768,0,90,74227.97330000321
34,990.0,-4.671010083256988e-05,4.671010083256988e-05,2.0,1.0,1.0,2.0,1.0,1.0,False,0.01663617821216364,0.01663617821216364,0.00016850987276484375,9.669397782065671e-05,9.218830467400746e-05,8.203965160191729e-05,2.917262120746138e-05,0.0,768,0,90,72530.95579999354
35,1020.0,-4.704892080553691e-05,4.704892080553691e-05,2.0,1.0,1.0,2.0,1.0,1.0,False,0.014476215567400384,0.014476215567400384,0.0001448816402103148,8.861831615375793e-05,8.561571493714837e-05,6.606169478118318e-05,2.2872588697572936e-05,0.0,768,0,90,75022.73869999772
36,1050.0,-7.34163436959534e-05,7.34163436959534e-05,2.0,1.0,1.0,2.0,1.0,1.0,False,0.012772142628796371,0.012772142628796371,0.00012632725258754363,8.198389133209101e-05,8.00046218512978e-05,5.7061206627295746e-05,1.790583481390777e-05,0.0,768,0,90,72965.56899999996
