step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.449110209941864,0.0,-26.449110209941864,26.449110209941864,12.0,639.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.550889790058136,True
2,1,4.0,26.123711198568344,0.0,-26.123711198568344,26.123711198568344,12.0,639.0,3.0,-100.0,-100.0,0.0,0.6260561275915504,-0.025042245103662014,-0.3253990113735199,True
3,1,6.0,25.93699625134468,0.0,-25.93699625134468,25.93699625134468,12.0,639.0,3.0,-100.0,-100.0,0.0,0.9361351201382105,-0.03744540480552842,-0.18671494722366333,True
4,1,8.0,25.766173347830772,0.0,-25.766173347830772,25.766173347830772,12.0,639.0,3.0,-100.0,-100.0,0.0,1.0590289698794706,-0.04236115879517882,-0.1708229035139084,True
5,1,10.0,25.605113625526428,0.0,-25.605113625526428,25.605113625526428,12.0,639.0,3.0,-100.0,-100.0,0.0,1.1521395955066238,-0.04608558382026495,-0.16105972230434418,True
6,1,12.0,25.448368847370148,0.0,-25.448368847370148,25.448368847370148,12.0,639.0,3.0,-100.0,-100.0,0.0,1.2252731216118231,-0.04901092486447292,-0.15674477815628052,True
7,1,14.0,25.323533952236176,0.0,-25.323533952236176,25.323533952236176,12.0,639.0,3.0,-100.0,-100.0,0.0,1.2865267776727851,-0.0514610711069114,-0.12483489513397217,True
8,1,16.0,25.28301953151822,0.0,-25.28301953151822,25.28301953151822,12.0,639.0,3.0,-100.0,-100.0,0.0,1.3056736394555462,-0.05222694557822184,-0.040514420717954636,True
9,1,18.0,25.30865829437971,0.0,-25.30865829437971,25.30865829437971,12.0,639.0,3.0,-100.0,-100.0,0.0,1.2271684821699367,-0.049086739286797465,0.02563876286149025,True
10,1,20.0,25.380393758416176,0.0,-25.380393758416176,25.380393758416176,12.0,639.0,3.0,-100.0,-100.0,0.0,1.0809724177901778,-0.04323889671160711,0.07173546403646469,True
11,1,22.0,25.36831562872976,0.0,-25.36831562872976,25.36831562872976,12.0,639.0,3.0,-100.0,-100.0,0.0,0.8963355451379366,-0.03585342180551746,-0.012078129686415195,True
12,1,24.0,25.24009623285383,0.0,-25.24009623285383,25.24009623285383,12.0,639.0,3.0,-100.0,-100.0,0.0,0.8245606620152026,-0.03298242648060811,-0.1282193958759308,True
13,1,26.0,25.148109539411962,0.0,-25.148109539411962,25.148109539411962,12.0,639.0,3.0,-100.0,-100.0,0.0,0.891620549752294,-0.035664821990091765,-0.09198669344186783,True
14,1,28.0,25.04335244651884,0.0,-25.04335244651884,25.04335244651884,12.0,639.0,3.0,-100.0,-100.0,0.0,0.9111071416403254,-0.036444285665613016,-0.10475709289312363,True
15,1,30.0,24.958176917396486,0.0,-24.958176917396486,24.958176917396486,12.0,639.0,3.0,-100.0,-100.0,0.0,0.9432477776670966,-0.03772991110668386,-0.0851755291223526,True
16,2,32.0,24.835568665526807,0.0,-24.835568665526807,24.835568665526807,12.0,380.0,1.0,-100.0,-100.0,0.0,0.3166897190724626,-0.03800276628869552,-0.1226082518696785,True
17,2,34.0,24.774036048911512,0.0,-24.774036048911512,24.774036048911512,12.0,380.0,1.0,-100.0,-100.0,0.0,0.33292669716359347,-0.039951203659631215,-0.06153261661529541,True
18,2,36.0,24.63101155962795,0.0,-24.63101155962795,24.63101155962795,12.0,380.0,1.0,-100.0,-100.0,0.0,0.32447846428713073,-0.03893741571445569,-0.1430244892835617,True
19,2,38.0,24.54065108206123,0.0,-24.54065108206123,24.54065108206123,12.0,380.0,1.0,-100.0,-100.0,0.0,0.34770645691413243,-0.041724774829695895,-0.09036047756671906,True
20,2,40.0,24.411999627016485,0.0,-24.411999627016485,24.411999627016485,12.0,380.0,1.0,-100.0,-100.0,0.0,0.3487688191417501,-0.04185225829701002,-0.1286514550447464,True
21,2,42.0,24.328207626007497,0.0,-24.328207626007497,24.328207626007497,12.0,380.0,1.0,-100.0,-100.0,0.0,0.36423504395347756,-0.04370820527441731,-0.08379200100898743,True
22,2,44.0,24.20024791266769,0.0,-24.20024791266769,24.20024791266769,12.0,380.0,1.0,-100.0,-100.0,0.0,0.3612325140385396,-0.043347901684624754,-0.1279597133398056,True
23,2,46.0,24.117601967416704,0.0,-24.117601967416704,24.117601967416704,12.0,380.0,1.0,-100.0,-100.0,0.0,0.3752477907707065,-0.04502973489248479,-0.082645945250988,True
24,2,48.0,23.982023290358484,0.0,-23.982023290358484,23.982023290358484,12.0,380.0,1.0,-100.0,-100.0,0.0,0.3707606169891376,-0.044491274038696516,-0.1355786770582199,True
25,2,50.0,23.907824254594743,0.0,-23.907824254594743,23.907824254594743,12.0,380.0,1.0,-100.0,-100.0,0.0,0.3867531911283558,-0.0464103829354027,-0.07419903576374054,True
26,2,52.0,23.766939423047006,0.0,-23.766939423047006,23.766939423047006,12.0,380.0,1.0,-100.0,-100.0,0.0,0.37796870579435915,-0.045356244695323095,-0.14088483154773712,True
27,2,54.0,23.689899324439466,0.0,-23.689899324439466,23.689899324439466,12.0,380.0,1.0,-100.0,-100.0,0.0,0.39528375529558796,-0.04743405063547056,-0.07704009860754013,True
28,2,56.0,23.53950986173004,0.0,-23.53950986173004,23.53950986173004,12.0,380.0,1.0,-100.0,-100.0,0.0,0.38676178107352155,-0.046411413728822584,-0.15038946270942688,True
29,2,58.0,23.462257183156908,0.0,-23.462257183156908,23.462257183156908,12.0,380.0,1.0,-100.0,-100.0,0.0,0.40683856123641304,-0.048820627348369575,-0.07725267857313156,True
30,2,60.0,23.302392951212823,0.0,-23.302392951212823,23.302392951212823,12.0,380.0,1.0,-100.0,-100.0,0.0,0.39729490812796636,-0.04767538897535597,-0.15986423194408417,True
31,3,62.0,23.17974480893463,0.0,-23.17974480893463,23.17974480893463,9.0,543.0,1.0,-100.0,-100.0,0.0,0.5599414988003143,-0.05039473489202828,-0.12264814227819443,True
32,3,64.0,23.047685279510915,0.0,-23.047685279510915,23.047685279510915,9.0,543.0,1.0,-100.0,-100.0,0.0,0.5684769073352668,-0.05116292166017401,-0.13205952942371368,True
33,3,66.0,22.911359607242048,0.0,-22.911359607242048,22.911359607242048,9.0,543.0,1.0,-100.0,-100.0,0.0,0.580951694879147,-0.05228565253912323,-0.1363256722688675,True
34,3,68.0,22.799202038906515,0.0,-22.799202038906515,22.799202038906515,9.0,543.0,1.0,-100.0,-100.0,0.0,0.5943912909196943,-0.05349521618277249,-0.11215756833553314,True
35,3,70.0,22.662416919134557,0.0,-22.662416919134557,22.662416919134557,9.0,543.0,1.0,-100.0,-100.0,0.0,0.5943418997810926,-0.05349077098029834,-0.1367851197719574,True
36,3,72.0,22.531253247521818,0.0,-22.531253247521818,22.531253247521818,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6067362714816312,-0.05460626443334682,-0.13116367161273956,True
37,3,74.0,22.3993322243914,0.0,-22.3993322243914,22.3993322243914,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6151090306888498,-0.055359812761996495,-0.13192102313041687,True
38,3,76.0,22.271913870237768,0.0,-22.271913870237768,22.271913870237768,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6230656446801354,-0.056075908021212185,-0.12741835415363312,True
39,3,78.0,22.13706141617149,0.0,-22.13706141617149,22.13706141617149,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6279890423652205,-0.05651901381286985,-0.13485245406627655,True
40,3,80.0,22.000878899358213,0.0,-22.000878899358213,22.000878899358213,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6361976653346024,-0.05725778988011422,-0.1361825168132782,True
41,3,82.0,21.87202089931816,0.0,-21.87202089931816,21.87202089931816,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6442950688539584,-0.05798655619685626,-0.12885800004005432,True
42,3,84.0,21.732089175842702,0.0,-21.732089175842702,21.732089175842702,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6479205481142235,-0.05831284933028012,-0.13993172347545624,True
43,3,86.0,21.599961086176336,0.0,-21.599961086176336,21.599961086176336,9.0,543.0,1.0,-100.0,-100.0,0.0,0.656793386315927,-0.059111404768433434,-0.13212808966636658,True
44,3,88.0,21.45775706972927,0.0,-21.45775706972927,21.45775706972927,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6608783362203962,-0.05947905025983565,-0.14220401644706726,True
45,3,90.0,21.314755394123495,0.0,-21.314755394123495,21.314755394123495,9.0,543.0,1.0,-100.0,-100.0,0.0,0.6696628424508873,-0.06026965582057986,-0.14300167560577393,True
46,4,92.0,21.1758371880278,0.0,-21.1758371880278,21.1758371880278,9.0,529.0,1.0,-100.0,-100.0,0.0,0.6780122859725534,-0.06102110573752981,-0.1389182060956955,True
47,4,94.0,21.0305418362841,0.0,-21.0305418362841,21.0305418362841,9.0,529.0,1.0,-100.0,-100.0,0.0,0.6835027734900084,-0.061515249614100764,-0.14529535174369812,True
48,4,96.0,20.88946896698326,0.0,-20.88946896698326,20.88946896698326,9.0,529.0,1.0,-100.0,-100.0,0.0,0.6916905382050629,-0.062252148438455654,-0.14107286930084229,True
49,4,98.0,20.743640213273466,0.0,-20.743640213273466,20.743640213273466,9.0,529.0,1.0,-100.0,-100.0,0.0,0.6969645557805765,-0.06272681002025189,-0.1458287537097931,True
50,4,100.0,20.598016067408025,0.0,-20.598016067408025,20.598016067408025,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7041376218468501,-0.06337238596621651,-0.14562414586544037,True
51,4,102.0,20.454626037739217,0.0,-20.454626037739217,20.454626037739217,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7105231078622912,-0.06394707970760621,-0.14339002966880798,True
52,4,104.0,20.305753647349775,0.0,-20.305753647349775,20.305753647349775,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7151710628061331,-0.06436539565255198,-0.14887239038944244,True
53,4,106.0,20.158511429093778,0.0,-20.158511429093778,20.158511429093778,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7221447196587427,-0.06499302476928685,-0.1472422182559967,True
54,4,108.0,20.005796655081213,0.0,-20.005796655081213,20.005796655081213,9.0,529.0,1.0,-100.0,-100.0,0.0,0.727629784287575,-0.06548668058588175,-0.1527147740125656,True
55,4,110.0,19.854931875132024,0.0,-19.854931875132024,19.854931875132024,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7353557469763246,-0.06618201722786922,-0.15086477994918823,True
56,4,112.0,19.700505062006414,0.0,-19.700505062006414,19.700505062006414,9.0,529.0,1.0,-100.0,-100.0,0.0,0.741410326191106,-0.06672692935719955,-0.15442681312561035,True
57,4,114.0,19.546318649314344,0.0,-19.546318649314344,19.546318649314344,9.0,529.0,1.0,-100.0,-100.0,0.0,0.748686497983733,-0.06738178481853598,-0.15418641269207,True
58,4,116.0,19.392178415320814,0.0,-19.392178415320814,19.392178415320814,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7551471761550439,-0.06796324585395395,-0.15414023399353027,True
59,4,118.0,19.237010194920003,0.0,-19.237010194920003,19.237010194920003,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7609682490868659,-0.06848714241781793,-0.15516822040081024,True
60,4,120.0,19.089620559476316,0.0,-19.089620559476316,19.089620559476316,9.0,529.0,1.0,-100.0,-100.0,0.0,0.7667532750446573,-0.06900779475401916,-0.14738963544368744,True
61,5,122.0,18.97363120969385,0.0,-18.97363120969385,18.97363120969385,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6284107713902297,-0.06912518485292526,-0.11598934978246689,True
62,5,124.0,18.78944196458906,0.0,-18.78944196458906,18.78944196458906,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6163998986405206,-0.06780398885045726,-0.18418924510478973,True
63,5,126.0,18.696677341125906,0.0,-18.696677341125906,18.696677341125906,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6337185381245993,-0.06970903919370593,-0.09276462346315384,True
64,5,128.0,18.50312578584999,0.0,-18.50312578584999,18.50312578584999,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6116036758022186,-0.06727640433824406,-0.19355155527591705,True
65,5,130.0,18.393049663864076,0.0,-18.393049663864076,18.393049663864076,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6332488260043201,-0.0696573708604752,-0.11007612198591232,True
66,5,132.0,18.207451201044023,0.0,-18.207451201044023,18.207451201044023,11.0,363.0,1.0,-100.0,-100.0,0.0,0.618332795331567,-0.06801660748647237,-0.1855984628200531,True
67,5,134.0,18.112641169689596,0.0,-18.112641169689596,18.112641169689596,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6360494199603192,-0.06996543619563511,-0.09481003135442734,True
68,5,136.0,17.886587007902563,0.0,-17.886587007902563,17.886587007902563,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6145574865717481,-0.06760132352289229,-0.22605416178703308,True
69,5,138.0,17.79377097543329,0.0,-17.79377097543329,17.79377097543329,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6493526688319724,-0.07142879357151696,-0.09281603246927261,True
70,5,140.0,17.593123740516603,0.0,-17.593123740516603,17.593123740516603,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6257677192081893,-0.06883444911290082,-0.200647234916687,True
71,5,142.0,17.490549250505865,0.0,-17.490549250505865,17.490549250505865,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6489940779195119,-0.0713893485711463,-0.10257449001073837,True
72,5,144.0,17.272034003399312,0.0,-17.272034003399312,17.272034003399312,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6294760444639238,-0.06924236489103162,-0.21851524710655212,True
73,5,146.0,17.179310119710863,0.0,-17.179310119710863,17.179310119710863,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6597326747030476,-0.07257059421733524,-0.09272388368844986,True
74,5,148.0,16.961322805844247,0.0,-16.961322805844247,16.961322805844247,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6351195005585292,-0.06986314506143822,-0.2179873138666153,True
75,5,150.0,16.863254970870912,0.0,-16.863254970870912,16.863254970870912,11.0,363.0,1.0,-100.0,-100.0,0.0,0.6646196343172034,-0.07310815977489238,-0.09806783497333527,True
76,6,152.0,16.626050583086908,0.0,-16.626050583086908,16.626050583086908,9.0,374.0,1.0,-100.0,-100.0,0.0,0.7843595204139042,-0.07059235683725139,-0.2372043877840042,True
77,6,154.0,16.53482853528112,0.0,-16.53482853528112,16.53482853528112,9.0,374.0,1.0,-100.0,-100.0,0.0,0.8293486504855226,-0.07464137854369704,-0.09122204780578613,True
78,6,156.0,16.322632065974176,0.0,-16.322632065974176,16.322632065974176,9.0,374.0,1.0,-100.0,-100.0,0.0,0.7963125343402653,-0.07166812809062388,-0.2121964693069458,True
