decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,713.0,3.0,True,35.369498858656456,35.93524568602443,0.0,0.0,24.279826296074315,22.17063214816153,0.0,0.43564885013722676,768,0,40,32483.093299997563
2,20.0,25.331120199523866,-25.331120199523866,13.0,713.0,3.0,14.0,316.0,1.0,True,33.33387158830189,33.63296917043626,0.0,0.0,23.06056700167246,20.54185632825829,0.0,0.23764225002866574,768,0,40,32409.722599993984
3,40.0,24.300366731593385,-24.300366731593385,14.0,316.0,1.0,15.0,396.0,1.0,True,31.336215774487872,31.366959262616,0.0,0.0,21.792781369620933,19.0859145692084,0.0,0.04771202627394002,768,0,40,33378.6145999984
4,60.0,23.18942598463036,-23.18942598463036,15.0,396.0,1.0,12.0,567.0,1.0,True,29.15217487212031,29.256353943585417,0.0,0.0,20.38426626366563,17.533718073973432,0.0,0.10495714679633286,768,0,40,33489.62449999817
5,80.0,21.88244370580651,-21.88244370580651,12.0,567.0,1.0,12.0,567.0,1.0,False,26.95928717048373,26.95928717048373,0.0,0.0,18.947644184390082,16.023285972187296,0.0,0.0,768,0,40,32741.88829999912
6,100.0,20.49488944769837,-20.49488944769837,12.0,567.0,1.0,11.0,529.0,1.0,True,24.71059928884612,24.72358484917786,0.0,0.0,17.464847189048307,14.491005750605837,0.0,0.0249224494893434,768,0,40,33033.04619999835
7,120.0,19.044158468255773,-19.044158468255773,11.0,529.0,1.0,11.0,577.0,1.0,True,22.431927334982777,22.45634417810943,0.0,0.0,15.941865281620995,12.979569295654073,0.0,0.027740553474576615,768,0,40,34269.22459999332
8,140.0,17.5399437493179,-17.5399437493179,11.0,577.0,1.0,11.0,588.0,1.0,True,20.209139868802808,20.212447082041763,0.0,0.0,14.43691057250835,11.544331448385492,0.0,0.006357210171257141,768,0,40,33390.414800000144
9,160.0,16.008272404083982,-16.008272404083982,11.0,588.0,1.0,15.0,564.0,1.0,True,18.024223073634616,18.032887341617606,0.0,0.0,12.971182723576202,10.105098115513101,0.0,0.049129230186387436,768,0,40,33287.550699998974
10,180.0,14.509071314940229,-14.509071314940229,15.0,564.0,1.0,5.0,1000.0,1.0,True,15.81984680950018,15.888762685819529,0.0,0.0,11.431059663603083,8.772011006483808,0.0,0.27816426551929985,768,0,40,33700.67299999937
11,200.0,12.90788502455689,-12.90788502455689,5.0,1000.0,1.0,13.0,533.0,1.0,True,13.635885223683456,13.787429724796676,0.0,0.0,9.989987062523142,7.286078730830923,0.0,0.28587957448530943,768,0,40,32628.90139999945
12,220.0,11.4580587989185,-11.4580587989185,13.0,533.0,1.0,8.0,1000.0,1.0,True,11.604031829425953,11.640566750406288,0.0,0.0,8.584492161357776,6.033554384717718,0.0,0.2762475709317233,768,0,40,32761.69579999987
13,240.0,9.995680721709505,-9.995680721709505,8.0,1000.0,1.0,9.0,1000.0,1.0,True,9.662079925749342,9.663731111749076,0.0,0.0,7.258669777447357,4.8065846434328705,0.0,0.01178265855489032,768,0,40,32191.523499997857
14,260.0,8.647132391342893,-8.647132391342893,9.0,1000.0,1.0,6.0,1000.0,1.0,True,7.786852854279474,7.816646623960696,0.0,0.0,5.98998384536244,3.5930310583207756,0.0,0.03534797566467096,768,0,40,32666.718799999217
15,280.0,7.316345656523481,-7.316345656523481,6.0,1000.0,1.0,5.0,1000.0,1.0,True,5.9728212640694185,5.977597488067113,0.0,0.0,4.754764193715528,2.4358784875366837,0.0,0.01178265855489032,768,0,40,31947.449499995855
