step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.443025946617126,0.0,-26.443025946617126,26.443025946617126,13.0,713.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5569740533828735,True
2,1,4.0,26.112008780241013,0.0,-26.112008780241013,26.112008780241013,13.0,713.0,3.0,-100.0,-100.0,0.0,0.5842805171215871,-0.02531882240860211,-0.3310171663761139,True
3,1,6.0,25.9238009005785,0.0,-25.9238009005785,25.9238009005785,13.0,713.0,3.0,-100.0,-100.0,0.0,0.875792044018635,-0.037950988574140844,-0.18820787966251373,True
4,1,8.0,25.750027894973755,0.0,-25.750027894973755,25.750027894973755,13.0,713.0,3.0,-100.0,-100.0,0.0,0.9896857064923233,-0.042886380614667347,-0.17377300560474396,True
5,1,10.0,25.58730836212635,0.0,-25.58730836212635,25.58730836212635,13.0,713.0,3.0,-100.0,-100.0,0.0,1.077572542431986,-0.046694810172052716,-0.16271953284740448,True
6,1,12.0,25.429379031062126,0.0,-25.429379031062126,25.429379031062126,13.0,713.0,3.0,-100.0,-100.0,0.0,1.14548050995168,-0.049637488764572794,-0.15792933106422424,True
7,1,14.0,25.297582507133484,0.0,-25.297582507133484,25.297582507133484,13.0,713.0,3.0,-100.0,-100.0,0.0,1.2018857206655802,-0.052081714562175134,-0.13179652392864227,True
8,1,16.0,25.247658241540194,0.0,-25.247658241540194,25.247658241540194,13.0,713.0,3.0,-100.0,-100.0,0.0,1.2254964593732685,-0.053104846572841626,-0.04992426559329033,True
9,1,18.0,25.25748075451702,0.0,-25.25748075451702,25.25748075451702,13.0,713.0,3.0,-100.0,-100.0,0.0,1.16096881607586,-0.0503086486966206,0.009822512976825237,True
10,1,20.0,25.331120199523866,0.0,-25.331120199523866,25.331120199523866,13.0,713.0,3.0,-100.0,-100.0,0.0,1.039920482320365,-0.04506322090054915,0.07363944500684738,True
11,2,22.0,25.334015036234632,0.0,-25.334015036234632,25.334015036234632,14.0,316.0,1.0,-100.0,-100.0,0.0,0.267265526965679,-0.037417173775195066,0.002894836710765958,True
12,2,24.0,25.199326062807813,0.0,-25.199326062807813,25.199326062807813,14.0,316.0,1.0,-100.0,-100.0,0.0,0.2408312470943246,-0.03371637459320544,-0.13468897342681885,True
13,2,26.0,25.077671164879575,0.0,-25.077671164879575,25.077671164879575,14.0,316.0,1.0,-100.0,-100.0,0.0,0.2615917999409589,-0.03662285199173424,-0.12165489792823792,True
14,2,28.0,24.968075597891584,0.0,-24.968075597891584,24.968075597891584,14.0,316.0,1.0,-100.0,-100.0,0.0,0.2761398667103643,-0.038659581339451,-0.10959556698799133,True
15,2,30.0,24.85040776641108,0.0,-24.85040776641108,24.85040776641108,14.0,316.0,1.0,-100.0,-100.0,0.0,0.28538455172241,-0.03995383724113741,-0.11766783148050308,True
16,2,32.0,24.714510711142793,0.0,-24.714510711142793,24.714510711142793,14.0,316.0,1.0,-100.0,-100.0,0.0,0.29636844417418623,-0.041491582184386075,-0.13589705526828766,True
17,2,34.0,24.628031620988622,0.0,-24.628031620988622,24.628031620988622,14.0,316.0,1.0,-100.0,-100.0,0.0,0.3122235930254342,-0.04371130302356079,-0.08647909015417099,True
18,2,36.0,24.5093802458141,0.0,-24.5093802458141,24.5093802458141,14.0,316.0,1.0,-100.0,-100.0,0.0,0.31052037955038514,-0.043472853137053916,-0.1186513751745224,True
19,2,38.0,24.413183318683878,0.0,-24.413183318683878,24.413183318683878,14.0,316.0,1.0,-100.0,-100.0,0.0,0.31942593278202147,-0.04471963058948301,-0.09619692713022232,True
20,2,40.0,24.300366731593385,0.0,-24.300366731593385,24.300366731593385,14.0,316.0,1.0,-100.0,-100.0,0.0,0.32019106026805505,-0.04482674843752771,-0.11281658709049225,True
21,3,42.0,24.20763093442656,0.0,-24.20763093442656,24.20763093442656,15.0,396.0,1.0,-100.0,-100.0,0.0,0.3045276117427067,-0.04567914176140601,-0.09273579716682434,True
22,3,44.0,24.08368911058642,0.0,-24.08368911058642,24.08368911058642,15.0,396.0,1.0,-100.0,-100.0,0.0,0.3035826460044741,-0.045537396900671115,-0.1239418238401413,True
23,3,46.0,24.002074832329527,0.0,-24.002074832329527,24.002074832329527,15.0,396.0,1.0,-100.0,-100.0,0.0,0.31218487161055447,-0.04682773074158317,-0.08161427825689316,True
24,3,48.0,23.867971057305112,0.0,-23.867971057305112,23.867971057305112,15.0,396.0,1.0,-100.0,-100.0,0.0,0.3071390840126913,-0.04607086260190369,-0.13410377502441406,True
25,3,50.0,23.797235610196367,0.0,-23.797235610196367,23.797235610196367,15.0,396.0,1.0,-100.0,-100.0,0.0,0.31848166322159377,-0.04777224948323906,-0.07073544710874557,True
26,3,52.0,23.65547941834666,0.0,-23.65547941834666,23.65547941834666,15.0,396.0,1.0,-100.0,-100.0,0.0,0.3095383752104635,-0.04643075628156953,-0.14175619184970856,True
27,3,54.0,23.57749696285464,0.0,-23.57749696285464,23.57749696285464,15.0,396.0,1.0,-100.0,-100.0,0.0,0.32297116807531456,-0.04844567521129718,-0.07798245549201965,True
28,3,56.0,23.425339626381174,0.0,-23.425339626381174,23.425339626381174,15.0,396.0,1.0,-100.0,-100.0,0.0,0.3157958493688482,-0.04736937740532723,-0.15215733647346497,True
29,3,58.0,23.349024260649458,0.0,-23.349024260649458,23.349024260649458,15.0,396.0,1.0,-100.0,-100.0,0.0,0.33178383336647466,-0.0497675750049712,-0.07631536573171616,True
30,3,60.0,23.18942598463036,0.0,-23.18942598463036,23.18942598463036,15.0,396.0,1.0,-100.0,-100.0,0.0,0.3232626637189838,-0.048489399557847576,-0.15959827601909637,True
31,4,62.0,23.065184282371774,0.0,-23.065184282371774,23.065184282371774,12.0,567.0,1.0,-100.0,-100.0,0.0,0.42599173017732705,-0.05111900762127925,-0.12424170225858688,True
32,4,64.0,22.934174524853006,0.0,-22.934174524853006,22.934174524853006,12.0,567.0,1.0,-100.0,-100.0,0.0,0.43242121761125507,-0.05189054611335061,-0.1310097575187683,True
33,4,66.0,22.79505199403502,0.0,-22.79505199403502,22.79505199403502,12.0,567.0,1.0,-100.0,-100.0,0.0,0.4408012409178345,-0.05289614891014015,-0.13912253081798553,True
34,4,68.0,22.681007648119703,0.0,-22.681007648119703,22.681007648119703,12.0,567.0,1.0,-100.0,-100.0,0.0,0.4514551389274882,-0.05417461667129858,-0.11404434591531754,True
35,4,70.0,22.54473410011269,0.0,-22.54473410011269,22.54473410011269,12.0,567.0,1.0,-100.0,-100.0,0.0,0.45159277137555387,-0.05419113256506647,-0.1362735480070114,True
36,4,72.0,22.410313109168783,0.0,-22.410313109168783,22.410313109168783,12.0,567.0,1.0,-100.0,-100.0,0.0,0.4601380327436861,-0.05521656392924234,-0.1344209909439087,True
37,4,74.0,22.28137263120152,0.0,-22.28137263120152,22.28137263120152,12.0,567.0,1.0,-100.0,-100.0,0.0,0.46716638912820996,-0.056059966695385204,-0.12894047796726227,True
38,4,76.0,22.15112547040917,0.0,-22.15112547040917,22.15112547040917,12.0,567.0,1.0,-100.0,-100.0,0.0,0.471448212852171,-0.05657378554226052,-0.13024716079235077,True
39,4,78.0,22.017505461582914,0.0,-22.017505461582914,22.017505461582914,12.0,567.0,1.0,-100.0,-100.0,0.0,0.4758165866643594,-0.057097990399723124,-0.1336200088262558,True
40,4,80.0,21.88244370580651,0.0,-21.88244370580651,21.88244370580651,12.0,567.0,1.0,-100.0,-100.0,0.0,0.48104594919220167,-0.057725513903064206,-0.13506175577640533,True
41,5,82.0,21.755727166542783,0.0,-21.755727166542783,21.755727166542783,12.0,567.0,1.0,-100.0,-100.0,0.0,0.4863226408681041,-0.0583587169041725,-0.12671653926372528,True
42,5,84.0,21.61512410105206,0.0,-21.61512410105206,21.61512410105206,12.0,567.0,1.0,-100.0,-100.0,0.0,0.48793469735648437,-0.05855216368277813,-0.14060306549072266,True
43,5,86.0,21.485435078153387,0.0,-21.485435078153387,21.485435078153387,12.0,567.0,1.0,-100.0,-100.0,0.0,0.4946534064968784,-0.05935840877962541,-0.129689022898674,True
44,5,88.0,21.34344899118878,0.0,-21.34344899118878,21.34344899118878,12.0,567.0,1.0,-100.0,-100.0,0.0,0.49659681696513747,-0.0595916180358165,-0.14198608696460724,True
45,5,90.0,21.205490330467,0.0,-21.205490330467,21.205490330467,12.0,567.0,1.0,-100.0,-100.0,0.0,0.503013160106627,-0.060361579212795245,-0.13795866072177887,True
46,5,92.0,21.063973972806707,0.0,-21.063973972806707,21.063973972806707,12.0,567.0,1.0,-100.0,-100.0,0.0,0.5072918014463196,-0.060875016173558345,-0.14151635766029358,True
47,5,94.0,20.924457902321592,0.0,-20.924457902321592,20.924457902321592,12.0,567.0,1.0,-100.0,-100.0,0.0,0.512510014597068,-0.061501201751648166,-0.13951607048511505,True
48,5,96.0,20.779422143707052,0.0,-20.779422143707052,20.779422143707052,12.0,567.0,1.0,-100.0,-100.0,0.0,0.51647272589726,-0.06197672710767121,-0.1450357586145401,True
49,5,98.0,20.64464502991177,0.0,-20.64464502991177,20.64464502991177,12.0,567.0,1.0,-100.0,-100.0,0.0,0.5221483773300704,-0.06265780527960844,-0.13477711379528046,True
50,5,100.0,20.49488944769837,0.0,-20.49488944769837,20.49488944769837,12.0,567.0,1.0,-100.0,-100.0,0.0,0.5233965014432508,-0.0628075801731901,-0.1497555822134018,True
51,6,102.0,20.356173733482137,0.0,-20.356173733482137,20.356173733482137,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5783996048106238,-0.06362395652916862,-0.1387157142162323,True
52,6,104.0,20.21730656386353,0.0,-20.21730656386353,20.21730656386353,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5805510080072876,-0.06386061088080164,-0.13886716961860657,True
53,6,106.0,20.08235372067429,0.0,-20.08235372067429,20.08235372067429,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5825597792623858,-0.06408157571886243,-0.1349528431892395,True
54,6,108.0,19.93629557848908,0.0,-19.93629557848908,19.93629557848908,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5827593282544322,-0.06410352610798754,-0.14605814218521118,True
55,6,110.0,19.781934017548338,0.0,-19.781934017548338,19.781934017548338,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5875291387816628,-0.06462820526598291,-0.1543615609407425,True
56,6,112.0,19.636386344442144,0.0,-19.636386344442144,19.636386344442144,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5952753708072167,-0.06548029078879383,-0.14554767310619354,True
57,6,114.0,19.49304939270951,0.0,-19.49304939270951,19.49304939270951,11.0,529.0,1.0,-100.0,-100.0,0.0,0.5986403292466869,-0.06585043621713556,-0.1433369517326355,True
58,6,116.0,19.338784048566595,0.0,-19.338784048566595,19.338784048566595,11.0,529.0,1.0,-100.0,-100.0,0.0,0.6007707190169997,-0.06608477909186998,-0.15426534414291382,True
59,6,118.0,19.193587372312322,0.0,-19.193587372312322,19.193587372312322,11.0,529.0,1.0,-100.0,-100.0,0.0,0.6072140811979475,-0.06679354893177422,-0.14519667625427246,True
60,6,120.0,19.044158468255773,0.0,-19.044158468255773,19.044158468255773,11.0,529.0,1.0,-100.0,-100.0,0.0,0.609295161339051,-0.06702246774729562,-0.14942890405654907,True
61,7,122.0,18.899663457879797,0.0,-18.899663457879797,18.899663457879797,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6129267084299317,-0.06742193792729248,-0.14449501037597656,True
62,7,124.0,18.745978037128225,0.0,-18.745978037128225,18.745978037128225,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6141728983817373,-0.0675590188219911,-0.15368542075157166,True
63,7,126.0,18.59305421472527,0.0,-18.59305421472527,18.59305421472527,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6190981781177742,-0.06810079959295516,-0.1529238224029541,True
64,7,128.0,18.445133397588506,0.0,-18.445133397588506,18.445133397588506,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6232389051000699,-0.06855627956100768,-0.14792081713676453,True
65,7,130.0,18.29744496406056,0.0,-18.29744496406056,18.29744496406056,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6249171439585347,-0.06874088583543882,-0.14768843352794647,True
66,7,132.0,18.144980291137472,0.0,-18.144980291137472,18.144980291137472,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6263392632305578,-0.06889731895536134,-0.15246467292308807,True
67,7,134.0,17.992755884537473,0.0,-17.992755884537473,17.992755884537473,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6295995217522803,-0.06925594739275083,-0.15222440659999847,True
68,7,136.0,17.84299343288876,0.0,-17.84299343288876,17.84299343288876,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6324494950375789,-0.06956944445413367,-0.14976245164871216,True
69,7,138.0,17.69277366460301,0.0,-17.69277366460301,17.69277366460301,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6340102008491915,-0.06974112209341106,-0.15021976828575134,True
70,7,140.0,17.5399437493179,0.0,-17.5399437493179,17.5399437493179,11.0,577.0,1.0,-100.0,-100.0,0.0,0.6356110190848611,-0.06991721209933471,-0.15282991528511047,True
71,8,142.0,17.388089621672407,0.0,-17.388089621672407,17.388089621672407,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6381377867142798,-0.07019515653857077,-0.15185412764549255,True
72,8,144.0,17.233114460716024,0.0,-17.233114460716024,17.233114460716024,11.0,588.0,1.0,-100.0,-100.0,0.0,0.640020280173737,-0.07040223081911107,-0.15497516095638275,True
73,8,146.0,17.082923928508535,0.0,-17.082923928508535,17.082923928508535,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6430129793849395,-0.07073142773234334,-0.150190532207489,True
74,8,148.0,16.928890029201284,0.0,-16.928890029201284,16.928890029201284,11.0,588.0,1.0,-100.0,-100.0,0.0,0.643742945007337,-0.07081172395080707,-0.15403389930725098,True
75,8,150.0,16.77765172184445,0.0,-16.77765172184445,16.77765172184445,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6459915619524659,-0.07105907181477124,-0.1512383073568344,True
76,8,152.0,16.62196616292931,0.0,-16.62196616292931,16.62196616292931,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6468703980769019,-0.07115574378845922,-0.15568555891513824,True
77,8,154.0,16.47130929888226,0.0,-16.47130929888226,16.47130929888226,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6495032418096314,-0.07144535659905944,-0.15065686404705048,True
78,8,156.0,16.31595174432732,0.0,-16.31595174432732,16.31595174432732,11.0,588.0,1.0,-100.0,-100.0,0.0,0.649806817376406,-0.07147874991140465,-0.15535755455493927,True
79,8,158.0,16.165545189986005,0.0,-16.165545189986005,16.165545189986005,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6520240087470335,-0.07172264096217368,-0.15040655434131622,True
80,8,160.0,16.008272404083982,0.0,-16.008272404083982,16.008272404083982,11.0,588.0,1.0,-100.0,-100.0,0.0,0.6519836883679903,-0.07171820572047893,-0.15727278590202332,True
81,9,162.0,15.909722240874544,0.0,-15.909722240874544,15.909722240874544,15.0,564.0,1.0,-100.0,-100.0,-0.37844615612491694,0.48017544950135943,-0.07202631742520392,-0.09855016320943832,True
82,9,164.0,15.701280163833871,0.0,-15.701280163833871,15.701280163833871,15.0,564.0,1.0,-100.0,-100.0,-0.7545625211574117,0.46423757664345233,-0.06963563649651786,-0.2084420770406723,True
83,9,166.0,15.602231139549986,0.0,-15.602231139549986,15.602231139549986,15.0,564.0,1.0,-100.0,-100.0,-1.125751177512821,0.4831229836752232,-0.07246844755128348,-0.09904902428388596,True
84,9,168.0,15.402765104779974,0.0,-15.402765104779974,15.402765104779974,15.0,564.0,1.0,-100.0,-100.0,-1.4945982493697947,0.46705512783792835,-0.07005826917568925,-0.1994660347700119,True
85,9,170.0,15.309126908192411,0.0,-15.309126908192411,15.309126908192411,15.0,564.0,1.0,-100.0,-100.0,-1.8587298121305524,0.48295156166958964,-0.07244273425043844,-0.09363819658756256,True
86,9,172.0,15.114425072679296,0.0,-15.114425072679296,15.114425072679296,15.0,564.0,1.0,-100.0,-100.0,-2.2206477059412477,0.46526029506826355,-0.06978904426023953,-0.19470183551311493,True
87,9,174.0,15.002247164258733,0.0,-15.002247164258733,15.002247164258733,15.0,564.0,1.0,-100.0,-100.0,-2.5779627194797623,0.47988413660719903,-0.07198262049107985,-0.11217790842056274,True
88,9,176.0,14.81180981756188,0.0,-14.81180981756188,14.81180981756188,15.0,564.0,1.0,-100.0,-100.0,-2.9326257730083376,0.4681039685763372,-0.07021559528645058,-0.19043734669685364,True
89,9,178.0,14.711426044115797,0.0,-14.711426044115797,14.711426044115797,15.0,564.0,1.0,-100.0,-98.74539878374587,-3.2827867616031847,0.4811641912284975,-0.07217462868427463,-0.10038377344608307,True
