decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,718.0,3.0,True,143.57367651591247,145.79277759883553,0.0,0.0,24.27962839747779,22.17118884436786,0.0,0.43456841556552384,768,24,40,32482.801999998628
2,20.0,25.330910994671285,-25.330910994671285,13.0,718.0,3.0,14.0,279.0,1.0,True,135.83482957497205,136.9653260698542,0.0,0.0,23.057017216691747,20.547131953993812,0.0,0.26115375194999874,768,8,40,33123.70930000179
3,40.0,24.293406477430835,-24.293406477430835,14.0,279.0,1.0,16.0,412.0,1.0,True,127.99467111165558,128.18125047022477,0.0,0.0,21.782577573740856,19.080979285994545,0.0,0.0803956956752,768,17,40,32079.683700001624
4,60.0,23.180050676921383,-23.180050676921383,16.0,412.0,1.0,13.0,584.0,1.0,True,119.2620535801671,119.87674998259172,0.0,0.0,20.35283945449628,17.496801292756572,0.0,0.10550149291400986,768,14,40,32874.95230000059
5,80.0,21.857516965130344,-21.857516965130344,13.0,584.0,1.0,13.0,601.0,1.0,True,110.47558719875762,110.55338595202193,0.0,0.0,18.9013211323414,15.968883289257064,0.0,0.009824779355579218,768,11,40,31926.070399997116
6,100.0,20.461514806607738,-20.461514806607738,13.0,601.0,1.0,13.0,611.0,1.0,True,101.54980294040188,101.58128103567287,0.0,0.0,17.41526284054853,14.473430944839492,0.0,0.005779281973870128,768,12,40,32927.686999995785
7,120.0,18.991713306168094,-18.991713306168094,13.0,611.0,1.0,13.0,632.0,1.0,True,92.61771927037475,92.64768115757033,0.0,0.0,15.919979908922688,13.017698360839859,0.0,0.012136492145127268,768,13,40,34461.10189999308
8,140.0,17.493718883255497,-17.493718883255497,13.0,632.0,1.0,6.0,613.0,1.0,True,83.73990105725898,83.78299981867895,0.0,0.0,14.421510872850195,11.631514629581943,0.0,0.08320634260630201,768,12,40,32752.768999998807
9,160.0,15.939533641794696,-15.939533641794696,6.0,613.0,1.0,15.0,575.0,1.0,True,74.48386999269471,75.10262650391087,0.0,0.0,12.892892234632745,10.018325878540054,0.0,0.10829409909242184,768,13,40,32304.319299997587
10,180.0,14.444977855542675,-14.444977855542675,15.0,575.0,1.0,5.0,1000.0,1.0,True,65.44571631563196,65.82519001094624,0.0,0.0,11.351287414180115,8.686555056134239,0.0,0.2724188597146823,768,14,40,33519.84850000008
11,200.0,12.83413782552816,-12.83413782552816,5.0,1000.0,1.0,13.0,539.0,1.0,True,56.722288735489435,57.218570998404175,0.0,0.0,9.90383429066278,7.200291199842468,0.0,0.28260823330622953,768,9,40,33518.485799999326
12,220.0,11.371595679083839,-11.371595679083839,13.0,539.0,1.0,5.0,1000.0,1.0,True,48.410390314924605,48.60396439163014,0.0,0.0,8.485878921346739,5.978169625857845,0.0,0.28260823330622953,768,17,40,32415.008100004343
13,240.0,9.885536832967773,-9.885536832967773,5.0,1000.0,1.0,10.0,596.0,1.0,True,40.472249772120385,40.64862277312204,0.0,0.0,7.152275598281994,4.708463771501556,0.0,0.24080092088574315,768,8,40,33119.750300000305
14,260.0,8.544734804192558,-8.544734804192558,10.0,596.0,1.0,7.0,1000.0,1.0,True,32.62223575059536,33.01779219089076,0.0,0.0,5.8334588265512135,3.452580182114616,0.0,0.2361435724670139,768,16,40,32100.43940000469
15,280.0,7.163637293735519,-7.163637293735519,7.0,1000.0,1.0,5.0,1000.0,1.0,True,25.308655010690696,25.351133702788502,0.0,0.0,4.6029743845108895,2.2935474349651486,0.0,0.02356531710978064,768,14,40,32705.074800003786
16,300.0,5.8953993453178555,-5.8953993453178555,5.0,1000.0,1.0,1.0,1000.0,7.0,True,18.442685863703012,18.478497220630075,0.0,0.0,3.40015489035286,1.1869649647269398,0.2530633037251552,0.18831434866163274,768,14,40,31942.991100004292
17,320.0,4.527460968354717,-4.527460968354717,1.0,1000.0,7.0,7.0,1000.0,7.0,True,10.429479147818526,12.158829337179615,0.0,0.0,1.9664132284466178,0.0028545840177685022,0.593851462054376,0.07069595132934192,768,22,40,33217.74159999768
18,340.0,3.052409572759643,-3.052409572759643,7.0,1000.0,7.0,2.0,1000.0,19.0,True,26.961003299481135,85.99515982084844,0.2310290714376606,0.08698588349243729,1.0050676878920057,0.13345971930539235,0.7066092132398344,0.3693707689912614,768,23,40,33644.871800002875
19,360.0,1.84581801132299,-1.84581801132299,2.0,1000.0,19.0,2.0,982.0,20.0,True,25.609074001167606,27.783466937783018,0.244923286838457,0.0995240010536596,0.4492248781374656,0.20587438880465925,0.5771710612091838,0.03211817800867445,768,24,40,32459.26189999591
20,380.0,0.7227923481259495,-0.7227923481259495,2.0,982.0,20.0,1.0,984.0,20.0,True,26.79307451539572,53.165401008500005,0.2689493966754526,0.11608646051156546,0.25209626139840113,0.2689493966754526,0.26497987018039065,0.01183921647012462,768,22,40,32032.853600001545
21,400.0,-0.19911639927886426,0.19911639927886426,1.0,984.0,20.0,1.0,1.0,10.0,True,22.65936808720143,28.93128309869601,0.20762052250211127,0.05831712181189925,0.7137291560960876,0.20762052250211127,0.5175036780882989,0.644265160469999,768,15,40,32854.27939999499
22,420.0,1.096197062608553,-1.096197062608553,1.0,1.0,10.0,1.0,1.0,20.0,True,40.91125900199993,46.479675928247175,0.388946791208582,0.12628684070447554,0.7597098127313074,1.590258731477661,0.6150640034175879,0.30386856273138196,768,24,40,33571.99260000198
23,440.0,1.1016438880178612,-1.1016438880178612,1.0,1.0,20.0,1.0,1.0,20.0,False,41.02333170642501,41.02333170642501,0.388946791208582,0.12628684070447554,0.8293293456270476,1.2810675736691337,0.6912688867998088,0.0,768,24,40,32252.887000002374
24,460.0,0.2745936363644432,-0.2745936363644432,1.0,1.0,20.0,1.0,1.0,20.0,False,40.02735837065099,40.02735837065099,0.388946791208582,0.12628684070447554,0.8352285958608263,0.25035336657310836,0.6965135069529178,0.0,768,24,40,33259.760100001586
25,480.0,-0.2692900458641816,0.2692900458641816,1.0,1.0,20.0,1.0,1.0,9.0,True,13.463709944245029,43.38555701720414,0.08231553531368263,0.013015228920362996,1.1486864112688635,0.14894365950021893,0.5922919815049463,0.33425541900452016,768,24,40,32308.4228000007
26,500.0,1.6962820356420707,-1.6962820356420707,1.0,1.0,9.0,50.0,474.0,20.0,True,15.816749032658759,46.441845400550086,0.11999507251312025,0.022253316886800614,0.9527824574834085,0.11999507251312025,0.6584267483826852,0.7209616692272199,768,24,40,32841.8262999985
27,520.0,1.5534899830527138,-1.5534899830527138,50.0,474.0,20.0,48.0,1000.0,20.0,True,69.70819427578294,73.07754674758809,0.7324884347908664,0.22361777073613587,0.6085656765731983,0.7324884347908664,0.6222205302208529,0.30490225518327596,768,24,40,32004.668400004448
28,540.0,0.9530493169731926,-0.9530493169731926,48.0,1000.0,20.0,1.0,1000.0,20.0,True,106.14312050110738,142.841918199395,1.0525906093243975,0.595567068494904,0.5877054607815808,0.5845646807283629,0.5402298661513976,0.5537849520798451,768,16,40,33029.933199999505
29,560.0,0.017645485670072958,-0.017645485670072958,1.0,1000.0,20.0,1.0,1.0,20.0,True,39.85225392760991,111.19985193002003,0.39505314829875715,0.1330279801581189,0.67274251220515,0.26594989610021,0.6217266991479138,0.5773502691896257,768,10,40,34171.58760000166
30,580.0,0.19780160856316797,-0.19780160856316797,1.0,1.0,20.0,1.0,938.0,1.0,True,6.701684965467283,41.38398557789808,0.0,0.0,1.128426677682728,0.5483063527790364,0.5033295697945626,0.7915654480044109,768,24,40,32525.786600002903
31,600.0,2.3782441653020214,-2.3782441653020214,1.0,938.0,1.0,1.0,1000.0,1.0,True,5.384790980385941,5.459402258101149,0.0,0.0,0.8824505637283437,0.6350318495824467,0.33714799667939577,0.035831548237994795,768,14,40,32005.5457999988
32,620.0,0.9307682802609634,-0.9307682802609634,1.0,1000.0,1.0,1.0,126.0,1.0,True,2.0628838139475842,3.3446036113000126,0.0,0.0,0.3058965079660993,0.2931279639888089,0.23522221768311616,0.5051092445162492,768,14,40,33141.451100003906
33,640.0,0.5649708248383831,-0.5649708248383831,1.0,126.0,1.0,1.0,153.0,1.0,True,1.1961879822480777,3.444849930591501,0.0,0.0,0.2086337036511395,0.004523558513028547,0.14833986486605688,0.015604061329449347,768,12,40,33632.91169999866
34,660.0,0.22894056999939494,-0.22894056999939494,1.0,153.0,1.0,1.0,533.0,1.0,True,0.9943207215775876,10.756461699721212,0.0,0.0,0.15867965618381277,0.08799137498135678,0.11073493852709625,0.21961271500706483,768,12,40,32291.435399994953
35,680.0,0.08487424391205423,-0.08487424391205423,1.0,533.0,1.0,1.0,1000.0,1.0,True,0.965548899226566,1.1831730241225964,0.0,0.0,0.1579353516273841,0.09894139115931466,0.07423182524853357,0.26989246817973495,768,8,40,33117.26849999832
36,700.0,0.2754824197909329,-0.2754824197909329,1.0,1000.0,1.0,1.0,309.0,1.0,True,0.7860287271184704,0.8455389439731591,0.0,0.0,0.13569599635375199,0.001706158567685634,0.10184910293808053,0.3993483843944258,768,13,40,32310.31880000228
37,720.0,0.1842026134254411,-0.1842026134254411,1.0,309.0,1.0,1.0,1000.0,1.0,True,0.3884228636509939,2.7904325767031204,0.0,0.0,0.06176865206653019,0.050947209529113024,0.024638909945285625,0.3993483843944258,768,6,40,32832.699099999445
38,740.0,0.058706361218355596,-0.058706361218355596,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.40694612046109746,0.40694612046109746,0.0,0.0,0.06527517662939317,0.06387762544363795,0.01669261187049365,0.0,768,13,40,32227.707099998952
39,760.0,0.0955367669230327,-0.0955367669230327,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.3425128017684319,0.3425128017684319,0.0,0.0,0.0581319242763584,0.03889911487385689,0.012954065512782992,0.0,768,13,40,33663.92559999804
40,780.0,0.05444296222412959,-0.05444296222412959,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.2840262066498183,0.2840262066498183,0.0,0.0,0.04746760163739054,0.03456709777856304,0.012121100684302553,0.0,768,13,40,33644.519699999364
41,800.0,0.050947209529113024,-0.050947209529113024,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.2989984887185377,0.2989984887185377,0.0,0.0,0.04731183649987543,0.050134363229517476,0.012304942989643075,0.0,768,10,40,32559.752399996796
42,820.0,0.06387762544363795,-0.06387762544363795,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.2527100714337623,0.2527100714337623,0.0,0.0,0.04220375963450351,0.03238394396066724,0.009307329300577458,0.0,768,9,40,32058.519199999864
43,840.0,0.03889911487385689,-0.03889911487385689,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.21806455716647077,0.21806455716647077,0.0,0.0,0.03629535135223705,0.028396680205332814,0.008191120199952731,0.0,768,8,40,33358.36670000572
44,860.0,0.03456709777856304,-0.03456709777856304,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.22445630921207718,0.22445630921207718,0.0,0.0,0.03661954322069505,0.03342994227386953,0.007928650834732404,0.0,768,9,40,33248.362900005304
45,880.0,0.050134363229517476,-0.050134363229517476,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.19517853339095628,0.19517853339095628,0.0,0.0,0.03269433089117228,0.025611761118852883,0.0060951178162419635,0.0,768,9,40,32163.015000005544
