step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.44286173582077,0.0,-26.44286173582077,26.44286173582077,13.0,718.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5571382641792297,True
2,1,4.0,26.112037390470505,0.0,-26.112037390470505,26.112037390470505,13.0,718.0,3.0,-100.0,-100.0,0.0,0.5844527785912721,-0.025326287072288456,-0.3308243453502655,True
3,1,6.0,25.924013018608093,0.0,-25.924013018608093,25.924013018608093,13.0,718.0,3.0,-100.0,-100.0,0.0,0.8757455991921338,-0.03794897596499246,-0.1880243718624115,True
4,1,8.0,25.750194564461708,0.0,-25.750194564461708,25.750194564461708,13.0,718.0,3.0,-100.0,-100.0,0.0,0.9894511874783867,-0.04287621812406342,-0.1738184541463852,True
5,1,10.0,25.587413907051086,0.0,-25.587413907051086,25.587413907051086,13.0,718.0,3.0,-100.0,-100.0,0.0,1.0774080707967082,-0.04668768306785736,-0.16278065741062164,True
6,1,12.0,25.429459884762764,0.0,-25.429459884762764,25.429459884762764,13.0,718.0,3.0,-100.0,-100.0,0.0,1.1453958484706066,-0.04963382010039295,-0.15795402228832245,True
7,1,14.0,25.2975515127182,0.0,-25.2975515127182,25.2975515127182,13.0,718.0,3.0,-100.0,-100.0,0.0,1.2018350367498274,-0.052079518259159185,-0.1319083720445633,True
8,1,16.0,25.24755970016122,0.0,-25.24755970016122,25.24755970016122,13.0,718.0,3.0,-100.0,-100.0,0.0,1.2255679418045162,-0.05310794414486236,-0.04999181255698204,True
9,1,18.0,25.257303937338293,0.0,-25.257303937338293,25.257303937338293,13.0,718.0,3.0,-100.0,-100.0,0.0,1.1611043383842348,-0.05031452132998351,0.009744237177073956,True
10,1,20.0,25.330910994671285,0.0,-25.330910994671285,25.330910994671285,13.0,718.0,3.0,-100.0,-100.0,0.0,1.0401251906056102,-0.04507209159290977,0.07360705733299255,True
11,2,22.0,25.334151840070263,0.0,-25.334151840070263,25.334151840070263,14.0,279.0,1.0,-100.0,-100.0,0.0,0.26733336120925655,-0.03742667056929592,0.003240845398977399,True
12,2,24.0,25.201000249246135,0.0,-25.201000249246135,25.201000249246135,14.0,279.0,1.0,-100.0,-100.0,0.0,0.24078026210289727,-0.03370923669440562,-0.1331515908241272,True
13,2,26.0,25.07593566761352,0.0,-25.07593566761352,25.07593566761352,14.0,279.0,1.0,-100.0,-100.0,0.0,0.26104649230491817,-0.03654650892268854,-0.12506458163261414,True
14,2,28.0,24.965694723883644,0.0,-24.965694723883644,24.965694723883644,14.0,279.0,1.0,-100.0,-100.0,0.0,0.27675369545420303,-0.03874551736358842,-0.11024094372987747,True
15,2,30.0,24.844928292790428,0.0,-24.844928292790428,24.844928292790428,14.0,279.0,1.0,-100.0,-100.0,0.0,0.28614938060359657,-0.04006091328450353,-0.12076643109321594,True
16,2,32.0,24.7088357640896,0.0,-24.7088357640896,24.7088357640896,14.0,279.0,1.0,-100.0,-100.0,0.0,0.29806642755287976,-0.041729299857403174,-0.13609252870082855,True
17,2,34.0,24.62031546072103,0.0,-24.62031546072103,24.62031546072103,14.0,279.0,1.0,-100.0,-100.0,0.0,0.31382307654769237,-0.04393523071667693,-0.08852030336856842,True
18,2,36.0,24.501664890209213,0.0,-24.501664890209213,24.501664890209213,14.0,279.0,1.0,-100.0,-100.0,0.0,0.31263006831303725,-0.04376820956382522,-0.11865057051181793,True
19,2,38.0,24.403957000235096,0.0,-24.403957000235096,24.403957000235096,14.0,279.0,1.0,-100.0,-100.0,0.0,0.3213341180739283,-0.044986776530349964,-0.09770788997411728,True
20,2,40.0,24.293406477430835,0.0,-24.293406477430835,24.293406477430835,14.0,279.0,1.0,-100.0,-100.0,0.0,0.32240783229947173,-0.045137096521926046,-0.11055052280426025,True
21,3,42.0,24.20657660649158,0.0,-24.20657660649158,24.20657660649158,16.0,412.0,1.0,-100.0,-100.0,0.0,0.2866054722771067,-0.04585687556433707,-0.08682987093925476,True
22,3,44.0,24.074693894246593,0.0,-24.074693894246593,24.074693894246593,16.0,412.0,1.0,-100.0,-100.0,0.0,0.28393566419368554,-0.04542970627098969,-0.1318827122449875,True
23,3,46.0,23.999746775487438,0.0,-23.999746775487438,23.999746775487438,16.0,412.0,1.0,-100.0,-100.0,0.0,0.2943205505633479,-0.04709128809013566,-0.07494711875915527,True
24,3,48.0,23.860131403664127,0.0,-23.860131403664127,23.860131403664127,16.0,412.0,1.0,-100.0,-100.0,0.0,0.28753878032088,-0.0460062048513408,-0.13961537182331085,True
25,3,50.0,23.79480836377479,0.0,-23.79480836377479,23.79480836377479,16.0,412.0,1.0,-100.0,-100.0,0.0,0.2997769033843791,-0.04796430454150066,-0.06532303988933563,True
26,3,52.0,23.64936008141376,0.0,-23.64936008141376,23.64936008141376,16.0,412.0,1.0,-100.0,-100.0,0.0,0.28974034440234187,-0.046358455104374696,-0.14544828236103058,True
27,3,54.0,23.571290521183982,0.0,-23.571290521183982,23.571290521183982,16.0,412.0,1.0,-100.0,-100.0,0.0,0.303425657306284,-0.04854810516900544,-0.07806956022977829,True
28,3,56.0,23.418060986557975,0.0,-23.418060986557975,23.418060986557975,16.0,412.0,1.0,-100.0,-100.0,0.0,0.29666247630907205,-0.04746599620945153,-0.15322953462600708,True
29,3,58.0,23.34163055405952,0.0,-23.34163055405952,23.34163055405952,16.0,412.0,1.0,-100.0,-100.0,0.0,0.31189823231859815,-0.049903717170975706,-0.07643043249845505,True
30,3,60.0,23.180050676921383,0.0,-23.180050676921383,23.180050676921383,16.0,412.0,1.0,-100.0,-100.0,0.0,0.3038611616974787,-0.04861778587159659,-0.16157987713813782,True
31,4,62.0,23.05443055019714,0.0,-23.05443055019714,23.05443055019714,13.0,584.0,1.0,-100.0,-100.0,0.0,0.394809434457594,-0.051325226479487215,-0.12562012672424316,True
32,4,64.0,22.921614384511486,0.0,-22.921614384511486,22.921614384511486,13.0,584.0,1.0,-100.0,-100.0,0.0,0.4010750308878406,-0.05213975401541927,-0.1328161656856537,True
33,4,66.0,22.77996646449901,0.0,-22.77996646449901,22.77996646449901,13.0,584.0,1.0,-100.0,-100.0,0.0,0.4092592334993354,-0.053203700354913605,-0.14164792001247406,True
34,4,68.0,22.665259456494823,0.0,-22.665259456494823,22.665259456494823,13.0,584.0,1.0,-100.0,-100.0,0.0,0.4197509969339951,-0.05456762960141936,-0.11470700800418854,True
35,4,70.0,22.526316112140194,0.0,-22.526316112140194,22.526316112140194,13.0,584.0,1.0,-100.0,-100.0,0.0,0.4198213796146744,-0.05457677934990767,-0.13894334435462952,True
36,4,72.0,22.390443166950718,0.0,-22.390443166950718,22.390443166950718,13.0,584.0,1.0,-100.0,-100.0,0.0,0.42835990119864065,-0.055686787155823286,-0.135872945189476,True
37,4,74.0,22.260155266383663,0.0,-22.260155266383663,22.260155266383663,13.0,584.0,1.0,-100.0,-100.0,0.0,0.43501029399164076,-0.05655133821891329,-0.13028790056705475,True
