decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,666.0,3.0,True,92.90421816617597,94.4594585929066,0.0,0.0,24.28240855797194,22.16746756620705,0.0,0.44659178179795933,768,24,40,33855.543599995144
2,20.0,25.332553091458976,-25.332553091458976,13.0,666.0,3.0,14.0,326.0,1.0,True,87.25308461406604,88.05453469343483,0.0,0.0,23.072834725491703,20.55267749913037,0.0,0.20601648218918017,768,10,40,33629.10030000057
3,40.0,24.312206173315644,-24.312206173315644,14.0,326.0,1.0,15.0,405.0,1.0,True,81.81190528296254,81.88843901678919,0.0,0.0,21.807193291559816,19.098523588851094,0.0,0.047152214072648566,768,15,40,32295.502799999667
4,60.0,23.20448180474341,-23.20448180474341,15.0,405.0,1.0,12.0,577.0,1.0,True,75.90981711117026,76.19220688864588,0.0,0.0,20.40174622591585,17.55263482220471,0.0,0.10550149291400986,768,14,40,31720.520300004864
5,80.0,21.89935831911862,-21.89935831911862,12.0,577.0,1.0,12.0,613.0,1.0,True,69.9033503223617,70.01787190437317,0.0,0.0,18.945983569324017,16.005587564781308,0.0,0.020805415105932458,768,11,40,33180.283800000325
6,100.0,20.509568275883794,-20.509568275883794,12.0,613.0,1.0,12.0,617.0,1.0,True,63.880261274638656,63.902162765711545,0.0,0.0,17.456420209631325,14.483698869124055,0.0,0.002311712789548051,768,12,40,33010.9697999942
7,120.0,19.042593153193593,-19.042593153193593,12.0,617.0,1.0,12.0,617.0,1.0,False,57.94306777194142,57.94306777194142,0.0,0.0,15.953969363868236,13.017564522102475,0.0,0.0,768,13,40,32148.802999996406
8,140.0,17.54408766515553,-17.54408766515553,12.0,617.0,1.0,12.0,644.0,1.0,True,52.09337105986917,52.09721878245473,0.0,0.0,14.457999920845031,11.588607588782907,0.0,0.015604061329449347,768,12,40,32835.63149999827
9,160.0,16.009531961753964,-16.009531961753964,12.0,644.0,1.0,19.0,330.0,20.0,True,46.26506734885001,46.32677826210856,0.0,0.0,12.959707942977548,10.169771770015359,0.0,0.6107922864193641,768,12,40,32222.49439999723
10,180.0,14.459682421758771,-14.459682421758771,19.0,330.0,20.0,13.0,658.0,4.0,True,40.28424894947071,40.76196893826127,0.0,0.0,11.453736067190766,8.68575538881123,0.0,0.5266037466711201,768,24,40,32437.256900004286
11,200.0,12.904048653319478,-12.904048653319478,13.0,658.0,4.0,10.0,1000.0,1.0,True,34.65911528578016,34.81486238241196,0.0,0.0,9.976286666840315,7.352168412879109,0.0,0.22051263413060163,768,20,40,31730.400300002657
12,220.0,11.416398050263524,-11.416398050263524,10.0,1000.0,1.0,11.0,606.0,4.0,True,29.371815683939854,29.385855401307346,0.0,0.0,8.64603832103312,6.0386417377740145,0.0,0.2455566325582364,768,8,40,33425.859000002674
13,240.0,10.061283880844712,-10.061283880844712,11.0,606.0,4.0,8.0,1000.0,1.0,True,24.097743227373424,24.344537611305714,0.0,0.0,7.269021233171225,4.778611341491342,0.0,0.24780780482928652,768,21,40,33490.32100000477
14,260.0,8.649441601708531,-8.649441601708531,8.0,1000.0,1.0,7.0,1000.0,1.0,True,19.14076239032008,19.16160856746137,0.0,0.0,5.988189731910825,3.582132549956441,0.0,0.01178265855489032,768,7,40,32296.70780000015
15,280.0,7.337495082989335,-7.337495082989335,7.0,1000.0,1.0,5.0,1000.0,1.0,True,14.303764356547749,14.383185678720475,0.0,0.0,4.748721094615758,2.403043257072568,0.0,0.02356531710978064,768,15,40,31802.46800000168
16,300.0,6.054359028115869,-6.054359028115869,5.0,1000.0,1.0,4.0,996.0,1.0,True,9.825094949584708,9.89169243616929,0.0,0.0,3.5358159067109227,1.2631054241210222,0.2271322150018708,0.012007291894615125,768,16,40,33648.6961000046
17,320.0,4.812053443863988,-4.812053443863988,4.0,996.0,1.0,1.0,960.0,6.0,True,5.061590296896533,5.570187396123622,0.0,0.0,2.2361207569018005,0.005681311711668968,0.5764124261935747,0.15737334760190266,768,11,40,33085.55079999496
18,340.0,3.448686519637704,-3.448686519637704,1.0,960.0,6.0,3.0,1000.0,20.0,True,28.6932517235356,36.137810977234146,0.2654351727105677,0.1259525947402165,1.2109809793531894,0.2632309030741453,0.7271693512057434,0.4266948423274351,768,22,40,32156.81709999626
19,360.0,2.2223904076963663,-2.2223904076963663,3.0,1000.0,20.0,2.0,1000.0,17.0,True,29.5518780945559,55.27424313985989,0.29257359355688095,0.12926833700120338,0.5346128314733505,0.269537155283615,0.6587213376635691,0.0919188791821373,768,24,40,32788.97750000033
20,380.0,0.9592517036944628,-0.9592517036944628,2.0,1000.0,17.0,1.0,1000.0,20.0,True,29.429577338506807,58.65017331725707,0.30772856902331114,0.12001206899020528,0.26946664433926343,0.1938008600845933,0.28347554929621893,0.0919188791821373,768,22,40,32324.83100000536
21,400.0,-0.11202476732432842,0.11202476732432842,1.0,1000.0,20.0,1.0,1.0,10.0,True,20.28812092160585,31.19085748486968,0.20526895858347416,0.05833642504369726,0.7469859164528316,0.04702842846745625,0.5219584590459714,0.6524334730451598,768,15,40,32459.44359999703
22,420.0,0.9072868276562076,-0.9072868276562076,1.0,1.0,10.0,47.0,1.0,9.0,True,2.3694579052826823,42.328733148519326,0.0,0.0,0.9272330711770337,0.016742081817938015,0.4760790649857602,0.5428534306978963,768,24,40,31918.061600001238
23,440.0,1.4167475192516576,-1.4167475192516576,47.0,1.0,9.0,50.0,1000.0,12.0,True,25.523551504479585,52.929301564891276,0.26595912550692447,0.06334338568087321,0.6573910399136367,0.26595912550692447,0.49396385551036437,0.5855707147940398,768,24,40,33325.5205999958
24,460.0,1.0715487259149086,-1.0715487259149086,50.0,1000.0,12.0,1.0,1.0,4.0,True,52.54003695124955,93.44552580687804,0.526467338699149,0.17146337039006185,0.9184522434457904,1.3073803861334454,0.818564319164539,0.8519165292757183,768,18,40,32580.846799995925
25,480.0,-0.07708242957596667,0.07708242957596667,1.0,1.0,4.0,1.0,1.0,20.0,True,37.0227779233101,51.086238434994975,0.38156237502698787,0.12790950771364526,0.719041142282731,0.2845530632239388,0.6484523817246708,0.48618970037021114,768,24,40,32366.645100002643
26,500.0,0.3298085326969158,-0.3298085326969158,1.0,1.0,20.0,49.0,1.0,18.0,True,2.7931333731935055,39.59596482773828,0.0,0.0,1.1086353554615926,0.002165758691262454,0.5658429099565031,0.5688234931292317,768,24,40,31851.285899996583
27,520.0,1.8143717662314884,-1.8143717662314884,49.0,1.0,18.0,50.0,888.0,1.0,True,43.24435269384171,65.72369793886907,0.4524541453574784,0.12148079721725034,0.8921544813056244,0.4524541453574784,0.7071013529375585,0.7278542462165477,768,19,40,33211.30420000554
28,540.0,1.480066739663016,-1.480066739663016,50.0,888.0,1.0,1.0,1.0,4.0,True,55.48515367521865,109.57172851669102,0.5564101909403689,0.1769497798475257,0.8440984363667667,1.5998015542863868,0.7682705443905301,0.7774478866523149,768,16,40,33152.47260000615
29,560.0,0.4313012144411914,-0.4313012144411914,1.0,1.0,4.0,1.0,1.0,20.0,True,37.24031688206874,54.23164011008128,0.3852261223946698,0.12248538548353347,0.7690673357079504,0.2760484637110494,0.6525720301474481,0.48618970037021114,768,21,40,32284.486099997594
30,580.0,-0.3834133223281242,0.3834133223281242,1.0,1.0,20.0,1.0,1.0,5.0,True,29.81426521600859,38.70721655817544,0.3146208301768638,0.06451991103053109,1.0031001260242192,0.03664419235428795,0.6249548057455675,0.455802844097073,768,24,40,32853.24299999775
31,600.0,1.5473457201733254,-1.5473457201733254,1.0,1.0,5.0,50.0,1.0,19.0,True,3.1153931259256717,54.671474806976676,0.0,0.0,1.1034669879009016,0.17432112147798762,0.5526453515763251,0.7171555591568314,768,19,40,32293.334299996786
32,620.0,1.6483204690157436,-1.6483204690157436,50.0,1.0,19.0,50.0,1000.0,20.0,True,32.13844478345789,40.952721913194864,0.33982259506592527,0.07529244631751247,0.7329995197273093,0.33982259506592527,0.5424380653691192,0.5781493702906695,768,19,40,32501.620600000024
33,640.0,1.1709345755516551,-1.1709345755516551,50.0,1000.0,20.0,50.0,1000.0,20.0,False,103.80985346055382,103.80985346055382,1.0962481098831631,0.403858513228593,0.5777292452141409,1.0962481098831631,0.6462945628483676,0.0,768,18,40,31868.17339999834
34,660.0,0.71477984538069,-0.71477984538069,50.0,1000.0,20.0,1.0,1000.0,20.0,True,105.14779371054856,177.71714121727382,1.0469448725343682,0.6084376165999675,0.5705439432669663,0.7717545861960389,0.44870484818216466,0.5773502691896257,768,17,40,33464.95370000048
35,680.0,-0.3024271363974549,0.3024271363974549,1.0,1000.0,20.0,1.0,3.0,20.0,True,47.858493860306545,109.8372881915679,0.4968268974334933,0.16958106041501234,0.9794570138154086,0.14103164727566764,0.7781709868666115,0.5761944127948517,768,6,40,33860.391100002744
36,700.0,0.3876086258678697,-0.3876086258678697,1.0,3.0,20.0,2.0,1.0,16.0,True,3.1725813581685474,46.02342994717219,0.0,0.0,1.285999505437212,0.009217312734108418,0.5809264952460593,0.12212265798473353,768,24,40,32377.612500000396
