step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.44461166858673,0.0,-26.44461166858673,26.44461166858673,13.0,666.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.555388331413269,True
2,1,4.0,26.1117045879364,0.0,-26.1117045879364,26.1117045879364,13.0,666.0,3.0,-100.0,-100.0,0.0,0.5826170528241317,-0.025246738955712375,-0.3329070806503296,True
3,1,6.0,25.921755209565163,0.0,-25.921755209565163,25.921755209565163,13.0,666.0,3.0,-100.0,-100.0,0.0,0.8762698268541985,-0.037971692497015264,-0.1899493783712387,True
4,1,8.0,25.748387917876244,0.0,-25.748387917876244,25.748387917876244,13.0,666.0,3.0,-100.0,-100.0,0.0,0.9919447920706408,-0.04298427432306111,-0.17336729168891907,True
5,1,10.0,25.586201936006546,0.0,-25.586201936006546,25.586201936006546,13.0,666.0,3.0,-100.0,-100.0,0.0,1.0791905302908347,-0.046764922979269506,-0.16218598186969757,True
6,1,12.0,25.42848102748394,0.0,-25.42848102748394,25.42848102748394,13.0,666.0,3.0,-100.0,-100.0,0.0,1.1463844496346887,-0.049676659484169834,-0.1577209085226059,True
7,1,14.0,25.297704860568047,0.0,-25.297704860568047,25.297704860568047,13.0,666.0,3.0,-100.0,-100.0,0.0,1.20248479321625,-0.05210767437270415,-0.13077616691589355,True
8,1,16.0,25.248313810676336,0.0,-25.248313810676336,25.248313810676336,13.0,666.0,3.0,-100.0,-100.0,0.0,1.2249680051804455,-0.053081946891152636,-0.04939104989171028,True
9,1,18.0,25.258727523498237,0.0,-25.258727523498237,25.258727523498237,13.0,666.0,3.0,-100.0,-100.0,0.0,1.1599314134971506,-0.05026369458487653,0.010413712821900845,True
10,1,20.0,25.332553091458976,0.0,-25.332553091458976,25.332553091458976,13.0,666.0,3.0,-100.0,-100.0,0.0,1.0383618527973273,-0.044995680287884185,0.07382556796073914,True
11,2,22.0,25.340906219556928,0.0,-25.340906219556928,25.340906219556928,14.0,326.0,1.0,-100.0,-100.0,0.0,0.2667686791906173,-0.03734761508668642,0.008353128097951412,True
12,2,24.0,25.206677915528417,0.0,-25.206677915528417,25.206677915528417,14.0,326.0,1.0,-100.0,-100.0,0.0,0.23860949346411622,-0.033405329084976274,-0.13422830402851105,True
13,2,26.0,25.08754545636475,0.0,-25.08754545636475,25.08754545636475,14.0,326.0,1.0,-100.0,-100.0,0.0,0.2594323995839161,-0.03632053594174826,-0.11913245916366577,True
14,2,28.0,24.977726900950074,0.0,-24.977726900950074,24.977726900950074,14.0,326.0,1.0,-100.0,-100.0,0.0,0.27336741801724984,-0.038271438522414984,-0.10981855541467667,True
15,2,30.0,24.86376711167395,0.0,-24.86376711167395,24.86376711167395,14.0,326.0,1.0,-100.0,-100.0,0.0,0.282948969623017,-0.039612855747222384,-0.11395978927612305,True
16,2,32.0,24.727092573419213,0.0,-24.727092573419213,24.727092573419213,14.0,326.0,1.0,-100.0,-100.0,0.0,0.2929611947285332,-0.04101456726199465,-0.13667453825473785,True
17,2,34.0,24.64207993634045,0.0,-24.64207993634045,24.64207993634045,14.0,326.0,1.0,-100.0,-100.0,0.0,0.3093938071556313,-0.04331513300178839,-0.08501263707876205,True
18,2,36.0,24.520686389878392,0.0,-24.520686389878392,24.520686389878392,14.0,326.0,1.0,-100.0,-100.0,0.0,0.3074843702399765,-0.04304781183359671,-0.12139354646205902,True
19,2,38.0,24.42519728280604,0.0,-24.42519728280604,24.42519728280604,14.0,326.0,1.0,-100.0,-100.0,0.0,0.3175699062974702,-0.04445978688164583,-0.09548910707235336,True
20,2,40.0,24.312206173315644,0.0,-24.312206173315644,24.312206173315644,14.0,326.0,1.0,-100.0,-100.0,0.0,0.3182822510307179,-0.04455951514430051,-0.11299110949039459,True
21,3,42.0,24.220543714240193,0.0,-24.220543714240193,24.220543714240193,15.0,405.0,1.0,-100.0,-100.0,0.0,0.3029688875353817,-0.045445333130307256,-0.0916624590754509,True
22,3,44.0,24.09536144323647,0.0,-24.09536144323647,24.09536144323647,15.0,405.0,1.0,-100.0,-100.0,0.0,0.30184733040181433,-0.04527709956027215,-0.12518227100372314,True
23,3,46.0,24.014909410849214,0.0,-24.014909410849214,24.014909410849214,15.0,405.0,1.0,-100.0,-100.0,0.0,0.3109910070317818,-0.04664865105476727,-0.08045203238725662,True
24,3,48.0,23.88044642843306,0.0,-23.88044642843306,23.88044642843306,15.0,405.0,1.0,-100.0,-100.0,0.0,0.30570688056607886,-0.045856032084911826,-0.13446298241615295,True
25,3,50.0,23.810790883377194,0.0,-23.810790883377194,23.810790883377194,15.0,405.0,1.0,-100.0,-100.0,0.0,0.31729493552370475,-0.04759424032855571,-0.06965554505586624,True
26,3,52.0,23.668820085003972,0.0,-23.668820085003972,23.668820085003972,15.0,405.0,1.0,-100.0,-100.0,0.0,0.30813758232663063,-0.04622063734899459,-0.14197079837322235,True
27,3,54.0,23.591540606692433,0.0,-23.591540606692433,23.591540606692433,15.0,405.0,1.0,-100.0,-100.0,0.0,0.3217690331067814,-0.048265354966017214,-0.0772794783115387,True
28,3,56.0,23.43977345712483,0.0,-23.43977345712483,23.43977345712483,15.0,405.0,1.0,-100.0,-100.0,0.0,0.3144953467758138,-0.04717430201637207,-0.15176714956760406,True
29,3,58.0,23.36348227597773,0.0,-23.36348227597773,23.36348227597773,15.0,405.0,1.0,-100.0,-100.0,0.0,0.33048913813497455,-0.04957337072024618,-0.07629118114709854,True
30,3,60.0,23.20448180474341,0.0,-23.20448180474341,23.20448180474341,15.0,405.0,1.0,-100.0,-100.0,0.0,0.322084139654961,-0.04831262094824416,-0.1590004712343216,True
31,4,62.0,23.080076256766915,0.0,-23.080076256766915,23.080076256766915,12.0,577.0,1.0,-100.0,-100.0,0.0,0.4244326411681626,-0.05093191694017952,-0.12440554797649384,True
32,4,64.0,22.948757285252213,0.0,-22.948757285252213,22.948757285252213,12.0,577.0,1.0,-100.0,-100.0,0.0,0.4310729165873706,-0.051728749990484484,-0.13131897151470184,True
33,4,66.0,22.810260260477662,0.0,-22.810260260477662,22.810260260477662,12.0,577.0,1.0,-100.0,-100.0,0.0,0.4396986886146353,-0.05276384263375623,-0.1384970247745514,True
34,4,68.0,22.696347819641232,0.0,-22.696347819641232,22.696347819641232,12.0,577.0,1.0,-100.0,-100.0,0.0,0.45022080741894416,-0.05402649689027331,-0.1139124408364296,True
35,4,70.0,22.560138197615743,0.0,-22.560138197615743,22.560138197615743,12.0,577.0,1.0,-100.0,-100.0,0.0,0.45042621451995635,-0.054051145742394766,-0.1362096220254898,True
36,4,72.0,22.4265278596431,0.0,-22.4265278596431,22.4265278596431,12.0,577.0,1.0,-100.0,-100.0,0.0,0.4590585370586189,-0.05508702444703427,-0.133610337972641,True
37,4,74.0,22.297588692978024,0.0,-22.297588692978024,22.297588692978024,12.0,577.0,1.0,-100.0,-100.0,0.0,0.46588277842442083,-0.0559059334109305,-0.1289391666650772,True
38,4,76.0,22.16762930341065,0.0,-22.16762930341065,22.16762930341065,12.0,577.0,1.0,-100.0,-100.0,0.0,0.47028654841585055,-0.05643438580990207,-0.12995938956737518,True
39,4,78.0,22.034439774230123,0.0,-22.034439774230123,22.034439774230123,12.0,577.0,1.0,-100.0,-100.0,0.0,0.4746567207527476,-0.05695880649032972,-0.13318952918052673,True
40,4,80.0,21.89935831911862,0.0,-21.89935831911862,21.89935831911862,12.0,577.0,1.0,-100.0,-100.0,0.0,0.47983365013892865,-0.057580038016671435,-0.1350814551115036,True
41,5,82.0,21.76987293548882,0.0,-21.76987293548882,21.76987293548882,12.0,613.0,1.0,-100.0,-100.0,0.0,0.4852334448450587,-0.058228013381407054,-0.1294853836297989,True
42,5,84.0,21.627728568390012,0.0,-21.627728568390012,21.627728568390012,12.0,613.0,1.0,-100.0,-100.0,0.0,0.487998279299282,-0.05855979351591385,-0.1421443670988083,True
43,5,86.0,21.494038047268987,0.0,-21.494038047268987,21.494038047268987,12.0,613.0,1.0,-100.0,-100.0,0.0,0.495294791725347,-0.059435375007041644,-0.13369052112102509,True
44,5,88.0,21.35445678420365,0.0,-21.35445678420365,21.35445678420365,12.0,613.0,1.0,-100.0,-100.0,0.0,0.4986928487499376,-0.05984314184999251,-0.13958126306533813,True
45,5,90.0,21.215362491086125,0.0,-21.215362491086125,21.215362491086125,12.0,613.0,1.0,-100.0,-100.0,0.0,0.5039982687986359,-0.06047979225583631,-0.1390942931175232,True
46,5,92.0,21.075166942551732,0.0,-21.075166942551732,21.075166942551732,12.0,613.0,1.0,-100.0,-100.0,0.0,0.5086131358030899,-0.06103357629637078,-0.1401955485343933,True
47,5,94.0,20.930621372535825,0.0,-20.930621372535825,20.930621372535825,12.0,613.0,1.0,-100.0,-100.0,0.0,0.513204965051163,-0.061584595806139564,-0.1445455700159073,True
48,5,96.0,20.793102206662297,0.0,-20.793102206662297,20.793102206662297,12.0,613.0,1.0,-100.0,-100.0,0.0,0.5190066357742418,-0.06228079629290902,-0.13751916587352753,True
49,5,98.0,20.650070371106267,0.0,-20.650070371106267,20.650070371106267,12.0,613.0,1.0,-100.0,-100.0,0.0,0.5215931798624189,-0.06259118158349028,-0.14303183555603027,True
50,5,100.0,20.509568275883794,0.0,-20.509568275883794,20.509568275883794,12.0,613.0,1.0,-100.0,-100.0,0.0,0.5260212773188944,-0.06312255327826732,-0.14050209522247314,True
51,6,102.0,20.368580045178533,0.0,-20.368580045178533,20.368580045178533,12.0,617.0,1.0,-100.0,-100.0,0.0,0.5290686768255198,-0.06348824121906238,-0.14098823070526123,True
52,6,104.0,20.223373817279935,0.0,-20.223373817279935,20.223373817279935,12.0,617.0,1.0,-100.0,-100.0,0.0,0.5320095418226944,-0.06384114501872333,-0.14520622789859772,True
53,6,106.0,20.082291217520833,0.0,-20.082291217520833,20.082291217520833,12.0,617.0,1.0,-100.0,-100.0,0.0,0.5362677201867361,-0.06435212642240834,-0.14108259975910187,True
54,6,108.0,19.932376073673368,0.0,-19.932376073673368,19.932376073673368,12.0,617.0,1.0,-100.0,-100.0,0.0,0.5385576203186183,-0.06462691443823419,-0.14991514384746552,True
55,6,110.0,19.78753631003201,0.0,-19.78753631003201,19.78753631003201,12.0,617.0,1.0,-100.0,-100.0,0.0,0.5439749891282175,-0.06527699869538611,-0.14483976364135742,True
