decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,683.0,3.0,True,59.668890353731086,60.576007761619984,0.0,0.0,24.281319110142068,22.16825701855123,0.0,0.4424724834267525,768,24,40,33113.47499999829
2,20.0,25.332150290720165,-25.332150290720165,13.0,683.0,3.0,14.0,296.0,1.0,True,56.419739885869696,56.864215596579015,0.0,0.0,23.06608448214829,20.55193510465324,0.0,0.232067384929939,768,10,40,32181.941000002553
3,40.0,24.303579760715365,-24.303579760715365,14.0,296.0,1.0,15.0,391.0,1.0,True,53.1401388418805,53.19889050703496,0.0,0.0,21.795973196066917,19.09076957218349,0.0,0.05615327309845369,768,17,40,32658.03300000698
4,60.0,23.191796427592635,-23.191796427592635,15.0,391.0,1.0,12.0,564.0,1.0,True,49.53502935535427,49.70903693791479,0.0,0.0,20.383571876771747,17.525166584178805,0.0,0.10604619442745433,768,14,40,32099.434799994924
5,80.0,21.88513451628387,-21.88513451628387,12.0,564.0,1.0,12.0,574.0,1.0,True,45.863259167818725,45.89372639413923,0.0,0.0,18.93410869576037,15.98950562439859,0.0,0.005779281973870128,768,11,40,32333.575399999972
6,100.0,20.499416125938296,-20.499416125938296,12.0,574.0,1.0,12.0,578.0,1.0,True,42.11516308946103,42.12357651721686,0.0,0.0,17.440292398259043,14.468925414606929,0.0,0.002311712789548051,768,12,40,31767.827900002885
7,120.0,19.031956834718585,-19.031956834718585,12.0,578.0,1.0,12.0,578.0,1.0,False,38.34947538133711,38.34947538133711,0.0,0.0,15.929752021282912,12.979942677542567,0.0,0.0,768,13,40,33317.47330000508
8,140.0,17.532876102253795,-17.532876102253795,12.0,578.0,1.0,12.0,578.0,1.0,False,34.63495998661965,34.63495998661965,0.0,0.0,14.43066547587514,11.547258069738746,0.0,0.0,768,13,40,33657.228099997155
9,160.0,16.00230717472732,-16.00230717472732,12.0,578.0,1.0,12.0,579.0,1.0,True,30.97560256783277,30.97587285693735,0.0,0.0,12.95506348386407,10.130893407389522,0.0,0.0005779281973870128,768,13,40,32248.958000003768
10,180.0,14.46897661499679,-14.46897661499679,12.0,579.0,1.0,5.0,1000.0,1.0,True,27.330945323747482,27.39496014919132,0.0,0.0,11.452083941362798,8.827864145860076,0.0,0.25690736183701013,768,14,40,31879.106799999136
11,200.0,12.909605396911502,-12.909605396911502,5.0,1000.0,1.0,13.0,560.0,4.0,True,23.73571257220188,23.95247240830213,0.0,0.0,10.02475473806262,7.343795349821448,0.0,0.28610842331830766,768,8,40,34452.00549999572
12,220.0,11.486863425001502,-11.486863425001502,13.0,560.0,4.0,9.0,1000.0,1.0,True,20.27516648797222,20.377828337810932,0.0,0.0,8.613307548314333,6.069681232795119,0.0,0.27421549891987085,768,23,40,33004.31709999975
13,240.0,10.022763414308429,-10.022763414308429,9.0,1000.0,1.0,10.0,1000.0,1.0,True,17.023480597943454,17.025980188511312,0.0,0.0,7.291797429509461,4.878593211993575,0.0,0.01178265855489032,768,8,40,32158.837399998447
14,260.0,8.663752621039748,-8.663752621039748,10.0,1000.0,1.0,6.0,435.0,1.0,True,13.880884630292929,13.963217224739491,0.0,0.0,6.015398045442998,3.667185751721263,0.0,0.3299132709260179,768,7,40,32926.467900004354
15,280.0,7.327576277777553,-7.327576277777553,6.0,435.0,1.0,5.0,1000.0,1.0,True,10.594747569943085,10.880227534286679,0.0,0.0,4.700686783902347,2.3540738094598055,0.0,0.3267419481697861,768,21,40,32205.137600001763
16,300.0,5.967137528583407,-5.967137528583407,5.0,1000.0,1.0,18.0,979.0,20.0,True,8.34103369246507,8.722058360149358,0.0,0.0,3.6812764356844125,1.8972169291228056,0.0,0.5974471306968451,768,15,40,32499.009700004535
17,320.0,4.615280533209443,-4.615280533209443,18.0,979.0,20.0,5.0,967.0,1.0,True,7.002736619600969,7.334548734458036,0.0,0.0,2.084272077307105,0.051522137597203255,0.5557126381730839,0.5973641064547623,768,24,40,31920.179499997175
18,340.0,3.1702003348618746,-3.1702003348618746,5.0,967.0,1.0,50.0,1000.0,14.0,True,5.427770364247506,80.32740630301451,0.0,0.0,1.2988993550650776,0.025780140422284603,0.5568016013438851,0.6614715437356461,768,12,40,33394.435900001554
19,360.0,1.9224730236455798,-1.9224730236455798,50.0,1000.0,14.0,2.0,455.0,20.0,True,21.616517347236137,60.979839832552464,0.19718117080628872,0.06850053616210418,0.46919567947043106,0.1550182595383376,0.5474959897503143,0.6725432081662334,768,24,40,33259.55979999708
20,380.0,0.665665308944881,-0.665665308944881,2.0,455.0,20.0,1.0,1000.0,20.0,True,24.49749986031182,45.194217149024894,0.24369810946518555,0.09984653997124886,0.2639068788019358,0.24369810946518555,0.26816650654817603,0.315191177643268,768,24,40,32324.26029999624
21,400.0,-0.2080458076670766,0.2080458076670766,1.0,1000.0,20.0,1.0,1000.0,20.0,False,24.53837104343893,24.53837104343893,0.24369810946518555,0.10324994299315725,0.2505181994361919,0.2609987300238572,0.2626976465090113,0.0,768,15,40,31935.39150000288
22,420.0,0.4757257457822561,-0.4757257457822561,1.0,1000.0,20.0,1.0,1000.0,20.0,False,24.251609016418772,24.251609016418772,0.24369810946518555,0.09808827061836692,0.2311743162383209,0.22320104442769662,0.24783259719248643,0.0,768,14,40,33704.95270000538
23,440.0,0.28923851664876565,-0.28923851664876565,1.0,1000.0,20.0,1.0,1000.0,20.0,False,31.369542645412448,31.369542645412448,0.31931703962618485,0.14985211317996514,0.16621136249159463,0.13033720053499565,0.1862049509336042,0.0,768,15,40,33140.77160000306
24,460.0,-0.24369810946518555,0.24369810946518555,1.0,1000.0,20.0,1.0,775.0,20.0,True,30.74252593644579,30.821502650573862,0.3177678394713439,0.1326171571643869,0.17634072049258975,0.00011060864198952913,0.1966691252559791,0.13003384441207788,768,11,40,32172.716900000523
25,480.0,0.27245884522562847,-0.27245884522562847,1.0,775.0,20.0,1.0,1.0,20.0,True,28.491658986066177,34.7637792888849,0.2707020226516761,0.08258017398379987,0.6638094733381876,0.20494146406417713,0.5811272908941505,0.4473164247775479,768,14,40,32860.22979999689
26,500.0,-0.2400790821411647,0.2400790821411647,1.0,1.0,20.0,1.0,1000.0,20.0,True,27.451323818906257,42.20347358913754,0.25026087142759934,0.06700854664663985,0.8999521004821872,0.5779841774201486,0.6604867804330371,0.5773502691896257,768,24,40,32289.607099999557
27,520.0,1.0384343931800686,-1.0384343931800686,1.0,1000.0,20.0,1.0,1000.0,1.0,True,3.876972519609938,23.86236555681348,0.0,0.0,0.6880702467722586,0.37238618510309607,0.4571542840108784,0.5773502691896257,768,9,40,32477.245000001858
28,540.0,1.1198910544044338,-1.1198910544044338,1.0,1000.0,1.0,1.0,965.0,1.0,True,1.6999906388929475,1.7016524733738851,0.0,0.0,0.4245178783909068,0.3547197059597238,0.13451673095716898,0.020227486908545447,768,15,40,31829.517099999066
29,560.0,0.4274330888292752,-0.4274330888292752,1.0,965.0,1.0,1.0,953.0,1.0,True,1.0007774205334474,1.0011525222602793,0.0,0.0,0.3684064956221846,0.35939180009881966,0.016784354464247246,0.006935138368644154,768,14,40,33474.3707000016
30,580.0,0.35414228861918673,-0.35414228861918673,1.0,953.0,1.0,1.0,1000.0,1.0,True,0.9643337505211024,0.9717706789680639,0.0,0.0,0.3499985747928804,0.2913941453316511,0.023456279401131312,0.0271626252771896,768,14,40,33343.04859999975
31,600.0,0.3620411794981919,-0.3620411794981919,1.0,1000.0,1.0,1.0,1000.0,1.0,False,1.0000824104352128,1.0000824104352128,0.0,0.0,0.33122597760075223,0.2537802016468049,0.042148070882061184,0.0,768,14,40,32212.720299998182
32,620.0,0.3519408553256653,-0.3519408553256653,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.9738744364568368,0.9738744364568368,0.0,0.0,0.30184047530024144,0.24827893911788124,0.04921080325948266,0.0,768,14,40,31842.038799994043
33,640.0,0.3617179867451341,-0.3617179867451341,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.8300762965365058,0.8300762965365058,0.0,0.0,0.274189625113786,0.2657957425144559,0.02975983501034118,0.0,768,14,40,34599.58669999469
34,660.0,0.2913941453316511,-0.2913941453316511,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.692537132906223,0.692537132906223,0.0,0.0,0.2574364184538808,0.23622222000631155,0.011910637199061122,0.0,768,14,40,33113.951900006214
35,680.0,0.2537802016468049,-0.2537802016468049,1.0,1000.0,1.0,1.0,1000.0,1.0,False,0.6808822218029584,0.6808822218029584,0.0,0.0,0.24367438345248046,0.2013731087827182,0.018569380101327675,0.0,768,13,40,32166.87020000245
36,700.0,0.24827893911788124,-0.24827893911788124,1.0,1000.0,1.0,1.0,1000.0,4.0,True,0.6953517862742818,0.6972391201613046,0.0,0.0,0.23474603977756486,0.1941227841343789,0.024848057242198386,0.09116056881941459,768,13,40,32867.62579999777
37,720.0,0.26612480413677986,-0.26612480413677986,1.0,1000.0,4.0,1.0,1000.0,4.0,False,0.6562759808283362,0.6562759808283362,0.0,0.0,0.21678407917697767,0.18412133737365366,0.026129430757510796,0.0,768,12,40,32207.890100005898
