step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.444029450416565,0.0,-26.444029450416565,26.444029450416565,13.0,683.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5559705495834351,True
2,1,4.0,26.11182302236557,0.0,-26.11182302236557,26.11182302236557,13.0,683.0,3.0,-100.0,-100.0,0.0,0.5832278150876088,-0.02527320532046304,-0.3322064280509949,True
3,1,6.0,25.922507345676422,0.0,-25.922507345676422,25.922507345676422,13.0,683.0,3.0,-100.0,-100.0,0.0,0.8760873256857581,-0.037963784113049515,-0.18931567668914795,True
4,1,8.0,25.74899835884571,0.0,-25.74899835884571,25.74899835884571,13.0,683.0,3.0,-100.0,-100.0,0.0,0.9911149297714911,-0.042948313623431274,-0.17350898683071136,True
5,1,10.0,25.586628168821335,0.0,-25.586628168821335,25.586628168821335,13.0,683.0,3.0,-100.0,-100.0,0.0,1.0785884701102195,-0.04673883370477618,-0.16237019002437592,True
6,1,12.0,25.42883764207363,0.0,-25.42883764207363,25.42883764207363,13.0,683.0,3.0,-100.0,-100.0,0.0,1.1460330589131553,-0.049661432552903395,-0.15779052674770355,True
7,1,14.0,25.29769791662693,0.0,-25.29769791662693,25.29769791662693,13.0,683.0,3.0,-100.0,-100.0,0.0,1.2022399528468042,-0.05209706462336151,-0.13113972544670105,True
8,1,16.0,25.248135685920715,0.0,-25.248135685920715,25.248135685920715,13.0,683.0,3.0,-100.0,-100.0,0.0,1.2251279025332527,-0.05308887577644095,-0.049562230706214905,True
9,1,18.0,25.25836648326367,0.0,-25.25836648326367,25.25836648326367,13.0,683.0,3.0,-100.0,-100.0,0.0,1.1602556315213868,-0.05027774403259342,0.010230797342956066,True
10,1,20.0,25.332150290720165,0.0,-25.332150290720165,25.332150290720165,13.0,683.0,3.0,-100.0,-100.0,0.0,1.03884702699651,-0.0450167045031821,0.07378380745649338,True
11,2,22.0,25.33899529837072,0.0,-25.33899529837072,25.33899529837072,14.0,296.0,1.0,-100.0,-100.0,0.0,0.2669180868098612,-0.03736853215338057,0.00684500765055418,True
12,2,24.0,25.205733528360724,0.0,-25.205733528360724,25.205733528360724,14.0,296.0,1.0,-100.0,-100.0,0.0,0.2392343338580214,-0.033492806740123,-0.1332617700099945,True
13,2,26.0,25.08348755352199,0.0,-25.08348755352199,25.08348755352199,14.0,296.0,1.0,-100.0,-100.0,0.0,0.25968380444739636,-0.036355732622635493,-0.12224597483873367,True
14,2,28.0,24.973154006525874,0.0,-24.973154006525874,24.973154006525874,14.0,296.0,1.0,-100.0,-100.0,0.0,0.27460579587423306,-0.03844481142239263,-0.11033354699611664,True
15,2,30.0,24.85592939518392,0.0,-24.85592939518392,24.85592939518392,14.0,296.0,1.0,-100.0,-100.0,0.0,0.2842364362898871,-0.039793101080584196,-0.11722461134195328,True
16,2,32.0,24.719301080331206,0.0,-24.719301080331206,24.719301080331206,14.0,296.0,1.0,-100.0,-100.0,0.0,0.2951859339341388,-0.04132603075077943,-0.13662831485271454,True
