decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,14.0,666.0,3.0,True,59.676404556583826,60.576007761619984,0.0,0.0,24.280729396780952,22.220913181314245,0.0,0.4489172364799474,256,24,40,11056.424399997923
2,20.0,25.2808888212312,-25.2808888212312,14.0,666.0,3.0,14.0,265.0,1.0,True,56.49226772469897,56.950430861883795,0.0,0.0,23.087182261468843,20.631014696555212,0.0,0.23958534836739723,256,10,40,11037.642800001777
3,40.0,24.29513619025238,-24.29513619025238,14.0,265.0,1.0,16.0,360.0,1.0,True,53.28202883748656,53.35303329576273,0.0,0.0,21.842403817968442,19.193247466580942,0.0,0.059746825920151715,256,17,40,11088.988999996218
4,60.0,23.213404222624376,-23.213404222624376,16.0,360.0,1.0,11.0,612.0,1.0,True,49.727135408945045,49.95987505291123,0.0,0.0,20.439572746912017,17.69283778150566,0.0,0.15710243681848546,256,15,40,10705.528399994364
5,80.0,21.903931520180777,-21.903931520180777,11.0,612.0,1.0,13.0,578.0,1.0,True,46.05163842674916,46.15801180501003,0.0,0.0,18.99312621434219,16.130158341722563,0.0,0.0306827203492093,256,11,40,10737.977500000852
6,100.0,20.545501611428335,-20.545501611428335,13.0,578.0,1.0,5.0,546.0,1.0,True,42.336128059257774,42.36456487488467,0.0,0.0,17.511648413399236,14.623741298215464,0.0,0.096058335156921,256,12,40,10630.87349999114
7,120.0,19.064192570047453,-19.064192570047453,5.0,546.0,1.0,17.0,670.0,1.0,True,38.08462075603112,38.6100447935285,0.0,0.0,15.83820817177184,12.813238508300856,0.0,0.1585158337011471,256,13,40,10630.954799999017
8,140.0,17.48621443589218,-17.48621443589218,17.0,670.0,1.0,7.0,584.0,1.0,True,34.11815670224033,34.29146705616731,0.0,0.0,14.23544965540059,11.291957176523283,0.0,0.12788031775056977,256,12,40,10706.253900003503
9,160.0,15.810552186565474,-15.810552186565474,7.0,584.0,1.0,15.0,673.0,1.0,True,30.231712991844415,30.396568979811853,0.0,0.0,12.671792496787385,9.774108364479616,0.0,0.10738160298359713,256,13,40,10980.610200000228
10,180.0,14.237814656691626,-14.237814656691626,15.0,673.0,1.0,5.0,1000.0,1.0,True,26.447976955379776,26.605553239327854,0.0,0.0,11.115561297768727,8.429254620568827,0.0,0.22270495579098246,256,12,40,11218.418099990231
11,200.0,12.618316329317167,-12.618316329317167,5.0,1000.0,1.0,13.0,686.0,1.0,True,22.83899286403531,22.996157492068598,0.0,0.0,9.672215154813603,6.98503529955633,0.0,0.20449046299370097,256,9,40,11922.268000009353
12,220.0,11.131938710110262,-11.131938710110262,13.0,686.0,1.0,10.0,908.0,1.0,True,19.4335359790468,19.482888652128167,0.0,0.0,8.28883703504689,5.709062210517004,0.0,0.1330803694516378,256,13,40,11227.495099999942
13,240.0,9.688879399793223,-9.688879399793223,10.0,908.0,1.0,8.0,1000.0,1.0,True,16.187103432793045,16.205464453739115,0.0,0.0,6.966028628358617,4.508929199771956,0.0,0.058157618983104675,256,8,40,11002.968300002976
14,260.0,8.34250709344633,-8.34250709344633,8.0,1000.0,1.0,7.0,1000.0,1.0,True,13.059815174953904,13.061890329909511,0.0,0.0,5.699192969175056,3.322622820036486,0.0,0.01178265855489032,256,8,40,11014.620300004026
15,280.0,7.032999306218699,-7.032999306218699,7.0,1000.0,1.0,5.0,1.0,2.0,True,9.821793433961197,10.050854029250331,0.0,0.0,4.3605317729059605,2.1898871876765043,0.0,0.5786294311024822,256,14,40,10769.8922999989
16,300.0,5.583266309695318,-5.583266309695318,5.0,1.0,2.0,4.0,823.0,1.0,True,6.792495677394007,7.227845028416034,0.0,0.0,3.024693306023255,0.7354882129002362,0.37060322261044765,0.4761736286931742,256,24,40,10776.475300008315
17,320.0,4.260441451566294,-4.260441451566294,4.0,823.0,1.0,38.0,1000.0,1.0,True,4.223821461812375,37.08186642388843,0.0,0.0,1.8143803643528371,0.05261202831752598,0.5646200774563352,0.41346414916029983,256,9,40,10800.406099995598
18,340.0,2.778633549110964,-2.778633549110964,38.0,1000.0,1.0,1.0,1.0,4.0,True,50.78467035876209,67.46507296663671,0.5280088826548308,0.17183041214873926,0.9790125479223206,1.3905312635470182,0.7284648556146692,0.7291798680635249,256,14,40,10647.81110000331
19,360.0,1.56128456373699,-1.56128456373699,1.0,1.0,4.0,1.0,1.0,9.0,True,45.74613100847195,50.72188459761562,0.47501571173779666,0.1493745907986403,0.8399034799775109,1.6938969981856644,0.7353615436274896,0.15193428136569098,256,24,40,10704.994900006568
20,380.0,0.5323983572889119,-0.5323983572889119,1.0,1.0,9.0,1.0,1.0,20.0,True,39.54450955099493,45.783724863678664,0.4168329022359103,0.13016562325535205,0.7492972771753557,0.3065152507624589,0.6377139405395587,0.33425541900452016,256,24,40,10879.228200006764
21,400.0,-0.4168329022359103,0.4168329022359103,1.0,1.0,20.0,1.0,1.0,11.0,True,34.67920938667966,39.5699553560449,0.3723832487594336,0.08209435953932288,0.8879258978762664,0.08279180387035012,0.6057361849929939,0.27348170645824377,256,24,40,11578.606600000057
22,420.0,1.2154767469037324,-1.2154767469037324,1.0,1.0,11.0,50.0,1.0,18.0,True,2.5157048903806327,43.90870437689355,0.0,0.0,0.9702109480276704,0.04649523296393454,0.5458825083988506,0.6152869444473748,256,24,40,11193.82489999407
23,440.0,1.5323296936694533,-1.5323296936694533,50.0,1.0,18.0,50.0,566.0,20.0,True,34.64926148780621,47.48577698849456,0.37403531349264085,0.09070253048318688,0.6444052567356267,0.37403531349264085,0.5262109547804199,0.3321368901339077,256,21,40,11319.394799997099
24,460.0,1.0518040435854346,-1.0518040435854346,50.0,566.0,20.0,1.0,1.0,18.0,True,40.731097844230824,107.30876191858569,0.4244027545209974,0.13195085722345087,0.7694629408768379,1.2261643942911178,0.6616829944383175,0.6660692509950874,256,24,40,11165.577799998573
25,480.0,0.2335661279503256,-0.2335661279503256,1.0,1.0,18.0,1.0,1.0,20.0,True,39.29265260715589,40.238936509125125,0.41537757753394544,0.1294732289019651,0.7458157021319494,0.06709758401848376,0.6524616039826909,0.06077371254627639,256,24,40,11196.724900000845
26,500.0,-0.1912049853708595,0.1912049853708595,1.0,1.0,20.0,1.0,1.0,7.0,True,2.7930073059236165,37.87482727922927,0.0,0.0,1.097942842770135,0.09088283916935325,0.5477299094831619,0.3950291315507966,256,24,40,10719.169499992859
