step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.441259443759918,0.0,-26.441259443759918,26.441259443759918,14.0,666.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5587405562400818,True
2,1,4.0,26.100045680999756,0.0,-26.100045680999756,26.100045680999756,14.0,666.0,3.0,-100.0,-100.0,0.0,0.5442669378276178,-0.02539912376528883,-0.34121376276016235,True
3,1,6.0,25.90543268620968,0.0,-25.90543268620968,25.90543268620968,14.0,666.0,3.0,-100.0,-100.0,0.0,0.82472453561677,-0.03848714499544927,-0.1946129947900772,True
4,1,8.0,25.72911748290062,0.0,-25.72911748290062,25.72911748290062,14.0,666.0,3.0,-100.0,-100.0,0.0,0.9356261969714693,-0.04366255585866857,-0.17631520330905914,True
5,1,10.0,25.565465539693832,0.0,-25.565465539693832,25.565465539693832,14.0,666.0,3.0,-100.0,-100.0,0.0,1.0181251967219764,-0.0475125091803589,-0.1636519432067871,True
6,1,12.0,25.406235024333,0.0,-25.406235024333,25.406235024333,14.0,666.0,3.0,-100.0,-100.0,0.0,1.0804194255648558,-0.05041957319302661,-0.15923051536083221,True
7,1,14.0,25.269784286618233,0.0,-25.269784286618233,25.269784286618233,14.0,666.0,3.0,-100.0,-100.0,0.0,1.1324645426818014,-0.052848345325150745,-0.13645073771476746,True
8,1,16.0,25.210240218788385,0.0,-25.210240218788385,25.210240218788385,14.0,666.0,3.0,-100.0,-100.0,0.0,1.157355410911077,-0.05400991917585027,-0.059544067829847336,True
9,1,18.0,25.207014206098393,0.0,-25.207014206098393,25.207014206098393,14.0,666.0,3.0,-100.0,-100.0,0.0,1.1049574720851258,-0.0515646820306392,-0.0032260126899927855,True
10,1,20.0,25.2808888212312,0.0,-25.2808888212312,25.2808888212312,14.0,666.0,3.0,-100.0,-100.0,0.0,1.002698555545651,-0.04679259925879705,0.07387461513280869,True
11,2,22.0,25.305937848286703,0.0,-25.305937848286703,25.305937848286703,14.0,265.0,1.0,-100.0,-100.0,0.0,0.27836355173427485,-0.03897089724279848,0.025049027055501938,True
12,2,24.0,25.17827496607788,0.0,-25.17827496607788,25.17827496607788,14.0,265.0,1.0,-100.0,-100.0,0.0,0.243677200584555,-0.0341148080818377,-0.12766288220882416,True
13,2,26.0,25.0543626465369,0.0,-25.0543626465369,25.0543626465369,14.0,265.0,1.0,-100.0,-100.0,0.0,0.261884916856992,-0.036663888359978886,-0.12391231954097748,True
14,2,28.0,24.948346971767023,0.0,-24.948346971767023,24.948346971767023,14.0,265.0,1.0,-100.0,-100.0,0.0,0.2771380051282159,-0.038799320717950225,-0.10601567476987839,True
15,2,30.0,24.833102911012247,0.0,-24.833102911012247,24.833102911012247,14.0,265.0,1.0,-100.0,-100.0,0.0,0.2851250919724319,-0.03991751287614047,-0.115244060754776,True
16,2,32.0,24.702149613993242,0.0,-24.702149613993242,24.702149613993242,14.0,265.0,1.0,-100.0,-100.0,0.0,0.29534673904659836,-0.04134854346652377,-0.13095329701900482,True
17,2,34.0,24.61851483513601,0.0,-24.61851483513601,24.61851483513601,14.0,265.0,1.0,-100.0,-100.0,0.0,0.30969411615638015,-0.04335717626189323,-0.08363477885723114,True
