decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,731.0,3.0,True,59.64918445406895,60.576007761619984,0.0,0.0,24.279219836415724,22.172852819785476,0.0,0.4318371344762645,1536,24,40,65623.11149999732
2,20.0,25.33032878767699,-25.33032878767699,13.0,731.0,3.0,14.0,283.0,1.0,True,56.38111623103757,56.868239302001896,0.0,0.0,23.05363882468082,20.54235296905972,0.0,0.26620971460714726,1536,8,40,64796.14140000194
3,40.0,24.290883431443945,-24.290883431443945,14.0,283.0,1.0,16.0,404.0,1.0,True,53.09849548583801,53.17482414247934,0.0,0.0,21.77936656647362,19.078048842260614,0.0,0.07379317604650369,1536,17,40,65624.9136999977
4,60.0,23.177263954887167,-23.177263954887167,16.0,404.0,1.0,13.0,580.0,1.0,True,49.44974799374877,49.711540171527304,0.0,0.0,20.344309616507964,17.520103873917833,0.0,0.10768237739269687,1536,14,40,65052.079500004766
5,80.0,21.85239556641318,-21.85239556641318,13.0,580.0,1.0,13.0,726.0,2.0,True,45.79198582048899,45.80727811495308,0.0,0.0,18.896105511719362,15.997755946824327,0.0,0.08968236381040179,1536,11,40,64511.35120000981
6,100.0,20.441982360789552,-20.441982360789552,13.0,726.0,2.0,5.0,613.0,1.0,True,42.03925614028167,42.10525153207127,0.0,0.0,17.393931498611344,14.500413658330217,0.0,0.11863138938730898,1536,11,40,66118.21359999885
7,120.0,18.94189568818547,-18.94189568818547,5.0,613.0,1.0,17.0,631.0,1.0,True,37.69516815346914,38.31009322518948,0.0,0.0,15.688961131731048,12.631656298646703,0.0,0.14177406836892023,1536,12,40,64450.668200006476
8,140.0,17.37609034241177,-17.37609034241177,17.0,631.0,1.0,7.0,597.0,1.0,True,33.7440922262099,33.87212921495084,0.0,0.0,14.088085017027334,11.133455308387056,0.0,0.11945379617097263,1536,12,40,66844.27810000489
9,160.0,15.670928793260828,-15.670928793260828,7.0,597.0,1.0,15.0,612.0,1.0,True,29.85030403985033,30.008849428617395,0.0,0.0,12.520785540202633,9.615572737762704,0.0,0.094659056371024,1536,13,40,65019.543400005205
10,180.0,14.096103685209528,-14.096103685209528,15.0,612.0,1.0,5.0,1000.0,1.0,True,26.039940690376913,26.21513214188162,0.0,0.0,10.952455866383389,8.264991754898801,0.0,0.2533080160734941,1536,13,40,64692.38409999525
11,200.0,12.456242809304968,-12.456242809304968,5.0,1000.0,1.0,12.0,504.0,1.0,True,22.421943954276504,22.585858695977368,0.0,0.0,9.510989226633683,6.7939653566572815,0.0,0.29828226804969016,1536,9,40,64718.63080000912
12,220.0,10.987928020069376,-10.987928020069376,12.0,504.0,1.0,10.0,1000.0,1.0,True,18.92675714057706,19.033891175710597,0.0,0.0,8.07840950214304,5.534123884746805,0.0,0.2876193917574342,1536,18,40,65141.812000001664
13,240.0,9.513104560086504,-9.513104560086504,10.0,1000.0,1.0,8.0,1000.0,1.0,True,15.667065663906527,15.697940847300924,0.0,0.0,6.759100038046017,4.2972598692867905,0.0,0.02356531710978064,1536,8,40,65339.54070000618
14,260.0,8.1449499449227,-8.1449499449227,8.0,1000.0,1.0,6.0,210.0,1.0,True,12.519009400683373,12.538576798536814,0.0,0.0,5.468294226983562,3.1556984728667885,0.0,0.4571710282855414,1536,8,40,65600.12129999814
15,280.0,6.757481584558263,-6.757481584558263,6.0,210.0,1.0,6.0,1000.0,1.0,True,9.275786505333842,9.563076859363354,0.0,0.0,4.167348012002185,1.8730496971402317,0.0,0.45656327593574014,1536,24,40,64940.51970000146
16,300.0,5.421674238750711,-5.421674238750711,6.0,1000.0,1.0,5.0,1.0,1.0,True,6.67833242202702,6.752375416921144,0.0,0.0,2.9563090811017902,0.8342832049820572,0.3427979524535793,0.5774704878831077,1536,13,40,64711.36529999785
