step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.442439019680023,0.0,-26.442439019680023,26.442439019680023,13.0,731.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5575609803199768,True
2,1,4.0,26.112126052379608,0.0,-26.112126052379608,26.112126052379608,13.0,731.0,3.0,-100.0,-100.0,0.0,0.5848962190061555,-0.02534550282360007,-0.33031296730041504,True
3,1,6.0,25.924577593803406,0.0,-25.924577593803406,25.924577593803406,13.0,731.0,3.0,-100.0,-100.0,0.0,0.8756102909356717,-0.037943112607212434,-0.1875484585762024,True
4,1,8.0,25.750638350844383,0.0,-25.750638350844383,25.750638350844383,13.0,731.0,3.0,-100.0,-100.0,0.0,0.9888295405836843,-0.04284928009195965,-0.17393924295902252,True
5,1,10.0,25.587694212794304,0.0,-25.587694212794304,25.587694212794304,13.0,731.0,3.0,-100.0,-100.0,0.0,1.0769724331607369,-0.04666880543696527,-0.16294413805007935,True
6,1,12.0,25.42967291176319,0.0,-25.42967291176319,25.42967291176319,13.0,731.0,3.0,-100.0,-100.0,0.0,1.145173261615286,-0.04962417466999573,-0.15802130103111267,True
7,1,14.0,25.297472909092903,0.0,-25.297472909092903,25.297472909092903,13.0,731.0,3.0,-100.0,-100.0,0.0,1.2017042595288245,-0.05207385124624906,-0.13220000267028809,True
8,1,16.0,25.24729447811842,0.0,-25.24729447811842,25.24729447811842,13.0,731.0,3.0,-100.0,-100.0,0.0,1.2257555676014853,-0.05311607459606436,-0.05017843097448349,True
9,1,18.0,25.25681913923472,0.0,-25.25681913923472,25.25681913923472,13.0,731.0,3.0,-100.0,-100.0,0.0,1.1614698343036185,-0.050330359486490124,0.009524661116302013,True
10,1,20.0,25.33032878767699,0.0,-25.33032878767699,25.33032878767699,13.0,731.0,3.0,-100.0,-100.0,0.0,1.040686163141564,-0.04509640040280111,0.07350964844226837,True
11,2,22.0,25.33203465701081,0.0,-25.33203465701081,25.33203465701081,14.0,283.0,1.0,-100.0,-100.0,0.0,0.26752206120452443,-0.03745308856863342,0.0017058693338185549,True
12,2,24.0,25.198097789892927,0.0,-25.198097789892927,25.198097789892927,14.0,283.0,1.0,-100.0,-100.0,0.0,0.24144936677517959,-0.033802911348525144,-0.13393686711788177,True
13,2,26.0,25.073122726986185,0.0,-25.073122726986185,25.073122726986185,14.0,283.0,1.0,-100.0,-100.0,0.0,0.2619067495679866,-0.03666694493951813,-0.1249750629067421,True
14,2,28.0,24.963027702877298,0.0,-24.963027702877298,24.963027702877298,14.0,283.0,1.0,-100.0,-100.0,0.0,0.2775028265793372,-0.03885039572110721,-0.11009502410888672,True
