decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,n_history_candidates,horizon_steps,optimize_ms
1,0.0,27.0,-27.0,6.0,997.0,16.0,13.0,727.0,3.0,True,59.649130282186455,60.576007761619984,0.0,0.0,24.27932685757987,22.172299824655056,0.0,0.4326654699181962,2560,24,40,109953.5021000047
2,20.0,25.33051327522844,-25.33051327522844,13.0,727.0,3.0,14.0,282.0,1.0,True,56.38391383434549,56.86754756383598,0.0,0.0,23.05469297305681,20.543765301117674,0.0,0.2645237673038896,2560,8,40,109262.42199999979
3,40.0,24.29170702607371,-24.29170702607371,14.0,282.0,1.0,16.0,403.0,1.0,True,53.101049071009705,53.17815922575537,0.0,0.0,21.780357774579898,19.079191180178896,0.0,0.07379317604650369,2560,17,40,108435.71400000656
4,60.0,23.178217398235574,-23.178217398235574,16.0,403.0,1.0,13.0,577.0,1.0,True,49.43335417659285,49.71436435508076,0.0,0.0,20.345490874769165,17.48261302919127,0.0,0.1065912458882468,2560,14,40,109600.34579999046
5,80.0,21.853280836949125,-21.853280836949125,13.0,577.0,1.0,13.0,583.0,1.0,True,45.77315728139654,45.78977258356754,0.0,0.0,18.896257715160026,15.961214350769296,0.0,0.003467569184322077,2560,11,40,109273.8701000053
6,100.0,20.45758026302792,-20.45758026302792,13.0,583.0,1.0,13.0,584.0,1.0,True,42.061975116917644,42.06317384543363,0.0,0.0,17.413092818344012,14.4715674018953,0.0,0.0005779281973870128,2560,12,40,108104.30160000396
7,120.0,18.98700256110169,-18.98700256110169,13.0,584.0,1.0,13.0,638.0,1.0,True,38.335763336988606,38.35430044310633,0.0,0.0,15.913651774683967,13.016295412788168,0.0,0.031208122658898694,2560,13,40,107565.26509999821
8,140.0,17.480098048457876,-17.480098048457876,13.0,638.0,1.0,12.0,568.0,1.0,True,34.62195206568186,34.66252463536803,0.0,0.0,14.420946529740467,11.55927529395558,0.0,0.04213592231294623,2560,12,40,107665.08089999843
9,160.0,15.975492308149114,-15.975492308149114,12.0,568.0,1.0,7.0,676.0,1.0,True,30.98546660295583,30.988541647815147,0.0,0.0,12.938076261477544,10.216911586234346,0.0,0.08582868835709723,2560,13,40,109791.82020000007
10,180.0,14.443842979380861,-14.443842979380861,7.0,676.0,1.0,18.0,299.0,14.0,True,27.31369335414461,27.485045300447382,0.0,0.0,11.465024793194607,8.75789993093349,0.0,0.46938022886533665,2560,12,40,107571.21950000874
11,200.0,12.936277283588424,-12.936277283588424,18.0,299.0,14.0,13.0,598.0,1.0,True,23.439983280123286,23.911746889003552,0.0,0.0,9.898398712137714,7.277668176451698,0.0,0.43517676220089613,2560,24,40,110344.10640000715
