step,decision_idx,elapsed_s,temp,temp_ref,error,abs_error,kp,ki,kd,u,u_p,u_i,u_d,diff_out,pred_delta,valid
1,1,2.0,26.442568600177765,0.0,-26.442568600177765,26.442568600177765,13.0,727.0,3.0,-100.0,-100.0,0.0,-0.0,0.0,-0.5574313998222351,True
2,1,4.0,26.112095177173615,0.0,-26.112095177173615,26.112095177173615,13.0,727.0,3.0,-100.0,-100.0,0.0,0.5847602856358852,-0.025339612377555026,-0.3304734230041504,True
3,1,6.0,25.924400702118874,0.0,-25.924400702118874,25.924400702118874,13.0,727.0,3.0,-100.0,-100.0,0.0,0.8756556464624883,-0.03794507801337449,-0.1876944750547409,True
4,1,8.0,25.75049912929535,0.0,-25.75049912929535,25.75049912929535,13.0,727.0,3.0,-100.0,-100.0,0.0,0.9890237448175321,-0.04285769560875972,-0.17390157282352448,True
5,1,10.0,25.587605983018875,0.0,-25.587605983018875,25.587605983018875,13.0,727.0,3.0,-100.0,-100.0,0.0,1.0771085953772626,-0.046674705799681374,-0.162893146276474,True
6,1,12.0,25.42960575222969,0.0,-25.42960575222969,25.42960575222969,13.0,727.0,3.0,-100.0,-100.0,0.0,1.1452429436638392,-0.04962719422543303,-0.15800023078918457,True
7,1,14.0,25.297495678067207,0.0,-25.297495678067207,25.297495678067207,13.0,727.0,3.0,-100.0,-100.0,0.0,1.201745191399023,-0.052075624960624324,-0.13211007416248322,True
8,1,16.0,25.24737634509802,0.0,-25.24737634509802,25.24737634509802,13.0,727.0,3.0,-100.0,-100.0,0.0,1.2256982576164375,-0.05311359116337895,-0.05011933296918869,True
9,1,18.0,25.256971097551286,0.0,-25.256971097551286,25.256971097551286,13.0,727.0,3.0,-100.0,-100.0,0.0,1.1613559957194879,-0.0503254264811778,0.009594752453267574,True
10,1,20.0,25.33051327522844,0.0,-25.33051327522844,25.33051327522844,13.0,727.0,3.0,-100.0,-100.0,0.0,1.0405096558985099,-0.04508875175560209,0.07354217767715454,True
11,2,22.0,25.332693727919832,0.0,-25.332693727919832,25.332693727919832,14.0,282.0,1.0,-100.0,-100.0,0.0,0.26746207724527293,-0.03744469081433821,0.0021804526913911104,True
12,2,24.0,25.19898440153338,0.0,-25.19898440153338,25.19898440153338,14.0,282.0,1.0,-100.0,-100.0,0.0,0.24124100807442794,-0.033773741130419914,-0.13370932638645172,True
13,2,26.0,25.074001172790304,0.0,-25.074001172790304,25.074001172790304,14.0,282.0,1.0,-100.0,-100.0,0.0,0.26164438393193573,-0.036630213750471007,-0.12498322874307632,True
14,2,28.0,24.963868411490694,0.0,-24.963868411490694,24.963868411490694,14.0,282.0,1.0,-100.0,-100.0,0.0,0.2772681393114567,-0.03881753950360394,-0.11013276129961014,True
15,2,30.0,24.84271095157601,0.0,-24.84271095157601,24.84271095157601,14.0,282.0,1.0,-100.0,-100.0,0.0,0.2865796252177132,-0.04012114753047985,-0.1211574599146843,True
16,2,32.0,24.706797817954794,0.0,-24.706797817954794,24.706797817954794,14.0,282.0,1.0,-100.0,-100.0,0.0,0.29858259787614033,-0.041801563702659646,-0.13591313362121582,True
17,2,34.0,24.61826782883145,0.0,-24.61826782883145,24.61826782883145,14.0,282.0,1.0,-100.0,-100.0,0.0,0.31423176028888955,-0.04399244644044454,-0.08852998912334442,True
18,2,36.0,24.500194447347894,0.0,-24.500194447347894,24.500194447347894,14.0,282.0,1.0,-100.0,-100.0,0.0,0.3130029128600859,-0.04382040780041203,-0.11807338148355484,True
19,2,38.0,24.402560459682718,0.0,-24.402560459682718,24.402560459682718,14.0,282.0,1.0,-100.0,-100.0,0.0,0.32148398465185823,-0.045007757851260155,-0.09763398766517639,True
