run_id,start_ts,end_ts,duration_s,num_samples,start_temp,temp_ref,pid_source,far_kp,far_ki,far_kd,mid_kp,mid_ki,mid_kd,near_kp,near_ki,near_kd,mse,mae,cost,tail_mae,overshoot
run_1779762606_d94b9dc8,1779763087.7154205,1779764286.1159182,1198.400497674942,576,24.749921798706055,0.0,schedule[0],6,936,17,6,936,17,6,936,17,117.13273040126563,6.442025372137626,10.894923156158711,0.737149715423584,1.0078577995300293
run_1779787705_e81a0f5c,1779788187.6763027,1779789387.4911325,1199.814829826355,480,24.616539001464844,0.0,schedule[1],6,943,18,6,943,18,6,943,18,143.23601664799153,7.740137140536856,10.954247632612704,0.7964741918775771,1.0078577995300293
run_1779898170_9352d72b,1779898171.491508,1779899371.094953,1199.6034450531006,601,25.150020599365234,0.0,schedule[0],6,936,17,6,936,17,6,936,17,149.32123727162016,7.593397809267044,10.054586736951023,0.7656578719615936,0.9637908935546875
run_1779899553_a8374d89,1779900034.4011369,1779901234.1190207,1199.7178838253021,601,23.994287490844727,0.0,schedule[1],6,943,18,6,943,18,6,943,18,102.51427126401232,5.9058464582761125,10.911608001744058,0.7538345610089314,1.0078577995300293
run_1779901416_3b4e472f,1779901897.4111567,1779903097.1254313,1199.7142746448517,601,24.216514587402344,0.0,schedule[2],6,886,7,6,886,7,6,886,7,107.22914896828449,6.066600686709086,16.931951279989462,0.7465833646734965,1.2722172737121582
run_1779903570_13cac5b2,1779904051.424636,1779905251.1371126,1199.7124767303467,601,23.905399322509766,0.0,schedule[0],6,843,18,6,843,18,6,843,18,104.83588387790005,6.048831635713578,11.7927004389973,0.7275555662946975,1.0519099235534668
run_1779905433_22a312d0,1779905914.435943,1779907114.1407309,1199.7047879695892,601,24.216514587402344,0.0,schedule[1],7,943,17,7,943,17,7,943,17,108.35368359775498,6.218767985900243,15.964059876177066,0.8800932508224607,1.22816801071167
run_1779907296_2f435f88,1779907777.4447505,1779908977.1653051,1199.7205545902252,601,24.483177185058594,0.0,schedule[2],1,943,1,1,943,1,1,943,1,117.00518534048027,6.148790262540182,3.4758373886937766,0.25862821952375786,0.567204475402832
run_1779910477_2f2ec8db,1779910959.4674802,1779912159.1805415,1199.7130613327026,601,24.483177185058594,0.0,schedule[0],1,700,1,1,700,1,1,700,1,106.5043472708472,5.799321545759837,3.4326946418616724,0.2154854726916536,0.567204475402832
run_1779912341_31cb07a8,1779912822.478064,1779914022.1917207,1199.7136566638947,601,24.172046661376953,0.0,schedule[1],8,952,12,8,952,12,8,952,12,87.4628856585706,5.57812533100446,24.609871821724784,1.0000260670979817,1.5365495681762695
run_1779914204_8c30dd2d,1779914685.489525,1779915885.207166,1199.71764087677,601,24.394285202026367,0.0,schedule[2],6,560,13,6,560,13,6,560,13,114.28769663048217,6.34554537375768,16.860115803394045,0.6747478880780808,1.2722172737121582
run_1779922497_1b429ac0,1779922978.5385852,1779924178.2439063,1199.705321073532,601,25.01659393310547,0.0,schedule[0],20,22,49,20,181,48,1,250,2,148.7789077400147,7.35441300868988,18.845261608537502,0.33962003255294543,1.3603544235229492
run_1779924360_d431a2c1,1779924841.5459857,1779926041.2588453,1199.7128596305847,601,23.949857711791992,0.0,schedule[1],20,22,49,20,181,48,1,253,5,84.13107817252583,4.983734345833461,14.334261502220299,0.3132394849518199,1.1841039657592773
run_1779926223_3c95200f,1779926704.5579484,1779927904.2650287,1199.7070803642273,601,24.038734436035156,0.0,schedule[2],20,22,49,20,152,49,1,250,2,84.39018174855151,5.012798964182536,18.832774057779645,0.3271324817950909,1.3603544235229492
run_1779928086_9eb30ae4,1779928567.5692756,1779929767.279581,1199.7103054523468,601,24.083168029785156,0.0,schedule[3],20,22,49,20,152,49,1,253,5,86.48349226618615,5.102211309671402,14.325106771198898,0.3040847539304193,1.1841039657592773
run_1779929949_cb29c31b,1779930430.581022,1779931630.291452,1199.710429906845,601,23.949857711791992,0.0,schedule[4],20,20,47,20,181,48,1,250,2,85.76854808810847,5.094193716843923,17.646773045476994,0.32048156632849917,1.316293716430664
run_1779931812_f1e0225a,1779932293.5930092,1779933493.2981327,1199.70512342453,601,23.86095428466797,0.0,schedule[5],20,20,47,20,181,48,1,253,5,84.74729627068795,5.054766218662262,15.401551818778305,0.317585193423699,1.22816801071167
run_1779933675_89ef249d,1779934156.6037846,1779935356.3153017,1199.7115170955658,601,24.083168029785156,0.0,schedule[6],20,20,47,20,152,49,1,250,2,87.1903576021768,5.149066245555877,18.853054843392652,0.34741326740809847,1.3603544235229492
run_1779935538_c61b7463,1779936019.6127641,1779937219.3311787,1199.7184145450592,601,24.083168029785156,0.0,schedule[7],20,20,47,20,152,49,1,253,5,87.69039554030479,5.128991346359253,15.369166383750084,0.28519975839547773,1.22816801071167
run_1779937856_c6368f5f,1779938337.628395,1779939537.336483,1199.7080879211426,601,23.905399322509766,0.0,schedule[0],1,13,50,20,152,49,1,108,50,90.53880714952025,5.30528461098671,3.017593819842828,0.28093948929580215,0.5231304168701172
run_1779939719_d0def668,1779940200.6403468,1779941400.3535197,1199.7131729125977,601,23.683202743530273,0.0,schedule[1],1,13,50,20,152,49,1,118,49,86.71869540557465,5.137666772206624,2.5681539990295073,0.2732086230297478,0.47905588150024414
run_1779941582_a6f9f619,1779942063.6530764,1779943263.3595214,1199.706444978714,601,24.34983253479004,0.0,schedule[2],1,13,50,20,132,49,1,108,50,88.92655099647516,5.177748924096425,3.0156974955849294,0.2790431650379036,0.5231304168701172
run_1779943445_42acdc13,1779943926.6630642,1779945126.3824153,1199.719351053238,601,24.216514587402344,0.0,schedule[3],1,13,50,20,132,49,1,118,49,90.1886078926349,5.233097963730494,3.0030918185981905,0.2664374880511645,0.5231304168701172
run_1779945308_87ecf325,1779945789.675731,1779946989.3813117,1199.7055807113647,601,23.905399322509766,0.0,schedule[4],1,4,44,20,152,49,1,108,50,84.47838604856842,5.024428203900655,2.5866395103988675,0.29169413439910813,0.47905588150024414
run_1779947171_27371b3d,1779947652.6853156,1779948852.3912258,1199.705910205841,601,24.083168029785156,0.0,schedule[5],1,4,44,20,152,49,1,118,49,87.35589048533127,5.124479199250539,2.1609059245878046,0.2686937585661683,0.4349956512451172
run_1779949034_636140d7,1779949515.6946824,1779950715.4167027,1199.7220203876495,601,23.86095428466797,0.0,schedule[6],1,4,44,20,132,49,1,108,50,84.42001756662481,5.0189378436406455,4.014749501738452,0.27815835962367597,0.6112766265869141
run_1779950897_f0bf6bde,1779951378.7062285,1779952578.4262476,1199.7200191020966,601,23.816524505615234,0.0,schedule[7],1,4,44,20,132,49,1,118,49,84.84568917015743,5.023623226483663,3.009115474795969,0.2724611442489433,0.5231304168701172
run_1779960849_2c2700d2,1779961330.7647393,1779962530.4820893,1199.7173500061035,601,25.105575561523438,0.0,schedule[0],1,13,50,18,234,7,20,123,18,117.10063961931904,6.545693608125051,101.1018329662298,0.8583087740717708,3.166125774383545
run_1779962712_39f3ef69,1779963193.7779083,1779964393.4881349,1199.7102265357971,601,28.621408462524414,0.0,schedule[1],1,13,50,18,234,7,1,909,49,149.5944381147242,7.0669499250253045,1.444161391918917,0.2412483499574794,0.3468303680419922
run_1779964575_50562c3a,1779965056.7879243,1779966256.491884,1199.7039597034454,601,23.905399322509766,0.0,schedule[2],1,13,50,18,227,6,20,123,18,86.78790895455067,5.461159782807032,101.05245649897319,0.8089323068151668,3.166125774383545
run_1779966438_f68423d6,1779966919.7989173,1779968119.5170414,1199.7181241512299,601,29.0540828704834,0.0,schedule[3],1,13,50,18,227,6,1,909,49,156.54999372214553,7.355964051882426,1.444686719514887,0.24177367755344936,0.3468303680419922
run_1779968301_3e61b2a9,1779968782.8103878,1779969982.5204809,1199.7100930213928,601,24.260963439941406,0.0,schedule[4],1,56,50,18,234,7,20,123,18,92.44985783969628,5.639638187090556,98.25564288780242,0.781042899448032,3.1220922470092773
run_1779970164_80481258,1779970645.81899,1779971845.529879,1199.7108891010284,601,29.006013870239258,0.0,schedule[5],1,56,50,18,234,7,1,909,49,158.60761235265446,7.453308419386546,1.4430858317147848,0.24017278975334722,0.3468303680419922
run_1779972027_7924ec8e,1779972508.833701,1779973708.5406475,1199.7069466114044,601,24.038734436035156,0.0,schedule[6],1,56,50,18,227,6,20,123,18,89.93163462613967,5.574975080092748,101.03607568629432,0.7925514941362991,3.166125774383545
run_1779973890_d455f8ed,1779974371.844575,1779975571.5523381,1199.7077631950378,601,29.246421813964844,0.0,schedule[7],1,56,50,18,227,6,1,909,49,158.26328361864688,7.399976000785828,1.43277677416315,0.22986373220171247,0.3468303680419922
