run_id,start_ts,end_ts,duration_s,num_samples,start_temp,temp_ref,pid_source,pid_schedule_rows,pid_events_applied,final_kp,final_ki,final_kd,mse,mae,cost,tail_mae,overshoot
mpc_replay_1779760453_57df3fd1,1779760935.6275795,1779762184.1061528,1248.4785733222961,616,24.038734436035156,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260524_114944_11becb8b\mpc_decisions.csv,120,120,13,1000,20,103.71995149435962,7.001898791108813,455.7881170607901,2.812131844989245,6.730349063873291
mpc_replay_1780013644_d06916b6,1780014124.8035338,1780015354.7873812,1229.9838473796844,616,23.994287490844727,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260528_010306_540a22b4\mpc_decisions.csv,40,40,2,74,13,148.96516926742092,7.459105123736994,15.335558403688898,0.25159177833429264,1.22816801071167
mpc_replay_1780021364_d43e0964,1780021844.8815541,1780023084.8391078,1239.9575536251068,621,25.416786193847656,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260529_033503_db3650ef\mpc_decisions.csv,60,60,1,966,3,120.12190684000764,6.230839976572221,14.468636127770564,0.44761411050208527,1.1841039657592773
mpc_replay_1780414849_b2fe96e3,1780414850.4867053,1780416098.5022676,1248.0155622959137,625,24.34983253479004,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260524_114944_11becb8b\mpc_decisions.csv,120,120,13,1000,20,160.91159094564134,9.422423294448853,673.0558611100834,3.735990347954705,8.181197166442871
mpc_replay_1780482474_94c367ac,1780482475.8673024,1780483713.8730435,1238.0057411193848,620,24.57208251953125,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_031732_74d01548\mpc_decisions.csv,60,60,1,183,2,137.35915742647853,7.0411679690884,18.879947459594835,0.37430588361028105,1.3603544235229492
mpc_replay_1780492043_7b06cb38,1780492524.93013,1780493774.9244564,1249.9943263530731,626,24.438722610473633,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_135721_a93ae4a3\mpc_decisions.csv,120,120,1,883,1,112.86450462634764,6.17862328414917,26.879072441599114,0.4841496853888789,1.6246514320373535
mpc_replay_1780494638_1c971ee4,1780495119.9312747,1780496367.9282846,1247.9970099925995,625,24.172046661376953,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_141926_466d8351\mpc_decisions.csv,120,120,1,910,2,95.57053455204098,5.702443356704712,65.62878339042652,0.6225706570184053,2.5496315956115723
mpc_replay_1780502219_badf9738,1780502700.0295825,1780503939.985311,1239.9557285308838,621,25.283370971679688,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_145243_34505701\mpc_decisions.csv,60,60,1,183,2,124.91967974792779,6.616394584025106,20.095328549111247,0.37192515585441693,1.40440034866333
mpc_replay_1780511940_dd449526,1780512422.0339723,1780513662.0304391,1239.9964668750763,621,25.55017852783203,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_151442_9809bbea\mpc_decisions.csv,60,60,2,670,6,143.06456010836868,7.427125340123331,14.420145040165382,0.3991230228969029,1.1841039657592773
mpc_replay_1780514661_b02dcc14,1780515143.043527,1780516371.0612903,1228.017763376236,615,24.127613067626953,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_154752_f9a26f31\mpc_decisions.csv,40,40,9,36,20,96.95677632170428,5.5946118851018145,22.641626724374706,0.3659127787285045,1.4925050735473633
mpc_replay_1780517893_80747dd9,1780518374.0620484,1780519612.0807285,1238.0186800956726,620,24.883251190185547,0.0,C:\Users\user\Desktop\deepvac\deepvac\gru\mpc_pid_runs\mpc_20260603_162052_acd5dfb1\mpc_decisions.csv,60,60,4,78,17,109.65064210705178,6.079682160577466,28.181462704143897,0.33512647469423457,1.668722152709961
