event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,1000,20,1780014125.082193,mpc_replay_1780013644_d06916b6,1,0.0,0.0,True
mpc_decision_2@30.0s,50,1,20,1780014156.978115,mpc_replay_1780013644_d06916b6,2,30.0,31.989221572875977,True
mpc_decision_3@60.0s,4,753,19,1780014186.981287,mpc_replay_1780013644_d06916b6,3,60.0,61.97596526145935,True
mpc_decision_4@90.0s,50,1000,8,1780014216.9822295,mpc_replay_1780013644_d06916b6,4,90.0,91.98250007629395,True
mpc_decision_5@120.0s,50,328,1,1780014246.9825938,mpc_replay_1780013644_d06916b6,5,120.0,121.97742652893066,True
mpc_decision_6@150.0s,50,328,1,1780014276.9827025,mpc_replay_1780013644_d06916b6,6,150.0,151.98367404937744,False
mpc_decision_7@180.0s,1,1,3,1780014306.9821308,mpc_replay_1780013644_d06916b6,7,180.0,181.9893741607666,True
mpc_decision_8@210.0s,1,879,6,1780014336.9821634,mpc_replay_1780013644_d06916b6,8,210.0,211.9806683063507,True
mpc_decision_9@240.0s,2,1000,11,1780014366.9825454,mpc_replay_1780013644_d06916b6,9,240.0,241.98473477363586,True
mpc_decision_10@270.0s,2,1000,11,1780014396.982452,mpc_replay_1780013644_d06916b6,10,270.0,271.9915962219238,False
mpc_decision_11@300.0s,3,1000,20,1780014426.9836223,mpc_replay_1780013644_d06916b6,11,300.0,301.9872920513153,True
mpc_decision_12@330.0s,24,1000,14,1780014456.9799845,mpc_replay_1780013644_d06916b6,12,330.0,331.991886138916,True
mpc_decision_13@360.0s,15,872,3,1780014486.983711,mpc_replay_1780013644_d06916b6,13,360.0,361.98257279396057,True
mpc_decision_14@390.0s,1,1,4,1780014516.9838583,mpc_replay_1780013644_d06916b6,14,390.0,391.9927351474762,True
mpc_decision_15@420.0s,1,1,1,1780014546.984465,mpc_replay_1780013644_d06916b6,15,420.0,421.97984290122986,True
mpc_decision_16@450.0s,1,1000,14,1780014576.9805381,mpc_replay_1780013644_d06916b6,16,450.0,451.97785091400146,True
mpc_decision_17@480.0s,2,1000,4,1780014606.983508,mpc_replay_1780013644_d06916b6,17,480.0,481.9840087890625,True
mpc_decision_18@510.0s,1,1000,1,1780014636.9814625,mpc_replay_1780013644_d06916b6,18,510.0,511.9803102016449,True
mpc_decision_19@540.0s,1,971,14,1780014666.9843168,mpc_replay_1780013644_d06916b6,19,540.0,541.9911012649536,True
mpc_decision_20@570.0s,1,684,16,1780014696.9845078,mpc_replay_1780013644_d06916b6,20,570.0,571.9788339138031,True
mpc_decision_21@600.0s,1,160,9,1780014726.9821055,mpc_replay_1780013644_d06916b6,21,600.0,601.9788770675659,True
mpc_decision_22@630.0s,1,191,2,1780014756.9846702,mpc_replay_1780013644_d06916b6,22,630.0,631.9814269542694,True
mpc_decision_23@660.0s,1,173,4,1780014786.9848757,mpc_replay_1780013644_d06916b6,23,660.0,661.9838373661041,True
mpc_decision_24@690.0s,1,154,6,1780014816.98222,mpc_replay_1780013644_d06916b6,24,690.0,691.9849219322205,True
mpc_decision_25@720.0s,1,132,10,1780014846.9814723,mpc_replay_1780013644_d06916b6,25,720.0,721.9813697338104,True
mpc_decision_26@750.0s,2,74,13,1780014876.985717,mpc_replay_1780013644_d06916b6,26,750.0,751.9813091754913,True
mpc_decision_27@780.0s,2,74,13,1780014906.986037,mpc_replay_1780013644_d06916b6,27,780.0,781.9804525375366,False
mpc_decision_28@810.0s,2,74,13,1780014936.9845998,mpc_replay_1780013644_d06916b6,28,810.0,811.99343085289,False
mpc_decision_29@840.0s,2,74,13,1780014966.986838,mpc_replay_1780013644_d06916b6,29,840.0,841.9917588233948,False
mpc_decision_30@870.0s,2,74,13,1780014996.9871511,mpc_replay_1780013644_d06916b6,30,870.0,871.9933156967163,False
mpc_decision_31@900.0s,2,74,13,1780015026.9857192,mpc_replay_1780013644_d06916b6,31,900.0,901.9817042350769,False
mpc_decision_32@930.0s,2,74,13,1780015056.9868023,mpc_replay_1780013644_d06916b6,32,930.0,931.993260383606,False
mpc_decision_33@960.0s,2,74,13,1780015086.986493,mpc_replay_1780013644_d06916b6,33,960.0,961.9942164421082,False
mpc_decision_34@990.0s,2,74,13,1780015116.98819,mpc_replay_1780013644_d06916b6,34,990.0,991.9958696365356,False
mpc_decision_35@1020.0s,2,74,13,1780015146.9874806,mpc_replay_1780013644_d06916b6,35,1020.0,1021.9865696430206,False
mpc_decision_36@1050.0s,2,74,13,1780015176.9869988,mpc_replay_1780013644_d06916b6,36,1050.0,1051.9825098514557,False
mpc_decision_37@1080.0s,2,74,13,1780015206.987549,mpc_replay_1780013644_d06916b6,37,1080.0,1081.9880199432373,False
mpc_decision_38@1110.0s,2,74,13,1780015236.9888453,mpc_replay_1780013644_d06916b6,38,1110.0,1111.9907894134521,False
mpc_decision_39@1140.0s,2,74,13,1780015266.985853,mpc_replay_1780013644_d06916b6,39,1140.0,1141.9820926189423,False
mpc_decision_40@1170.0s,2,74,13,1780015296.9874403,mpc_replay_1780013644_d06916b6,40,1170.0,1171.9911382198334,False
