event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,35,1,7,1780021845.2241597,mpc_replay_1780021364_d43e0964,1,0.0,0.001003265380859375,True
mpc_decision_2@20.0s,50,377,15,1780021867.0249243,mpc_replay_1780021364_d43e0964,2,20.0,21.949031829833984,True
mpc_decision_3@40.0s,50,1000,12,1780021887.0236688,mpc_replay_1780021364_d43e0964,3,40.0,41.94675636291504,True
mpc_decision_4@60.0s,50,1000,8,1780021907.0228112,mpc_replay_1780021364_d43e0964,4,60.0,61.95323300361633,True
mpc_decision_5@80.0s,50,1000,6,1780021927.0257285,mpc_replay_1780021364_d43e0964,5,80.0,81.94850873947144,True
mpc_decision_6@100.0s,1,1000,13,1780021947.0256164,mpc_replay_1780021364_d43e0964,6,100.0,101.94862341880798,True
mpc_decision_7@120.0s,50,1000,17,1780021967.0260289,mpc_replay_1780021364_d43e0964,7,120.0,121.94436383247375,True
mpc_decision_8@140.0s,50,468,3,1780021987.022047,mpc_replay_1780021364_d43e0964,8,140.0,141.95148706436157,True
mpc_decision_9@160.0s,50,1,1,1780022007.025784,mpc_replay_1780021364_d43e0964,9,160.0,161.94998741149902,True
mpc_decision_10@180.0s,50,1,1,1780022027.0264444,mpc_replay_1780021364_d43e0964,10,180.0,181.9422047138214,False
mpc_decision_11@200.0s,1,169,4,1780022047.024608,mpc_replay_1780021364_d43e0964,11,200.0,201.9465687274933,True
mpc_decision_12@220.0s,2,342,7,1780022067.0265405,mpc_replay_1780021364_d43e0964,12,220.0,221.95486044883728,True
mpc_decision_13@240.0s,1,1000,7,1780022087.0263913,mpc_replay_1780021364_d43e0964,13,240.0,241.94877529144287,True
mpc_decision_14@260.0s,2,1000,11,1780022107.0273643,mpc_replay_1780021364_d43e0964,14,260.0,261.9542360305786,True
mpc_decision_15@280.0s,1,1000,6,1780022127.0234218,mpc_replay_1780021364_d43e0964,15,280.0,281.95651936531067,True
mpc_decision_16@300.0s,3,863,13,1780022147.0265124,mpc_replay_1780021364_d43e0964,16,300.0,301.9433584213257,True
mpc_decision_17@320.0s,6,335,1,1780022167.0256155,mpc_replay_1780021364_d43e0964,17,320.0,321.9527931213379,True
mpc_decision_18@340.0s,1,1,8,1780022187.0271964,mpc_replay_1780021364_d43e0964,18,340.0,341.9465343952179,True
mpc_decision_19@360.0s,1,1,7,1780022207.0243993,mpc_replay_1780021364_d43e0964,19,360.0,361.947731256485,True
mpc_decision_20@380.0s,1,1,6,1780022227.0255032,mpc_replay_1780021364_d43e0964,20,380.0,381.95597290992737,True
mpc_decision_21@400.0s,1,1,3,1780022247.0263283,mpc_replay_1780021364_d43e0964,21,400.0,401.95654940605164,True
mpc_decision_22@420.0s,1,388,7,1780022267.0271015,mpc_replay_1780021364_d43e0964,22,420.0,421.95011734962463,True
mpc_decision_23@440.0s,1,1000,20,1780022287.027778,mpc_replay_1780021364_d43e0964,23,440.0,441.9543664455414,True
mpc_decision_24@460.0s,1,994,11,1780022307.0280907,mpc_replay_1780021364_d43e0964,24,460.0,461.95369696617126,True
mpc_decision_25@480.0s,1,1000,5,1780022327.0277271,mpc_replay_1780021364_d43e0964,25,480.0,481.9441406726837,True
mpc_decision_26@500.0s,1,1000,3,1780022347.0282228,mpc_replay_1780021364_d43e0964,26,500.0,501.95264291763306,True
mpc_decision_27@520.0s,1,1000,5,1780022367.0266485,mpc_replay_1780021364_d43e0964,27,520.0,521.9450759887695,True
mpc_decision_28@540.0s,1,942,8,1780022387.0297425,mpc_replay_1780021364_d43e0964,28,540.0,541.956604719162,True
mpc_decision_29@560.0s,1,858,5,1780022407.028106,mpc_replay_1780021364_d43e0964,29,560.0,561.946986913681,True
mpc_decision_30@580.0s,1,691,5,1780022427.0276372,mpc_replay_1780021364_d43e0964,30,580.0,581.9467921257019,True
mpc_decision_31@600.0s,1,756,5,1780022447.0290046,mpc_replay_1780021364_d43e0964,31,600.0,601.9469499588013,True
mpc_decision_32@620.0s,1,716,5,1780022467.0288153,mpc_replay_1780021364_d43e0964,32,620.0,621.9456264972687,True
mpc_decision_33@640.0s,1,766,4,1780022487.0287604,mpc_replay_1780021364_d43e0964,33,640.0,641.9603235721588,True
mpc_decision_34@660.0s,1,753,3,1780022507.0291898,mpc_replay_1780021364_d43e0964,34,660.0,661.9505422115326,True
mpc_decision_35@680.0s,1,780,3,1780022527.029853,mpc_replay_1780021364_d43e0964,35,680.0,681.9457316398621,True
mpc_decision_36@700.0s,1,782,3,1780022547.027069,mpc_replay_1780021364_d43e0964,36,700.0,701.9529373645782,True
mpc_decision_37@720.0s,1,797,3,1780022567.0270588,mpc_replay_1780021364_d43e0964,37,720.0,721.9495561122894,True
mpc_decision_38@740.0s,1,799,3,1780022587.028752,mpc_replay_1780021364_d43e0964,38,740.0,741.9576952457428,True
mpc_decision_39@760.0s,1,811,3,1780022607.0298462,mpc_replay_1780021364_d43e0964,39,760.0,761.9548947811127,True
mpc_decision_40@780.0s,1,823,3,1780022627.0284395,mpc_replay_1780021364_d43e0964,40,780.0,781.9536454677582,True
mpc_decision_41@800.0s,1,837,3,1780022647.0271533,mpc_replay_1780021364_d43e0964,41,800.0,801.9568738937378,True
mpc_decision_42@820.0s,1,849,3,1780022667.0293992,mpc_replay_1780021364_d43e0964,42,820.0,821.9471471309662,True
mpc_decision_43@840.0s,1,863,3,1780022687.029638,mpc_replay_1780021364_d43e0964,43,840.0,841.9500050544739,True
mpc_decision_44@860.0s,1,879,3,1780022707.0311267,mpc_replay_1780021364_d43e0964,44,860.0,861.9600393772125,True
mpc_decision_45@880.0s,1,895,3,1780022727.0304368,mpc_replay_1780021364_d43e0964,45,880.0,881.9462523460388,True
mpc_decision_46@900.0s,1,906,3,1780022747.0297463,mpc_replay_1780021364_d43e0964,46,900.0,901.9608435630798,True
mpc_decision_47@920.0s,1,913,3,1780022767.0300853,mpc_replay_1780021364_d43e0964,47,920.0,921.9579877853394,True
mpc_decision_48@940.0s,1,920,3,1780022787.0303848,mpc_replay_1780021364_d43e0964,48,940.0,941.960884809494,True
mpc_decision_49@960.0s,1,927,3,1780022807.02941,mpc_replay_1780021364_d43e0964,49,960.0,961.9586524963379,True
mpc_decision_50@980.0s,1,933,3,1780022827.030672,mpc_replay_1780021364_d43e0964,50,980.0,981.9556927680969,True
mpc_decision_51@1000.0s,1,939,3,1780022847.0287828,mpc_replay_1780021364_d43e0964,51,1000.0,1001.9539792537689,True
mpc_decision_52@1020.0s,1,944,3,1780022867.0311584,mpc_replay_1780021364_d43e0964,52,1020.0,1021.9579768180847,True
mpc_decision_53@1040.0s,1,950,3,1780022887.0308807,mpc_replay_1780021364_d43e0964,53,1040.0,1041.9619982242584,True
mpc_decision_54@1060.0s,1,953,3,1780022907.030402,mpc_replay_1780021364_d43e0964,54,1060.0,1061.9526901245117,True
mpc_decision_55@1080.0s,1,957,3,1780022927.0300686,mpc_replay_1780021364_d43e0964,55,1080.0,1081.9571554660797,True
mpc_decision_56@1100.0s,1,959,3,1780022947.0320356,mpc_replay_1780021364_d43e0964,56,1100.0,1101.963145017624,True
mpc_decision_57@1120.0s,1,962,3,1780022967.0313454,mpc_replay_1780021364_d43e0964,57,1120.0,1121.9601213932037,True
mpc_decision_58@1140.0s,1,962,3,1780022987.0305505,mpc_replay_1780021364_d43e0964,58,1140.0,1141.948994398117,False
mpc_decision_59@1160.0s,1,965,3,1780023007.031111,mpc_replay_1780021364_d43e0964,59,1160.0,1161.953601360321,True
mpc_decision_60@1180.0s,1,966,3,1780023027.0306208,mpc_replay_1780021364_d43e0964,60,1180.0,1181.9621806144714,True
