event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,24,1,6,1780414850.705159,mpc_replay_1780414849_b2fe96e3,1,0.0,0.0,True
mpc_decision_2@10.0s,5,907,8,1780414862.6813564,mpc_replay_1780414849_b2fe96e3,2,10.0,12.001938104629517,True
mpc_decision_3@20.0s,4,1000,6,1780414870.6834738,mpc_replay_1780414849_b2fe96e3,3,20.0,20.008299350738525,True
mpc_decision_4@30.0s,4,874,6,1780414880.5852277,mpc_replay_1780414849_b2fe96e3,4,30.0,30.008841514587402,True
mpc_decision_5@40.0s,2,557,3,1780414892.604958,mpc_replay_1780414849_b2fe96e3,5,40.0,42.001450538635254,True
mpc_decision_6@50.0s,2,557,3,1780414902.6845207,mpc_replay_1780414849_b2fe96e3,6,50.0,52.00995755195618,False
mpc_decision_7@60.0s,2,380,3,1780414912.6049428,mpc_replay_1780414849_b2fe96e3,7,60.0,62.00798273086548,True
mpc_decision_8@70.0s,2,380,3,1780414920.6048093,mpc_replay_1780414849_b2fe96e3,8,70.0,70.00762486457825,False
mpc_decision_9@80.0s,2,380,3,1780414930.6851563,mpc_replay_1780414849_b2fe96e3,9,80.0,80.00496339797974,False
mpc_decision_10@90.0s,2,380,3,1780414940.604991,mpc_replay_1780414849_b2fe96e3,10,90.0,90.00009083747864,False
mpc_decision_11@100.0s,2,380,3,1780414950.602728,mpc_replay_1780414849_b2fe96e3,11,100.0,100.01035213470459,False
mpc_decision_12@110.0s,2,380,3,1780414962.6047885,mpc_replay_1780414849_b2fe96e3,12,110.0,112.0013358592987,False
mpc_decision_13@120.0s,2,380,3,1780414970.605979,mpc_replay_1780414849_b2fe96e3,13,120.0,120.01049566268921,False
mpc_decision_14@130.0s,2,380,3,1780414982.6051679,mpc_replay_1780414849_b2fe96e3,14,130.0,132.01039862632751,False
mpc_decision_15@140.0s,2,299,3,1780414990.6060195,mpc_replay_1780414849_b2fe96e3,15,140.0,140.0023159980774,True
