event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,917,1,1780482476.150178,mpc_replay_1780482474_94c367ac,1,0.0,0.0,True
mpc_decision_2@20.0s,50,1000,1,1780482498.0543578,mpc_replay_1780482474_94c367ac,2,20.0,21.99806261062622,True
mpc_decision_3@40.0s,50,1000,1,1780482518.0514185,mpc_replay_1780482474_94c367ac,3,40.0,41.98786520957947,False
mpc_decision_4@60.0s,50,1000,1,1780482538.0502286,mpc_replay_1780482474_94c367ac,4,60.0,61.98327970504761,False
mpc_decision_5@80.0s,50,1000,17,1780482558.0513942,mpc_replay_1780482474_94c367ac,5,80.0,81.9972288608551,True
mpc_decision_6@100.0s,30,880,15,1780482578.0506234,mpc_replay_1780482474_94c367ac,6,100.0,101.98371744155884,True
mpc_decision_7@120.0s,33,941,1,1780482598.0511572,mpc_replay_1780482474_94c367ac,7,120.0,121.98985385894775,True
mpc_decision_8@140.0s,50,1,1,1780482618.051865,mpc_replay_1780482474_94c367ac,8,140.0,141.98364162445068,True
mpc_decision_9@160.0s,12,618,13,1780482638.0512612,mpc_replay_1780482474_94c367ac,9,160.0,161.9893102645874,True
mpc_decision_10@180.0s,50,462,1,1780482658.052438,mpc_replay_1780482474_94c367ac,10,180.0,181.9847230911255,True
mpc_decision_11@200.0s,7,683,8,1780482678.051674,mpc_replay_1780482474_94c367ac,11,200.0,201.99438571929932,True
mpc_decision_12@220.0s,38,634,5,1780482698.0522182,mpc_replay_1780482474_94c367ac,12,220.0,221.98793578147888,True
mpc_decision_13@240.0s,38,1,7,1780482718.0519736,mpc_replay_1780482474_94c367ac,13,240.0,241.9988603591919,True
mpc_decision_14@260.0s,1,1,8,1780482738.051955,mpc_replay_1780482474_94c367ac,14,260.0,261.9989252090454,True
mpc_decision_15@280.0s,1,1,8,1780482758.0523157,mpc_replay_1780482474_94c367ac,15,280.0,281.99587297439575,False
mpc_decision_16@300.0s,1,1,8,1780482778.0520449,mpc_replay_1780482474_94c367ac,16,300.0,301.9953155517578,False
mpc_decision_17@320.0s,1,1,2,1780482798.0550153,mpc_replay_1780482474_94c367ac,17,320.0,321.99672269821167,True
mpc_decision_18@340.0s,1,1,20,1780482818.052534,mpc_replay_1780482474_94c367ac,18,340.0,341.9969174861908,True
mpc_decision_19@360.0s,1,1,14,1780482838.052497,mpc_replay_1780482474_94c367ac,19,360.0,361.9886705875397,True
mpc_decision_20@380.0s,1,1,9,1780482858.0541534,mpc_replay_1780482474_94c367ac,20,380.0,381.99388575553894,True
mpc_decision_21@400.0s,1,1,14,1780482878.052319,mpc_replay_1780482474_94c367ac,21,400.0,401.98905992507935,True
mpc_decision_22@420.0s,1,1,14,1780482898.052778,mpc_replay_1780482474_94c367ac,22,420.0,421.9917366504669,False
mpc_decision_23@440.0s,1,1000,19,1780482918.0527296,mpc_replay_1780482474_94c367ac,23,440.0,441.99984097480774,True
mpc_decision_24@460.0s,1,1000,20,1780482938.0531538,mpc_replay_1780482474_94c367ac,24,460.0,461.9924921989441,True
mpc_decision_25@480.0s,1,284,5,1780482958.0538518,mpc_replay_1780482474_94c367ac,25,480.0,481.9909818172455,True
mpc_decision_26@500.0s,1,253,5,1780482978.0535886,mpc_replay_1780482474_94c367ac,26,500.0,501.9992392063141,True
mpc_decision_27@520.0s,1,405,4,1780482998.0539215,mpc_replay_1780482474_94c367ac,27,520.0,521.9963271617889,True
mpc_decision_28@540.0s,1,405,4,1780483018.0538533,mpc_replay_1780482474_94c367ac,28,540.0,541.9982738494873,False
mpc_decision_29@560.0s,1,417,13,1780483038.0537488,mpc_replay_1780482474_94c367ac,29,560.0,561.9951491355896,True
mpc_decision_30@580.0s,1,277,9,1780483058.0547724,mpc_replay_1780482474_94c367ac,30,580.0,581.9944117069244,True
mpc_decision_31@600.0s,1,277,9,1780483078.0548348,mpc_replay_1780482474_94c367ac,31,600.0,601.9876556396484,False
mpc_decision_32@620.0s,1,229,18,1780483098.0537477,mpc_replay_1780482474_94c367ac,32,620.0,621.9995200634003,True
mpc_decision_33@640.0s,2,107,20,1780483118.0581796,mpc_replay_1780482474_94c367ac,33,640.0,641.9959719181061,True
mpc_decision_34@660.0s,3,123,20,1780483138.0569308,mpc_replay_1780482474_94c367ac,34,660.0,661.9887802600861,True
