event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,508,1,1780492525.204878,mpc_replay_1780492043_7b06cb38,1,0.0,0.0,True
mpc_decision_2@10.0s,50,327,1,1780492537.105094,mpc_replay_1780492043_7b06cb38,2,10.0,11.987803936004639,True
mpc_decision_3@20.0s,50,674,1,1780492547.1059012,mpc_replay_1780492043_7b06cb38,3,20.0,21.983974933624268,True
mpc_decision_4@30.0s,50,1000,1,1780492557.1054313,mpc_replay_1780492043_7b06cb38,4,30.0,31.98226261138916,True
mpc_decision_5@40.0s,50,1000,1,1780492567.105331,mpc_replay_1780492043_7b06cb38,5,40.0,41.985527992248535,False
mpc_decision_6@50.0s,50,1000,1,1780492577.1059544,mpc_replay_1780492043_7b06cb38,6,50.0,51.97858142852783,False
mpc_decision_7@60.0s,50,1000,1,1780492587.105683,mpc_replay_1780492043_7b06cb38,7,60.0,61.985506772994995,False
mpc_decision_8@70.0s,50,993,4,1780492597.1055803,mpc_replay_1780492043_7b06cb38,8,70.0,71.98340916633606,True
mpc_decision_9@80.0s,50,1000,19,1780492607.1059463,mpc_replay_1780492043_7b06cb38,9,80.0,81.98877692222595,True
mpc_decision_10@90.0s,50,1000,1,1780492617.105673,mpc_replay_1780492043_7b06cb38,10,90.0,91.99085903167725,True
mpc_decision_11@100.0s,50,453,20,1780492627.1053755,mpc_replay_1780492043_7b06cb38,11,100.0,101.98808073997498,True
mpc_decision_12@110.0s,50,752,20,1780492637.1063302,mpc_replay_1780492043_7b06cb38,12,110.0,111.98262453079224,True
mpc_decision_13@120.0s,50,1,20,1780492647.10538,mpc_replay_1780492043_7b06cb38,13,120.0,121.98169159889221,True
mpc_decision_14@130.0s,16,1000,19,1780492657.1059518,mpc_replay_1780492043_7b06cb38,14,130.0,131.98107481002808,True
mpc_decision_15@140.0s,16,994,15,1780492667.1063683,mpc_replay_1780492043_7b06cb38,15,140.0,141.9786994457245,True
mpc_decision_16@150.0s,50,925,2,1780492677.1063008,mpc_replay_1780492043_7b06cb38,16,150.0,151.98455929756165,True
mpc_decision_17@160.0s,14,1000,7,1780492687.1062753,mpc_replay_1780492043_7b06cb38,17,160.0,161.9908766746521,True
mpc_decision_18@170.0s,50,350,1,1780492697.1063452,mpc_replay_1780492043_7b06cb38,18,170.0,171.97607398033142,True
mpc_decision_19@180.0s,11,440,17,1780492707.1063843,mpc_replay_1780492043_7b06cb38,19,180.0,181.97772693634033,True
mpc_decision_20@190.0s,50,159,2,1780492717.1066532,mpc_replay_1780492043_7b06cb38,20,190.0,191.98049545288086,True
mpc_decision_21@200.0s,50,303,1,1780492727.1063826,mpc_replay_1780492043_7b06cb38,21,200.0,201.97672629356384,True
mpc_decision_22@210.0s,50,601,1,1780492737.1065044,mpc_replay_1780492043_7b06cb38,22,210.0,211.98065423965454,True
mpc_decision_23@220.0s,50,794,1,1780492747.1066859,mpc_replay_1780492043_7b06cb38,23,220.0,221.9798402786255,True
mpc_decision_24@230.0s,3,987,1,1780492757.1062064,mpc_replay_1780492043_7b06cb38,24,230.0,231.99079036712646,True
mpc_decision_25@240.0s,47,966,1,1780492767.1063826,mpc_replay_1780492043_7b06cb38,25,240.0,241.98260927200317,True
mpc_decision_26@250.0s,44,1000,5,1780492777.1068413,mpc_replay_1780492043_7b06cb38,26,250.0,251.9841296672821,True
mpc_decision_27@260.0s,45,1000,18,1780492787.1062636,mpc_replay_1780492043_7b06cb38,27,260.0,261.99060106277466,True
mpc_decision_28@270.0s,43,454,20,1780492797.1073205,mpc_replay_1780492043_7b06cb38,28,270.0,271.9876585006714,True
mpc_decision_29@280.0s,1,1,12,1780492807.1070037,mpc_replay_1780492043_7b06cb38,29,280.0,281.98197722435,True
mpc_decision_30@290.0s,2,1,20,1780492817.106327,mpc_replay_1780492043_7b06cb38,30,290.0,291.97760939598083,True
mpc_decision_31@300.0s,1,1,8,1780492827.1074758,mpc_replay_1780492043_7b06cb38,31,300.0,301.988249540329,True
mpc_decision_32@310.0s,1,1,1,1780492837.10735,mpc_replay_1780492043_7b06cb38,32,310.0,311.9921727180481,True
mpc_decision_33@320.0s,45,1,5,1780492847.107114,mpc_replay_1780492043_7b06cb38,33,320.0,321.9908971786499,True
mpc_decision_34@330.0s,30,15,16,1780492857.1075454,mpc_replay_1780492043_7b06cb38,34,330.0,331.981299161911,True
mpc_decision_35@340.0s,41,560,7,1780492867.1074283,mpc_replay_1780492043_7b06cb38,35,340.0,341.9862713813782,True
mpc_decision_36@350.0s,38,829,5,1780492877.107621,mpc_replay_1780492043_7b06cb38,36,350.0,351.9918918609619,True
mpc_decision_37@360.0s,33,957,2,1780492887.1074953,mpc_replay_1780492043_7b06cb38,37,360.0,361.981746673584,True
mpc_decision_38@370.0s,33,957,2,1780492897.1077225,mpc_replay_1780492043_7b06cb38,38,370.0,371.9865050315857,False
mpc_decision_39@380.0s,40,968,2,1780492907.1072686,mpc_replay_1780492043_7b06cb38,39,380.0,381.98603868484497,True
mpc_decision_40@390.0s,37,1000,1,1780492917.1077049,mpc_replay_1780492043_7b06cb38,40,390.0,391.9919056892395,True
mpc_decision_41@400.0s,1,773,15,1780492927.10738,mpc_replay_1780492043_7b06cb38,41,400.0,401.98396253585815,True
mpc_decision_42@410.0s,1,989,11,1780492937.1075492,mpc_replay_1780492043_7b06cb38,42,410.0,411.98140025138855,True
mpc_decision_43@420.0s,13,1000,16,1780492947.10742,mpc_replay_1780492043_7b06cb38,43,420.0,421.98727583885193,True
mpc_decision_44@430.0s,2,1000,20,1780492957.1079109,mpc_replay_1780492043_7b06cb38,44,430.0,431.982741355896,True
mpc_decision_45@440.0s,1,1000,7,1780492967.1076264,mpc_replay_1780492043_7b06cb38,45,440.0,441.9854440689087,True
mpc_decision_46@450.0s,1,876,12,1780492977.1074996,mpc_replay_1780492043_7b06cb38,46,450.0,451.9827072620392,True
mpc_decision_47@460.0s,2,7,11,1780492987.1078403,mpc_replay_1780492043_7b06cb38,47,460.0,461.9906225204468,True
mpc_decision_48@470.0s,2,3,6,1780492997.108112,mpc_replay_1780492043_7b06cb38,48,470.0,471.9893913269043,True
mpc_decision_49@480.0s,1,553,8,1780493007.1080806,mpc_replay_1780492043_7b06cb38,49,480.0,481.9803590774536,True
mpc_decision_50@490.0s,2,863,9,1780493017.1075206,mpc_replay_1780492043_7b06cb38,50,490.0,491.9863369464874,True
mpc_decision_51@500.0s,2,781,7,1780493027.1084855,mpc_replay_1780492043_7b06cb38,51,500.0,501.97826647758484,True
mpc_decision_52@510.0s,2,781,7,1780493037.1079264,mpc_replay_1780492043_7b06cb38,52,510.0,511.9887080192566,False
mpc_decision_53@520.0s,1,934,8,1780493047.1084263,mpc_replay_1780492043_7b06cb38,53,520.0,521.9838652610779,True
mpc_decision_54@530.0s,1,892,10,1780493057.1082892,mpc_replay_1780492043_7b06cb38,54,530.0,531.9797995090485,True
mpc_decision_55@540.0s,1,947,12,1780493067.1081324,mpc_replay_1780492043_7b06cb38,55,540.0,541.9849298000336,True
mpc_decision_56@550.0s,1,924,12,1780493077.108313,mpc_replay_1780492043_7b06cb38,56,550.0,551.9845893383026,True
mpc_decision_57@560.0s,1,1000,15,1780493087.108822,mpc_replay_1780492043_7b06cb38,57,560.0,561.9901456832886,True
mpc_decision_58@570.0s,1,972,14,1780493097.1083846,mpc_replay_1780492043_7b06cb38,58,570.0,571.9887096881866,True
mpc_decision_59@580.0s,1,965,13,1780493107.1080513,mpc_replay_1780492043_7b06cb38,59,580.0,581.9858348369598,True
mpc_decision_60@590.0s,1,897,13,1780493117.1082878,mpc_replay_1780492043_7b06cb38,60,590.0,591.9894971847534,True
mpc_decision_61@600.0s,1,1000,13,1780493127.108623,mpc_replay_1780492043_7b06cb38,61,600.0,601.9856786727905,True
mpc_decision_62@610.0s,1,966,14,1780493137.1085,mpc_replay_1780492043_7b06cb38,62,610.0,611.9842534065247,True
mpc_decision_63@620.0s,1,991,13,1780493147.1086597,mpc_replay_1780492043_7b06cb38,63,620.0,621.9889204502106,True
mpc_decision_64@630.0s,1,1000,12,1780493157.1087008,mpc_replay_1780492043_7b06cb38,64,630.0,631.9931862354279,True
mpc_decision_65@640.0s,1,984,12,1780493167.1089761,mpc_replay_1780492043_7b06cb38,65,640.0,641.9839158058167,True
mpc_decision_66@650.0s,1,997,9,1780493177.1083746,mpc_replay_1780492043_7b06cb38,66,650.0,651.9839708805084,True
mpc_decision_67@660.0s,1,945,8,1780493187.1087651,mpc_replay_1780492043_7b06cb38,67,660.0,661.9920058250427,True
mpc_decision_68@670.0s,1,946,9,1780493197.1093903,mpc_replay_1780492043_7b06cb38,68,670.0,671.9932148456573,True
mpc_decision_69@680.0s,1,954,9,1780493207.1090565,mpc_replay_1780492043_7b06cb38,69,680.0,681.9808847904205,True
mpc_decision_70@690.0s,1,830,6,1780493217.1086814,mpc_replay_1780492043_7b06cb38,70,690.0,691.9846935272217,True
mpc_decision_71@700.0s,1,840,7,1780493227.1093245,mpc_replay_1780492043_7b06cb38,71,700.0,701.9899744987488,True
mpc_decision_72@710.0s,1,867,7,1780493237.1092653,mpc_replay_1780492043_7b06cb38,72,710.0,711.9905729293823,True
mpc_decision_73@720.0s,1,838,5,1780493247.1090722,mpc_replay_1780492043_7b06cb38,73,720.0,721.9934046268463,True
mpc_decision_74@730.0s,1,890,5,1780493257.109704,mpc_replay_1780492043_7b06cb38,74,730.0,731.9838435649872,True
