event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,917,1,1780495120.2199533,mpc_replay_1780494638_1c971ee4,1,0.0,0.0,True
mpc_decision_2@10.0s,50,805,1,1780495132.1194673,mpc_replay_1780494638_1c971ee4,2,10.0,12.002156972885132,True
mpc_decision_3@20.0s,50,1000,1,1780495142.119409,mpc_replay_1780494638_1c971ee4,3,20.0,21.988543033599854,True
mpc_decision_4@30.0s,50,1000,1,1780495152.1200333,mpc_replay_1780494638_1c971ee4,4,30.0,31.995190382003784,False
mpc_decision_5@40.0s,50,1000,1,1780495162.1196325,mpc_replay_1780494638_1c971ee4,5,40.0,41.99264335632324,False
mpc_decision_6@50.0s,50,1000,1,1780495172.119801,mpc_replay_1780494638_1c971ee4,6,50.0,52.002912759780884,False
mpc_decision_7@60.0s,50,1000,1,1780495182.119737,mpc_replay_1780494638_1c971ee4,7,60.0,62.00262379646301,False
mpc_decision_8@70.0s,50,1000,3,1780495190.1202793,mpc_replay_1780494638_1c971ee4,8,70.0,70.00184345245361,True
mpc_decision_9@80.0s,50,1000,20,1780495202.1195843,mpc_replay_1780494638_1c971ee4,9,80.0,82.0027482509613,True
mpc_decision_10@90.0s,50,1000,20,1780495212.1196465,mpc_replay_1780494638_1c971ee4,10,90.0,91.99157118797302,False
mpc_decision_11@100.0s,50,987,20,1780495222.1199403,mpc_replay_1780494638_1c971ee4,11,100.0,101.98844194412231,True
mpc_decision_12@110.0s,38,1000,20,1780495232.1201477,mpc_replay_1780494638_1c971ee4,12,110.0,111.99980640411377,True
mpc_decision_13@120.0s,22,609,20,1780495242.1201706,mpc_replay_1780494638_1c971ee4,13,120.0,121.99034476280212,True
mpc_decision_14@130.0s,15,1000,4,1780495250.1205912,mpc_replay_1780494638_1c971ee4,14,130.0,130.00020670890808,True
mpc_decision_15@140.0s,11,1000,1,1780495260.120517,mpc_replay_1780494638_1c971ee4,15,140.0,140.00254130363464,True
mpc_decision_16@150.0s,9,614,1,1780495270.1205418,mpc_replay_1780494638_1c971ee4,16,150.0,150.00067925453186,True
mpc_decision_17@160.0s,10,1000,1,1780495282.1207428,mpc_replay_1780494638_1c971ee4,17,160.0,161.99786043167114,True
mpc_decision_18@170.0s,9,994,1,1780495292.1207993,mpc_replay_1780494638_1c971ee4,18,170.0,172.00251460075378,True
mpc_decision_19@180.0s,8,681,1,1780495302.120377,mpc_replay_1780494638_1c971ee4,19,180.0,181.99906134605408,True
mpc_decision_20@190.0s,34,1,1,1780495310.121131,mpc_replay_1780494638_1c971ee4,20,190.0,190.00172472000122,True
mpc_decision_21@200.0s,50,142,1,1780495320.1205792,mpc_replay_1780494638_1c971ee4,21,200.0,200.00287222862244,True
mpc_decision_22@210.0s,50,163,1,1780495332.1206086,mpc_replay_1780494638_1c971ee4,22,210.0,211.99467182159424,True
mpc_decision_23@220.0s,50,545,1,1780495342.1205125,mpc_replay_1780494638_1c971ee4,23,220.0,221.99987936019897,True
mpc_decision_24@230.0s,3,844,1,1780495352.1210973,mpc_replay_1780494638_1c971ee4,24,230.0,231.99527025222778,True
mpc_decision_25@240.0s,40,953,1,1780495362.1206229,mpc_replay_1780494638_1c971ee4,25,240.0,241.99732995033264,True
mpc_decision_26@250.0s,39,962,3,1780495370.1209495,mpc_replay_1780494638_1c971ee4,26,250.0,250.00214886665344,True
mpc_decision_27@260.0s,40,390,11,1780495380.120809,mpc_replay_1780494638_1c971ee4,27,260.0,260.0029630661011,True
mpc_decision_28@270.0s,1,1,4,1780495392.1214688,mpc_replay_1780494638_1c971ee4,28,270.0,271.99157333374023,True
mpc_decision_29@280.0s,1,1,7,1780495402.1211882,mpc_replay_1780494638_1c971ee4,29,280.0,282.0008342266083,True
mpc_decision_30@290.0s,1,1,7,1780495412.1210508,mpc_replay_1780494638_1c971ee4,30,290.0,292.0016767978668,False
mpc_decision_31@300.0s,1,1,20,1780495420.121326,mpc_replay_1780494638_1c971ee4,31,300.0,300.00529956817627,True
mpc_decision_32@310.0s,1,1,4,1780495432.120715,mpc_replay_1780494638_1c971ee4,32,310.0,312.0009846687317,True
mpc_decision_33@320.0s,1,15,1,1780495442.1215997,mpc_replay_1780494638_1c971ee4,33,320.0,322.0010440349579,True
mpc_decision_34@330.0s,1,14,19,1780495452.1211948,mpc_replay_1780494638_1c971ee4,34,330.0,331.9988057613373,True
mpc_decision_35@340.0s,1,1,1,1780495462.1216516,mpc_replay_1780494638_1c971ee4,35,340.0,341.9907581806183,True
mpc_decision_36@350.0s,1,1,1,1780495472.1212869,mpc_replay_1780494638_1c971ee4,36,350.0,351.9989581108093,False
mpc_decision_37@360.0s,1,1,1,1780495482.121792,mpc_replay_1780494638_1c971ee4,37,360.0,361.99844002723694,False
mpc_decision_38@370.0s,1,1,20,1780495492.1218042,mpc_replay_1780494638_1c971ee4,38,370.0,372.00239777565,True
mpc_decision_39@380.0s,1,1,19,1780495500.1217678,mpc_replay_1780494638_1c971ee4,39,380.0,380.0017831325531,True
mpc_decision_40@390.0s,1,1,20,1780495512.1217813,mpc_replay_1780494638_1c971ee4,40,390.0,391.9989261627197,True
mpc_decision_41@400.0s,1,1000,20,1780495520.1217368,mpc_replay_1780494638_1c971ee4,41,400.0,400.0028614997864,True
mpc_decision_42@410.0s,1,324,20,1780495530.1218004,mpc_replay_1780494638_1c971ee4,42,410.0,410.0039818286896,True
mpc_decision_43@420.0s,1,208,20,1780495542.122028,mpc_replay_1780494638_1c971ee4,43,420.0,422.0051326751709,True
mpc_decision_44@430.0s,2,90,20,1780495550.1225905,mpc_replay_1780494638_1c971ee4,44,430.0,430.0004913806915,True
mpc_decision_45@440.0s,7,44,20,1780495562.1216993,mpc_replay_1780494638_1c971ee4,45,440.0,441.99468088150024,True
mpc_decision_46@450.0s,5,97,8,1780495570.122498,mpc_replay_1780494638_1c971ee4,46,450.0,450.00188183784485,True
mpc_decision_47@460.0s,1,787,2,1780495582.1216636,mpc_replay_1780494638_1c971ee4,47,460.0,461.9903287887573,True
mpc_decision_48@470.0s,1,787,2,1780495592.1220188,mpc_replay_1780494638_1c971ee4,48,470.0,471.9992096424103,False
mpc_decision_49@480.0s,1,661,14,1780495600.1221647,mpc_replay_1780494638_1c971ee4,49,480.0,480.00305366516113,True
mpc_decision_50@490.0s,1,829,18,1780495610.1226943,mpc_replay_1780494638_1c971ee4,50,490.0,490.0054054260254,True
mpc_decision_51@500.0s,5,293,18,1780495622.1224298,mpc_replay_1780494638_1c971ee4,51,500.0,502.0049991607666,True
mpc_decision_52@510.0s,2,356,16,1780495630.1226466,mpc_replay_1780494638_1c971ee4,52,510.0,510.0020704269409,True
mpc_decision_53@520.0s,2,376,14,1780495642.1226587,mpc_replay_1780494638_1c971ee4,53,520.0,522.0008108615875,True
mpc_decision_54@530.0s,2,448,9,1780495652.1220386,mpc_replay_1780494638_1c971ee4,54,530.0,532.0050776004791,True
mpc_decision_55@540.0s,3,527,11,1780495660.1224773,mpc_replay_1780494638_1c971ee4,55,540.0,540.0049040317535,True
mpc_decision_56@550.0s,5,701,20,1780495670.1227071,mpc_replay_1780494638_1c971ee4,56,550.0,550.002357006073,True
mpc_decision_57@560.0s,5,926,20,1780495682.1225483,mpc_replay_1780494638_1c971ee4,57,560.0,562.0009126663208,True
mpc_decision_58@570.0s,1,1000,20,1780495692.1225667,mpc_replay_1780494638_1c971ee4,58,570.0,571.99369764328,True
mpc_decision_59@580.0s,1,1000,12,1780495702.1225395,mpc_replay_1780494638_1c971ee4,59,580.0,582.0019423961639,True
mpc_decision_60@590.0s,1,966,13,1780495710.1230552,mpc_replay_1780494638_1c971ee4,60,590.0,590.0057411193848,True
mpc_decision_61@600.0s,1,973,13,1780495720.122447,mpc_replay_1780494638_1c971ee4,61,600.0,600.00412774086,True
mpc_decision_62@610.0s,1,966,13,1780495732.1234353,mpc_replay_1780494638_1c971ee4,62,610.0,611.9965889453888,True
mpc_decision_63@620.0s,1,980,6,1780495742.1226823,mpc_replay_1780494638_1c971ee4,63,620.0,621.9963784217834,True
mpc_decision_64@630.0s,1,1000,6,1780495752.1231382,mpc_replay_1780494638_1c971ee4,64,630.0,632.0033168792725,True
mpc_decision_65@640.0s,1,853,3,1780495762.1235633,mpc_replay_1780494638_1c971ee4,65,640.0,642.0009074211121,True
mpc_decision_66@650.0s,1,857,3,1780495772.123197,mpc_replay_1780494638_1c971ee4,66,650.0,651.9948253631592,True
mpc_decision_67@660.0s,1,865,2,1780495782.1235812,mpc_replay_1780494638_1c971ee4,67,660.0,662.003787279129,True
mpc_decision_68@670.0s,1,872,2,1780495790.1235137,mpc_replay_1780494638_1c971ee4,68,670.0,670.0064458847046,True
mpc_decision_69@680.0s,1,805,1,1780495800.1235497,mpc_replay_1780494638_1c971ee4,69,680.0,680.0056157112122,True
mpc_decision_70@690.0s,1,805,1,1780495810.1237342,mpc_replay_1780494638_1c971ee4,70,690.0,690.0060198307037,False
mpc_decision_71@700.0s,1,805,1,1780495822.1233802,mpc_replay_1780494638_1c971ee4,71,700.0,701.9990849494934,False
mpc_decision_72@710.0s,1,809,1,1780495830.123435,mpc_replay_1780494638_1c971ee4,72,710.0,710.0051527023315,True
mpc_decision_73@720.0s,1,844,1,1780495842.123687,mpc_replay_1780494638_1c971ee4,73,720.0,721.9992895126343,True
mpc_decision_74@730.0s,1,877,1,1780495852.1232307,mpc_replay_1780494638_1c971ee4,74,730.0,732.0059189796448,True
mpc_decision_75@740.0s,2,679,1,1780495860.123491,mpc_replay_1780494638_1c971ee4,75,740.0,740.0061128139496,True
mpc_decision_76@750.0s,2,713,1,1780495870.123566,mpc_replay_1780494638_1c971ee4,76,750.0,750.0048487186432,True
mpc_decision_77@760.0s,2,713,1,1780495882.1235921,mpc_replay_1780494638_1c971ee4,77,760.0,762.0066547393799,False
mpc_decision_78@770.0s,2,876,2,1780495890.1236172,mpc_replay_1780494638_1c971ee4,78,770.0,770.0051865577698,True
mpc_decision_79@780.0s,2,940,1,1780495900.1239226,mpc_replay_1780494638_1c971ee4,79,780.0,780.003579378128,True
mpc_decision_80@790.0s,2,833,1,1780495910.123579,mpc_replay_1780494638_1c971ee4,80,790.0,790.0036880970001,True
mpc_decision_81@800.0s,1,1000,1,1780495920.1242964,mpc_replay_1780494638_1c971ee4,81,800.0,800.0017066001892,True
mpc_decision_82@810.0s,1,989,3,1780495930.1237688,mpc_replay_1780494638_1c971ee4,82,810.0,810.006890296936,True
mpc_decision_83@820.0s,1,777,1,1780495942.12436,mpc_replay_1780494638_1c971ee4,83,820.0,822.0056121349335,True
mpc_decision_84@830.0s,1,662,2,1780495950.1240325,mpc_replay_1780494638_1c971ee4,84,830.0,830.0056049823761,True
mpc_decision_85@840.0s,1,683,2,1780495962.1245315,mpc_replay_1780494638_1c971ee4,85,840.0,842.0047268867493,True
mpc_decision_86@850.0s,1,752,2,1780495970.1242416,mpc_replay_1780494638_1c971ee4,86,850.0,850.0059039592743,True
mpc_decision_87@860.0s,1,716,1,1780495982.1240344,mpc_replay_1780494638_1c971ee4,87,860.0,862.0006895065308,True
mpc_decision_88@870.0s,1,747,1,1780495992.1242292,mpc_replay_1780494638_1c971ee4,88,870.0,872.0046980381012,True
mpc_decision_89@880.0s,1,766,1,1780496002.1247106,mpc_replay_1780494638_1c971ee4,89,880.0,881.9935464859009,True
mpc_decision_90@890.0s,1,817,1,1780496012.1247535,mpc_replay_1780494638_1c971ee4,90,890.0,892.0062954425812,True
mpc_decision_91@900.0s,1,834,1,1780496022.1244485,mpc_replay_1780494638_1c971ee4,91,900.0,902.0006885528564,True
mpc_decision_92@910.0s,1,851,1,1780496032.124463,mpc_replay_1780494638_1c971ee4,92,910.0,912.001086473465,True
mpc_decision_93@920.0s,1,895,1,1780496040.124503,mpc_replay_1780494638_1c971ee4,93,920.0,920.0011365413666,True
mpc_decision_94@930.0s,1,895,1,1780496050.1248724,mpc_replay_1780494638_1c971ee4,94,930.0,930.0065517425537,False
mpc_decision_95@940.0s,1,897,1,1780496060.1250286,mpc_replay_1780494638_1c971ee4,95,940.0,940.0037274360657,True
mpc_decision_96@950.0s,1,897,1,1780496070.1248853,mpc_replay_1780494638_1c971ee4,96,950.0,950.0030837059021,False
mpc_decision_97@960.0s,1,925,1,1780496082.1249938,mpc_replay_1780494638_1c971ee4,97,960.0,961.9956531524658,True
mpc_decision_98@970.0s,1,929,1,1780496090.124976,mpc_replay_1780494638_1c971ee4,98,970.0,970.0066471099854,True
mpc_decision_99@980.0s,1,929,1,1780496100.1256144,mpc_replay_1780494638_1c971ee4,99,980.0,980.0078256130219,False
mpc_decision_100@990.0s,1,939,1,1780496112.125693,mpc_replay_1780494638_1c971ee4,100,990.0,992.0057210922241,True
mpc_decision_101@1000.0s,1,1000,2,1780496120.1257603,mpc_replay_1780494638_1c971ee4,101,1000.0,1000.0021827220917,True
mpc_decision_102@1010.0s,1,1000,2,1780496130.1254597,mpc_replay_1780494638_1c971ee4,102,1010.0,1010.0086185932159,False
mpc_decision_103@1020.0s,1,1000,1,1780496140.12551,mpc_replay_1780494638_1c971ee4,103,1020.0,1020.003185749054,True
mpc_decision_104@1030.0s,1,1000,1,1780496150.1249733,mpc_replay_1780494638_1c971ee4,104,1030.0,1030.008846282959,False
mpc_decision_105@1040.0s,1,1000,1,1780496160.125793,mpc_replay_1780494638_1c971ee4,105,1040.0,1040.0017552375793,False
mpc_decision_106@1050.0s,2,935,2,1780496172.1256824,mpc_replay_1780494638_1c971ee4,106,1050.0,1051.9966185092926,True
mpc_decision_107@1060.0s,2,935,2,1780496180.1260512,mpc_replay_1780494638_1c971ee4,107,1060.0,1060.0056822299957,False
