event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,917,1,1780502700.364096,mpc_replay_1780502219_badf9738,1,0.0,0.0,True
mpc_decision_2@20.0s,50,1000,1,1780502722.1642876,mpc_replay_1780502219_badf9738,2,20.0,21.943702220916748,True
mpc_decision_3@40.0s,50,1000,1,1780502742.1645699,mpc_replay_1780502219_badf9738,3,40.0,41.93398380279541,False
mpc_decision_4@60.0s,50,1000,1,1780502762.1648269,mpc_replay_1780502219_badf9738,4,60.0,61.949244260787964,False
mpc_decision_5@80.0s,50,1000,17,1780502782.1638951,mpc_replay_1780502219_badf9738,5,80.0,81.94731259346008,True
mpc_decision_6@100.0s,30,880,15,1780502802.164605,mpc_replay_1780502219_badf9738,6,100.0,101.94501662254333,True
mpc_decision_7@120.0s,33,941,1,1780502822.1647952,mpc_replay_1780502219_badf9738,7,120.0,121.94221258163452,True
mpc_decision_8@140.0s,50,1,1,1780502842.164309,mpc_replay_1780502219_badf9738,8,140.0,141.9417233467102,True
mpc_decision_9@160.0s,12,618,13,1780502862.1648297,mpc_replay_1780502219_badf9738,9,160.0,161.94624996185303,True
mpc_decision_10@180.0s,50,462,1,1780502882.1648905,mpc_replay_1780502219_badf9738,10,180.0,181.93830823898315,True
mpc_decision_11@200.0s,7,683,8,1780502902.1655235,mpc_replay_1780502219_badf9738,11,200.0,201.9469437599182,True
mpc_decision_12@220.0s,38,634,5,1780502922.1647494,mpc_replay_1780502219_badf9738,12,220.0,221.9351737499237,True
mpc_decision_13@240.0s,38,1,7,1780502942.1650145,mpc_replay_1780502219_badf9738,13,240.0,241.93643164634705,True
mpc_decision_14@260.0s,1,1,8,1780502962.1657233,mpc_replay_1780502219_badf9738,14,260.0,261.94213795661926,True
mpc_decision_15@280.0s,1,1,8,1780502982.165185,mpc_replay_1780502219_badf9738,15,280.0,281.9496018886566,False
mpc_decision_16@300.0s,1,1,8,1780503002.1654806,mpc_replay_1780502219_badf9738,16,300.0,301.94989800453186,False
mpc_decision_17@320.0s,1,1,2,1780503022.1657681,mpc_replay_1780502219_badf9738,17,320.0,321.9361877441406,True
mpc_decision_18@340.0s,1,1,20,1780503042.1663642,mpc_replay_1780502219_badf9738,18,340.0,341.9447808265686,True
mpc_decision_19@360.0s,1,1,14,1780503062.1664226,mpc_replay_1780502219_badf9738,19,360.0,361.9518401622772,True
mpc_decision_20@380.0s,1,1,9,1780503082.1664476,mpc_replay_1780502219_badf9738,20,380.0,381.9428656101227,True
mpc_decision_21@400.0s,1,1,14,1780503102.1662736,mpc_replay_1780502219_badf9738,21,400.0,401.94069147109985,True
mpc_decision_22@420.0s,1,1,14,1780503122.1661313,mpc_replay_1780502219_badf9738,22,420.0,421.95154571533203,False
mpc_decision_23@440.0s,1,1000,19,1780503142.1661656,mpc_replay_1780502219_badf9738,23,440.0,441.9484632015228,True
mpc_decision_24@460.0s,1,1000,20,1780503162.1669958,mpc_replay_1780502219_badf9738,24,460.0,461.94041323661804,True
mpc_decision_25@480.0s,1,284,5,1780503182.1670873,mpc_replay_1780502219_badf9738,25,480.0,481.938503742218,True
mpc_decision_26@500.0s,1,253,5,1780503202.1665204,mpc_replay_1780502219_badf9738,26,500.0,501.94293570518494,True
mpc_decision_27@520.0s,1,405,4,1780503222.1664865,mpc_replay_1780502219_badf9738,27,520.0,521.9399003982544,True
mpc_decision_28@540.0s,1,405,4,1780503242.1672947,mpc_replay_1780502219_badf9738,28,540.0,541.9517107009888,False
mpc_decision_29@560.0s,1,417,13,1780503262.1672962,mpc_replay_1780502219_badf9738,29,560.0,561.9487164020538,True
mpc_decision_30@580.0s,1,277,9,1780503282.167135,mpc_replay_1780502219_badf9738,30,580.0,581.9435579776764,True
mpc_decision_31@600.0s,1,277,9,1780503302.167119,mpc_replay_1780502219_badf9738,31,600.0,601.9385373592377,False
mpc_decision_32@620.0s,1,229,18,1780503322.1678364,mpc_replay_1780502219_badf9738,32,620.0,621.9502546787262,True
mpc_decision_33@640.0s,2,107,20,1780503342.167576,mpc_replay_1780502219_badf9738,33,640.0,641.951993227005,True
mpc_decision_34@660.0s,3,123,20,1780503362.1679592,mpc_replay_1780502219_badf9738,34,660.0,661.9508619308472,True
mpc_decision_35@680.0s,5,62,17,1780503382.168152,mpc_replay_1780502219_badf9738,35,680.0,681.9445691108704,True
mpc_decision_36@700.0s,3,132,15,1780503402.1686585,mpc_replay_1780502219_badf9738,36,700.0,701.9440755844116,True
mpc_decision_37@720.0s,4,108,16,1780503422.168364,mpc_replay_1780502219_badf9738,37,720.0,721.9487814903259,True
mpc_decision_38@740.0s,4,158,17,1780503442.167705,mpc_replay_1780502219_badf9738,38,740.0,741.9511227607727,True
mpc_decision_39@760.0s,4,158,17,1780503462.1689115,mpc_replay_1780502219_badf9738,39,760.0,761.9483256340027,False
mpc_decision_40@780.0s,3,156,14,1780503482.1684756,mpc_replay_1780502219_badf9738,40,780.0,781.9478905200958,True
mpc_decision_41@800.0s,5,224,19,1780503502.1686444,mpc_replay_1780502219_badf9738,41,800.0,801.9400579929352,True
mpc_decision_42@820.0s,5,224,19,1780503522.1686418,mpc_replay_1780502219_badf9738,42,820.0,821.9480621814728,False
mpc_decision_43@840.0s,4,215,17,1780503542.1687853,mpc_replay_1780502219_badf9738,43,840.0,841.9402532577515,True
mpc_decision_44@860.0s,3,208,15,1780503562.1689587,mpc_replay_1780502219_badf9738,44,860.0,861.9533746242523,True
mpc_decision_45@880.0s,2,204,12,1780503582.169148,mpc_replay_1780502219_badf9738,45,880.0,881.954568862915,True
mpc_decision_46@900.0s,1,251,8,1780503602.1689713,mpc_replay_1780502219_badf9738,46,900.0,901.9493887424469,True
mpc_decision_47@920.0s,2,228,7,1780503622.1689153,mpc_replay_1780502219_badf9738,47,920.0,921.9543356895447,True
mpc_decision_48@940.0s,1,207,3,1780503642.1689153,mpc_replay_1780502219_badf9738,48,940.0,941.9463326931,True
mpc_decision_49@960.0s,1,220,2,1780503662.170063,mpc_replay_1780502219_badf9738,49,960.0,961.9444804191589,True
mpc_decision_50@980.0s,1,205,1,1780503682.1692138,mpc_replay_1780502219_badf9738,50,980.0,981.9496285915375,True
mpc_decision_51@1000.0s,1,205,1,1780503702.1695285,mpc_replay_1780502219_badf9738,51,1000.0,1001.9409430027008,False
mpc_decision_52@1020.0s,1,192,2,1780503722.1700382,mpc_replay_1780502219_badf9738,52,1020.0,1021.9484550952911,True
mpc_decision_53@1040.0s,1,187,2,1780503742.1702633,mpc_replay_1780502219_badf9738,53,1040.0,1041.9516780376434,True
mpc_decision_54@1060.0s,1,195,2,1780503762.1702578,mpc_replay_1780502219_badf9738,54,1060.0,1061.9446749687195,True
mpc_decision_55@1080.0s,1,194,2,1780503782.1699164,mpc_replay_1780502219_badf9738,55,1080.0,1081.9483370780945,True
mpc_decision_56@1100.0s,1,189,2,1780503802.170044,mpc_replay_1780502219_badf9738,56,1100.0,1101.945461988449,True
mpc_decision_57@1120.0s,1,203,2,1780503822.170622,mpc_replay_1780502219_badf9738,57,1120.0,1121.943036556244,True
mpc_decision_58@1140.0s,1,183,2,1780503842.1704164,mpc_replay_1780502219_badf9738,58,1140.0,1141.9438347816467,True
